2nd and 29 at BAY 49,Bryce Petty pass complete to KD Cannon for 21 yds to the Buff 30,,
3rd and 8 at BUFF 30,"Bryce Petty pass complete to Jay Lee for 30 yds for a TD, (Chris Callahan KICK)",28,0
"BAY DRIVE TOTALS: 10 plays, 86 yards, 2:11",,,
Buffalo at 14:09,,BU,BUF
,"Spencer Evans kickoff for 61 yds , Devin Campbell return for 14 yds to the Buff 49 BUFFALO Penalty, Illegal Block (Travis Pitzonka) to the Buff 9",28,0
1st and 10 at BUFF 9,Joe Licata pass incomplete to Ron Willoughby,,
2nd and 10 at BUFF 9,Anthone Taylor run for 3 yds to the Buff 12,,
3rd and 7 at BUFF 12,Joe Licata pass complete to John Dunmore for 12 yds to the Buff 24 for a 1ST down,,
1st and 10 at BUFF 24,Anthone Taylor run for no gain to the Buff 24,,
2nd and 10 at BUFF 24,"BUFFALO Penalty, False Start (John Dunmore) to the Buff 19",,
,"Timeout BUFFALO, clock 12:02",,
2nd and 15 at BUFF 19,Joe Licata pass complete to Devon Hughes for 7 yds to the Buff 26,,
3rd and 8 at BUFF 26,"Joe Licata pass incomplete to Ron Willoughby, broken up by Xavien Howard",,
4th and 8 at BUFF 26,"Tyler Grassman punt for 35 yds, downed at the Bayl 39",,
"BUFF DRIVE TOTALS: 6 plays, 17 yards, 2:50",,,
Baylor at 11:19,,BU,BUF
1st and 10 at BAY 39,Bryce Petty pass incomplete to KD Cannon,28,0
2nd and 10 at BAY 39,Shock Linwood run for 1 yd to the Bayl 40,,
3rd and 9 at BAY 40,Bryce Petty pass complete to Lynx Hawthorne for 10 yds to the 50 yard line for a 1ST down,,
1st and 10 at 50,Bryce Petty pass incomplete to Lynx Hawthorne,,
2nd and 10 at 50,Shock Linwood run for 2 yds to the Buff 48,,
3rd and 8 at BUFF 48,Bryce Petty pass incomplete to Davion Hall,,
4th and 8 at BUFF 48,"Spencer Roth punt for 28 yds, fair catch by Marcus McGill at the Buff 20",,
"BAY DRIVE TOTALS: 6 plays, 13 yards, 2:07",,,
Buffalo at 9:12,,BU,BUF
1st and 10 at BUFF 20,Jordan Johnson run for no gain to the Buff 20,28,0
2nd and 10 at BUFF 20,"Licata, Joe rush for 2 yards to the BUFFALO22, PENALTY BUFFALO holding (Kling, John) 10 yards to the BUFFALO10, NO PLAY.",,
2nd and 20 at BUFF 10,"BUFFALO Penalty, False Start (Brandon Manosalvas) to the Buff 5",,
2nd and 25 at BUFF 5,Joe Licata pass complete to John Dunmore for 9 yds to the Buff 14,,
3rd and 16 at BUFF 14,"Joe Licata pass incomplete to Devin Campbell, broken up by Aiavion Edwards",,
4th and 16 at BUFF 14,"Tyler Grassman punt for 44 yds , Cal Spangler returns for no gain to the Bayl 42",,
"BUFF DRIVE TOTALS: 3 plays, -6 yards, 2:05",,,
Baylor at 7:07,,BU,BUF
1st and 10 at BAY 42,Johnny Jefferson run for 3 yds to the Bayl 45,28,0
2nd and 7 at BAY 45,Bryce Petty pass complete to Jay Lee for 12 yds to the Buff 43 for a 1ST down,,
1st and 10 at BUFF 43,Bryce Petty pass incomplete to Davion Hall,,
2nd and 10 at BUFF 43,Johnny Jefferson run for 5 yds to the Buff 38,,
3rd and 5 at BUFF 38,Johnny Jefferson run for 3 yds to the Buff 35,,
4th and 2 at BUFF 35,Bryce Petty pass complete to Lynx Hawthorne for 21 yds to the Buff 14 for a 1ST down,,
1st and 10 at BUFF 14,"Johnny Jefferson run for 14 yds for a TD, (Chris Callahan KICK)",35,0
"BAY DRIVE TOTALS: 7 plays, 58 yards, 1:50",,,
Buffalo at 5:17,,BU,BUF
,Kyle Peterson kickoff for 65 yds for a touchback,35,0
1st and 10 at BUFF 25,Anthone Taylor run for a loss of 2 yards to the Buff 23,,
