4th and 13 at BAY 36,Neal Burcham pass incomplete to Der'rikk Thompson,,
"SMU DRIVE TOTALS: 4 plays, -3 yards, 1:21",,,
Baylor at 1:19,,SMU,BU
1st and 10 at BAY 36,Johnny Jefferson run for 4 yds to the Bayl 40,0,17
2nd and 6 at BAY 40,Bryce Petty pass complete to Lynx Hawthorne for 14 yds to the SMU 46 for a 1ST down,,
1st and 10 at SMU 46,"Bryce Petty pass complete to KD Cannon for 46 yds for a TD, (Chris Callahan KICK)",0,24
"BAY DRIVE TOTALS: 3 plays, 64 yards, 0:51",,,
SMU at 0:28,,SMU,BU
,Spencer Evans kickoff for 65 yds for a touchback,0,24
1st and 10 at SMU 25,Matt Davis sacked by K.J. Smith for a loss of 11 yards to the SMU 14,,
,End of 1st Quarter,,
2nd Quarter Play-by-Play,,,
,,,
SMU at 15:00,,SMU,BU
2nd and 21 at SMU 14,Matt Davis pass incomplete to Cedric Lancaster,0,24
3rd and 21 at SMU 14,Kevin Pope run for 6 yds to the SMU 20,,
4th and 15 at SMU 20,"Jackson Koonce punt for 42 yds, fair catch by Levi Norwood at the Bayl 38",,
"SMU DRIVE TOTALS: 3 plays, -5 yards, 1:21",,,
Baylor at 14:07,,SMU,BU
1st and 10 at BAY 38,Devin Chafin run for 3 yds to the Bayl 41,0,24
2nd and 7 at BAY 41,Devin Chafin run for 2 yds to the Bayl 43,,
3rd and 5 at BAY 43,Bryce Petty pass incomplete to Shock Linwood,,
4th and 5 at BAY 43,"Spencer Roth punt for 38 yds, downed at the SMU 19",,
"BAY DRIVE TOTALS: 3 plays, 5 yards, 1:15",,,
SMU at 12:52,,SMU,BU
1st and 10 at SMU 19,Kevin Pope run for 1 yd to the SMU 20,0,24
2nd and 9 at SMU 20,Prescott Line run for 4 yds to the SMU 24,,
3rd and 5 at SMU 24,Matt Davis pass intercepted Xavien Howard return for no gain to the SMU 33,,
"SMU DRIVE TOTALS: 3 plays, 5 yards, 1:36",,,
Baylor at 11:16,,SMU,BU
