0490045720141129,,490,457
1st Quarter Play-by-Play
NC State at 15:00,,NCST,UNC
,"Nick Weiler kickoff for 65 yds , Dakwa Nichols return for 21 yds to the NCSt 21",0,0
1st and 10 at NCST 21,Jacoby Brissett pass complete to David Grinnage for 12 yds to the NCSt 33 for a 1ST down,,
1st and 10 at NCST 33,Shadrach Thornton run for 6 yds to the NCSt 39,,
2nd and 4 at NCST 39,"Jacoby Brissett pass incomplete to David Grinnage, broken up by Malik Simmons",,
3rd and 4 at NCST 39,Jacoby Brissett run for 19 yds to the NCaro 42 for a 1ST down,,
1st and 10 at UNC 42,Matt Dayes run for no gain to the NCaro 42,,
2nd and 10 at UNC 42,Jacoby Brissett pass complete to Jaylen Samuels for 10 yds to the NCaro 32 for a 1ST down,,
1st and 10 at UNC 32,Matt Dayes run for 6 yds to the NCaro 26,,
2nd and 4 at UNC 26,Jacoby Brissett run for 9 yds to the NCaro 17 for a 1ST down,,
1st and 10 at UNC 17,"Jacoby Brissett run for 17 yds for a TD, (Niklas Sade KICK)",7,0
"NCST DRIVE TOTALS: 9 plays, 79 yards, 3:58"
North Carolina at 11:02,,NCST,UNC
,Niklas Sade kickoff for 65 yds for a touchback,7,0
1st and 10 at UNC 25,Marquise Williams run for 11 yds to the NCaro 36 for a 1ST down,,
1st and 10 at UNC 36,Marquise Williams pass complete to T.J. Logan for a loss of 1 yard to the NCaro 35,,
2nd and 11 at UNC 35,Marquise Williams pass complete to Quinshad Davis for 10 yds to the NCaro 45,,
3rd and 1 at UNC 45,Marquise Williams pass complete to Mack Hollins for 5 yds to the 50 yard line for a 1ST down,,
1st and 10 at 50,T.J. Logan run for no gain to the 50 yard line,,
2nd and 10 at 50,Marquise Williams pass incomplete,,
3rd and 10 at 50,"Marquise Williams pass incomplete to Mack Hollins, broken up by T.Y. McGill",,
4th and 10 at 50,Tommy Hibbard punt for 35 yds,,
"UNC DRIVE TOTALS: 7 plays, 25 yards, 2:05"
NC State at 8:57,,NCST,UNC
1st and 10 at NCST 15,Jacoby Brissett sacked by Ethan Farmer for a loss of 4 yards to the NCSt 11,7,0
2nd and 14 at NCST 11,Shadrach Thornton run for 2 yds to the NCSt 13,,
3rd and 12 at NCST 13,"Jacoby Brissett pass incomplete, broken up by Nazair Jones",,
4th and 12 at NCST 13,"Wil Baumann punt for 49 yds , Ryan Switzer returns for no gain to the NCaro 38",,
"NCST DRIVE TOTALS: 3 plays, -2 yards, 1:39"
North Carolina at 7:18,,NCST,UNC
1st and 10 at UNC 38,T.J. Logan run for 3 yds to the NCaro 41,7,0
2nd and 7 at UNC 41,Marquise Williams run for no gain to the NCaro 41,,
3rd and 7 at UNC 41,"Marquise Williams pass incomplete to Mack Hollins, broken up by Juston Burris",,
4th and 7 at UNC 41,"Tommy Hibbard punt for 49 yds , Bo Hines returns for no gain to the NCSt 10",,
"UNC DRIVE TOTALS: 3 plays, 3 yards, 1:04"
NC State at 6:14,,NCST,UNC
1st and 10 at NCST 10,Shadrach Thornton run for 5 yds to the NCSt 15,7,0
2nd and 5 at NCST 15,Jaylen Samuels run for 12 yds to the NCSt 27 for a 1ST down,,
1st and 10 at NCST 27,Jacoby Brissett pass complete to David Grinnage for 8 yds to the NCSt 35,,
2nd and 2 at NCST 35,Shadrach Thornton run for 7 yds to the NCSt 42 for a 1ST down,,
1st and 10 at NCST 42,Jacoby Brissett run for 10 yds to the NCaro 48 for a 1ST down,,
1st and 10 at UNC 48,Matt Dayes run for a loss of 1 yard to the NCaro 49,,
2nd and 11 at UNC 49,Jacoby Brissett pass complete to Bo Hines for 4 yds to the NCaro 45,,
3rd and 7 at UNC 45,Jacoby Brissett sacked by Jessie Rogers for a loss of 1 yard to the NCaro 46,,
4th and 8 at UNC 46,"Wil Baumann punt for 32 yds, fair catch by Ryan Switzer at the NCaro 14",,
"NCST DRIVE TOTALS: 8 plays, 44 yards, 4:51"
North Carolina at 1:23,,NCST,UNC
1st and 10 at UNC 14,Marquise Williams run for 12 yds to the NCaro 26 for a 1ST down,7,0
1st and 10 at UNC 26,Marquise Williams pass complete to Romar Morris for 11 yds to the NCaro 37 for a 1ST down,,
1st and 10 at UNC 37,Marquise Williams pass complete to T.J. Thorpe for 15 yds to the NCSt 48 for a 1ST down,,
1st and 10 at NCST 48,Marquise Williams pass incomplete to T.J. Thorpe,,
2nd and 10 at NCST 48,T.J. Logan run for 4 yds to the NCSt 44,,
,End of 1st Quarter,,
2nd Quarter Play-by-Play
North Carolina at 15:00,,NCST,UNC
3rd and 6 at NCST 44,Marquise Williams pass complete to Bug Howard for 24 yds to the NCSt 20 for a 1ST down,7,0
1st and 10 at NCST 20,T.J. Logan run for 2 yds to the NCSt 18,,
2nd and 8 at NCST 18,Marquise Williams run for 4 yds to the NCSt 14,,
3rd and 4 at NCST 14,Marquise Williams run for a loss of 4 yards to the NCSt 18,,
4th and 8 at NCST 18,Thomas Moore 35 yd FG MISSED,,
"UNC DRIVE TOTALS: 10 plays, 68 yards, 2:56"
NC State at 13:27,,NCST,UNC
1st and 10 at NCST 20,Shadrach Thornton run for 5 yds to the NCSt 25,7,0
2nd and 5 at NCST 25,Shadrach Thornton run for 58 yds to the NCaro 17 for a 1ST down,,
1st and 10 at UNC 17,Tony Creecy run for 2 yds to the NCaro 15,,
2nd and 8 at UNC 15,Jacoby Brissett run for 3 yds to the NCaro 12,,
