0419052320140926,,419,523
,"MIDDLE TENN WINS TOSS, DEFERS TO 2ND HALF; ODU TO RECEIVE KICKOFF",,
1st Quarter Play-by-Play
Old Dominion at 15:00,,MTU,ODU
,"Cody Clark kickoff for 63 yds , Cam Boyd return for 20 yds to the ODU 22",0,0
1st and 10 at ODU 22,Taylor Heinicke pass intercepted T.T. Barber return for a loss of 2 yards to the ODU 48,,
"ODU DRIVE TOTALS: 1 play, 0 yards, 0:12"
Middle Tennessee at 14:48,,MTU,ODU
1st and 10 at ODU 48,Austin Grammer pass complete to Devin Clarke for 8 yds to the ODU 40,0,0
2nd and 2 at ODU 40,Jordan Parker run for no gain to the ODU 40,,
3rd and 2 at ODU 40,"MIDDLE TENN Penalty, false start (N/A) to the ODU 45",,
3rd and 7 at ODU 45,Austin Grammer pass complete to Marcus Henry for 14 yds to the ODU 31 for a 1ST down,,
1st and 10 at ODU 31,"Austin Grammer pass complete to u""Ed'Marques Batties"",  for a loss of 3 yards to the ODU 34",,
2nd and 13 at ODU 34,Austin Grammer pass incomplete,,
3rd and 13 at ODU 34,Austin Grammer sacked by Bunmi Rotimi for a loss of 6 yards to the ODU 40,,
4th and 19 at ODU 40,"Zachary Lopez punt for 35 yds, downed at the ODU 5",,
"MTSU DRIVE TOTALS: 6 plays, 8 yards, 3:19"
Old Dominion at 11:29,,MTU,ODU
1st and 10 at ODU 5,Gerard Johnson run for 1 yd to the ODU 6,0,0
2nd and 9 at ODU 6,"Taylor Heinicke run for 8 yds to the ODU 14 for a 1ST down MIDDLE TENN Penalty, personal foul (N/A) to the ODU 29 for a 1ST down",,
1st and 10 at ODU 29,Antonio Vaughan run for 3 yds to the ODU 32,,
2nd and 7 at ODU 32,"Taylor Heinicke pass complete to David Washington for 54 yds David Washington fumbled, forced by Kevin Byard, recovered by MTnSt Jared Singletary",,
"ODU DRIVE TOTALS: 4 plays, 95 yards, 1:19"
Middle Tennessee at 10:10,,MTU,ODU
1st and 10 at MTU 20,Jordan Parker run for 2 yds to the MTnSt 22,0,0
2nd and 8 at MTU 22,"Austin Grammer pass complete to u""Ed'Marques Batties"",  for 7 yds to the MTnSt 29",,
3rd and 1 at MTU 29,Jordan Parker run for 4 yds to the MTnSt 33 for a 1ST down,,
1st and 10 at MTU 33,"Austin Grammer pass complete to u""Ed'Marques Batties"",  for 4 yds to the MTnSt 37",,
2nd and 6 at MTU 37,Austin Grammer pass complete to Christian Collis for 5 yds to the MTnSt 42,,
3rd and 1 at MTU 42,Jordan Parker run for 3 yds to the MTnSt 45 for a 1ST down,,
1st and 10 at MTU 45,Austin Grammer pass complete to Devin Clarke for 5 yds to the 50 yard line,,
2nd and 5 at 50,Reggie Whatley run for 4 yds to the ODU 46,,
3rd and 1 at ODU 46,Reggie Whatley run for 3 yds to the ODU 43 for a 1ST down,,
1st and 10 at ODU 43,Shane Tucker run for 9 yds to the ODU 34,,
2nd and 1 at ODU 34,"Austin Grammer pass complete to u""Ed'Marques Batties"",  for 10 yds to the ODU 24 for a 1ST down",,
1st and 10 at ODU 24,Shane Tucker run for 5 yds to the ODU 19,,
2nd and 5 at ODU 19,Austin Grammer pass complete to Devin Clarke for 4 yds to the ODU 15,,
3rd and 1 at ODU 15,"Jeremiah Bryson run for a loss of 1 yard to the ODU 16 Jeremiah Bryson fumbled, forced by TJ Ricks, recovered by ODU Rashaad Coward",,
"MTSU DRIVE TOTALS: 14 plays, 64 yards, 4:51"
Old Dominion at 5:19,,MTU,ODU
1st and 10 at ODU 16,Taylor Heinicke pass incomplete to Gerard Johnson,0,0
2nd and 10 at ODU 16,Taylor Heinicke pass complete to Zach Pascal for 13 yds to the ODU 29 for a 1ST down,,
1st and 10 at ODU 29,Taylor Heinicke pass incomplete to Nick England,,
2nd and 10 at ODU 29,Taylor Heinicke pass incomplete to Zach Pascal,,
3rd and 10 at ODU 29,Taylor Heinicke sacked by Leighton Gasque for a loss of 5 yards to the ODU 24,,
4th and 15 at ODU 24,"Taylor Heinicke punt for 48 yds, downed at the MTnSt 28",,
"ODU DRIVE TOTALS: 5 plays, 8 yards, 1:10"
Middle Tennessee at 4:09,,MTU,ODU
1st and 10 at MTU 28,"Austin Grammer pass complete to u""Ed'Marques Batties"",  for 16 yds to the MTnSt 44 for a 1ST down",0,0
1st and 10 at MTU 44,Jordan Parker run for 7 yds to the ODU 49,,
2nd and 3 at ODU 49,Jordan Parker run for 4 yds to the ODU 45 for a 1ST down,,
1st and 10 at ODU 45,Jordan Parker run for no gain to the ODU 45,,
2nd and 10 at ODU 45,"Austin Grammer pass complete to Jordan Parker for 5 yds Jordan Parker fumbled, forced by Fellonte Misher, recovered by MTnSt N/A",,
3rd and 8 at ODU 43,Austin Grammer pass complete to Marcus Henry for 9 yds to the ODU 34 for a 1ST down,,
1st and 10 at ODU 34,Reggie Whatley run for 9 yds to the ODU 25,,
2nd and 1 at ODU 25,Reggie Whatley run for 6 yds to the ODU 19 for a 1ST down,,
1st and 10 at ODU 19,Reggie Whatley run for 12 yds to the ODU 7 for a 1ST down,,
1st and Goal at ODU 7,Reggie Whatley run for 1 yd to the ODU 6,,
,End of 1st Quarter,,
2nd Quarter Play-by-Play
Middle Tennessee at 15:00,,MTU,ODU
2nd and Goal at ODU 6,Austin Grammer pass complete to Devin Clarke for 2 yds to the ODU 4,0,0
3rd and Goal at ODU 4,Shane Tucker run for a loss of 2 yards to the ODU 6,,
4th and Goal at ODU 6,Cody Clark 23 yd FG GOOD,3,0
"MTSU DRIVE TOTALS: 13 plays, 66 yards, 5:39"
Old Dominion at 13:25,,MTU,ODU
,"Cody Clark kickoff for 63 yds , Gerard Johnson return for 19 yds to the ODU 21",3,0
1st and 10 at ODU 21,Gerard Johnson run for 1 yd to the ODU 22,,
2nd and 9 at ODU 22,"Taylor Heinicke run for a loss of 2 yards to the ODU 21 Taylor Heinicke fumbled, recovered by ODU N/A",,
3rd and 10 at ODU 21,Taylor Heinicke pass incomplete to N/A,,
4th and 10 at ODU 21,"Taylor Heinicke punt for 55 yds , Kevin Byard returns for 76 yds for a TD, (Cody Clark KICK)",10,0
"ODU DRIVE TOTALS: 3 plays, 0 yards, 1:33"
Middle Tennessee at 11:52,,MTU,ODU
1st and Goal at MTU 35,"CLARK, Cody kickoff 59 yards to the ODU6, ENGLAND, Nick return to the ODU16 (SANDERS, DJ), PENALTY MT offside defense (ROWLAND, Tony) 5 yards to the MT30, NO PLAY.",3,0
