0494063020140828,,494,630
1st Quarter Play-by-Play
North Dakota at 15:00,,ND,SJSU
,"Austin Lopez kickoff for 64 yds , Alex Tillman return for 39 yds to the NDKTA 40",0,0
1st and 10 at UND 40,Jer Garman run for 1 yd to the NDKTA 41,,
2nd and 9 at UND 41,Cedric Simmons run for no gain to the NDKTA 41,,
3rd and 9 at UND 41,Joe Mollberg run for 12 yds to the SJSt 47 for a 1ST down,,
1st and 10 at SJSU 47,Cedric Simmons run for no gain to the SJSt 47,,
,"Timeout NORTH DAKOTA, clock 12:25",,
2nd and 10 at SJSU 47,Joe Mollberg pass complete to Tyrhe Ivery for 4 yds to the SJSt 43,,
3rd and 6 at SJSU 43,Joe Mollberg pass complete to Brandon Walker for 5 yds to the SJSt 38,,
4th and 1 at SJSU 38,Cedric Simmons run for a loss of 1 yard to the SJSt 39,,
"UND DRIVE TOTALS: 7 plays, 21 yards, 3:58"
San Jos\xe9 State at 11:02,,ND,SJSU
1st and 10 at SJSU 39,Thomas Tucker run for no gain to the SJSt 39,0,0
2nd and 10 at SJSU 39,Blake Jurich pass complete to Hansell Wilson for 5 yds to the SJSt 44,,
3rd and 5 at SJSU 44,Blake Jurich run for 20 yds to the NDKTA 36 for a 1ST down,,
1st and 10 at UND 36,Thomas Tucker run for 9 yds to the NDKTA 27,,
2nd and 1 at UND 27,Tyler Ervin run for 10 yds to the NDKTA 17 for a 1ST down,,
1st and 10 at UND 17,Thomas Tucker run for a loss of 1 yard to the NDKTA 18,,
2nd and 11 at UND 18,Blake Jurich pass complete to Tyler Winston for 4 yds to the NDKTA 14,,
3rd and 7 at UND 14,Tyler Winston 14 Yd pass from Blake Jurich (Austin Lopez Kick),0,7
"SJSU DRIVE TOTALS: 8 plays, 61 yards, 2:38"
North Dakota at 8:19,,ND,SJSU
,"Austin Lopez kickoff for 64 yds , Alex Tillman return for 11 yds to the NDKTA 12",0,7
1st and 10 at UND 12,Joe Mollberg run for no gain to the NDKTA 12,,
2nd and 10 at UND 12,"NORTH DAKOTA Penalty, false start (N/A) to the NDKTA 7",,
2nd and 15 at UND 7,Jer Garman run for 2 yds to the NDKTA 9,,
3rd and 13 at UND 9,"Joe Mollberg pass incomplete to Brandon Walker, broken up by Christian Tago",,
