0466046520141129,,466,465
1st Quarter Play-by-Play
UNLV at 15:00,,UNR,UNLV
,"Brent Zuzo kickoff for 58 yds , Marcus Sullivan return for 23 yds to the UNLV 30",0,0
1st and 10 at UNLV 30,"Blake Decker pass complete to Taylor Barnhill for 6 yds to the Nevad 36 for a 1ST down NEVADA Penalty, Personal Foul (15 Yards) to the Nevad 49 for a 1ST down",,
1st and 10 at NEV 49,Shaquille Murray-Lawrence run for 3 yds to the Nevad 46,,
2nd and 7 at NEV 46,Shaquille Murray-Lawrence run for 1 yd to the Nevad 45,,
3rd and 6 at NEV 45,Blake Decker run for 6 yds to the Nevad 39 for a 1ST down,,
1st and 10 at NEV 39,Blake Decker run for 7 yds to the Nevad 32,,
2nd and 3 at NEV 32,Blake Decker pass incomplete,,
3rd and 3 at NEV 32,Marcus Sullivan run for no gain to the Nevad 32,,
4th and 3 at NEV 32,Blake Decker pass complete to Devonte Boyd for 11 yds to the Nevad 21 for a 1ST down,,
1st and 10 at NEV 21,"Blake Decker pass intercepted, touchback. Charles Garrett return for no gain",,
"UNLV DRIVE TOTALS: 9 plays, 49 yards, 3:14"
Nevada at 11:46,,UNR,UNLV
1st and 10 at NEV 20,Cody Fajardo pass incomplete to Don Jackson,0,0
2nd and 10 at NEV 20,Don Jackson run for 3 yds to the Nevad 23,,
3rd and 7 at NEV 23,"UNLV Penalty, Defensive Pass Interference (Kenneth Penny) to the Nevad 38 for a 1ST down",,
1st and 10 at NEV 38,Don Jackson run for 8 yds to the Nevad 46,,
2nd and 2 at NEV 46,Don Jackson run for 15 yds to the UNLV 39 for a 1ST down,,
1st and 10 at UNLV 39,Don Jackson run for 6 yds to the UNLV 33,,
2nd and 4 at UNLV 33,James Butler run for 8 yds to the UNLV 25 for a 1ST down,,
1st and 10 at UNLV 25,Cody Fajardo 25 Yd Run (Brent Zuzo Kick),7,0
"NEV DRIVE TOTALS: 7 plays, 80 yards, 3:21"
UNLV at 8:25,,UNR,UNLV
,Brent Zuzo kickoff for 65 yds for a touchback,7,0
1st and 10 at UNLV 25,Shaquille Murray-Lawrence run for 6 yds to the UNLV 31,,
2nd and 4 at UNLV 31,Blake Decker pass complete to Maika Mataele for 18 yds to the UNLV 49 for a 1ST down,,
1st and 10 at UNLV 49,Marcus Sullivan run for 4 yds to the Nevad 47,,
2nd and 6 at NEV 47,Blake Decker pass complete to Taylor Barnhill for 9 yds to the Nevad 38 for a 1ST down,,
1st and 10 at NEV 38,Blake Decker pass complete to Maika Mataele for 11 yds to the Nevad 27 for a 1ST down,,
1st and 10 at NEV 27,Blake Decker pass complete to Shaquille Murray-Lawrence for 3 yds to the Nevad 24,,
2nd and 7 at NEV 24,Shaquille Murray-Lawrence run for 8 yds to the Nevad 16 for a 1ST down,,
1st and 10 at NEV 16,Shaquille Murray-Lawrence run for 1 yd to the Nevad 15,,
2nd and 9 at NEV 15,"Blake Decker pass complete to Devonte Boyd for 8 yds to the Nevad 7 for a 1ST down NEVADA Penalty, Personal Foul (4 Yards) to the Nevad 3 for a 1ST down",,
1st and Goal at NEV 3,Devante Davis 3 Yd pass from Blake Decker (Jonathan Leiva Kick),7,7
"UNLV DRIVE TOTALS: 10 plays, 75 yards, 3:33"
Nevada at 4:52,,UNR,UNLV
,"Jonathan Leiva kickoff for 63 yds , Kendall Brock return for 18 yds to the Nevad 20",7,7
1st and 10 at NEV 20,Cody Fajardo run for 8 yds to the Nevad 28,,
2nd and 2 at NEV 28,James Butler run for 4 yds to the Nevad 32 for a 1ST down,,
1st and 10 at NEV 32,James Butler run for 6 yds to the Nevad 38,,
2nd and 4 at NEV 38,"NEVADA Penalty, Illegal Formation (-5 Yards) to the Nevad 33",,
2nd and 9 at NEV 33,Cody Fajardo run for 2 yds to the Nevad 35,,
3rd and 7 at NEV 35,Cody Fajardo run for 3 yds to the Nevad 38,,
4th and 4 at NEV 38,"Alex Boy punt for 46 yds , Jay Mitchell returns for no gain to the UNLV 16",,
"NEV DRIVE TOTALS: 5 plays, 18 yards, 2:54"
