0754002820141122,,754,28
1st Quarter Play-by-Play
Arizona State at 15:00,,WSU,ASU
,"Erik Powell kickoff for 65 yds , Kyle Middlebrooks return for 18 yds to the ArzSt 18",0,0
1st and 10 at ASU 18,Taylor Kelly pass incomplete,,
2nd and 10 at ASU 18,Demario Richard run for 2 yds to the ArzSt 20,,
3rd and 8 at ASU 20,Taylor Kelly pass incomplete,,
"ASU DRIVE TOTALS: 3 plays, 2 yards, 0:56"
Washington State at 14:04,,WSU,ASU
1st and 10 at WSU 25,Luke Falk pass incomplete to Tyler Baker,0,0
2nd and 10 at WSU 25,Jamal Morrow run for 4 yds to the WshSt 29,,
3rd and 6 at WSU 29,Luke Falk pass complete to Isiah Myers for 9 yds to the WshSt 38 for a 1ST down,,
1st and 10 at WSU 38,Luke Falk pass incomplete,,
2nd and 10 at WSU 38,Jamal Morrow run for 4 yds to the WshSt 42,,
3rd and 6 at WSU 42,Luke Falk pass incomplete to Vince Mayle,,
4th and 6 at WSU 42,Jordan Dascalo run for 3 yds to the WshSt 45,,
"WSU DRIVE TOTALS: 7 plays, 20 yards, 2:12"
Arizona State at 11:52,,WSU,ASU
1st and 10 at WSU 45,Taylor Kelly pass complete to D.J. Foster for a loss of 4 yards to the WshSt 49,0,0
2nd and 14 at WSU 49,Taylor Kelly pass incomplete,,
3rd and 14 at WSU 49,Taylor Kelly sacked by Destiny Vaeao for a loss of 6 yards to the ArzSt 45,,
"ASU DRIVE TOTALS: 3 plays, -10 yards, 1:17"
Washington State at 10:35,,WSU,ASU
1st and 10 at WSU 1,Luke Falk pass complete to Vince Mayle for 45 yds to the WshSt 46 for a 1ST down,0,0
1st and 10 at WSU 46,Luke Falk pass complete to Isiah Myers for 8 yds to the ArzSt 46,,
2nd and 2 at ASU 46,Jamal Morrow run for 4 yds to the ArzSt 42 for a 1ST down,,
1st and 10 at ASU 42,Luke Falk pass complete to Dom Williams for 2 yds to the ArzSt 40,,
2nd and 8 at ASU 40,Jamal Morrow run for a loss of 3 yards to the ArzSt 43,,
3rd and 11 at ASU 43,Luke Falk pass incomplete to Isiah Myers,,
4th and 11 at ASU 43,Jordan Dascalo punt for 43 yds for a touchback,,
"WSU DRIVE TOTALS: 6 plays, 56 yards, 3:00"
Arizona State at 7:35,,WSU,ASU
1st and 10 at ASU 20,Deantre Lewis run for 4 yds to the ArzSt 24,0,0
2nd and 6 at ASU 24,Deantre Lewis run for a loss of 3 yards to the ArzSt 21,,
3rd and 9 at ASU 21,Taylor Kelly sacked by Daniel Ekuale for a loss of 9 yards to the ArzSt 12,,
4th and 18 at ASU 12,"Matt Haack punt for 41 yds, downed at the WshSt 47",,
"ASU DRIVE TOTALS: 3 plays, -8 yards, 1:36"
Washington State at 5:59,,WSU,ASU
1st and 10 at WSU 47,Luke Falk pass complete to Tyler Baker for 18 yds to the ArzSt 35 for a 1ST down,0,0
1st and 10 at ASU 35,Luke Falk pass incomplete to Tyler Baker,,
2nd and 10 at ASU 35,Luke Falk pass complete to Jamal Morrow for 3 yds to the ArzSt 32,,
3rd and 7 at ASU 32,Luke Falk pass incomplete,,
4th and 7 at ASU 32,Luke Falk pass complete to Dom Williams for 10 yds to the ArzSt 22 for a 1ST down,,
1st and 10 at ASU 22,Jamal Morrow run for 2 yds to the ArzSt 20,,
2nd and 8 at ASU 20,Luke Falk pass complete to Tyler Baker for 17 yds to the ArzSt 3 for a 1ST down,,
1st and Goal at ASU 3,Jamal Morrow run for 2 yds to the ArzSt 1,,
,"Timeout WASHINGTON ST, clock 02:51",,
2nd and Goal at ASU 1,Luke Falk pass incomplete to Rickey Galvin,,
3rd and Goal at ASU 1,"Luke Falk run for 1 yd for a TD, (Quentin Breshears KICK)",7,0
"WSU DRIVE TOTALS: 10 plays, 53 yards, 3:14"
Arizona State at 2:45,,WSU,ASU
