0657011020141122,,657,110
1st Quarter Play-by-Play
USC at 15:00,,USC,UCLA
,"u""Ka'imi Fairbairn"",  kickoff for 65 yds for a touchback",0,0
1st and 10 at USC 25,Cody Kessler pass complete to Nelson Agholor for 11 yds to the USC 36 for a 1ST down,,
1st and 10 at USC 36,Javorius Allen run for 5 yds to the USC 41,,
2nd and 5 at USC 41,Javorius Allen run for 1 yd to the USC 42,,
3rd and 4 at USC 42,Cody Kessler pass complete to Nelson Agholor for 8 yds to the 50 yard line for a 1ST down,,
1st and 10 at 50,Cody Kessler pass incomplete to Steven Mitchell,,
,Cody Kessler pass incomplete to Steven Mitchell,,
2nd and 10 at 50,"u""Adoree' Jackson"",  run for 5 yds to the UCLA 45",,
,"u""Adoree' Jackson"",  run for 5 yds to the UCLA 45",,
3rd and 5 at UCLA 45,Cody Kessler pass incomplete to Nelson Agholor,,
4th and 5 at UCLA 45,"Cody Kessler punt for 38 yds, downed at the UCLA 7",,
"USC DRIVE TOTALS: 7 plays, 30 yards, 2:19"
UCLA at 12:41,,USC,UCLA
1st and 10 at UCLA 7,Paul Perkins run for 3 yds to the UCLA 10,0,0
2nd and 7 at UCLA 10,"Brett Hundley pass intercepted for a TD Anthony Sarao return for 17 yds for a TD, (Andre Heidari KICK)",7,0
"UCLA DRIVE TOTALS: 2 plays, 3 yards, 0:48"
UCLA at 11:53,,USC,UCLA
,"Alex Wood kickoff for 65 yds , Ishmael Adams return for 18 yds to the UCLA 18",7,0
1st and 10 at UCLA 18,Brett Hundley pass complete to Devin Fuller for 31 yds to the UCLA 49 for a 1ST down,,
1st and 10 at UCLA 49,Paul Perkins run for 9 yds to the USC 42,,
2nd and 1 at USC 42,Brett Hundley sacked by Antwaun Woods for a loss of 3 yards to the USC 45,,
3rd and 4 at USC 45,Paul Perkins run for a loss of 3 yards to the USC 48,,
4th and 7 at USC 48,"Matt Mengel punt for 33 yds , Nelson Agholor returns for a loss of 7 yards to the USC 8 Nelson Agholor fumbled, recovered by UCLA Taylor Lagace",,
"UCLA DRIVE TOTALS: 4 plays, 34 yards, 1:54"
UCLA at 9:59,,USC,UCLA
1st and Goal at USC 8,Myles Jack run for a loss of 4 yards to the USC 12,7,0
2nd and Goal at USC 12,Brett Hundley pass complete to Devin Fuller for 2 yds to the USC 10,,
3rd and Goal at USC 10,"Brett Hundley pass complete to Devin Lucienu"" for 10 yds for a TD, (Ka'imi Fairbairn KICK)""",7,7
"UCLA DRIVE TOTALS: 3 plays, 8 yards, 1:19"
USC at 8:40,,USC,UCLA
,"u""Ka'imi Fairbairn"",  kickoff for 65 yds , u""Adoree' Jackson"",  return for 13 yds to the USC 13",7,7
1st and 10 at USC 13,Cody Kessler pass incomplete,,
2nd and 10 at USC 13,Cody Kessler pass incomplete to JuJu Smith,,
3rd and 10 at USC 13,Cody Kessler pass incomplete to Nelson Agholor,,
4th and 10 at USC 13,"Kris Albarado punt for 44 yds, punt out-of-bounds at the UCLA 43",,
"USC DRIVE TOTALS: 3 plays, 0 yards, 0:29"
UCLA at 8:11,,USC,UCLA
1st and 10 at UCLA 43,"u""Thomas Duarte 57 Yd pass from Brett Hundley (Ka'imi Fairbairn Kick)""",7,14
"UCLA DRIVE TOTALS: 1 play, 57 yards, 0:10"
USC at 8:01,,USC,UCLA
,"u""Ka'imi Fairbairn"",  kickoff for 65 yds for a touchback",7,14
1st and 10 at USC 25,Justin Davis run for 2 yds to the USC 27,,
2nd and 8 at USC 27,Justin Davis run for 7 yds to the USC 34,,
3rd and 1 at USC 34,Justin Davis run for 2 yds to the USC 36 for a 1ST down,,
1st and 10 at USC 36,Cody Kessler pass complete to Justin Davis for 1 yd to the USC 37,,
2nd and 9 at USC 37,"USC Penalty, False Start (-4 Yards) to the USC 33",,
2nd and 13 at USC 33,Cody Kessler pass complete to JuJu Smith for 11 yds to the USC 44,,
3rd and 2 at USC 44,"Soma Vainuk,  run for no gain to the USC 44",,
4th and 2 at USC 44,"Kris Albarado punt for 37 yds, fair catch by Ishmael Adams at the UCLA 19",,
"USC DRIVE TOTALS: 6 plays, 19 yards, 3:27"
UCLA at 4:34,,USC,UCLA
1st and 10 at UCLA 19,Paul Perkins run for a loss of 2 yards to the UCLA 17,7,14
2nd and 12 at UCLA 17,Brett Hundley pass complete to Devin Fuller for 7 yds to the UCLA 24,,
3rd and 5 at UCLA 24,Brett Hundley sacked by Gerald Bowman for a loss of 7 yards to the UCLA 17,,
4th and 12 at UCLA 17,"Matt Mengel punt for 13 yds, punt out-of-bounds at the UCLA 30",,
"UCLA DRIVE TOTALS: 3 plays, -2 yards, 1:28"
USC at 3:06,,USC,UCLA
1st and 10 at UCLA 30,Cody Kessler pass complete to Javorius Allen for 5 yds to the UCLA 25,7,14
2nd and 5 at UCLA 25,Cody Kessler pass incomplete to Nelson Agholor,,
3rd and 5 at UCLA 25,Javorius Allen run for 12 yds to the UCLA 13 for a 1ST down,,
1st and 10 at UCLA 13,Javorius Allen run for 3 yds to the UCLA 10,,
,"Timeout UCLA, clock 01:30",,
2nd and 7 at UCLA 10,Cody Kessler sacked by Deon Hollins for a loss of 3 yards to the UCLA 13,,
3rd and 10 at UCLA 13,Cody Kessler pass complete to Javorius Allen for 8 yds to the UCLA 5,,
4th and 2 at UCLA 5,Javorius Allen run for no gain to the UCLA 5,,
,End of 1st Quarter,,
"USC DRIVE TOTALS: 7 plays, 25 yards, 3:06"
2nd Quarter Play-by-Play
UCLA at 15:00,,USC,UCLA
1st and 10 at UCLA 5,Paul Perkins run for 5 yds to the UCLA 10,7,14
2nd and 5 at UCLA 10,Paul Perkins run for 1 yd to the UCLA 11,,
3rd and 4 at UCLA 11,Brett Hundley pass complete to Nate Iese for 2 yds to the UCLA 13,,
4th and 2 at UCLA 13,"Matt Mengel punt for 33 yds, fair catch by Nelson Agholor at the UCLA 46",,
"UCLA DRIVE TOTALS: 3 plays, 8 yards, 1:27"
USC at 13:33,,USC,UCLA
1st and 10 at UCLA 46,Cody Kessler pass complete to Justin Davis for 16 yds to the UCLA 30 for a 1ST down,7,14
1st and 10 at UCLA 30,Justin Davis run for no gain to the UCLA 30,,
2nd and 10 at UCLA 30,Cody Kessler pass incomplete to George Farmer,,
,"Timeout UCLA, clock 12:32",,
3rd and 10 at UCLA 30,Cody Kessler pass complete to JuJu Smith for 26 yds to the UCLA 4 for a 1ST down,,
1st and Goal at UCLA 4,Justin Davis run for 3 yds to the UCLA 1,,
2nd and Goal at UCLA 1,Cody Kessler run for a loss of 1 yard to the UCLA 2,,
3rd and Goal at UCLA 2,Justin Davis 2 Yd pass from Cody Kessler (Andre Heidari Kick),14,14
"USC DRIVE TOTALS: 7 plays, 46 yards, 2:26"
UCLA at 11:07,,USC,UCLA
,"Alex Wood kickoff for 59 yds , Ishmael Adams return for 18 yds to the UCLA 24",14,14
1st and 10 at UCLA 24,Paul Perkins run for 5 yds to the UCLA 29,,
2nd and 5 at UCLA 29,Brett Hundley pass complete to Devin Fuller for 10 yds to the UCLA 39 for a 1ST down,,
1st and 10 at UCLA 39,Paul Perkins run for 6 yds to the UCLA 45,,
2nd and 4 at UCLA 45,Paul Perkins run for 5 yds to the 50 yard line for a 1ST down,,
1st and 10 at 50,Brett Hundley pass incomplete to Devin Fuller,,
2nd and 10 at 50,Paul Perkins run for 6 yds to the USC 44,,
3rd and 4 at USC 44,Brett Hundley pass complete to Mossi Johnson for 8 yds to the USC 36 for a 1ST down,,
,"Timeout USC, clock 08:41",,
1st and 10 at USC 36,Brett Hundley pass complete to Myles Jack for 8 yds to the USC 28,,
2nd and 2 at USC 28,Myles Jack run for 8 yds to the USC 20 for a 1ST down,,
1st and 10 at USC 20,"UCLA Penalty, Offensive Holding (Conor McDermott) to the USC 30",,
1st and 20 at USC 30,Brett Hundley run for 2 yds to the USC 28,,
2nd and 18 at USC 28,Brett Hundley pass incomplete to Eldridge Massington,,
3rd and 18 at USC 28,Brett Hundley pass complete to Jordan Payton for 14 yds to the USC 14,,
4th and 4 at USC 14,"u""Ka'imi Fairbairn"",  32 yd FG GOOD",14,17
"UCLA DRIVE TOTALS: 13 plays, 62 yards, 5:13"
USC at 5:54,,USC,UCLA
,"u""Ka'imi Fairbairn"",  kickoff for 65 yds for a touchback",14,17
1st and 10 at USC 25,Cody Kessler pass complete to JuJu Smith for 31 yds to the UCLA 44 for a 1ST down,,
1st and 10 at UCLA 44,Cody Kessler pass incomplete to Nelson Agholor,,
2nd and 10 at UCLA 44,Javorius Allen run for 6 yds to the UCLA 38,,
3rd and 4 at UCLA 38,Javorius Allen run for 5 yds to the UCLA 33 for a 1ST down,,
1st and 10 at UCLA 33,Cody Kessler pass intercepted Eric Kendricks return for no gain to the UCLA 32,,
"USC DRIVE TOTALS: 5 plays, 42 yards, 1:46"
UCLA at 4:08,,USC,UCLA
1st and 10 at UCLA 32,Paul Perkins run for 9 yds to the UCLA 41,14,17
2nd and 1 at UCLA 41,Brett Hundley pass complete to Devin Fuller for 13 yds to the USC 46 for a 1ST down,,
1st and 10 at USC 46,Jordon James run for 3 yds to the USC 43,,
2nd and 7 at USC 43,Brett Hundley pass complete to Jordan Payton for 8 yds to the USC 35 for a 1ST down,,
1st and 10 at USC 35,Brett Hundley pass complete to Ahmaad Harris for 9 yds to the USC 26,,
2nd and 1 at USC 26,Brett Hundley run for no gain to the USC 26,,
3rd and 1 at USC 26,Jordon James run for 2 yds to the USC 24 for a 1ST down,,
1st and 10 at USC 24,Brett Hundley pass incomplete to Jordan Payton,,
2nd and 10 at USC 24,Brett Hundley pass complete to Jordan Payton for 9 yds to the USC 15,,
3rd and 1 at USC 15,Brett Hundley run for 2 yds to the USC 13 for a 1ST down,,
1st and 10 at USC 13,"u""Eldridge Massington 13 Yd pass from Brett Hundley (Ka'imi Fairbairn Kick)""",14,24
"UCLA DRIVE TOTALS: 11 plays, 68 yards, 3:54"
USC at 0:14,,USC,UCLA
,"u""Ka'imi Fairbairn"",  kickoff for 65 yds for a touchback",14,24
1st and 10 at USC 25,Javorius Allen run for 6 yds to the USC 31,,
,End of 2nd Quarter,,
"USC DRIVE TOTALS: 1 play, 6 yards, 0:14"
3rd Quarter Play-by-Play
UCLA at 15:00,,USC,UCLA
,"Alex Wood kickoff for 65 yds , Ishmael Adams return for 16 yds to the UCLA 16",14,24
1st and 10 at UCLA 16,Paul Perkins run for 3 yds to the UCLA 19,,
2nd and 7 at UCLA 19,Brett Hundley pass incomplete to Mossi Johnson,,
3rd and 7 at UCLA 19,Brett Hundley pass complete to Devin Lucien for 10 yds to the UCLA 29 for a 1ST down,,
1st and 10 at UCLA 29,Paul Perkins run for 11 yds to the UCLA 40 for a 1ST down,,
1st and 10 at UCLA 40,Brett Hundley pass complete to Thomas Duarte for 38 yds to the USC 22 for a 1ST down,,
1st and 10 at USC 22,Paul Perkins run for 3 yds to the USC 19,,
2nd and 7 at USC 19,Paul Perkins run for a loss of 1 yard to the USC 20,,
3rd and 8 at USC 20,Brett Hundley pass complete to Mossi Johnson for 10 yds to the USC 10 for a 1ST down,,
1st and Goal at USC 10,"u""Paul Perkins 10 Yd Run (Ka'imi Fairbairn Kick)""",14,31
"UCLA DRIVE TOTALS: 9 plays, 84 yards, 3:12"
USC at 11:48,,USC,UCLA
,"u""Ka'imi Fairbairn"",  kickoff for 65 yds , u""Adoree' Jackson"",  return for 20 yds to the USC 20",14,31
1st and 10 at USC 20,Cody Kessler pass incomplete to Nelson Agholor,,
2nd and 10 at USC 20,Cody Kessler pass complete to Javorius Allen for 2 yds to the USC 22,,
3rd and 8 at USC 22,Cody Kessler sacked by Owamagbe Odighizuwa for a loss of 8 yards to the USC 14,,
4th and 16 at USC 14,"Kris Albarado punt for 52 yds, downed at the UCLA 34",,
"USC DRIVE TOTALS: 3 plays, -6 yards, 1:26"
UCLA at 10:22,,USC,UCLA
1st and 10 at UCLA 34,"Brett Hundley pass incomplete to Paul Perkins for a 1ST down USC Penalty, Unsportsmanlike Conduct (Leonard Williams) to the UCLA 49 for a 1ST down",14,31
1st and 10 at UCLA 49,Paul Perkins run for no gain to the UCLA 49,,
2nd and 10 at USC 49,"Brett Hundley pass complete to Mossi Johnson for 21 yds to the USC 30 for a 1ST down USC Penalty, Personal Foul (Gerald Bowman) to the USC 15 for a 1ST down",,
1st and 10 at USC 15,"u""Brett Hundley 15 Yd Run (Ka'imi Fairbairn Kick)""",14,38
"UCLA DRIVE TOTALS: 4 plays, 66 yards, 1:00"
USC at 9:22,,USC,UCLA
,"u""Ka'imi Fairbairn"",  kickoff for 65 yds , u""Adoree' Jackson"",  return for 21 yds to the USC 21",14,38
1st and 10 at USC 21,Javorius Allen run for 4 yds to the USC 25,,
2nd and 6 at USC 25,Cody Kessler pass complete to Javorius Allen for 13 yds to the USC 38 for a 1ST down,,
1st and 10 at USC 38,"USC Penalty, False Start (Viane Talamaivao) to the USC 33",,
1st and 15 at USC 33,Javorius Allen run for 4 yds to the USC 37,,
2nd and 11 at USC 37,Cody Kessler sacked by Takkarist McKinley for a loss of 6 yards to the USC 31,,
3rd and 17 at USC 31,Cody Kessler pass complete to George Farmer for 17 yds to the USC 48 for a 1ST down,,
1st and 10 at USC 48,Cody Kessler pass complete to George Farmer for 4 yds to the UCLA 48,,
2nd and 6 at UCLA 48,Javorius Allen run for 5 yds to the UCLA 43,,
3rd and 1 at UCLA 43,Cody Kessler sacked by Eddie Vanderdoes for a loss of 11 yards to the USC 46,,
4th and 12 at USC 46,"Kris Albarado punt for 42 yds, punt out-of-bounds at the UCLA 12",,
"USC DRIVE TOTALS: 8 plays, 25 yards, 4:23"
UCLA at 4:59,,USC,UCLA
1st and 10 at UCLA 12,Paul Perkins run for 4 yds to the UCLA 16,14,38
2nd and 6 at UCLA 16,Paul Perkins run for 4 yds to the UCLA 20,,
3rd and 2 at UCLA 20,Paul Perkins run for 9 yds to the UCLA 29 for a 1ST down,,
1st and 10 at UCLA 29,Paul Perkins run for 3 yds to the UCLA 32,,
2nd and 7 at UCLA 32,Brett Hundley pass incomplete,,
3rd and 7 at UCLA 32,Brett Hundley pass incomplete,,
4th and 7 at UCLA 32,"Matt Mengel punt for 48 yds for a 1ST down , Nelson Agholor returns for 10 yds to the USC 42 for a 1ST down UCLA Penalty, Personal Foul (Taylor Lagace) to the USC 45 for a 1ST down",,
"UCLA DRIVE TOTALS: 6 plays, 20 yards, 2:09"
USC at 2:50,,USC,UCLA
1st and 10 at USC 45,"USC Penalty, Offensive Holding (Zach Banner) to the USC 35",14,38
1st and 20 at USC 35,Justin Davis run for 2 yds to the USC 37,,
,"Timeout USC, clock 02:00",,
2nd and 18 at USC 37,Cody Kessler pass incomplete to Randall Telfer,,
3rd and 18 at USC 37,Cody Kessler run for 2 yds to the USC 39,,
,"Timeout UCLA, clock 01:13",,
4th and 16 at USC 39,"Kris Albarado punt for 51 yds, downed at the UCLA 10",,
"USC DRIVE TOTALS: 3 plays, -6 yards, 1:39"
UCLA at 1:11,,USC,UCLA
1st and 10 at UCLA 10,Brett Hundley pass incomplete to Jordan Payton,14,38
2nd and 10 at UCLA 10,Jordon James run for no gain to the UCLA 10,,
3rd and 10 at UCLA 10,Jordon James run for 3 yds to the UCLA 13,,
,End of 3rd Quarter,,
4th Quarter Play-by-Play
UCLA at 15:00,,USC,UCLA
4th and 7 at UCLA 13,"Matt Mengel punt for 40 yds , Nelson Agholor returns for a loss of 8 yards to the USC 39",14,38
"UCLA DRIVE TOTALS: 3 plays, 3 yards, 1:26"
USC at 14:45,,USC,UCLA
1st and 10 at USC 39,Cody Kessler pass complete to Javorius Allen for a loss of 2 yards to the USC 37,14,38
2nd and 12 at USC 37,Javorius Allen run for 1 yd to the USC 38,,
3rd and 11 at USC 38,Cody Kessler pass complete to Javorius Allen for 5 yds to the USC 43,,
4th and 6 at USC 43,"Kris Albarado punt for 33 yds, punt out-of-bounds at the UCLA 24",,
"USC DRIVE TOTALS: 3 plays, 4 yards, 2:06"
UCLA at 12:39,,USC,UCLA
1st and 10 at UCLA 24,Nate Starks run for 1 yd to the UCLA 25,14,38
2nd and 9 at UCLA 25,Nate Starks run for 4 yds to the UCLA 29,,
3rd and 5 at UCLA 29,Brett Hundley pass complete to Mossi Johnson for 18 yds to the UCLA 47 for a 1ST down,,
1st and 10 at UCLA 47,Mossi Johnson run for 5 yds to the USC 48,,
2nd and 5 at USC 48,Brett Hundley pass complete to Mossi Johnson for 3 yds to the USC 45,,
3rd and 2 at USC 45,Nate Starks run for 8 yds to the USC 37 for a 1ST down,,
1st and 10 at USC 37,Jordon James run for 5 yds to the USC 32,,
2nd and 5 at USC 32,Nate Starks run for 5 yds to the USC 27 for a 1ST down,,
1st and 10 at USC 27,Brett Hundley pass complete to Nate Starks for 25 yds to the USC 2 for a 1ST down,,
1st and Goal at USC 2,"Brett Hundley run for a loss of 7 yards to the USC 9 Brett Hundley fumbled, recovered by USC Leonard Williams",,
"UCLA DRIVE TOTALS: 10 plays, 67 yards, 3:55"
USC at 8:44,,USC,UCLA
1st and 10 at USC 9,Justin Davis run for 6 yds to the USC 15,14,38
2nd and 4 at USC 15,Justin Davis run for 11 yds to the USC 26 for a 1ST down,,
1st and 10 at USC 26,Cody Kessler pass incomplete to Nelson Agholor,,
2nd and 10 at USC 26,Cody Kessler pass complete to Nelson Agholor for 5 yds to the USC 31,,
3rd and 5 at USC 31,Cody Kessler pass complete to JuJu Smith for 11 yds to the USC 42 for a 1ST down,,
1st and 10 at USC 42,Cody Kessler pass complete to Darreus Rogers for 11 yds to the UCLA 47 for a 1ST down,,
1st and 10 at UCLA 47,Cody Kessler sacked by Ellis McCarthy for a loss of 4 yards to the USC 49,,
2nd and 14 at USC 49,Justin Davis run for 4 yds to the UCLA 47,,
3rd and 10 at UCLA 47,"UCLA Penalty, Defensive Holding (Fabian Moreau) to the UCLA 37 for a 1ST down",,
1st and 10 at UCLA 37,Cody Kessler pass complete to Justin Davis for 6 yds to the UCLA 31,,
2nd and 4 at UCLA 31,Cody Kessler sacked by Owamagbe Odighizuwa for a loss of 9 yards to the UCLA 40,,
3rd and 13 at UCLA 40,Cody Kessler pass complete to Bryce Dixon for 12 yds to the UCLA 28,,
4th and 1 at UCLA 28,"UCLA Penalty, Defensive Pass Interference (Marcus Rios) to the UCLA 14 for a 1ST down",,
1st and 10 at UCLA 14,Cody Kessler pass complete to Javorius Allen for 11 yds to the UCLA 3 for a 1ST down,,
1st and Goal at UCLA 3,Javorius Allen run for 3 yds for a TD,20,38
,"Timeout USC, clock 03:08",,
,Cody Kessler pass incomplete to Bryce Dixon,,
"USC DRIVE TOTALS: 14 plays, 93 yards, 5:36"
UCLA at 3:08,,USC,UCLA
,Andre Heidari on-side kick recovered by UCLA at the USC 43,20,38
1st and 10 at USC 43,"UCLA Penalty, Offensive Holding (Poasi Moala) to the UCLA 47",,
1st and 20 at UCLA 47,Paul Perkins run for 2 yds to the UCLA 49,,
2nd and 18 at UCLA 49,Paul Perkins run for 1 yd to the 50 yard line,,
3rd and 17 at 50,Paul Perkins run for no gain to the 50 yard line,,
,"Timeout UCLA, clock 01:20",,
4th and 17 at 50,"Matt Mengel punt for 31 yds, fair catch by Nelson Agholor at the USC 19",,
"UCLA DRIVE TOTALS: 3 plays, -7 yards, 2:41"
USC at 0:27,,USC,UCLA
1st and 10 at USC 19,Javorius Allen run for 5 yds to the USC 24,20,38
,End of 4th Quarter,,
"USC DRIVE TOTALS: 1 play, 5 yards, 0:27"
