0067040020140830,,67,400
,UMass wins the coin toss - chooses to receive and defend North.,,
1st Quarter Play-by-Play
Massachusetts at 15:00,,BC,MASS
1st and 10 at MASS 20,Blake Frohnapfel pass complete to Brandon Howard for 7 yds to the UMass 27,0,0
2nd and 3 at MASS 27,Blake Frohnapfel pass complete to Rodney Mills for 22 yds to the UMass 49 for a 1ST down,,
1st and 10 at MASS 49,"Blake Frohnapfel pass incomplete to Alex Kenney, broken up by Manuel Asprilla",,
2nd and 10 at MASS 49,Jamal Wilson run for 7 yds to the BC 44,,
3rd and 3 at BC 44,"MASSACHUSETTS Penalty, false start (-5 Yards) to the BC 49",,
3rd and 8 at BC 49,Blake Frohnapfel pass incomplete to Marken Michel,,
4th and 8 at BC 49,Brian McDonald punt for 49 yds for a touchback,,
,"Alex Howell kickoff for 64 yds , Trey Dudley-Giles return for 19 yds to the UMass 20",,
"UMASS DRIVE TOTALS: 5 plays, 31 yards, 1:38"
Boston College at 13:22,,BC,MASS
1st and 10 at BC 20,Myles Willis run for 5 yds to the BC 25,0,0
2nd and 5 at BC 25,Tyler Murphy run for 13 yds to the BC 38 for a 1ST down,,
1st and 10 at BC 38,"BOSTON COLLEGE Penalty, false start (Michael Giacone) to the BC 33",,
1st and 15 at BC 33,Myles Willis run for 10 yds to the BC 43,,
2nd and 5 at BC 43,Tyler Murphy pass complete to Charlie Callinan for 7 yds to the 50 yard line for a 1ST down,,
1st and 10 at 50,Tyler Murphy run for 5 yds to the UMass 45,,
2nd and 5 at MASS 45,Tyler Rouse run for 11 yds to the UMass 34 for a 1ST down,,
1st and 10 at MASS 34,Tyler Murphy pass complete to Dan Crimmins for 1 yd to the UMass 33,,
2nd and 9 at MASS 33,Tyler Murphy pass complete to Charlie Callinan for 7 yds to the UMass 26,,
3rd and 2 at MASS 26,"Myles Willis rush for 6 yards to the UMASS20 (Trey Dudley-Giles), PENALTY BC holding (Tyler Rouse) 10 yards to the UMASS36, NO PLAY.",,
3rd and 12 at MASS 36,Tyler Murphy run for 7 yds to the UMass 29,,
4th and 5 at MASS 29,Tyler Murphy pass incomplete to Charlie Callinan,,
