0671006620140920,,671,66
,Coin Toss:Broncos win the toss. Boise State defers choice.,,
1st Quarter Play-by-Play
Louisiana Lafayette at 15:00,,ULL,BSU
,Dan Goodale kickoff for 65 yds for a touchback,0,0
1st and 10 at ULL 25,"Broadway,T. pass incomplete, PENALTY BSU offside defense (NANCE, Armand) 5 yards to the UL30, NO PLAY.",,
1st and 5 at ULL 30,"UL LAFAYETTE Penalty, false start (Donovan Williams) to the LaLaf 25",,
1st and 10 at ULL 25,Torrey Pierce run for no gain to the LaLaf 25,,
2nd and 10 at ULL 25,Terrance Broadway pass complete to Larry Pettis for 1 yd to the LaLaf 26,,
3rd and 9 at ULL 26,"Terrance Broadway pass incomplete, broken up by Dylan Sumner-Gardner",,
4th and 9 at ULL 26,"Daniel Cadona punt for 44 yds, fair catch by Shane Williams-Rhodes at the BoiSt 30",,
"ULL DRIVE TOTALS: 3 plays, 1 yard, 1:37"
Boise State at 13:23,,ULL,BSU
1st and 10 at BSU 30,Jay Ajayi run for no gain to the BoiSt 30,0,0
2nd and 10 at BSU 30,Grant Hedrick pass complete to Chaz Anderson for 4 yds to the BoiSt 34,,
3rd and 6 at BSU 34,Grant Hedrick pass complete to Shane Williams-Rhodes for 8 yds to the BoiSt 42 for a 1ST down,,
1st and 10 at BSU 42,Jay Ajayi run for 4 yds to the BoiSt 46,,
2nd and 6 at BSU 46,Jay Ajayi run for 2 yds to the BoiSt 48,,
3rd and 4 at BSU 48,Jay Ajayi run for 17 yds to the LaLaf 35 for a 1ST down,,
1st and 10 at ULL 35,Jay Ajayi run for 9 yds to the LaLaf 26,,
2nd and 1 at ULL 26,Grant Hedrick pass complete to Jake Roh for 6 yds to the LaLaf 20 for a 1ST down,,
1st and 10 at ULL 20,Jay Ajayi run for 2 yds to the LaLaf 18,,
2nd and 8 at ULL 18,Grant Hedrick pass complete to Dallas Burroughs for 7 yds to the LaLaf 11,,
3rd and 1 at ULL 11,Jay Ajayi run for 9 yds to the LaLaf 2 for a 1ST down,,
1st and Goal at ULL 2,"Jay Ajayi run for 2 yds for a TD, (Dan Goodale KICK)",0,7
"BSU DRIVE TOTALS: 12 plays, 70 yards, 4:46"
Louisiana Lafayette at 8:37,,ULL,BSU
,Dan Goodale kickoff for 65 yds for a touchback,0,7
1st and 10 at ULL 25,Terrance Broadway pass complete to Elijah McGuire for 33 yds to the BoiSt 42 for a 1ST down,,
1st and 10 at BSU 42,Terrance Broadway pass incomplete,,
2nd and 10 at BSU 42,Elijah McGuire run for 6 yds to the BoiSt 36,,
3rd and 4 at BSU 36,Terrance Broadway pass incomplete to N/A,,
4th and 4 at BSU 36,"Terrance Broadway pass incomplete, broken up by Tyler Gray",,
"ULL DRIVE TOTALS: 5 plays, 39 yards, 1:22"
Boise State at 7:15,,ULL,BSU
1st and 10 at BSU 36,Grant Hedrick pass complete to Matt Miller for 57 yds to the LaLaf 7 for a 1ST down,0,7
1st and Goal at ULL 7,Grant Hedrick run for 5 yds to the LaLaf 2,,
2nd and Goal at ULL 2,"Jay Ajayi run for 2 yds for a TD, (Dan Goodale KICK)",0,14
"BSU DRIVE TOTALS: 3 plays, 64 yards, 0:54"
Louisiana Lafayette at 6:21,,ULL,BSU
,Dan Goodale kickoff for 65 yds for a touchback,0,14
1st and 10 at ULL 25,Elijah McGuire run for 5 yds to the LaLaf 30,,
2nd and 5 at ULL 30,"Terrance Broadway pass incomplete to Jared Johnson, broken up by Beau Martin",,
3rd and 5 at ULL 30,Terrance Broadway pass incomplete to Jared Johnson,,
4th and 5 at ULL 30,"Cadona,Daniel punt 47 yards to the BSU23, fair catch by WILLIAMS-RHODES, PENALTY BSU roughing the kicker (MARTARANO, J.) 15 yards to the UL45, 1ST DOWN UL, NO PLAY. for a 1ST down",,
1st and 10 at ULL 45,"Broadway,T. pass incomplete to Butler,James, PENALTY BSU pass interference (DEAYON, Donte) 15 yards to the BSU40, 1ST DOWN UL, NO PLAY. for a 1ST down",,
1st and 10 at BSU 40,Terrance Broadway pass complete to Elijah McGuire for 23 yds to the BoiSt 17 for a 1ST down,,
1st and 10 at BSU 17,Terrance Broadway pass incomplete to Elijah McGuire,,
2nd and 10 at BSU 17,Terrance Broadway run for a loss of 4 yards to the BoiSt 21,,
3rd and 14 at BSU 21,Terrance Broadway pass complete to Alonzo Harris for no gain to the BoiSt 21,,
4th and 14 at BSU 21,Hunter Stover pass complete to Evan Tatford for 14 yds to the BoiSt 7 for a 1ST down,,
1st and Goal at BSU 7,Alonzo Harris run for 1 yd to the BoiSt 6,,
2nd and Goal at BSU 6,"Terrance Broadway pass incomplete to James Butler, broken up by Donte Deayon",,
3rd and Goal at BSU 6,"UL LAFAYETTE Penalty, false start (Octravian Anderson) to the BoiSt 11",,
3rd and Goal at BSU 11,Terrance Broadway pass complete to Elijah McGuire for 6 yds to the BoiSt 5,,
4th and Goal at BSU 5,Hunter Stover 22 yd FG GOOD,3,14
"ULL DRIVE TOTALS: 12 plays, 70 yards, 4:20"
Boise State at 2:01,,ULL,BSU
,"Hunter Stover kickoff for 65 yds , Dallas Burroughs return for 27 yds to the BoiSt 27",3,14
1st and 10 at BSU 27,Jay Ajayi run for 18 yds to the BoiSt 45 for a 1ST down,,
1st and 10 at BSU 45,"BOISE ST Penalty, false start (Matt Miller) to the BoiSt 40",,
1st and 15 at BSU 40,Grant Hedrick pass complete to Matt Miller for 10 yds to the 50 yard line,,
2nd and 5 at 50,Grant Hedrick pass complete to Shane Williams-Rhodes for a loss of 1 yard to the BoiSt 49,,
3rd and 6 at BSU 49,Grant Hedrick sacked by Christian Ringo for a loss of 10 yards to the BoiSt 39,,
,End of 1st Quarter,,
2nd Quarter Play-by-Play
Boise State at 15:00,,ULL,BSU
4th and 16 at BSU 39,"Sean Wale punt for 40 yds, fair catch by Elijah McGuire at the LaLaf 21",3,14
"BSU DRIVE TOTALS: 4 plays, 12 yards, 2:01"
Louisiana Lafayette at 15:00,,ULL,BSU
1st and 10 at ULL 21,Alonzo Harris run for a loss of 1 yard to the LaLaf 20,3,14
2nd and 11 at ULL 20,"UL LAFAYETTE Penalty, false start (Al Riles) to the LaLaf 15",,
2nd and 16 at ULL 15,"Terrance Broadway pass incomplete to Al Riles, broken up by Tyler Gray",,
3rd and 16 at ULL 15,Terrance Broadway run for 9 yds to the LaLaf 24,,
4th and 7 at ULL 24,"Daniel Cadona punt for 50 yds , Shane Williams-Rhodes returns for 12 yds to the BoiSt 38",,
"ULL DRIVE TOTALS: 3 plays, 3 yards, 1:28"
Boise State at 13:32,,ULL,BSU
,"Timeout UL LAFAYETTE, clock 13:32",3,14
1st and 10 at BSU 38,Grant Hedrick pass complete to Jay Ajayi for 16 yds to the LaLaf 46 for a 1ST down,,
1st and 10 at ULL 46,Jay Ajayi run for no gain to the LaLaf 46,,
2nd and 10 at ULL 46,Grant Hedrick pass complete to Jake Roh for 15 yds to the LaLaf 31 for a 1ST down,,
1st and 10 at ULL 31,Grant Hedrick pass complete to Shane Williams-Rhodes for 15 yds to the LaLaf 16 for a 1ST down,,
1st and 10 at ULL 16,"Jay Ajayi run for 16 yds for a TD, (Dan Goodale KICK)",3,21
"BSU DRIVE TOTALS: 5 plays, 62 yards, 1:28"
Louisiana Lafayette at 12:04,,ULL,BSU
,Dan Goodale kickoff for 65 yds for a touchback,3,21
1st and 10 at ULL 25,Terrance Broadway pass incomplete,,
2nd and 10 at ULL 25,"UL LAFAYETTE Penalty, substitution infraction (-5 Yards) to the LaLaf 20",,
2nd and 15 at ULL 20,Elijah McGuire run for 8 yds to the LaLaf 28,,
3rd and 7 at ULL 28,Terrance Broadway pass complete to Elijah McGuire for 10 yds to the LaLaf 38 for a 1ST down,,
1st and 10 at ULL 38,Alonzo Harris run for no gain to the LaLaf 38,,
2nd and 10 at ULL 38,Alonzo Harris run for 4 yds to the LaLaf 42,,
3rd and 6 at ULL 42,"UL LAFAYETTE Penalty, false start (Mykhael Quave) to the LaLaf 37",,
3rd and 11 at ULL 37,"Terrance Broadway pass incomplete, broken up by Tyler Gray",,
4th and 11 at ULL 37,"Daniel Cadona punt for 41 yds, fair catch by Shane Williams-Rhodes at the BoiSt 22",,
"ULL DRIVE TOTALS: 6 plays, 12 yards, 3:24"
Boise State at 8:40,,ULL,BSU
1st and 10 at BSU 22,Grant Hedrick pass complete to Chaz Anderson for a loss of 2 yards to the BoiSt 20,3,21
2nd and 12 at BSU 20,Jay Ajayi run for 26 yds to the BoiSt 46 for a 1ST down,,
1st and 10 at BSU 46,Grant Hedrick sacked by Dominique Tovell for a loss of 8 yards to the BoiSt 38,,
2nd and 18 at BSU 38,Grant Hedrick pass complete to Matt Miller for 13 yds to the LaLaf 49,,
3rd and 5 at ULL 49,Grant Hedrick pass complete to Matt Miller for 7 yds to the LaLaf 42 for a 1ST down,,
1st and 10 at ULL 42,Grant Hedrick pass complete to Holden Huff for 16 yds to the LaLaf 26 for a 1ST down,,
1st and 10 at ULL 26,Grant Hedrick pass complete to Jay Ajayi for 8 yds to the LaLaf 18,,
2nd and 2 at ULL 18,Jay Ajayi run for 1 yd to the LaLaf 17,,
3rd and 1 at ULL 17,Jay Ajayi run for 2 yds to the LaLaf 15 for a 1ST down,,
1st and 10 at ULL 15,Jay Ajayi run for 4 yds to the LaLaf 11,,
2nd and 6 at ULL 11,TEAM run for a loss of 16 yards to the LaLaf 27,,
3rd and 22 at ULL 27,Grant Hedrick run for no gain to the LaLaf 27,,
4th and 22 at ULL 27,Dan Goodale 44 yd FG MISSED,,
"BSU DRIVE TOTALS: 13 plays, 51 yards, 6:34"
Louisiana Lafayette at 2:06,,ULL,BSU
1st and 10 at ULL 27,Terrance Broadway sacked by Beau Martin and Tanner Vallejo for a loss of 4 yards to the LaLaf 23,3,21
,"Timeout BOISE ST, clock 02:00",,
2nd and 14 at ULL 23,Terrance Broadway pass complete to Elijah McGuire for no gain to the LaLaf 23,,
,"Timeout BOISE ST, clock 01:51",,
3rd and 14 at ULL 23,Elijah McGuire run for 7 yds to the LaLaf 30,,
,"Timeout BOISE ST, clock 01:44",,
4th and 7 at ULL 30,"Daniel Cadona punt for 28 yds, punt out-of-bounds at the BoiSt 42",,
"ULL DRIVE TOTALS: 3 plays, 3 yards, 0:30"
Boise State at 1:36,,ULL,BSU
