0255045720141018,,255,457
,Georgia Tech wins the toss; defers choice to Second Half.,,
1st Quarter Play-by-Play
North Carolina at 15:00,,GT,UNC
,Harrison Butker kickoff for 65 yds for a touchback,0,0
1st and 10 at UNC 25,Marquise Williams pass incomplete,,
2nd and 10 at UNC 25,Marquise Williams pass complete to Ryan Switzer for 8 yds to the NCaro 33,,
3rd and 2 at UNC 33,"Marquise Williams run for 5 yds to the NCaro 38 NORTH CAROLINA Penalty, Offensive holding (Ryan Switzer) to the NCaro 28",,
3rd and 7 at UNC 28,Marquise Williams pass incomplete,,
4th and 7 at UNC 28,"Tommy Hibbard punt for 46 yds , Jamal Golden returns for a loss of 5 yards to the GTech 21",,
"UNC DRIVE TOTALS: 4 plays, 3 yards, 1:05"
Georgia Tech at 13:55,,GT,UNC
1st and 10 at GT 21,Justin Thomas pass complete to Deon Hill for 47 yds to the NCaro 32 for a 1ST down,0,0
1st and 10 at UNC 32,"Justin Thomas run for a loss of 9 yards to the NCaro 41 Justin Thomas fumbled, recovered by NCaro Norkeithus Otis",,
"GT DRIVE TOTALS: 2 plays, 38 yards, 0:40"
North Carolina at 13:15,,GT,UNC
1st and 10 at UNC 41,Romar Morris run for 3 yds to the NCaro 44,0,0
2nd and 7 at UNC 44,Marquise Williams pass complete to Jack Tabb for 10 yds to the GTech 46 for a 1ST down,,
1st and 10 at GT 46,Marquise Williams run for 6 yds to the GTech 40,,
2nd and 4 at GT 40,Marquise Williams pass intercepted Jamal Golden return for 2 yds to the GTech 30,,
"UNC DRIVE TOTALS: 4 plays, 19 yards, 1:15"
Georgia Tech at 12:00,,GT,UNC
1st and 10 at GT 30,Charles Perkins run for 13 yds to the GTech 43 for a 1ST down,0,0
1st and 10 at GT 43,Justin Thomas run for 9 yds to the NCaro 48,,
2nd and 1 at UNC 48,Zach Laskey run for 1 yd to the NCaro 47 for a 1ST down,,
1st and 10 at UNC 47,Zach Laskey run for 2 yds to the NCaro 45,,
2nd and 8 at UNC 45,"Thomas, J. sideline pass complete to Waller, D. for 16 yards to the NC29 (Walker, B), PENALTY GT ineligible downfield on pass (Chamberlain, B.) 5 yards to the 50 yardline, NO PLAY.",,
2nd and 13 at 50,Justin Thomas pass incomplete to Zach Laskey,,
3rd and 13 at 50,Justin Thomas pass complete to Tony Zenon for 25 yds to the NCaro 25 for a 1ST down,,
1st and 10 at UNC 25,Zach Laskey run for 1 yd to the NCaro 24,,
2nd and 9 at UNC 24,Broderick Snoddy run for 7 yds to the NCaro 17,,
3rd and 2 at UNC 17,Justin Thomas run for 2 yds to the NCaro 15 for a 1ST down,,
1st and 10 at UNC 15,Justin Thomas sacked by Junior Gnonkonde for a loss of 2 yards to the NCaro 17,,
2nd and 12 at UNC 17,Charles Perkins run for 14 yds to the NCaro 3 for a 1ST down,,
1st and Goal at UNC 3,"Zach Laskey run for 3 yds for a TD, (Harrison Butker KICK)",7,0
"GT DRIVE TOTALS: 12 plays, 70 yards, 6:13"
North Carolina at 5:42,,GT,UNC
,"Harrison Butker kickoff for 65 yds , T.J. Thorpe return for 24 yds to the NCaro 24",7,0
1st and 10 at UNC 24,T.J. Logan run for 5 yds to the NCaro 29,,
2nd and 5 at UNC 29,T.J. Logan run for 14 yds to the NCaro 43 for a 1ST down,,
1st and 10 at UNC 43,Marquise Williams pass complete to Bug Howard for 8 yds to the GTech 49,,
2nd and 2 at GT 49,Marquise Williams pass complete to Ryan Switzer for 6 yds to the GTech 43 for a 1ST down,,
1st and 10 at GT 43,"NORTH CAROLINA Penalty, false start (-5 Yards) to the GTech 48",,
1st and 15 at GT 48,T.J. Logan run for 13 yds to the GTech 35,,
2nd and 2 at GT 35,Romar Morris run for 1 yd to the GTech 34,,
3rd and 1 at GT 34,Marquise Williams run for no gain to the GTech 34,,
