0503004720141105,,503,47
,"NORTHERN ILLINOIS wins the coin toss, and will receive.",,
1st Quarter Play-by-Play
Northern Illinois at 15:00,,NIU,BALL
,Scott Secor kickoff for 65 yds for a touchback,0,0
1st and 10 at NIU 25,Cameron Stingily run for 3 yds to the NoIll 28,,
2nd and 7 at NIU 28,Drew Hare pass complete to Desroy Maxwell for 11 yds to the NoIll 39 for a 1ST down,,
1st and 10 at NIU 39,Drew Hare pass complete to Aregeros Turner for 15 yds to the BalSt 46 for a 1ST down,,
1st and 10 at BALL 46,Drew Hare run for no gain to the BalSt 46,,
2nd and 10 at BALL 46,Drew Hare pass complete to Chad Beebe for 12 yds to the BalSt 34 for a 1ST down,,
1st and 10 at BALL 34,"Drew Hare pass incomplete to u""Da'Ron Brown""",,
2nd and 10 at BALL 34,"Drew Hare pass complete to u""Da'Ron Brown"",  for 13 yds to the BalSt 21 for a 1ST down",,
1st and 10 at BALL 21,"u""Hare, Drew pass incomplete to Brown, Da'Ron, PENALTY BALLST pass interference (Holder, Tyree) 15 yards to the BALLST6, NO PLAY, 1ST DOWN NORTHERNIL. for a 1ST down""",,
1st and Goal at BALL 6,"Aregeros Turner run for 6 yds for a TD, (Christian Hagan KICK)",7,0
"NIU DRIVE TOTALS: 8 plays, 75 yards, 2:13"
Northern Illinois at 12:47,,NIU,BALL
,"Josh Orne kickoff for 51 yds , Jahwan Edwards return for 4 yds to the BalSt 18 Jahwan Edwards fumbled, recovered by NoIll Jamaal Payton",7,0
1st and 10 at BALL 18,"Drew Hare pass incomplete to u""Da'Ron Brown"", , broken up by Tyree Holder",,
2nd and 10 at BALL 18,Drew Hare pass complete to Chad Beebe for 2 yds to the BalSt 16,,
3rd and 8 at BALL 16,Aregeros Turner run for 7 yds to the BalSt 9,,
4th and 1 at BALL 9,"Cameron Stingily run for 9 yds for a TD, (Christian Hagan KICK)",14,0
"NIU DRIVE TOTALS: 4 plays, 18 yards, 0:57"
Ball State at 11:50,,NIU,BALL
,Josh Orne kickoff for 57 yds out of bounds,14,0
1st and 10 at BALL 35,Jack Milas pass complete to KeVonn Mabon for 12 yds to the BalSt 47 for a 1ST down,,
1st and 10 at BALL 47,Jahwan Edwards run for 1 yd to the BalSt 48,,
2nd and 9 at BALL 48,Jack Milas pass complete to KeVonn Mabon for 6 yds to the NoIll 46,,
3rd and 3 at NIU 46,Jack Milas pass complete to Jordan Williams for 20 yds to the NoIll 26 for a 1ST down,,
1st and 10 at NIU 26,Jahwan Edwards run for 4 yds to the NoIll 22,,
2nd and 6 at NIU 22,Jack Milas pass complete to Jordan Williams for 14 yds to the NoIll 8 for a 1ST down,,
1st and Goal at NIU 8,Jahwan Edwards run for 7 yds to the NoIll 1,,
2nd and Goal at NIU 1,"Jahwan Edwards run for 1 yd for a TD, (Scott Secor KICK)",14,7
"BALL DRIVE TOTALS: 8 plays, 65 yards, 3:10"
Northern Illinois at 8:40,,NIU,BALL
,"Scott Secor kickoff for 59 yds , Aregeros Turner return for 15 yds to the NoIll 21",14,7
1st and 10 at NIU 21,Cameron Stingily run for 4 yds to the NoIll 25,,
2nd and 6 at NIU 25,Drew Hare pass complete to Joel Bouagnon for a loss of 3 yards to the NoIll 22,,
