0465028820140920,,465,288
1st Quarter Play-by-Play
UNLV at 15:00,,UNLV,HOU
,"Ty Cummings kickoff for 53 yds , Marcus Sullivan return for 18 yds to the UNLV 30",0,0
1st and 10 at UNLV 30,Blake Decker pass incomplete to N/A,,
2nd and 10 at UNLV 30,Blake Decker run for 4 yds to the UNLV 34,,
3rd and 6 at UNLV 34,Blake Decker pass complete to Anthony Williams for 8 yds to the UNLV 42 for a 1ST down,,
1st and 10 at UNLV 42,Blake Decker run for 4 yds to the UNLV 46,,
2nd and 6 at UNLV 46,Matt Lea run for 4 yds to the 50 yard line,,
3rd and 2 at 50,Keith Whitely run for 39 yds to the Houst 11 for a 1ST down,,
1st and 10 at HOU 11,Keith Whitely run for 6 yds to the Houst 5,,
2nd and 4 at HOU 5,Keith Whitely run for 2 yds to the Houst 3,,
3rd and 2 at HOU 3,"Keith Whitely run for 3 yds for a TD, (Jonathan Leiva KICK)",7,0
"UNLV DRIVE TOTALS: 9 plays, 70 yards, 3:49"
Houston at 11:01,,UNLV,HOU
,"Nicolai Bornand kickoff for 62 yds , Demarcus Ayers return for 17 yds to the HOUSTON 48 HOUSTON Penalty, face mask (10 yards) (N/A) to the Houst 10",7,0
1st and 10 at HOU 10,"u""John O'Korn"",  pass incomplete to N/A",,
2nd and 10 at HOU 10,Kenneth Farrow run for 28 yds to the Houst 38 for a 1ST down,,
1st and 10 at HOU 38,Kenneth Farrow run for 2 yds to the Houst 40,,
2nd and 8 at HOU 40,"u""John O'Korn"",  pass incomplete to N/A",,
3rd and 8 at HOU 40,"u""John O'Korn"",  pass intercepted Marc Philippi return for 9 yds to the Houst 41",,
"HOU DRIVE TOTALS: 5 plays, 30 yards, 0:53"
UNLV at 10:08,,UNLV,HOU
1st and 10 at HOU 41,Blake Decker run for 9 yds to the Houst 32,7,0
2nd and 1 at HOU 32,Blake Decker pass incomplete to N/A,,
3rd and 1 at HOU 32,Blake Decker pass incomplete to N/A,,
4th and 1 at HOU 32,Nicolai Bornand 50 yd FG MISSED,,
"UNLV DRIVE TOTALS: 4 plays, 9 yards, 0:45"
Houston at 9:23,,UNLV,HOU
1st and 10 at HOU 33,Ryan Jackson run for 33 yds to the UNLV 34 for a 1ST down,7,0
1st and 10 at UNLV 34,Ryan Jackson run for 6 yds to the UNLV 28,,
2nd and 4 at UNLV 28,Ryan Jackson run for no gain to the UNLV 28,,
3rd and 4 at UNLV 28,"u""John O'Korn"",  run for 9 yds to the UNLV 19 for a 1ST down",,
1st and 10 at UNLV 19,"u""John O'Korn"",  pass incomplete to Deontay Greenberry, broken up by Peni Vea",,
2nd and 10 at UNLV 19,Ryan Jackson run for 4 yds to the UNLV 15,,
3rd and 6 at UNLV 15,"u""John O'Korn"",  run for 14 yds to the UNLV 1 for a 1ST down",,
1st and Goal at UNLV 1,"u""John O'Korn"",  run for 1 yd for a TD, (Kyle Bullard KICK)",7,7
"HOU DRIVE TOTALS: 8 plays, 67 yards, 2:50"
UNLV at 6:33,,UNLV,HOU
,Ty Cummings kickoff for 65 yds for a touchback,7,7
1st and 10 at UNLV 25,Shaquille Murray-Lawrence run for 3 yds to the UNLV 28,,
2nd and 7 at UNLV 28,Blake Decker pass incomplete to N/A,,
3rd and 7 at UNLV 28,"Blake Decker pass incomplete, broken up by Joey Mb",,
4th and 7 at UNLV 28,"Logan Yunker punt for 47 yds, punt out-of-bounds at the Houst 25",,
"UNLV DRIVE TOTALS: 3 plays, 3 yards, 0:49"
Houston at 5:44,,UNLV,HOU
1st and 10 at HOU 25,"Kenneth Farrow run for 7 yds to the Houst 32 for a 1ST down UNLV Penalty, personal foul (N/A) to the Houst 47 for a 1ST down",7,7
1st and 10 at HOU 47,"u""John O'Korn"",  pass incomplete to Markeith Ambles",,
2nd and 10 at HOU 47,Greg Ward Jr. pass incomplete to Deontay Greenberry,,
3rd and 10 at HOU 47,"u""John O'Korn"",  pass complete to Greg Ward Jr. for 18 yds to the HOUSTON 35 for a 1ST down UNLV Penalty, Defensive pass interference ( Yards) declined for a 1ST down",,
1st and 10 at UNLV 35,"Daniel Spencer run for 35 yds for a TD, (Kyle Bullard MISSED)",7,13
"HOU DRIVE TOTALS: 5 plays, 75 yards, 0:57"
UNLV at 4:47,,UNLV,HOU
,Ty Cummings kickoff for 65 yds for a touchback,7,13
1st and 10 at UNLV 25,Keith Whitely run for 8 yds to the UNLV 33,,
2nd and 2 at UNLV 33,Keith Whitely run for 1 yd to the UNLV 34,,
3rd and 1 at UNLV 34,Keith Whitely run for 6 yds to the UNLV 40 for a 1ST down,,
1st and 10 at UNLV 40,"DECKER, Blake sideline right pass incomplete to WILLIAMS, Anthony, PENALTY HOU illegal participation (WALKER, Turon) 15 yards to the HOU45, 1ST DOWN LV, NO PLAY. for a 1ST down",,
1st and 10 at HOU 45,Blake Decker pass incomplete to N/A,,
2nd and 10 at HOU 45,"George Naufah,  run for 3 yds to the Houst 42",,
3rd and 7 at HOU 42,Blake Decker pass complete to Devonte Boyd for 6 yds to the Houst 36,,
4th and 1 at HOU 36,"UNLV Penalty, false start (N/A) to the Houst 41",,
4th and 6 at HOU 41,Logan Yunker punt for 41 yds for a touchback,,
"UNLV DRIVE TOTALS: 6 plays, 34 yards, 3:03"
