0077016420140829,,77,164
,"BYU wins the coin toss, and will receive.",,
1st Quarter Play-by-Play
BYU at 15:00,,BYU,CONN
,Bobby Puyol kickoff for 65 yds for a touchback,0,0
1st and 10 at BYU 25,Paul Lasike run for 3 yds to the BYU 28,,
2nd and 7 at BYU 28,"Taysom Hill run for 7 yds to the BYU 35 for a 1ST down BYU Penalty, Personal Foul (Mitch Mathews) to the BYU 20 for a 1ST down",,
1st and 10 at BYU 20,Taysom Hill pass complete to Mitch Mathews for 6 yds to the BYU 26,,
2nd and 4 at BYU 26,"Taysom Hill run for 10 yds to the UConn 36 for a 1ST down CONNECTICUT Penalty, Personal Foul (15 Yards) to the UConn 49 for a 1ST down",,
1st and 10 at CONN 49,Paul Lasike run for 9 yds to the UConn 40,,
2nd and 1 at CONN 40,Paul Lasike run for 2 yds to the UConn 38 for a 1ST down,,
1st and 10 at CONN 38,"Hill, Taysom rush for 8 yards to the UCONN30, PENALTY BYU holding (Stringham, Brock) 10 yards to the UCONN48, NO PLAY.",,
1st and 20 at CONN 48,Adam Hine run for 4 yds to the UConn 44,,
2nd and 16 at CONN 44,Taysom Hill pass complete to Algernon Brown for 10 yds to the UConn 34,,
3rd and 6 at CONN 34,Taysom Hill pass complete to Terenn Houk for 3 yds to the UConn 31,,
4th and 3 at CONN 31,Taysom Hill run for 3 yds to the UConn 28 for a 1ST down,,
1st and 10 at CONN 28,Taysom Hill pass incomplete to Algernon Brown,,
2nd and 10 at CONN 28,Adam Hine run for 2 yds to the UConn 26,,
3rd and 8 at CONN 26,Taysom Hill pass complete to Mitch Mathews for 11 yds to the UConn 15 for a 1ST down,,
1st and 10 at CONN 15,Algernon Brown run for 8 yds to the UConn 7,,
2nd and 2 at CONN 7,"Taysom Hill run for 7 yds for a TD CONNECTICUT Penalty, Defensive Holding (Obi Melifonwu) declined, (Trevor Samson KICK)",7,0
"BYU DRIVE TOTALS: 15 plays, 75 yards, 5:04"
Connecticut at 9:56,,BYU,CONN
,"Trevor Samson kickoff for 53 yds , Deshon Foxx return for 22 yds to the UCONN 43 CONNECTICUT Penalty, Personal Foul (Jazzmar Clax) to the UConn 19",7,0
1st and 10 at CONN 19,"Max DeLorenzo run for 7 yds to the UConn 26 Max DeLorenzo fumbled, forced by Jherremya Leuta-Douyere, recovered by BYU Bronson Kaufusi",,
"CONN DRIVE TOTALS: 1 play, 7 yards, 0:15"
BYU at 9:41,,BYU,CONN
1st and 10 at CONN 26,"Taysom Hill pass complete to Mitch Mathews for 26 yds for a TD, (Trevor Samson KICK)",14,0
"BYU DRIVE TOTALS: 1 play, 26 yards, 0:06"
Connecticut at 9:35,,BYU,CONN
,"Trevor Samson kickoff for 50 yds , Deshon Foxx return for 14 yds to the UConn 44 BYU Penalty, Defensive Offside (-5 Yards) to the UConn 39",14,0
1st and 10 at CONN 39,Casey Cochran pass complete to Kamal Abrams for 9 yds to the UConn 48,,
2nd and 1 at CONN 48,Joshua Marriner run for 2 yds to the 50 yard line for a 1ST down,,
1st and 10 at 50,Joshua Marriner run for 6 yds to the BYU 44,,
