0255074220140920,,255,742
,"VIRGINIA TECH wins the coin toss, and defers. GATECH to receive. VATECH defends.",,
1st Quarter Play-by-Play
Georgia Tech at 15:00,,GT,VT
,"Joey Slye kickoff for 64 yds , Jamal Golden return for 21 yds to the GTech 22",0,0
1st and 10 at GT 22,Justin Thomas run for 14 yds to the GTech 36 for a 1ST down,,
1st and 10 at GT 36,Zach Laskey run for 2 yds to the GTech 38,,
2nd and 8 at GT 38,Justin Thomas run for 29 yds to the VTech 33 for a 1ST down,,
1st and 10 at VT 33,B.J. Bostic run for a loss of 2 yards to the VTech 35,,
2nd and 12 at VT 35,Justin Thomas run for 11 yds to the VTech 24,,
3rd and 1 at VT 24,Tony Zenon run for a loss of 2 yards to the VTech 26,,
,"Timeout GEORGIA TECH, clock 11:01",,
4th and 3 at VT 26,Harrison Butker 43 Yd Field Goal,3,0
"GT DRIVE TOTALS: 7 plays, 52 yards, 4:04"
Virginia Tech at 10:56,,GT,VT
,"Harrison Butker kickoff for 65 yds , Demitri Knowles return for 29 yds to the VTech 29",3,0
1st and 10 at VT 29,Marshawn Williams run for 4 yds to the VTech 33,,
2nd and 6 at VT 33,Marshawn Williams run for no gain to the VTech 33,,
3rd and 6 at VT 33,Michael Brewer pass complete to Sam Rogers for 17 yds to the 50 yard line for a 1ST down,,
1st and 10 at 50,Deon Newsome run for a loss of 6 yards to the VTech 44,,
2nd and 16 at VT 44,Michael Brewer pass complete to Bucky Hodges for 4 yds to the VTech 48,,
3rd and 12 at VT 48,Michael Brewer pass complete to Cam Phillips for 22 yds to the GTech 30 for a 1ST down,,
1st and 10 at GT 30,Trey Edmunds run for 6 yds to the GTech 24,,
2nd and 4 at GT 24,Marshawn Williams run for a loss of 1 yard to the GTech 25,,
3rd and 5 at GT 25,Michael Brewer pass incomplete,,
4th and 5 at GT 25,Joey Slye 42 Yd Field Goal,3,3
"VT DRIVE TOTALS: 10 plays, 46 yards, 4:14"
Georgia Tech at 6:42,,GT,VT
,Joey Slye kickoff for 65 yds for a touchback,3,3
1st and 10 at GT 25,"GEORGIA TECH Penalty, Delay of Game (-5 Yards) to the GTech 20",,
1st and 15 at GT 20,Justin Thomas pass incomplete,,
2nd and 15 at GT 20,Justin Thomas run for 5 yds to the GTech 25,,
3rd and 10 at GT 25,Justin Thomas run for 11 yds to the GTech 36 for a 1ST down,,
1st and 10 at GT 36,"GEORGIA TECH Penalty, Offensive Holding (Chris Griffin) to the GTech 26",,
1st and 20 at GT 26,Justin Thomas pass incomplete,,
2nd and 20 at GT 26,Justin Thomas pass incomplete to DeAndre Smelter,,
3rd and 20 at GT 26,Justin Thomas pass incomplete to Darren Waller,,
