0749023420141004,,749,234
,"WAKE FOREST wins the coin toss, and will receive.",,
1st Quarter Play-by-Play
Wake Forest at 15:00,,WFU,FSU
,"Roberto Aguayo kickoff for 64 yds , Tyler Henderson return for 30 yds to the WFrst 31",0,0
1st and 10 at WAKE 31,Orville Reynolds run for no gain to the WFrst 31,,
2nd and 10 at WAKE 31,Orville Reynolds run for 2 yds to the WFrst 33,,
3rd and 8 at WAKE 33,John Wolford pass complete to E.J. Scott for 8 yds to the WFrst 41 for a 1ST down,,
1st and 10 at WAKE 41,John Wolford pass incomplete to Orville Reynolds,,
2nd and 10 at WAKE 41,E.J. Scott run for a loss of 5 yards to the WFrst 36,,
3rd and 15 at WAKE 36,"Wolford, John pass sacked for loss of 5 yards to the WAKEFOREST31 (Goldman, Eddie), PENALTY FLORIDAST face mask (Goldman, Eddie) 13 yards to the WAKEFOREST49, NO PLAY, 1ST DOWN WAKEFOREST. for a 1ST down",,
1st and 10 at WAKE 49,Isaiah Robinson run for 1 yd to the 50 yard line,,
2nd and 9 at 50,Jared Crump run for 2 yds to the FlaSt 48,,
3rd and 7 at FSU 48,John Wolford pass incomplete to Jared Crump,,
4th and 7 at FSU 48,"Alexander Kinal punt for 39 yds, fair catch by Rashad Greene at the FlaSt 9",,
"WAKE DRIVE TOTALS: 8 plays, 21 yards, 4:26"
Florida State at 10:34,,WFU,FSU
1st and 10 at FSU 9,Karlos Williams run for 22 yds to the FlaSt 31 for a 1ST down,0,0
1st and 10 at FSU 31,Jameis Winston pass complete to Christian Green for 7 yds to the FlaSt 38,,
2nd and 3 at FSU 38,Karlos Williams run for 6 yds to the FlaSt 44 for a 1ST down,,
1st and 10 at FSU 44,Jameis Winston pass incomplete to Christian Green,,
2nd and 10 at FSU 44,Jameis Winston pass incomplete to Rashad Greene,,
3rd and 10 at FSU 44,Jameis Winston pass intercepted Merrill Noel return for 26 yds to the FlaSt 34,,
"FSU DRIVE TOTALS: 6 plays, 35 yards, 1:36"
Wake Forest at 8:58,,WFU,FSU
1st and 10 at FSU 34,Orville Reynolds run for 4 yds to the FlaSt 30,0,0
2nd and 6 at FSU 30,Orville Reynolds run for no gain to the FlaSt 30,,
3rd and 6 at FSU 30,John Wolford pass complete to Cam Serigne for 11 yds to the FlaSt 19 for a 1ST down,,
1st and 10 at FSU 19,John Wolford pass complete to Isaiah Robinson for 5 yds to the FlaSt 14,,
2nd and 5 at FSU 14,Isaiah Robinson run for a loss of 4 yards to the FlaSt 18,,
3rd and 9 at FSU 18,"John Wolford sacked by Mario Edwards Jr. for a loss of 9 yards to the FlaSt 27 John Wolford fumbled, forced by Mario Edwards Jr., recovered by FlaSt Lorenzo Featherston , return for 0 yards",,
"WAKE DRIVE TOTALS: 6 plays, 7 yards, 2:39"
Florida State at 6:19,,WFU,FSU
1st and 10 at FSU 27,Dalvin Cook run for 3 yds to the FlaSt 30,0,0
2nd and 7 at FSU 30,Dalvin Cook run for 5 yds to the FlaSt 35,,
3rd and 2 at FSU 35,Karlos Williams run for 4 yds to the FlaSt 39 for a 1ST down,,
1st and 10 at FSU 39,"Karlos Williams run for 2 yds to the FlaSt 41 Karlos Williams fumbled, forced by Josh Banks, recovered by WFrst Brandon Chubb",,
