0051070320141004,,51,703
,"TEXAS wins the coin toss, and defers. BAYLOR to receive. TEXAS defends.",,
1st Quarter Play-by-Play
Baylor at 15:00,,BU,TEX
,Nick Rose kickoff for 65 yds for a touchback,0,0
1st and 10 at BAY 25,Shock Linwood run for 1 yd to the Bayl 26,,
2nd and 9 at BAY 26,Shock Linwood run for 4 yds to the Bayl 30,,
3rd and 5 at BAY 30,Bryce Petty pass complete to Levi Norwood for 4 yds to the Bayl 34,,
4th and 1 at BAY 34,Shock Linwood run for 1 yd to the Bayl 35 for a 1ST down,,
1st and 10 at BAY 35,Bryce Petty sacked by Steve Edmond for a loss of 2 yards to the Bayl 33,,
2nd and 12 at BAY 33,Shock Linwood run for 5 yds to the Bayl 38,,
3rd and 7 at BAY 38,"BAYLOR Penalty, Offensive Pass Interference (Shock Linwood) to the Bayl 23",,
3rd and 22 at BAY 23,"BAYLOR Penalty, Delay of Game (Bryce Petty) to the Bayl 18",,
3rd and 27 at BAY 18,Bryce Petty pass incomplete to Antwan Goodley,,
4th and 27 at BAY 18,"Spencer Roth punt for 31 yds, fair catch by Jaxon Shipley at the Bayl 49",,
"BAY DRIVE TOTALS: 7 plays, -7 yards, 3:25"
Texas at 11:35,,BU,TEX
1st and 10 at BAY 49,Malcolm Brown run for 6 yds to the Bayl 43,0,0
2nd and 4 at BAY 43,Tyrone Swoopes pass incomplete to Malcolm Brown,,
,"Timeout TEXAS, clock 10:59",,
3rd and 4 at BAY 43,Tyrone Swoopes run for 4 yds to the Bayl 39 for a 1ST down,,
1st and 10 at BAY 39,Daje Johnson run for 5 yds to the Bayl 34,,
2nd and 5 at BAY 34,Malcolm Brown run for a loss of 1 yard to the Bayl 35,,
3rd and 6 at BAY 35,Tyrone Swoopes pass incomplete to Jaxon Shipley,,
4th and 6 at BAY 35,Terrell Burt 62 Yd Return of Blocked Field Goal (Chris Callahan Kick),7,0
"TEX DRIVE TOTALS: 7 plays, 14 yards, 2:33"
Texas at 9:02,,BU,TEX
,"Spencer Evans kickoff for 60 yds , Duke Thomas return for 21 yds to the Texas 26",7,0
1st and 10 at TEX 26,Tyrone Swoopes pass complete to Johnathan Gray for 7 yds to the Texas 33,,
2nd and 3 at TEX 33,Johnathan Gray run for a loss of 3 yards to the Texas 30,,
3rd and 6 at TEX 30,Tyrone Swoopes pass complete to Marcus Johnson for 13 yds to the Texas 43 for a 1ST down,,
1st and 10 at TEX 43,"BAYLOR Penalty, Defensive Holding (Xavien Howard) to the Bayl 47 for a 1ST down",,
1st and 10 at BAY 47,Tyrone Swoopes run for 3 yds to the Bayl 44,,
2nd and 7 at BAY 44,Tyrone Swoopes pass complete to Jaxon Shipley for 5 yds to the Bayl 39,,
3rd and 2 at BAY 39,Johnathan Gray run for 6 yds to the Bayl 33 for a 1ST down,,
1st and 10 at BAY 33,Johnathan Gray run for 4 yds to the Bayl 29,,
2nd and 6 at BAY 29,Tyrone Swoopes pass incomplete to Marcus Johnson,,
3rd and 6 at BAY 29,Tyrone Swoopes run for no gain to the Bayl 29,,
4th and 6 at BAY 29,Tyrone Swoopes pass incomplete to Jaxon Shipley,,
"TEX DRIVE TOTALS: 10 plays, 45 yards, 4:57"
Baylor at 4:05,,BU,TEX
1st and 10 at BAY 29,Shock Linwood run for 12 yds to the Bayl 41 for a 1ST down,7,0
1st and 10 at BAY 41,Bryce Petty pass incomplete to Antwan Goodley,,
2nd and 10 at BAY 41,Shock Linwood run for 2 yds to the Bayl 43,,
3rd and 8 at BAY 43,Bryce Petty pass incomplete to Levi Norwood,,
4th and 8 at BAY 43,"Spencer Roth punt for 41 yds , Jaxon Shipley returns for 6 yds to the Texas 22",,
"BAY DRIVE TOTALS: 4 plays, 14 yards, 1:06"
Texas at 2:59,,BU,TEX
1st and 10 at TEX 22,Tyrone Swoopes pass complete to Jaxon Shipley for 2 yds to the Texas 24,7,0
2nd and 8 at TEX 24,Armanti Foreman run for 11 yds to the Texas 35 for a 1ST down,,
1st and 10 at TEX 35,Malcolm Brown run for 2 yds to the Texas 37,,
2nd and 8 at TEX 37,Tyrone Swoopes pass complete to Malcolm Brown for 4 yds to the Texas 41,,
3rd and 4 at TEX 41,Tyrone Swoopes pass intercepted Orion Stewart return for 1 yd to the Bayl 46,,
"TEX DRIVE TOTALS: 5 plays, 19 yards, 2:29"
Baylor at 0:30,,BU,TEX
1st and 10 at BAY 46,Johnny Jefferson run for 3 yds to the Bayl 49,7,0
2nd and 7 at BAY 49,Bryce Petty pass incomplete to Levi Norwood,,
3rd and 7 at BAY 49,Johnny Jefferson run for 6 yds to the Texas 45,,
,End of 1st Quarter,,
2nd Quarter Play-by-Play
Baylor at 15:00,,BU,TEX
4th and 1 at TEX 45,Johnny Jefferson run for 1 yd to the Texas 44 for a 1ST down,7,0
1st and 10 at TEX 44,Bryce Petty pass incomplete to Antwan Goodley,,
2nd and 10 at TEX 44,Johnny Jefferson run for 4 yds to the Texas 40,,
3rd and 6 at TEX 40,"Petty, Bryce rush for 9 yards to the TEXAS31, PENALTY BAYLOR holding (Baker, Troy) 10 yards to the 50 yardline, NO PLAY.",,
3rd and 16 at 50,Bryce Petty pass complete to Antwan Goodley for 6 yds to the Texas 44,,
4th and 10 at TEX 44,"Spencer Roth punt for 34 yds, fair catch by Jaxon Shipley at the Texas 10",,
"BAY DRIVE TOTALS: 7 plays, 10 yards, 2:39"
Texas at 12:51,,BU,TEX
1st and 10 at TEX 10,Johnathan Gray run for 26 yds to the Texas 36 for a 1ST down,7,0
1st and 10 at TEX 36,Tyrone Swoopes pass incomplete,,
2nd and 10 at TEX 36,Tyrone Swoopes pass incomplete to Marcus Johnson,,
3rd and 10 at TEX 36,Tyrone Swoopes pass incomplete to Johnathan Gray,,
4th and 10 at TEX 36,"William Russ punt for 47 yds, downed at the Bayl 17",,
"TEX DRIVE TOTALS: 4 plays, 26 yards, 0:59"
Baylor at 11:52,,BU,TEX
1st and 10 at BAY 17,Bryce Petty pass complete to Antwan Goodley for 22 yds to the Bayl 39 for a 1ST down,7,0
1st and 10 at BAY 39,Shock Linwood run for 5 yds to the Bayl 44,,
2nd and 5 at BAY 44,Bryce Petty pass incomplete to Corey Coleman,,
3rd and 5 at BAY 44,Shock Linwood run for 6 yds to the 50 yard line for a 1ST down,,
1st and 10 at 50,Bryce Petty pass incomplete to Corey Coleman,,
2nd and 10 at 50,Shock Linwood run for 10 yds to the Texas 40 for a 1ST down,,
1st and 10 at TEX 40,Bryce Petty pass complete to Antwan Goodley for 11 yds to the Texas 29 for a 1ST down,,
1st and 10 at TEX 29,Johnny Jefferson run for 4 yds to the Texas 25,,
2nd and 6 at TEX 25,Johnny Jefferson run for 4 yds to the Texas 21,,
3rd and 2 at TEX 21,Johnny Jefferson run for 11 yds to the Texas 10 for a 1ST down,,
1st and Goal at TEX 10,Bryce Petty run for 5 yds to the Texas 5,,
2nd and Goal at TEX 5,Bryce Petty run for 4 yds to the Texas 1,,
3rd and Goal at TEX 1,Shock Linwood run for no gain to the Texas 1,,
4th and Goal at TEX 1,Bryce Petty run for no gain to the Texas 1,,
"BAY DRIVE TOTALS: 14 plays, 82 yards, 3:40"
Texas at 8:12,,BU,TEX
1st and 10 at TEX 1,Tyrone Swoopes run for 1 yd to the Texas 2,7,0
2nd and 9 at TEX 2,Tyrone Swoopes pass complete to Alex De La Torre for 23 yds to the Texas 25 for a 1ST down,,
1st and 10 at TEX 25,Malcolm Brown run for 6 yds to the Texas 31,,
2nd and 4 at TEX 31,Tyrone Swoopes run for a loss of 6 yards to the Texas 25,,
3rd and 10 at TEX 25,"Swoopes, Tyrone pass incomplete to Joe, Lorenzo, PENALTY BAYLOR holding (Howard, Xavien) 10 yards to the TEXAS35, NO PLAY, 1ST DOWN TEXAS. for a 1ST down",,
1st and 10 at TEX 35,Tyrone Swoopes pass complete to Geoff Swaim for 7 yds to the Texas 42,,
2nd and 3 at TEX 42,"TEXAS Penalty, Offensive Holding (Greg Daniels) to the Texas 32",,
2nd and 13 at TEX 32,Tyrone Swoopes run for 10 yds to the Texas 42,,
3rd and 3 at TEX 42,Tyrone Swoopes pass complete to M.J. McFarland for 5 yds to the Texas 47 for a 1ST down,,
,"Timeout TEXAS, clock 03:13",,
1st and 10 at TEX 47,Tyrone Swoopes pass complete to Jaxon Shipley for 13 yds to the Bayl 40 for a 1ST down,,
1st and 10 at BAY 40,Malcolm Brown run for 5 yds to the Bayl 35,,
2nd and 5 at BAY 35,Malcolm Brown run for 13 yds to the Bayl 22 for a 1ST down,,
1st and 10 at BAY 22,"TEXAS Penalty, Offensive Holding (Sedrick Flowers) to the Bayl 32",,
1st and 20 at BAY 32,"Johnathan Gray run for 8 yds to the Bayl 24 for a 1ST down BAYLOR Penalty, Unsportsmanlike Conduct (Orion Stewart) to the Bayl 12 for a 1ST down",,
1st and 10 at BAY 12,Johnathan Gray run for 5 yds to the Bayl 7,,
2nd and 5 at BAY 7,Tyrone Swoopes run for 6 yds to the Bayl 1 for a 1ST down,,
,"Timeout TEXAS, clock 00:35",,
1st and Goal at BAY 1,"Tyrone Swoopes run for no gain to the Bayl 1 Tyrone Swoopes fumbled, recovered by Bayl Beau Blackshear",,
"TEX DRIVE TOTALS: 14 plays, 98 yards, 7:43"
Baylor at 0:29,,BU,TEX
1st and 10 at BAY 1,Bryce Petty run for 1 yd to the Bayl 2,7,0
,End of 2nd Quarter,,
"BAY DRIVE TOTALS: 1 play, 0 yards, 0:29"
3rd Quarter Play-by-Play
Texas at 15:00,,BU,TEX
,"Spencer Evans kickoff for 65 yds , Duke Thomas return for 32 yds to the Texas 32",7,0
1st and 10 at TEX 32,Malcolm Brown run for 2 yds to the Texas 34,,
2nd and 8 at TEX 34,Tyrone Swoopes pass complete to Malcolm Brown for 6 yds to the Texas 40,,
,"Timeout TEXAS, clock 13:36",,
3rd and 2 at TEX 40,Tyrone Swoopes pass complete to M.J. McFarland for 1 yd to the Texas 41,,
4th and 1 at TEX 41,"William Russ punt for 40 yds, downed at the Bayl 19",,
"TEX DRIVE TOTALS: 3 plays, 9 yards, 2:20"
Baylor at 12:40,,BU,TEX
1st and 10 at BAY 19,Shock Linwood run for 7 yds to the Bayl 26,7,0
2nd and 3 at BAY 26,Shock Linwood run for no gain to the Bayl 26,,
3rd and 3 at BAY 26,"Bryce Petty sacked by Caleb Bluiett for a loss of 6 yards to the Bayl 20 BAYLOR Penalty, Intentional Grounding (Bryce Petty) to the Bayl 20",,
4th and 9 at BAY 20,"Spencer Roth punt for 56 yds , Jaxon Shipley returns for 12 yds to the Texas 36",,
"BAY DRIVE TOTALS: 3 plays, 1 yard, 1:24"
Texas at 11:16,,BU,TEX
1st and 10 at BAY 36,"Tyrone Swoopes pass complete to John Harris for 34 yds to the TEXAS 30 for a 1ST down TEXAS Penalty, Unsportsmanlike Conduct (John Harris) to the Bayl 45 for a 1ST down",7,0
1st and 10 at BAY 45,Tyrone Swoopes run for 1 yd to the Bayl 44,,
2nd and 9 at BAY 44,Tyrone Swoopes pass incomplete to Lorenzo Joe,,
3rd and 9 at BAY 44,"TEXAS Penalty, False Start (Marcus Hutchins) to the Bayl 49",,
3rd and 14 at BAY 49,Tyrone Swoopes sacked by Shawn Oakman for a loss of 7 yards to the Texas 44,,
4th and 21 at TEX 44,"William Russ punt for 39 yds, fair catch by Levi Norwood at the Bayl 17",,
"TEX DRIVE TOTALS: 4 plays, 8 yards, 1:50"
Baylor at 9:26,,BU,TEX
1st and 10 at BAY 17,Shock Linwood run for 3 yds to the Bayl 20,7,0
2nd and 7 at BAY 20,Bryce Petty pass incomplete to Antwan Goodley,,
3rd and 7 at BAY 20,Bryce Petty pass complete to KD Cannon for 8 yds to the Bayl 28 for a 1ST down,,
1st and 10 at BAY 28,Bryce Petty pass incomplete to Antwan Goodley,,
2nd and 10 at BAY 28,Bryce Petty pass incomplete to Antwan Goodley,,
3rd and 10 at BAY 28,Bryce Petty run for 5 yds to the Bayl 33,,
4th and 5 at BAY 33,Spencer Roth run for 19 yds to the Texas 48 for a 1ST down,,
1st and 10 at TEX 48,Shock Linwood run for 10 yds to the Texas 38 for a 1ST down,,
1st and 10 at TEX 38,Shock Linwood run for 8 yds to the Texas 30,,
2nd and 2 at TEX 30,Antwan Goodley 30 Yd pass from Bryce Petty (Chris Callahan Kick),14,0
"BAY DRIVE TOTALS: 10 plays, 83 yards, 2:24"
Texas at 7:02,,BU,TEX
,Spencer Evans kickoff for 65 yds for a touchback,14,0
1st and 10 at TEX 25,Johnathan Gray run for 2 yds to the Texas 27,,
2nd and 8 at TEX 27,Tyrone Swoopes pass incomplete to Geoff Swaim,,
3rd and 8 at TEX 27,Tyrone Swoopes run for 6 yds to the Texas 33,,
4th and 2 at TEX 33,"William Russ punt for 52 yds , Levi Norwood returns for a loss of 4 yards to the Bayl 29 BAYLOR Penalty, Unnecessary Roughness (Byron Bonds) to the Bayl 6",,
"TEX DRIVE TOTALS: 3 plays, 8 yards, 1:38"
Baylor at 5:24,,BU,TEX
1st and 10 at BAY 6,Shock Linwood run for 9 yds to the Bayl 15,14,0
2nd and 1 at BAY 15,Shock Linwood run for 9 yds to the Bayl 24 for a 1ST down,,
1st and 10 at BAY 24,Shock Linwood run for 5 yds to the Bayl 29,,
2nd and 5 at BAY 29,Shock Linwood run for 5 yds to the Bayl 34 for a 1ST down,,
1st and 10 at BAY 34,Bryce Petty pass incomplete to Corey Coleman,,
2nd and 10 at BAY 34,Johnny Jefferson run for 7 yds to the Bayl 41,,
3rd and 3 at BAY 41,Bryce Petty run for 2 yds to the Bayl 43,,
4th and 1 at BAY 43,"Spencer Roth punt for 40 yds, fair catch by Jaxon Shipley at the Texas 17",,
"BAY DRIVE TOTALS: 7 plays, 37 yards, 2:58"
Texas at 2:26,,BU,TEX
