0128028820141002,,128,288
1st Quarter Play-by-Play
Houston at 15:00,,UCF,HOU
,"Sean Galvin kickoff for 63 yds , Demarcus Ayers return for 18 yds to the Houst 20",0,0
1st and 10 at HOU 20,"u""John O'Korn"",  pass complete to Deontay Greenberry for a loss of 1 yard to the Houst 19",,
2nd and 11 at HOU 19,"u""John O'Korn"",  run for 10 yds to the Houst 29 HOUSTON Penalty, Unsportsmanlike Conduct (u""John O'Korn"", ) to the Houst 15",,
3rd and 15 at HOU 15,"u""John O'Korn"",  pass incomplete to Deontay Greenberry",,
4th and 15 at HOU 15,"Logan Piper punt for 47 yds , J.J. Worton returns for no gain to the UCF 38 UCF Penalty, Offensive Holding (10 Yards) to the UCF 28",,
"HOU DRIVE TOTALS: 3 plays, -5 yards, 1:25"
UCF at 13:35,,UCF,HOU
1st and 10 at UCF 28,Justin Holman pass complete to Jordan Akins for 6 yds to the UCF 34,0,0
2nd and 4 at UCF 34,Dontravious Wilson run for 7 yds to the UCF 41 for a 1ST down,,
1st and 10 at UCF 41,Justin Holman pass incomplete to Jordan Akins,,
2nd and 10 at UCF 41,"Jackie Williams run for 8 yds to the UCF 49 Jackie Williams fumbled, recovered by Houst Efrem Oliphant",,
"UCF DRIVE TOTALS: 4 plays, 21 yards, 1:20"
Houston at 12:15,,UCF,HOU
1st and 10 at UCF 49,"u""John O'Korn"",  pass incomplete to Deontay Greenberry",0,0
2nd and 10 at UCF 49,"u""John O'Korn"",  pass complete to Markeith Ambles for 8 yds to the UCF 41",,
3rd and 2 at UCF 41,"u""John O'Korn"",  run for 1 yd to the UCF 40",,
4th and 1 at UCF 40,Ryan Jackson run for 18 yds to the UCF 22 for a 1ST down,,
1st and 10 at UCF 22,"u""John O'Korn"",  pass incomplete",,
2nd and 10 at UCF 22,"u""John O'Korn"",  pass complete to Daniel Spencer for 4 yds to the UCF 18",,
3rd and 6 at UCF 18,"u""John O'Korn"",  sacked by Jaryl Mamea for a loss of 4 yards to the UCF 22",,
4th and 10 at UCF 22,Kyle Bullard 39 Yd Field Goal,0,3
"HOU DRIVE TOTALS: 8 plays, 27 yards, 3:00"
UCF at 9:15,,UCF,HOU
,"Ty Cummings kickoff for 65 yds , Jordan Akins return for 29 yds to the UCF 29",0,3
1st and 10 at UCF 29,Justin Holman pass incomplete to J.J. Worton,,
2nd and 10 at UCF 29,Dontravious Wilson run for 1 yd to the UCF 30,,
3rd and 9 at UCF 30,Justin Holman pass complete to Josh Reese for 17 yds to the UCF 47 for a 1ST down,,
1st and 10 at UCF 47,Dontravious Wilson run for 14 yds to the Houst 39 for a 1ST down,,
1st and 10 at HOU 39,Josh Reese run for no gain to the Houst 39,,
2nd and 10 at HOU 39,Dontravious Wilson run for 4 yds to the Houst 35,,
3rd and 6 at HOU 35,Justin Holman pass incomplete to Josh Reese,,
,"Timeout UCF, clock 06:52",,
4th and 6 at HOU 35,Caleb Houston punt for 35 yds for a touchback,,
"UCF DRIVE TOTALS: 7 plays, 36 yards, 2:30"
Houston at 6:45,,UCF,HOU
1st and 10 at HOU 20,Kenneth Farrow run for 22 yds to the Houst 42 for a 1ST down,0,3
1st and 10 at HOU 42,"u""John O'Korn"",  pass complete to Markeith Ambles for 5 yds to the Houst 47",,
2nd and 5 at HOU 47,Kenneth Farrow run for 1 yd to the Houst 48,,
3rd and 4 at HOU 48,"u""John O'Korn"",  run for 5 yds to the UCF 47 for a 1ST down",,
1st and 10 at UCF 47,"u""John O'Korn"",  pass complete to Greg Ward Jr. for 36 yds to the UCF 11 for a 1ST down",,
1st and 10 at UCF 11,"u""John O'Korn"",  run for a loss of 3 yards to the UCF 14",,
2nd and 13 at UCF 14,"u""John O'Korn"",  pass incomplete to Deontay Greenberry, broken up by Clayton Geathers",,
3rd and 13 at UCF 14,"u""O'Korn, John pass incomplete to Spencer, Daniel, PENALTY UCF pass interference (Griffin, Shaquill) 12 yards to the UCF2, NO PLAY, 1ST DOWN HOUSTON""",,
1st and Goal at UCF 2,Kenneth Farrow run for 1 yd to the UCF 1,,
2nd and Goal at UCF 1,"u""John O'Korn"",  pass incomplete to Kenneth Farrow",,
3rd and Goal at UCF 1,Kenneth Farrow run for no gain to the UCF 1,,
4th and Goal at UCF 1,"u""John O'Korn"",  pass incomplete to Deontay Greenberry",,
"HOU DRIVE TOTALS: 11 plays, 79 yards, 4:35"
UCF at 2:10,,UCF,HOU
1st and 10 at UCF 1,Justin Holman run for 1 yd to the UCF 2,0,3
2nd and 9 at UCF 2,Dontravious Wilson run for 3 yds to the UCF 5,,
3rd and 6 at UCF 5,"UCF Penalty, False Start (Tarik Cook) to the UCF 3",,
3rd and 8 at UCF 3,Justin Holman pass incomplete to Josh Reese,,
4th and 8 at UCF 3,"Caleb Houston punt for 37 yds, downed at the UCF 40",,
"UCF DRIVE TOTALS: 3 plays, 2 yards, 2:01"
Houston at 0:09,,UCF,HOU
1st and 10 at UCF 40,Greg Ward Jr. pass complete to Ryan Jackson for 6 yds to the UCF 34,0,3
,End of 1st Quarter,,
2nd Quarter Play-by-Play
Houston at 15:00,,UCF,HOU
2nd and 4 at UCF 34,"Spencer, Daniel rush for 4 yards to the UCF30, PENALTY HOUSTON holding (Greenberry, Deontay) 10 yards to the UCF44, NO PLAY.",0,3
2nd and 14 at UCF 44,Greg Ward Jr. run for a loss of 3 yards to the UCF 47,,
3rd and 17 at UCF 47,Greg Ward Jr. pass incomplete to Shane Ros,,
4th and 17 at UCF 47,Logan Piper punt for 47 yds for a touchback,,
"HOU DRIVE TOTALS: 3 plays, -7 yards, 1:27"
UCF at 13:42,,UCF,HOU
1st and 10 at UCF 20,William Stanback run for a loss of 1 yard to the UCF 19,0,3
2nd and 11 at UCF 19,Justin Holman run for 10 yds to the UCF 29,,
3rd and 1 at UCF 29,Justin Holman pass incomplete to Jordan Akins,,
