0027003020141115,,27,30
,A-State won the toss and will receive.,,
1st Quarter Play-by-Play
Arkansas State at 15:00,,ASU,ASU
,"Bentlee Critcher kickoff for 65 yds , Daryl Rollins-Davis return for 37 yds to the ArkSt 37",0,0
1st and 10 at ARST 37,Fredi Knighten pass complete to Brandon Cox for 2 yds to the ArkSt 39,,
2nd and 8 at ARST 39,Michael Gordon run for 3 yds to the ArkSt 42,,
3rd and 5 at ARST 42,Fredi Knighten pass incomplete,,
4th and 5 at ARST 42,"Luke Ferguson punt for 33 yds , Doug Middleton returns for no gain to the AppSt 42 APPALACHIAN ST Penalty, illegal formation (5 Yards) to the AppSt 30",,
"ARST DRIVE TOTALS: 3 plays, 5 yards, 1:18"
Appalachian State at 13:42,,ASU,ASU
1st and 10 at APP 30,Taylor Lamb pass incomplete,0,0
2nd and 10 at APP 30,Marcus Cox run for 2 yds to the AppSt 32,,
3rd and 8 at APP 32,Marcus Cox run for 13 yds to the AppSt 45 for a 1ST down,,
1st and 10 at APP 45,Taylor Lamb run for 4 yds to the AppSt 49,,
2nd and 6 at APP 49,Taylor Lamb run for no gain to the AppSt 49,,
3rd and 6 at APP 49,Taylor Lamb pass incomplete,,
4th and 6 at APP 49,Bentlee Critcher punt for 32 yds,,
"APP DRIVE TOTALS: 6 plays, 19 yards, 2:10"
Arkansas State at 11:32,,ASU,ASU
1st and 10 at ARST 19,Michael Gordon run for 9 yds to the ArkSt 28,0,0
2nd and 1 at ARST 28,Michael Gordon run for 31 yds to the AppSt 41 for a 1ST down,,
1st and 10 at APP 41,Fredi Knighten pass incomplete,,
2nd and 10 at APP 41,Johnston White run for 27 yds to the AppSt 14 for a 1ST down,,
1st and 10 at APP 14,Michael Gordon run for 13 yds to the AppSt 1 for a 1ST down,,
1st and Goal at APP 1,Michael Gordon run for no gain to the AppSt 1,,
2nd and Goal at APP 1,Fredi Knighten pass incomplete,,
3rd and Goal at APP 1,Michael Gordon run for no gain to the AppSt 1,,
4th and Goal at APP 1,"Fredi Knighten run for 1 yd for a TD, (Luke Ferguson KICK)",0,7
"ARST DRIVE TOTALS: 9 plays, 81 yards, 3:04"
Appalachian State at 8:28,,ASU,ASU
,"Luke Ferguson kickoff for 62 yds , Doug Middleton return for no gain to the AppSt 3",0,7
1st and 10 at APP 3,Marcus Cox run for no gain to the AppSt 3,,
2nd and 10 at APP 3,Marcus Cox run for 4 yds to the AppSt 7,,
3rd and 6 at APP 7,Marcus Cox run for 3 yds to the AppSt 10,,
4th and 3 at APP 10,"Bentlee Critcher punt for 28 yds , Blaise Taylor returns for 38 yds for a TD, (Luke Ferguson PAT MISSED)",0,13
"APP DRIVE TOTALS: 3 plays, 7 yards, 2:06"
Appalachian State at 6:16,,ASU,ASU
,"Luke Ferguson kickoff for 65 yds , Bobo Beathard return for 16 yds to the ARKST 49 APPALACHIAN ST Penalty, illegal block (8 Yards) to the AppSt 8",0,13
1st and 10 at APP 8,Terrence Upshaw run for a loss of 3 yards to the AppSt 5,,
2nd and 13 at APP 5,Terrence Upshaw run for 2 yds to the AppSt 7,,
3rd and 11 at APP 7,Taylor Lamb pass incomplete,,
4th and 11 at APP 7,"Bentlee Critcher punt for 51 yds , Blaise Taylor returns for 5 yds to the ArkSt 12 ARKANSAS ST Penalty, illegal block (Booker Mays) to the ArkSt 37",,
"APP DRIVE TOTALS: 3 plays, -1 yard, 1:37"
Arkansas State at 4:39,,ASU,ASU
1st and 10 at ARST 37,Michael Gordon run for 3 yds to the ArkSt 40,0,13
2nd and 7 at ARST 40,Fredi Knighten pass complete to Brandon Cox for 6 yds to the ArkSt 46,,
3rd and 1 at ARST 46,Michael Gordon run for no gain to the ArkSt 46,,
