0688006720141129,,688,67
1st Quarter Play-by-Play
Boston College at 15:00,,SYR,BC
,"Cole Murphy kickoff for 60 yds , Myles Willis return for 95 yds for a TD, (Mike Knoll KICK)",0,7
Syracuse at 14:48,,SYR,BC
,"Alex Howell kickoff for 57 yds , Ervin Philips return for 23 yds to the Syrac 31",0,7
1st and 10 at SYR 31,Prince-Tyson Gulley run for 2 yds to the Syrac 33,,
2nd and 8 at SYR 33,Prince-Tyson Gulley run for no gain to the Syrac 33,,
3rd and 8 at SYR 33,AJ Long sacked by Seyi Adebayo for a loss of 7 yards to the Syrac 26,,
4th and 15 at SYR 26,"Riley Dixon punt for 47 yds, fair catch by Sherman Alston at the BC 27",,
"SYR DRIVE TOTALS: 3 plays, -5 yards, 1:51"
Boston College at 12:57,,SYR,BC
1st and 10 at BC 27,Marcus Outlow run for 4 yds to the BC 31,0,7
2nd and 6 at BC 31,"Tyler Murphy pass incomplete to Josh Bordner, broken up by Durell Eskridge",,
3rd and 6 at BC 31,Tyler Murphy pass incomplete,,
4th and 6 at BC 31,"Alex Howell punt for 40 yds, fair catch by Ritchy Desir at the Syrac 29",,
"BC DRIVE TOTALS: 3 plays, 4 yards, 0:53"
Syracuse at 12:04,,SYR,BC
1st and 10 at SYR 29,Ervin Philips run for 1 yd to the Syrac 30,0,7
2nd and 9 at SYR 30,AJ Long pass incomplete,,
3rd and 9 at SYR 30,AJ Long pass incomplete to Darius Kelly,,
4th and 9 at SYR 30,"Riley Dixon punt for 30 yds, downed at the BC 40",,
"SYR DRIVE TOTALS: 3 plays, 1 yard, 0:40"
Boston College at 11:24,,SYR,BC
1st and 10 at BC 40,Jon Hilliman run for a loss of 3 yards to the BC 37,0,7
2nd and 13 at BC 37,Tyler Murphy pass complete to Josh Bordner for 14 yds to the Syrac 49 for a 1ST down,,
1st and 10 at SYR 49,Tyler Murphy run for 5 yds to the Syrac 44,,
2nd and 5 at SYR 44,Myles Willis run for a loss of 1 yard to the Syrac 45,,
3rd and 6 at SYR 45,Tyler Murphy sacked by Zaire Franklin for a loss of 8 yards to the BC 47,,
4th and 14 at BC 47,"Alex Howell punt for 49 yds, downed at the Syrac 4",,
"BC DRIVE TOTALS: 5 plays, 7 yards, 3:06"
Syracuse at 8:18,,SYR,BC
1st and 10 at SYR 4,Prince-Tyson Gulley run for 1 yd to the Syrac 5,0,7
2nd and 9 at SYR 5,Prince-Tyson Gulley run for 29 yds to the Syrac 34 for a 1ST down,,
1st and 10 at SYR 34,AJ Long pass incomplete,,
2nd and 10 at SYR 34,George Morris II run for 2 yds to the Syrac 36,,
3rd and 8 at SYR 36,AJ Long pass incomplete,,
4th and 8 at SYR 36,"Riley Dixon punt for 39 yds, fair catch by Sherman Alston at the BC 25",,
"SYR DRIVE TOTALS: 5 plays, 32 yards, 1:49"
Boston College at 6:29,,SYR,BC
1st and 10 at BC 25,Jon Hilliman run for a loss of 2 yards to the BC 23,0,7
2nd and 12 at BC 23,Marcus Outlow run for a loss of 4 yards to the BC 19,,
3rd and 16 at BC 19,Tyler Murphy sacked by Robert Welsh for a loss of 7 yards to the BC 12,,
4th and 23 at BC 12,"Alex Howell punt for 41 yds , Ritchy Desir returns for 10 yds to the BC 43",,
