0664049720141018,,664,497
,"USM won toss, deferred. NT receives from the South.",,
1st Quarter Play-by-Play
North Texas at 15:00,,USM,UNT
,Corey Acosta kickoff for 65 yds for a touchback,0,0
1st and 10 at UNT 25,Andrew McNulty pass complete to Carlos Harris for 13 yds to the NoTex 38 for a 1ST down,,
1st and 10 at UNT 38,Antoinne Jimmerson run for 12 yds to the 50 yard line for a 1ST down,,
1st and 10 at 50,Andrew McNulty pass complete to Carlos Harris for 6 yds to the SoMis 44,,
2nd and 4 at USM 44,Antoinne Jimmerson run for 3 yds to the SoMis 41,,
3rd and 1 at USM 41,Andrew McNulty pass incomplete to Carlos Harris,,
4th and 1 at USM 41,Blake Macek punt for 41 yds for a touchback,,
"UNT DRIVE TOTALS: 5 plays, 34 yards, 1:25"
Southern Mississippi at 13:35,,USM,UNT
1st and 10 at USM 20,"Nick Mullens pass incomplete to Michael Thomas, broken up by James Jones",0,0
2nd and 10 at USM 20,Nick Mullens pass complete to Jalen Richard for 16 yds to the SoMis 36 for a 1ST down,,
1st and 10 at USM 36,Jalen Richard run for 1 yd to the SoMis 37,,
2nd and 9 at USM 37,Nick Mullens pass complete to Ito Smith for 6 yds to the SoMis 43,,
3rd and 3 at USM 43,"Jalen Richard run for 2 yds to the NoTex 45 for a 1ST down NORTH TEXAS Penalty, face mask (15 yards) (Sir Calvin Wallace) to the NoTex 40 for a 1ST down",,
1st and 10 at UNT 40,"Nick Mullens pass complete to Michael Thomas for 40 yds for a TD, (Corey Acosta KICK)",7,0
"USM DRIVE TOTALS: 6 plays, 80 yards, 1:52"
North Texas at 11:43,,USM,UNT
,Corey Acosta kickoff for 65 yds for a touchback,7,0
1st and 10 at UNT 25,Reggie Pegram run for 2 yds to the NoTex 27,,
2nd and 8 at UNT 27,Andrew McNulty pass complete to Carlos Harris for 5 yds to the NoTex 32,,
3rd and 3 at UNT 32,Andrew McNulty pass incomplete to Darvin Kidsy,,
4th and 3 at UNT 32,"Eric Keena punt for 40 yds , Casey Martin returns for 9 yds to the SoMis 37",,
"UNT DRIVE TOTALS: 3 plays, 7 yards, 0:54"
Southern Mississippi at 10:49,,USM,UNT
1st and 10 at USM 37,Nick Mullens pass complete to Kyle Foster for 12 yds to the SoMis 49 for a 1ST down,7,0
1st and 10 at USM 49,"SOUTHERN MISS Penalty, Offensive holding (Devin Farrior) to the SoMis 39",,
1st and 20 at USM 39,Nick Mullens pass complete to Jalen Richard for 12 yds to the NoTex 49,,
2nd and 8 at UNT 49,"Nick Mullens pass complete to Jalen Richard for 5 yds Jalen Richard fumbled, forced by Derek Akunne,",,
3rd and 3 at UNT 44,Nick Mullens pass complete to Casey Martin for 9 yds to the NoTex 35 for a 1ST down,,
1st and 10 at UNT 35,Nick Mullens pass intercepted Kishawn McClain return for no gain to the NoTex 20,,
"USM DRIVE TOTALS: 5 plays, 28 yards, 1:59"
North Texas at 8:50,,USM,UNT
1st and 10 at UNT 20,Jeffrey Wilson run for 5 yds to the NoTex 25,7,0
2nd and 5 at UNT 25,Jeffrey Wilson run for 6 yds to the NoTex 31 for a 1ST down,,
1st and 10 at UNT 31,Antoinne Jimmerson run for 1 yd to the NoTex 32,,
2nd and 9 at UNT 32,Andrew McNulty pass complete to Carlos Harris for 6 yds to the NoTex 38,,
3rd and 3 at UNT 38,"Andrew McNulty pass incomplete to Carlos Harris, broken up by Kalan Reed",,
4th and 3 at UNT 38,"Eric Keena punt for 41 yds, fair catch by Casey Martin at the SoMis 21",,
"UNT DRIVE TOTALS: 5 plays, 18 yards, 2:14"
Southern Mississippi at 6:36,,USM,UNT
1st and 10 at USM 21,Ito Smith run for 2 yds to the SoMis 23,7,0
,"Timeout SOUTHERN MISS, clock 05:55",,
2nd and 8 at USM 23,"Ito Smith run for 1 yd to the SoMis 24 for a 1ST down NORTH TEXAS Penalty, face mask (15 yards) (Austin Orr) to the SoMis 39 for a 1ST down",,
1st and 10 at USM 39,Nick Mullens run for 11 yds to the 50 yard line for a 1ST down,,
1st and 10 at 50,Nick Mullens pass incomplete,,
2nd and 10 at 50,Nick Mullens run for 14 yds to the NoTex 36 for a 1ST down,,
1st and 10 at UNT 36,Nick Mullens pass incomplete to Jalen Richard,,
2nd and 10 at UNT 36,George Payne run for 7 yds to the NoTex 29,,
3rd and 3 at UNT 29,George Payne run for 3 yds to the NoTex 26 for a 1ST down,,
1st and 10 at UNT 26,Nick Mullens pass complete to George Payne for 1 yd to the NoTex 25,,
2nd and 9 at UNT 25,Nick Mullens pass complete to Michael Thomas for 4 yds to the NoTex 21,,
3rd and 5 at UNT 21,Nick Mullens run for no gain to the NoTex 21,,
4th and 5 at UNT 21,Corey Acosta 38 yd FG GOOD,10,0
"USM DRIVE TOTALS: 12 plays, 58 yards, 5:12"
North Texas at 1:24,,USM,UNT
,Corey Acosta kickoff for 65 yds for a touchback,10,0
1st and 10 at UNT 25,Antoinne Jimmerson run for 10 yds to the NoTex 35 for a 1ST down,,
1st and 10 at UNT 35,Antoinne Jimmerson run for no gain to the NoTex 35,,
2nd and 10 at UNT 35,Andrew McNulty pass complete to Carlos Harris for 45 yds to the SoMis 20 for a 1ST down,,
,End of 1st Quarter,,
2nd Quarter Play-by-Play
North Texas at 15:00,,USM,UNT
1st and 10 at USM 20,Carlos Harris run for 18 yds to the SoMis 2 for a 1ST down,10,0
1st and Goal at USM 2,"Antoinne Jimmerson run for 2 yds for a TD, (Trevor Moore KICK)",10,7
"UNT DRIVE TOTALS: 5 plays, 75 yards, 1:55"
Southern Mississippi at 14:29,,USM,UNT
,"Eric Keena kickoff for 55 yds , Ito Smith return for 18 yds to the SoMis 28",10,7
1st and 10 at USM 28,Nick Mullens pass complete to Jalen Richard for 3 yds to the SoMis 31,,
2nd and 7 at USM 31,Nick Mullens pass complete to Marquise Ricard for 9 yds to the SoMis 40 for a 1ST down,,
1st and 10 at USM 40,Nick Mullens pass complete to Marquise Ricard for 26 yds to the NoTex 34 for a 1ST down,,
1st and 10 at UNT 34,Ito Smith run for 4 yds to the NoTex 30,,
2nd and 6 at UNT 30,"Nick Mullens pass incomplete to Jalen Richard, broken up by Chad Polk",,
3rd and 6 at UNT 30,Nick Mullens pass complete to Casey Martin for 11 yds to the NoTex 19 for a 1ST down,,
1st and 10 at UNT 19,George Payne run for 4 yds to the NoTex 15,,
2nd and 6 at UNT 15,Nick Mullens run for 7 yds to the NoTex 8 for a 1ST down,,
1st and Goal at UNT 8,"Nick Mullens pass intercepted, touchback. Lairamie Lee return for no gain",,
"USM DRIVE TOTALS: 9 plays, 64 yards, 4:06"
North Texas at 10:23,,USM,UNT
1st and 10 at UNT 20,Andrew McNulty pass incomplete,10,7
2nd and 10 at UNT 20,Reggie Pegram run for no gain to the NoTex 20,,
3rd and 10 at UNT 20,Andrew McNulty pass complete to Carlos Harris for 36 yds to the SoMis 44 for a 1ST down,,
1st and 10 at USM 44,Reggie Pegram run for 6 yds to the SoMis 38,,
2nd and 4 at USM 38,"Reggie Pegram run for 2 yds to the SoMis 36 for a 1ST down SOUTHERN MISS Penalty, face mask (15 yards) (Dylan Bradley) to the SoMis 21 for a 1ST down",,
1st and 10 at USM 21,Andrew McNulty pass complete to Jeffrey Wilson for 3 yds to the SoMis 18,,
2nd and 7 at USM 18,"Andrew McNulty pass incomplete to Darvin Kidsy, broken up by Trae Collins",,
3rd and 7 at USM 18,Andrew McNulty pass complete to Carlos Harris for a loss of 1 yard to the SoMis 19,,
4th and 8 at USM 19,Trevor Moore 36 yd FG GOOD,10,10
"UNT DRIVE TOTALS: 9 plays, 61 yards, 4:09"
Southern Mississippi at 6:14,,USM,UNT
,"Eric Keena kickoff for 65 yds , Michael Thomas return for 17 yds to the SoMis 17",10,10
1st and 10 at USM 17,Ito Smith run for 4 yds to the SoMis 21,,
2nd and 6 at USM 21,George Payne run for 4 yds to the SoMis 25,,
3rd and 2 at USM 25,George Payne run for 1 yd to the SoMis 26,,
4th and 1 at USM 26,"Tyler Sarrazin punt for 34 yds, downed at the NoTex 40",,
"USM DRIVE TOTALS: 3 plays, 9 yards, 2:12"
North Texas at 4:02,,USM,UNT
1st and 10 at UNT 40,Antoinne Jimmerson run for 15 yds to the SoMis 45 for a 1ST down,10,10
1st and 10 at USM 45,Andrew McNulty pass complete to Darius Terrell for 19 yds to the SoMis 26 for a 1ST down,,
1st and 10 at USM 26,"Antoinne Jimmerson run for 7 yds to the SoMis 19 for a 1ST down SOUTHERN MISS Penalty, personal foul (Alan Howze) to the SoMis 9 for a 1ST down",,
1st and Goal at USM 9,Antoinne Jimmerson run for no gain to the SoMis 9,,
2nd and Goal at USM 9,Andrew McNulty run for 2 yds to the SoMis 7,,
,"Timeout SOUTHERN MISS, clock 01:50",,
3rd and Goal at USM 7,"Andrew McNulty pass incomplete to Antoinne Jimmerson, broken up by Brian Anderson",,
4th and Goal at USM 7,Trevor Moore 24 yd FG GOOD,10,13
"UNT DRIVE TOTALS: 7 plays, 53 yards, 2:25"
