0646033120140906,,646,331
,Kent State wins the toss and elects to receive,,
1st Quarter Play-by-Play
Kent State at 15:00,,SOAL,KSU
,Aleem Sunanon kickoff for 65 yds for a touchback,0,0
1st and 10 at KENT 25,Colin Reardon pass incomplete to N/A,,
2nd and 10 at KENT 25,Nick Holley run for 3 yds to the KntSt 28,,
3rd and 7 at KENT 28,Colin Reardon run for 6 yds to the KntSt 34,,
4th and 1 at KENT 34,Anthony Melchiori punt for 38 yds,,
"KENT DRIVE TOTALS: 3 plays, 9 yards, 1:23"
South Alabama at 13:37,,SOAL,KSU
1st and 10 at USA 28,Brandon Bridge pass complete to Jereme Jones for a loss of 1 yard to the SAlab 27,0,0
2nd and 11 at USA 27,Brandon Bridge pass incomplete to Jereme Jones,,
3rd and 11 at USA 27,"SOUTH ALABAMA Penalty, false start (Harrison Louden) to the SAlab 22",,
3rd and 16 at USA 22,Jay Jones run for 9 yds to the SAlab 31,,
4th and 7 at USA 31,"Brandon McKee punt for 48 yds , James Brooks returns for 8 yds to the KntSt 29",,
"USA DRIVE TOTALS: 3 plays, 3 yards, 1:24"
Kent State at 12:13,,SOAL,KSU
1st and 10 at KENT 29,Nick Holley run for 2 yds to the KntSt 31,0,0
2nd and 8 at KENT 31,Colin Reardon run for no gain to the KntSt 31,,
3rd and 8 at KENT 31,Colin Reardon pass incomplete to Chris Humphrey,,
4th and 8 at KENT 31,"Anthony Melchiori punt for 42 yds , T.J. Glover returns for a loss of 1 yard to the SAlab 26",,
"KENT DRIVE TOTALS: 3 plays, 2 yards, 1:22"
South Alabama at 10:51,,SOAL,KSU
1st and 10 at USA 26,Jay Jones run for no gain to the SAlab 26,0,0
2nd and 10 at USA 26,Jay Jones run for 3 yds to the SAlab 29,,
3rd and 7 at USA 29,Brandon Bridge pass complete to Danny Woodson for 8 yds to the SAlab 37 for a 1ST down,,
1st and 10 at USA 37,Brandon Bridge run for 7 yds to the SAlab 44,,
2nd and 3 at USA 44,Kendall Houston run for 9 yds to the KntSt 47 for a 1ST down,,
1st and 10 at KENT 47,Kendall Houston run for 2 yds to the KntSt 45,,
2nd and 8 at KENT 45,Brandon Bridge pass incomplete to N/A,,
3rd and 8 at KENT 45,Brandon Bridge pass incomplete to Danny Woodson,,
4th and 8 at KENT 45,"Brandon McKee punt for 40 yds, punt out-of-bounds at the KntSt 5",,
"USA DRIVE TOTALS: 8 plays, 29 yards, 2:47"
Kent State at 8:04,,SOAL,KSU
1st and 10 at KENT 5,Davin Hawkins Safety,2,0
"KENT DRIVE TOTALS: 1 play, -5 yards, 0:06"
South Alabama at 7:52,,SOAL,KSU
,"Anthony Melchiori kickoff for 57 yds , T.J. Glover return for 23 yds to the SAlab 46",2,0
1st and 10 at USA 46,Brandon Bridge run for 5 yds to the KntSt 49,,
2nd and 5 at KENT 49,Xavier Johnson run for a loss of 1 yard to the 50 yard line,,
3rd and 6 at 50,Brandon Bridge run for 8 yds to the KntSt 42 for a 1ST down,,
1st and 10 at KENT 42,Brandon Bridge pass complete to Jereme Jones for 14 yds to the KntSt 28 for a 1ST down,,
1st and 10 at KENT 28,Jay Jones run for 3 yds to the KntSt 25,,
2nd and 7 at KENT 25,Brandon Bridge pass complete to Braedon Bowman for 8 yds to the KntSt 17 for a 1ST down,,
2nd and 11 at KENT 18,Brandon Bridge pass complete to Claude Garrett for 14 yds to the KntSt 4 for a 1ST down,,
1st and Goal at KENT 4,"SOUTH ALABAMA Penalty, false start (-5 Yards) to the KntSt 9",,
1st and Goal at KENT 9,Brandon Bridge run for 1 yd to the KntSt 8,,
1st and 10 at KENT 17,"Bridge, Brandon pass incomplete to Bowman, Braedon (MURRAY, Najee), PENALTY USA ineligible downfield on pass 6 yards to the KENT23, NO PLAY.",,
1st and 16 at KENT 23,Kendall Houston run for 5 yds to the KntSt 18,,
,"Timeout SOUTH ALABAMA, clock 03:27",,
2nd and Goal at KENT 8,"Bridge, Brandon pass intercepted by HOLLEY, Nate at the KENT0, HOLLEY, Nate return to the KENT0, PENALTY KENT pass interference 6 yards to the KENT2, 1ST DOWN USA, NO PLAY. for a 1ST down",,
1st and Goal at KENT 2,Jay Jones run for 1 yd to the KntSt 1,,
,"Timeout KENT ST, clock 02:50",,
2nd and Goal at KENT 1,"Brandon Bridge pass complete to Shavarez Smith for 1 yd for a TD, (Aleem Sunanon KICK)",9,0
"USA DRIVE TOTALS: 11 plays, 54 yards, 5:06"
Kent State at 2:41,,SOAL,KSU
,"Aleem Sunanon kickoff for 65 yds , Ernest Calhoun return for 25 yds to the KntSt 25",9,0
1st and 10 at KENT 25,Miles Hibbler run for 1 yd to the KntSt 26,,
2nd and 9 at KENT 26,Colin Reardon pass incomplete to Miles Hibbler,,
3rd and 9 at KENT 26,Colin Reardon pass complete to Ernest Calhoun for 13 yds to the KntSt 39 for a 1ST down,,
1st and 10 at KENT 39,Miles Hibbler run for 5 yds to the KntSt 44,,
2nd and 5 at KENT 44,"Colin Reardon pass incomplete to Casey Pierce, broken up by Jimmie Gipson",,
3rd and 5 at KENT 44,"Colin Reardon pass incomplete to Casey Pierce, broken up by Davin Hawkins",,
4th and 5 at KENT 44,"Anthony Melchiori punt for 50 yds, downed at the SAlab 6",,
"KENT DRIVE TOTALS: 6 plays, 19 yards, 2:09"
South Alabama at 0:32,,SOAL,KSU
1st and 10 at USA 6,Kendall Houston run for 3 yds to the SAlab 9,9,0
,End of 1st Quarter,,
2nd Quarter Play-by-Play
South Alabama at 15:00,,SOAL,KSU
2nd and 7 at USA 9,"Houston, Kndall rush for 9 yards to the USA18 (MURRAY, Najee), PENALTY USA holding (Scelfo, Joseph) 4 yards to the USA5, NO PLAY.",9,0
