0129055920140906,,129,559
,"PURDUE wins the coin toss, and will receive.",,
1st Quarter Play-by-Play
Purdue at 15:00,,CMU,PU
,Ron Coluzzi kickoff for 65 yds for a touchback,0,0
1st and 10 at PUR 25,Raheem Mostert run for 3 yds to the Prdue 28,,
2nd and 7 at PUR 28,Raheem Mostert run for 3 yds to the Prdue 31,,
3rd and 4 at PUR 31,Danny Etling pass incomplete to DeAngelo Yancey,,
4th and 4 at PUR 31,"Thomas Meadows punt for 45 yds, fair catch by Saylor Lavallii at the CMich 24",,
"PUR DRIVE TOTALS: 3 plays, 6 yards, 1:10"
Central Michigan at 13:50,,CMU,PU
1st and 10 at CMU 24,Cooper Rush pass incomplete to Courtney Williams,0,0
2nd and 10 at CMU 24,Cooper Rush pass complete to Jesse Kroll for 1 yd to the CMich 25,,
3rd and 9 at CMU 25,Cooper Rush pass complete to Deon Butler for 6 yds to the CMich 31,,
4th and 3 at CMU 31,"Ron Coluzzi punt for 53 yds , Frankie Williams returns for 21 yds to the PURDUE 48 PURDUE Penalty, Offensive Holding (10 Yards) to the Prdue 27",,
"CMU DRIVE TOTALS: 3 plays, 7 yards, 1:20"
Purdue at 12:30,,CMU,PU
1st and 10 at PUR 27,Danny Etling pass complete to Raheem Mostert for 3 yds to the Prdue 30,0,0
2nd and 7 at PUR 30,Danny Etling pass complete to Justin Sinz for 17 yds to the Prdue 47 for a 1ST down,,
1st and 10 at PUR 47,Danny Etling sacked by Joe Ostman for a loss of 4 yards to the Prdue 43,,
2nd and 14 at PUR 43,Danny Etling pass incomplete to Danny Anthrop,,
3rd and 14 at PUR 43,Brandon Greer 57 Yd Interception Return (Brian Eavey Kick),7,0
"PUR DRIVE TOTALS: 5 plays, 16 yards, 2:00"
Purdue at 10:30,,CMU,PU
,"Brian Eavey kickoff for 64 yds , Danny Anthrop return for 33 yds to the Prdue 34",7,0
1st and 10 at PUR 34,Danny Etling pass complete to B.J. Knauf for 9 yds to the Prdue 43,,
2nd and 1 at PUR 43,Akeem Hunt run for 1 yd to the Prdue 44 for a 1ST down,,
1st and 10 at PUR 44,Danny Etling pass incomplete,,
2nd and 10 at PUR 44,Akeem Hunt run for 3 yds to the Prdue 47,,
3rd and 7 at PUR 47,Danny Etling pass incomplete,,
,"Timeout CENTRAL MICH, clock 09:05",,
4th and 7 at PUR 47,"Thomas Meadows punt for 29 yds, fair catch by Saylor Lavallii at the CMich 24",,
"PUR DRIVE TOTALS: 5 plays, 13 yards, 1:31"
Central Michigan at 8:59,,CMU,PU
1st and 10 at CMU 24,Cooper Rush pass incomplete to Courtney Williams,7,0
2nd and 10 at CMU 24,Thomas Rawls run for 9 yds to the CMich 33,,
3rd and 1 at CMU 33,Thomas Rawls run for 2 yds to the CMich 35 for a 1ST down,,
1st and 10 at CMU 35,"Cooper Rush pass complete to Anthony Rice for 65 yds for a TD, (Brian Eavey KICK)",14,0
"CMU DRIVE TOTALS: 4 plays, 76 yards, 1:30"
Purdue at 7:29,,CMU,PU
,"Brian Eavey kickoff for 62 yds , Raheem Mostert return for 15 yds to the 50 yard line PURDUE Penalty, Offensive Holding (9 Yards) to the Prdue 9",14,0
1st and 10 at PUR 9,Raheem Mostert run for a loss of 2 yards to the Prdue 7,,
2nd and 12 at PUR 7,Danny Etling pass complete to B.J. Knauf for 5 yds to the Prdue 12,,
3rd and 7 at PUR 12,Danny Etling pass incomplete to Cameron Posey,,
4th and 7 at PUR 12,"Thomas Meadows punt for 34 yds , Saylor Lavallii returns for a loss of 2 yards to the Prdue 48",,
"PUR DRIVE TOTALS: 3 plays, 3 yards, 1:39"
Central Michigan at 5:50,,CMU,PU
1st and 10 at PUR 48,Cooper Rush pass complete to Anthony Rice for 1 yd to the Prdue 47,14,0
2nd and 9 at PUR 47,Cooper Rush run for 6 yds to the Prdue 41,,
3rd and 3 at PUR 41,Jesse Kroll run for 4 yds to the Prdue 37 for a 1ST down,,
1st and 10 at PUR 37,Saylor Lavallii run for 4 yds to the Prdue 33,,
2nd and 6 at PUR 33,Cooper Rush sacked by Ryan Watson for a loss of 6 yards to the Prdue 39,,
3rd and 12 at PUR 39,Cooper Rush pass incomplete,,
4th and 12 at PUR 39,"Matt Mills punt for 16 yds, punt out-of-bounds at the Prdue 23",,
"CMU DRIVE TOTALS: 6 plays, 9 yards, 3:16"
Purdue at 2:34,,CMU,PU
1st and 10 at PUR 23,Raheem Mostert run for 5 yds to the Prdue 28,14,0
2nd and 5 at PUR 28,Danny Etling pass complete to Raheem Mostert for 6 yds to the Prdue 34 for a 1ST down,,
1st and 10 at PUR 34,Danny Etling pass complete to Cameron Posey for 6 yds to the Prdue 40,,
2nd and 4 at PUR 40,Raheem Mostert run for 2 yds to the Prdue 42,,
3rd and 2 at PUR 42,Raheem Mostert run for 4 yds to the Prdue 46 for a 1ST down,,
1st and 10 at PUR 46,Danny Etling run for 1 yd to the Prdue 47,,
,End of 1st Quarter,,
2nd Quarter Play-by-Play
Purdue at 15:00,,CMU,PU
2nd and 9 at PUR 47,Raheem Mostert run for no gain to the Prdue 47,14,0
3rd and 9 at PUR 47,Danny Etling pass complete to Gabe Holmes for 8 yds to the CMich 45,,
4th and 1 at CMU 45,Raheem Mostert run for 5 yds to the CMich 40 for a 1ST down,,
1st and 10 at CMU 40,Raheem Mostert run for 4 yds to the CMich 36,,
2nd and 6 at CMU 36,Akeem Hunt run for 5 yds to the CMich 31,,
3rd and 1 at CMU 31,Danny Etling run for 6 yds to the CMich 25 for a 1ST down,,
1st and 10 at CMU 25,Danny Etling pass complete to Justin Sinz for 7 yds to the CMich 18,,
2nd and 3 at CMU 18,Danny Etling pass incomplete to Cameron Posey,,
3rd and 3 at CMU 18,Raheem Mostert run for 3 yds to the CMich 15 for a 1ST down,,
1st and 10 at CMU 15,Danny Etling pass complete to Raheem Mostert for 11 yds to the CMich 4 for a 1ST down,,
1st and Goal at CMU 4,"Danny Etling run for 4 yds for a TD, (Paul Griggs KICK)",14,7
"PUR DRIVE TOTALS: 17 plays, 77 yards, 7:43"
Central Michigan at 9:51,,CMU,PU
,"Ian MacDougall kickoff for 60 yds , Courtney Williams return for 22 yds to the CMich 27",14,7
1st and 10 at CMU 27,"Rush, Cooper pass incomplete to Rice, Anthony, PENALTY PURDUE personal foul (Williams, Frankie) 15 yards to the CENTMICH42, NO PLAY, 1ST DOWN CENTMICH. for a 1ST down",,
1st and 10 at CMU 42,Devon Spalding run for 13 yds to the Prdue 45 for a 1ST down,,
1st and 10 at PUR 45,Cooper Rush pass complete to Thomas Rawls for 40 yds to the Prdue 5 for a 1ST down,,
1st and Goal at PUR 5,Thomas Rawls run for 3 yds to the Prdue 2,,
2nd and Goal at PUR 2,"Thomas Rawls run for 2 yds for a TD, (Brian Eavey KICK)",21,7
"CMU DRIVE TOTALS: 4 plays, 73 yards, 2:03"
Purdue at 7:48,,CMU,PU
,"Brian Eavey kickoff for 58 yds , Raheem Mostert return for 30 yds to the PURDUE 35 PURDUE Penalty, Offensive Holding (10 Yards) to the Prdue 27",21,7
1st and 10 at PUR 27,Danny Etling pass complete to Akeem Hunt for 9 yds to the Prdue 36,,
2nd and 1 at PUR 36,Raheem Mostert run for no gain to the Prdue 36,,
3rd and 1 at PUR 36,Raheem Mostert run for 3 yds to the Prdue 39 for a 1ST down,,
1st and 10 at PUR 39,Danny Etling run for 6 yds to the Prdue 45,,
2nd and 4 at PUR 45,Danny Etling pass complete to Akeem Hunt for no gain to the Prdue 45,,
3rd and 4 at PUR 45,Danny Etling pass complete to DeAngelo Yancey for 9 yds to the CMich 46 for a 1ST down,,
1st and 10 at CMU 46,Danny Etling pass incomplete to Danny Anthrop,,
2nd and 10 at CMU 46,Raheem Mostert run for 12 yds to the CMich 34 for a 1ST down,,
1st and 10 at CMU 34,Raheem Mostert run for no gain to the CMich 34,,
2nd and 10 at CMU 34,Danny Etling pass complete to Gabe Holmes for 7 yds to the CMich 27,,
3rd and 3 at CMU 27,Danny Etling run for 2 yds to the CMich 25,,
4th and 1 at CMU 25,"PURDUE Penalty, Substitution Infraction (-5 Yards) to the CMich 30",,
4th and 6 at CMU 30,Paul Griggs 47 yd FG MISSED,,
"PUR DRIVE TOTALS: 12 plays, 43 yards, 5:36"
Central Michigan at 2:12,,CMU,PU
1st and 10 at CMU 30,Thomas Rawls run for 1 yd to the CMich 31,21,7
2nd and 9 at CMU 31,Thomas Rawls run for 1 yd to the CMich 32,,
3rd and 8 at CMU 32,Cooper Rush sacked by Ryan Russell for a loss of 5 yards to the CMich 27,,
,"Timeout PURDUE, clock 01:21",,
4th and 13 at CMU 27,"Matt Mills punt for 20 yds, punt out-of-bounds at the CMich 47",,
"CMU DRIVE TOTALS: 3 plays, -3 yards, 0:56"
Purdue at 1:16,,CMU,PU
1st and 10 at CMU 47,"Danny Etling sacked by TEAM for a loss of 3 yards to the CMich 47 Danny Etling fumbled, recovered by Prdue J.J. Prince , return for 0 yards",21,7
2nd and 10 at CMU 47,Danny Etling pass incomplete,,
3rd and 10 at CMU 47,Danny Etling pass incomplete,,
4th and 10 at CMU 47,"Thomas Meadows punt for 40 yds, fair catch by Saylor Lavallii at the CMich 7",,
"PUR DRIVE TOTALS: 3 plays, 0 yards, 0:35"
Central Michigan at 0:41,,CMU,PU
1st and 10 at CMU 7,Thomas Rawls run for 3 yds to the CMich 10,21,7
,End of 2nd Quarter,,
"CMU DRIVE TOTALS: 1 play, 3 yards, 0:41"
3rd Quarter Play-by-Play
Central Michigan at 15:00,,CMU,PU
,Ian MacDougall kickoff for 65 yds for a touchback,21,7
1st and 10 at CMU 25,Devon Spalding run for 1 yd to the CMich 26,,
2nd and 9 at CMU 26,Cooper Rush pass complete to Deon Butler for 2 yds to the CMich 28,,
3rd and 7 at CMU 28,"Cooper Rush sacked by Antoine Lewis for a loss of 3 yards to the CMich 13 Cooper Rush fumbled, recovered by CMich Jesse Kroll , return for 0 yards",,
4th and 22 at CMU 13,"CENTRAL MICH Penalty, False Start (-5 Yards) to the CMich 8",,
4th and 27 at CMU 8,"Matt Mills punt for 42 yds , B.J. Knauf returns for 21 yds to the CMich 29",,
"CMU DRIVE TOTALS: 3 plays, -17 yards, 2:22"
Purdue at 12:38,,CMU,PU
1st and 10 at CMU 29,Raheem Mostert run for 4 yds to the CMich 25,21,7
2nd and 6 at CMU 25,Raheem Mostert run for 3 yds to the CMich 22,,
3rd and 3 at CMU 22,Raheem Mostert run for a loss of 3 yards to the CMich 25,,
4th and 6 at CMU 25,Paul Griggs 42 yd FG GOOD,21,10
"PUR DRIVE TOTALS: 4 plays, 4 yards, 2:00"
Central Michigan at 10:38,,CMU,PU
,Ian MacDougall kickoff for 65 yds for a touchback,21,10
1st and 10 at CMU 25,"Cooper Rush pass complete to Thomas Rawls for 14 yds to the Prdue 39 for a 1ST down PURDUE Penalty, Personal Foul (15 Yards) to the Prdue 46 for a 1ST down",,
1st and 10 at PUR 46,Cooper Rush pass complete to Courtney Williams for 15 yds to the Prdue 31 for a 1ST down,,
1st and 10 at PUR 31,Thomas Rawls run for 5 yds to the Prdue 26,,
2nd and 5 at PUR 26,Thomas Rawls run for 6 yds to the Prdue 20 for a 1ST down,,
1st and 10 at PUR 20,Thomas Rawls run for 12 yds to the Prdue 8 for a 1ST down,,
1st and Goal at PUR 8,Thomas Rawls run for a loss of 3 yards to the Prdue 11,,
2nd and Goal at PUR 11,"Cooper Rush pass complete to Ben McCord for 11 yds for a TD, (Brian Eavey KICK)",28,10
"CMU DRIVE TOTALS: 7 plays, 75 yards, 3:35"
Purdue at 7:03,,CMU,PU
,"Brian Eavey kickoff for 55 yds , Raheem Mostert return for 19 yds to the Prdue 29",28,10
1st and 10 at PUR 29,Danny Etling pass incomplete to Raheem Mostert,,
2nd and 10 at PUR 29,"PURDUE Penalty, False Start (-5 Yards) to the Prdue 24",,
2nd and 15 at PUR 24,Danny Etling pass incomplete to DeAngelo Yancey,,
3rd and 15 at PUR 24,Danny Etling run for 27 yds to the CMich 49 for a 1ST down,,
1st and 10 at CMU 49,Danny Etling pass incomplete,,
