2.53067E+14,,253,670
,"Younghoe Koo kickoff for 57 yds , Terrence Franks return for 17 yds to the TexSt 25",14,3
1st and 10 at TXST 25,Robert Lowe run for 4 yds to the TexSt 29,,
2nd and 6 at TXST 29,Tyler Jones pass complete to Lawrence White for 11 yds to the TexSt 40 for a 1ST down,,
1st and 10 at TXST 40,Robert Lowe run for 4 yds to the TexSt 44,,
2nd and 6 at TXST 44,Randy Price run for 2 yds to the TexSt 46,,
3rd and 4 at TXST 46,Tyler Jones pass incomplete to Terrence Franks,,
4th and 4 at TXST 46,"Will Johnson punt for 52 yds, downed at the GeoSo 2",,
"TXST DRIVE TOTALS: 5 plays, 21 yards, 1:53",,,
Georgia Southern at 5:17,,GSU,TST
1st and 10 at GASO 2,Alfred Ramsby run for 3 yds to the GeoSo 5,14,3
2nd and 7 at GASO 5,Alfred Ramsby run for 1 yd to the GeoSo 6,,
3rd and 6 at GASO 6,Kevin Ellison run for 4 yds to the GeoSo 10,,
4th and 2 at GASO 10,"Ryan Nowicki punt for 42 yds, fair catch by Craig Mager at the TexSt 48",,
"GASO DRIVE TOTALS: 3 plays, 8 yards, 2:09",,,
Texas State at 3:08,,GSU,TST
1st and 10 at TXST 48,Tyler Jones pass incomplete to Bradley Miller,14,3
2nd and 10 at TXST 48,Tyler Jones pass complete to Brandon Smith for 13 yds to the GeoSo 39 for a 1ST down,,
1st and 10 at GASO 39,Tyler Jones pass complete to Bradley Miller for 3 yds to the GeoSo 36,,
2nd and 7 at GASO 36,Tyler Jones pass incomplete,,
3rd and 7 at GASO 36,Tyler Jones pass incomplete,,
,"Timeout TEXAS STATE, clock 01:47",,
4th and 7 at GASO 36,Tyler Jones pass complete to Bradley Miller for 1 yd to the GeoSo 35,,
"TXST DRIVE TOTALS: 6 plays, 17 yards, 1:27",,,
Georgia Southern at 1:41,,GSU,TST
1st and 10 at GASO 35,Kevin Ellison run for a loss of 3 yards to the GeoSo 32,14,3
2nd and 13 at GASO 32,Kevin Ellison pass incomplete to Matt Breida,,
3rd and 13 at GASO 32,Kevin Ellison pass complete to Devin Scott for 8 yds to the GeoSo 40,,
4th and 5 at GASO 40,"Ryan Nowicki punt for 26 yds, downed at the TexSt 34",,
"GASO DRIVE TOTALS: 3 plays, 5 yards, 1:01",,,
Texas State at 0:40,,GSU,TST
1st and 10 at TXST 34,Tyler Jones pass complete to Robert Lowe for no gain to the TexSt 34,14,3
2nd and 10 at TXST 34,Tyler Jones pass complete to Brandon Smith for 17 yds to the GeoSo 49 for a 1ST down,,
1st and 10 at GASO 49,Tyler Jones pass complete to Brandon Smith for 4 yds to the GeoSo 45,,
2nd and 6 at GASO 45,Tyler Jones sacked by Deshawntee Gallon for a loss of 6 yards to the TexSt 49,,
,"Timeout TEXAS STATE, clock 00:03",,
,"Timeout GA SOUTHERN, clock 00:03",,
3rd and 12 at TXST 49,"Jones,Tyler deep out pass complete to Gunter,Brice for 42 yards to the GSU9, out-of-bounds, PENALTY TXST illegal forward pass (Jones,Tyler) 0 yards to the TXST49, NO PLAY.",,
,End of 2nd Quarter,,
"TXST DRIVE TOTALS: 4 plays, 15 yards, 0:40",,,
3rd Quarter Play-by-Play,,,
Georgia Southern at 15:00,,GSU,TST
,Will Johnson kickoff for 65 yds for a touchback,14,3
1st and 10 at GASO 25,Matt Breida run for 1 yd to the GeoSo 26,,
2nd and 9 at GASO 26,Kevin Ellison pass incomplete to Kentrellis Showers,,
3rd and 9 at GASO 26,Kevin Ellison pass incomplete to Kentrellis Showers,,
4th and 9 at GASO 26,"Ryan Nowicki punt for 37 yds, fair catch by Craig Mager at the TexSt 37",,
"GASO DRIVE TOTALS: 3 plays, 1 yard, 0:55",,,
Texas State at 14:05,,GSU,TST
1st and 10 at TXST 37,Robert Lowe run for 4 yds to the TexSt 41,14,3
2nd and 6 at TXST 41,Tyler Jones run for 1 yd to the TexSt 42,,
3rd and 5 at TXST 42,Tyler Jones pass intercepted Antonio Glover return for no gain to the GeoSo 40,,
"TXST DRIVE TOTALS: 3 plays, 5 yards, 1:13",,,
Georgia Southern at 12:52,,GSU,TST
1st and 10 at GASO 40,Kevin Ellison pass complete to BJ Johnson for 5 yds to the GeoSo 45,14,3
2nd and 5 at GASO 45,Kevin Ellison run for 2 yds to the GeoSo 47,,
3rd and 3 at GASO 47,Kevin Ellison pass complete to Kentrellis Showers for 5 yds to the TexSt 48 for a 1ST down,,
1st and 10 at TXST 48,Kevin Ellison pass complete to Alfred Ramsby for 5 yds to the TexSt 43,,
2nd and 5 at TXST 43,"Matt Breida run for 43 yds for a TD, (Alex Hanks KICK)",21,3
"GASO DRIVE TOTALS: 5 plays, 60 yards, 2:48",,,
Texas State at 9:57,,GSU,TST
,"Younghoe Koo kickoff for 60 yds , Brandon Smith return for 22 yds to the TexSt 42",21,3
1st and 10 at TXST 42,Tyler Jones pass incomplete to Terrence Franks,,
