0786074220140830,,786,742
,"WILLIAM AND MARY wins the coin toss, and will receive.",,
1st Quarter Play-by-Play
William & Mary at 15:00,,WM,VT
,"Joey Slye kickoff for 65 yds , Tre McBride return for 23 yds to the WmMry 23",0,0
1st and 10 at W&M 23,Mikal Abdul-Saboor run for 2 yds to the WmMry 25,,
2nd and 8 at W&M 25,Mikal Abdul-Saboor run for 1 yd to the WmMry 26,,
3rd and 7 at W&M 26,"Steve Cluley pass incomplete to Bo Revell WILLIAM & MARY Penalty, Offensive Holding ( Yards) declined",,
4th and 7 at W&M 26,"Hunter Windmuller punt for 58 yds, downed at the VTech 16",,
"W&M DRIVE TOTALS: 3 plays, 3 yards, 1:45"
Virginia Tech at 13:15,,WM,VT
1st and 10 at VT 16,J.C. Coleman run for 4 yds to the VTech 20,0,0
2nd and 6 at VT 20,J.C. Coleman run for 5 yds to the VTech 25,,
3rd and 1 at VT 25,J.C. Coleman run for 1 yd to the VTech 26 for a 1ST down,,
1st and 10 at VT 26,Michael Brewer pass complete to Joshua Stanford for 7 yds to the VTech 33,,
2nd and 3 at VT 33,Michael Brewer pass incomplete to Deon Newsome,,
3rd and 3 at VT 33,"VIRGINIA TECH Penalty, False Start (J.C. Coleman) to the VTech 28",,
3rd and 8 at VT 28,Michael Brewer pass complete to Ryan Malleck for 10 yds to the VTech 38 for a 1ST down,,
1st and 10 at VT 38,Michael Brewer pass complete to Bucky Hodges for 8 yds to the VTech 46,,
2nd and 2 at W&M 46,"Joshua Stanford run for 12 yds to the VATECH 42 for a 1ST down WILLIAM & MARY Penalty, Personal Foul (Spencer Bopp) to the WmMry 27 for a 1ST down",,
1st and 10 at W&M 27,Michael Brewer pass complete to Isaiah Ford for 3 yds to the WmMry 24,,
2nd and 7 at W&M 24,"VIRGINIA TECH Penalty, False Start (David Wang) to the WmMry 29",,
2nd and 12 at W&M 29,Michael Brewer pass incomplete to Willie Byrn,,
3rd and 12 at W&M 29,Michael Brewer run for 16 yds to the WmMry 13 for a 1ST down,,
1st and 10 at W&M 13,J.C. Coleman run for 1 yd to the WmMry 12,,
2nd and 9 at W&M 12,Michael Brewer pass complete to J.C. Coleman for a loss of 1 yard to the WmMry 13,,
3rd and 10 at W&M 13,"Michael Brewer pass complete to Isaiah Ford for 13 yds for a TD, (Joey Slye KICK)",0,7
"VT DRIVE TOTALS: 14 plays, 84 yards, 5:39"
William & Mary at 7:36,,WM,VT
,Mitchell Ludwig kickoff for 65 yds for a touchback,0,7
1st and 10 at W&M 25,Mikal Abdul-Saboor run for 40 yds to the VTech 35 for a 1ST down,,
1st and 10 at VT 35,Steve Cluley pass complete to Tre McBride for 5 yds to the VTech 30,,
2nd and 5 at VT 30,Mikal Abdul-Saboor run for 9 yds to the VTech 21 for a 1ST down,,
1st and 10 at VT 21,Steve Cluley run for a loss of 2 yards to the VTech 23,,
2nd and 12 at VT 23,Steve Cluley pass incomplete to Christian Reeves,,
,"Timeout WILLIAM & MARY, clock 04:55",,
3rd and 12 at VT 23,Steve Cluley pass complete to Christian Reeves for 3 yds to the VTech 20,,
,"Timeout WILLIAM & MARY, clock 04:05",,
4th and 9 at VT 20,John Carpenter 36 yd FG GOOD,3,7
"W&M DRIVE TOTALS: 7 plays, 55 yards, 3:36"
Virginia Tech at 4:00,,WM,VT
,John Carpenter kickoff for 65 yds for a touchback,3,7
