0030029520141101,,30,295
1st Quarter Play-by-Play
Arkansas State at 15:00,,ASU,IDA
,"Austin Rehkow kickoff for 65 yds , Daryl Rollins-Davis return for 19 yds to the ArkSt 19",0,0
1st and 10 at ARST 19,Fredi Knighten run for 11 yds to the ArkSt 30 for a 1ST down,,
1st and 10 at ARST 30,Fredi Knighten run for 11 yds to the ArkSt 41 for a 1ST down,,
1st and 10 at ARST 41,Fredi Knighten pass complete to Michael Gordon for 3 yds to the ArkSt 44,,
2nd and 7 at ARST 44,Fredi Knighten pass incomplete to Brandon Cox,,
3rd and 7 at ARST 44,Fredi Knighten pass complete to Dijon Paschal for 12 yds to the Idaho 44 for a 1ST down,,
1st and 10 at IDHO 44,Fredi Knighten run for a loss of 6 yards to the 50 yard line,,
2nd and 16 at 50,Fredi Knighten pass complete to Daryl Rollins-Davis for 8 yds to the Idaho 42,,
3rd and 8 at IDHO 42,Fredi Knighten pass incomplete to Booker Mays,,
4th and 8 at IDHO 42,Luke Ferguson punt for 42 yds for a touchback,,
"ARST DRIVE TOTALS: 8 plays, 39 yards, 2:35"
Idaho at 12:25,,ASU,IDA
1st and 10 at IDHO 20,Jerrel Brown run for 2 yds to the Idaho 22,0,0
2nd and 8 at IDHO 22,"Matt Linehan sacked by u""Ja'Von Rolland-Jones"",  for a loss of 7 yards to the Idaho 15",,
,"Timeout IDAHO, clock 11:19",,
3rd and 15 at IDHO 15,Matt Linehan pass complete to Joshua McCain for 18 yds to the Idaho 33 for a 1ST down,,
1st and 10 at IDHO 33,Matt Linehan pass intercepted Sterling Young return for a loss of 3 yards to the Idaho 42,,
"IDHO DRIVE TOTALS: 4 plays, 13 yards, 1:48"
Arkansas State at 10:37,,ASU,IDA
1st and 10 at IDHO 42,Fredi Knighten run for a loss of 2 yards to the Idaho 44,0,0
2nd and 12 at IDHO 44,"Michael Gordon run for 44 yds for a TD, (Luke Ferguson KICK)",7,0
"ARST DRIVE TOTALS: 2 plays, 42 yards, 0:22"
Idaho at 10:15,,ASU,IDA
,Luke Ferguson kickoff for 65 yds for a touchback,7,0
1st and 10 at IDHO 25,Matt Linehan pass complete to Richard Montgomery for 6 yds to the Idaho 31,,
2nd and 4 at IDHO 31,Jerrel Brown run for 2 yds to the Idaho 33,,
3rd and 2 at IDHO 33,Jerrel Brown run for no gain to the Idaho 33,,
4th and 2 at IDHO 33,"Austin Rehkow punt for 42 yds , Blaise Taylor returns for 8 yds to the ArkSt 33",,
"IDHO DRIVE TOTALS: 3 plays, 8 yards, 1:44"
Arkansas State at 8:31,,ASU,IDA
1st and 10 at ARST 33,Michael Gordon run for 5 yds to the ArkSt 38,7,0
2nd and 5 at ARST 38,Michael Gordon run for 3 yds to the ArkSt 41,,
3rd and 2 at ARST 41,Fredi Knighten run for 9 yds to the 50 yard line for a 1ST down,,
1st and 10 at 50,Fredi Knighten pass complete to Tyler Trosin for 3 yds to the Idaho 47,,
2nd and 7 at IDHO 47,Michael Gordon run for 4 yds to the Idaho 43,,
3rd and 3 at IDHO 43,Fredi Knighten pass complete to Michael Gordon for 2 yds to the Idaho 41,,
4th and 1 at IDHO 41,Michael Gordon run for a loss of 1 yard to the Idaho 42,,
"ARST DRIVE TOTALS: 7 plays, 25 yards, 3:03"
Idaho at 5:28,,ASU,IDA
1st and 10 at IDHO 42,Matt Linehan pass complete to Deon Watson for 5 yds to the Idaho 47,7,0
2nd and 5 at IDHO 47,Matt Linehan pass incomplete to Richard Montgomery,,
3rd and 5 at IDHO 47,Matt Linehan pass intercepted Artez Brown return for no gain to the ArkSt 14,,
"IDHO DRIVE TOTALS: 3 plays, 5 yards, 1:04"
Arkansas State at 4:24,,ASU,IDA
1st and 10 at ARST 14,"ARKANSAS ST Penalty, False Start (Tres Houston) to the ArkSt 9",7,0
1st and 15 at ARST 9,Fredi Knighten pass complete to Michael Gordon for 1 yd to the ArkSt 10,,
2nd and 14 at ARST 10,Fredi Knighten pass complete to Tres Houston for 9 yds to the ArkSt 19,,
3rd and 5 at ARST 19,Fredi Knighten run for 3 yds to the ArkSt 22,,
4th and 2 at ARST 22,"Luke Ferguson punt for 40 yds, fair catch by David Ungerer at the Idaho 38",,
"ARST DRIVE TOTALS: 3 plays, 8 yards, 1:45"
Idaho at 2:39,,ASU,IDA
1st and 10 at IDHO 38,Jerrel Brown run for 2 yds to the Idaho 40,7,0
2nd and 8 at IDHO 40,Matt Linehan pass incomplete,,
3rd and 8 at IDHO 40,"IDAHO Penalty, Offensive Holding (-10 Yards) to the Idaho 30",,
3rd and 18 at IDHO 30,Matt Linehan run for 1 yd to the Idaho 31,,
4th and 17 at IDHO 31,"Austin Rehkow punt for 69 yds for a touchback IDAHO Penalty, Kick Catching Interference (Jacob Sannon)",,
"IDHO DRIVE TOTALS: 3 plays, -7 yards, 2:02"
Arkansas State at 0:37,,ASU,IDA
1st and 10 at ARST 33,Fredi Knighten run for 5 yds to the ArkSt 38,7,0
2nd and 5 at ARST 38,Fredi Knighten pass incomplete to J.D. McKissic,,
3rd and 5 at ARST 38,Fredi Knighten pass complete to Michael Gordon for a loss of 1 yard to the ArkSt 37,,
,End of 1st Quarter,,
2nd Quarter Play-by-Play
Arkansas State at 15:00,,ASU,IDA
4th and 6 at ARST 37,"Luke Ferguson punt for 49 yds, fair catch by David Ungerer at the Idaho 14",7,0
"ARST DRIVE TOTALS: 3 plays, 4 yards, 0:46"
Idaho at 14:51,,ASU,IDA
