0096065720140830,,96,657
,"SOUTHERN CAL wins the coin toss, and will receive.",,
1st Quarter Play-by-Play
USC at 15:00,,FSU,USC
,"Garrett Swanson kickoff for 64 yds , Nelson Agholor return for 19 yds to the USC 46 USC Penalty, Offensive Holding (10 Yards) to the USC 10",0,0
1st and 10 at USC 10,Cody Kessler pass incomplete,,
2nd and 10 at USC 10,Javorius Allen run for 13 yds to the USC 23 for a 1ST down,,
1st and 10 at USC 23,Javorius Allen run for 3 yds to the USC 26,,
2nd and 7 at USC 26,JuJu Smith run for 1 yd to the USC 27,,
3rd and 6 at USC 27,Cody Kessler pass complete to Darreus Rogers for 9 yds to the USC 36 for a 1ST down,,
1st and 10 at USC 36,Cody Kessler pass complete to George Farmer for 11 yds to the USC 47 for a 1ST down,,
1st and 10 at USC 47,"USC Penalty, False Start (Chad Wheeler) to the USC 42",,
1st and 15 at USC 42,Cody Kessler pass incomplete to Bryce Dixon,,
2nd and 15 at USC 42,Javorius Allen run for 2 yds to the USC 44,,
3rd and 13 at USC 44,Cody Kessler pass complete to Darreus Rogers for 17 yds to the FrsSt 39 for a 1ST down,,
1st and 10 at FRES 39,Cody Kessler pass incomplete to JuJu Smith,,
2nd and 10 at FRES 39,"Cody Kessler pass complete to u""Adoree' Jackson"",  for 9 yds to the FrsSt 30",,
3rd and 1 at FRES 30,Justin Davis run for 4 yds to the FrsSt 26 for a 1ST down,,
1st and 10 at FRES 26,Cody Kessler pass incomplete to Justin Davis,,
2nd and 10 at FRES 26,Justin Davis run for 3 yds to the FrsSt 23,,
3rd and 7 at FRES 23,Cody Kessler pass complete to Darreus Rogers for 18 yds to the FrsSt 5 for a 1ST down,,
1st and Goal at FRES 5,Javorius Allen run for 4 yds to the FrsSt 1,,
2nd and Goal at FRES 1,"Cody Kessler run for 1 yd for a TD, (Andre Heidari KICK)",0,7
"USC DRIVE TOTALS: 17 plays, 90 yards, 6:15"
Fresno State at 8:41,,FSU,USC
