0749049820140828,,749,498
,"WAKE FOREST wins the coin toss, and will receive.",,
1st Quarter Play-by-Play
Wake Forest at 15:00,,WFU,ULM
,"Justin Manton kickoff for 64 yds , Tyler Henderson return for 14 yds to the WFrst 15",0,0
1st and 10 at WAKE 15,"WAKE FOREST Penalty, Delay of Game (-5 Yards) to the WFrst 10",,
1st and 15 at WAKE 10,Orville Reynolds run for no gain to the WFrst 10,,
2nd and 15 at WAKE 10,John Wolford run for 9 yds to the WFrst 19,,
3rd and 6 at WAKE 19,John Wolford run for 2 yds to the WFrst 21,,
4th and 4 at WAKE 21,"Alexander Kinal punt for 50 yds, downed at the LaMon 29",,
"WAKE DRIVE TOTALS: 3 plays, 6 yards, 2:03"
Louisiana Monroe at 12:57,,WFU,ULM
1st and 10 at ULM 29,Centarius Donald run for 6 yds to the LaMon 35,0,0
2nd and 4 at ULM 35,Pete Thomas pass incomplete,,
3rd and 4 at ULM 35,Pete Thomas pass incomplete to Kenzee Jackson,,
4th and 4 at ULM 35,Kevin Johnson 0 Yd Punt Return (Mike Weaver Kick),7,0
"ULM DRIVE TOTALS: 3 plays, 6 yards, 0:47"
Louisiana Monroe at 12:10,,WFU,ULM
,"Adam Centers kickoff for 65 yds , Tyler Cain return for 31 yds to the LaMon 31",7,0
1st and 10 at ULM 31,Pete Thomas pass incomplete,,
2nd and 10 at ULM 31,Centarius Donald run for 9 yds to the LaMon 40,,
3rd and 1 at ULM 40,Centarius Donald run for no gain to the LaMon 40,,
4th and 1 at ULM 40,Centarius Donald run for 1 yd to the LaMon 41 for a 1ST down,,
1st and 10 at ULM 41,Centarius Donald run for 9 yds to the 50 yard line,,
2nd and 1 at 50,Tyler Cain run for no gain to the 50 yard line,,
3rd and 1 at 50,Centarius Donald run for 4 yds to the WFrst 46 for a 1ST down,,
1st and 10 at WAKE 46,Centarius Donald run for 6 yds to the WFrst 40,,
2nd and 4 at WAKE 40,Centarius Donald run for 3 yds to the WFrst 37,,
3rd and 1 at WAKE 37,Centarius Donald run for 5 yds to the WFrst 32 for a 1ST down,,
1st and 10 at WAKE 32,Tyler Cain run for 1 yd to the WFrst 31,,
2nd and 9 at WAKE 31,Pete Thomas pass complete to Tony Cook for 2 yds to the WFrst 29,,
3rd and 7 at WAKE 29,"UL MONROE Penalty, Illegal Formation (-5 Yards) to the WFrst 34",,
3rd and 12 at WAKE 34,Pete Thomas pass incomplete,,
4th and 12 at WAKE 34,Pete Thomas pass incomplete to Kenzee Jackson,,
"ULM DRIVE TOTALS: 14 plays, 35 yards, 5:21"
Wake Forest at 6:49,,WFU,ULM
1st and 10 at WAKE 34,John Wolford pass complete to Jared Crump for 4 yds to the WFrst 38,7,0
2nd and 6 at WAKE 38,Orville Reynolds run for no gain to the WFrst 38,,
3rd and 6 at WAKE 38,John Wolford pass complete to Cam Serigne for 2 yds to the WFrst 40,,
4th and 4 at WAKE 40,"Alexander Kinal punt for 41 yds, downed at the LaMon 19",,
"WAKE DRIVE TOTALS: 3 plays, 6 yards, 1:48"
Louisiana Monroe at 5:01,,WFU,ULM
1st and 10 at ULM 19,Tyler Cain run for 2 yds to the LaMon 21,7,0
