0428069820140913,,428,698
,TCU wins toss and defers; TCU will defend North Endzone.,,
1st Quarter Play-by-Play
Minnesota at 15:00,,MINN,TCU
,Jaden Oberkrom kickoff for 65 yds for a touchback,0,0
1st and 10 at MINN 25,David Cobb run for 1 yd to the Minn 26,,
2nd and 9 at MINN 26,Mitch Leidner pass incomplete to N/A,,
3rd and 9 at MINN 26,Mitch Leidner sacked by Davion Pierson and Josh Carraway for a loss of 11 yards to the Minn 15,,
4th and 20 at MINN 15,"Peter Mortell punt for 49 yds , Cameron Echols-Luper returns for 46 yds to the Minn 18",,
"MINN DRIVE TOTALS: 3 plays, -10 yards, 1:41"
TCU at 13:19,,MINN,TCU
2nd and 10 at MINN 18,"Boykin, Trevone pass complete to Slanina, Ty for 7 yards to the MINN11 (Thompson,Cedric;Myrick, Jalen), PENALTY MINN offside (Botticelli, Cam) 5 yards to the MINN13, NO PLAY.",0,0
2nd and 5 at MINN 13,Trevone Boykin pass incomplete to N/A,,
1st and 10 at MINN 18,Trevone Boykin run for no gain to the Minn 18,,
3rd and 5 at MINN 13,"Trevone Boykin pass complete to Josh Doctson for 13 yds for a TD, (Jaden Oberkrom KICK)",0,7
"TCU DRIVE TOTALS: 3 plays, 18 yards, 0:35"
Minnesota at 12:38,,MINN,TCU
,"Jaden Oberkrom kickoff for 62 yds , Marcus Jones return for 18 yds to the Minn 21",0,7
1st and 10 at MINN 21,Mitch Leidner pass complete to Maxx Williams for 7 yds to the Minn 28,,
2nd and 3 at MINN 28,Mitch Leidner run for 2 yds to the Minn 30,,
3rd and 1 at MINN 30,David Cobb run for no gain to the Minn 30,,
4th and 1 at MINN 30,"Peter Mortell punt for 41 yds , Cameron Echols-Luper returns for a loss of 3 yards to the TCU 26",,
"MINN DRIVE TOTALS: 3 plays, 9 yards, 1:50"
TCU at 10:48,,MINN,TCU
1st and 10 at TCU 26,"Boykin, Trevone pass incomplete to Listenbee, K., PENALTY MINN pass interference (Murray, Eric) 15 yards to the TCU41, 1ST DOWN TCU, NO PLAY. for a 1ST down",0,7
1st and 10 at TCU 41,"Trevone Boykin pass complete to u""Ja'Juan Story"",  for 15 yds to the Minn 44 for a 1ST down",,
1st and 10 at MINN 44,Trevone Boykin run for 20 yds to the Minn 24 for a 1ST down,,
1st and 10 at MINN 24,Trevone Boykin pass incomplete to B.J. Catalon,,
2nd and 10 at MINN 24,Trevone Boykin pass complete to B.J. Catalon for no gain to the Minn 24,,
3rd and 10 at MINN 24,"TCU Penalty, false start (N/A) to the Minn 29",,
3rd and 15 at MINN 29,Trevone Boykin pass incomplete to N/A,,
4th and 15 at MINN 29,Jaden Oberkrom 46 yd FG GOOD,0,10
"TCU DRIVE TOTALS: 6 plays, 45 yards, 1:29"
Minnesota at 9:10,,MINN,TCU
,"Jaden Oberkrom kickoff for 65 yds , Marcus Jones return for 58 yds to the TCU 42",0,10
1st and 10 at TCU 42,Mitch Leidner pass incomplete to N/A,,
2nd and 10 at TCU 42,Mitch Leidner run for 2 yds to the TCU 40,,
3rd and 8 at TCU 40,Mitch Leidner pass intercepted Sam Carter return for no gain to the TCU 33,,
"MINN DRIVE TOTALS: 3 plays, 2 yards, 0:53"
TCU at 8:17,,MINN,TCU
1st and 10 at TCU 33,B.J. Catalon run for 2 yds to the TCU 35,0,10
2nd and 8 at TCU 35,Trevone Boykin pass incomplete to N/A,,
3rd and 8 at TCU 35,Trevone Boykin pass incomplete to Josh Doctson,,
4th and 8 at TCU 35,"Ethan Perry punt for 46 yds , Marcus Jones returns for 2 yds to the Minn 21",,
"TCU DRIVE TOTALS: 3 plays, 2 yards, 0:44"
Minnesota at 7:33,,MINN,TCU
1st and 10 at MINN 21,David Cobb run for 3 yds to the Minn 24,0,10
2nd and 7 at MINN 24,Mitch Leidner pass complete to Lincoln Plsek for 13 yds to the Minn 37 for a 1ST down,,
1st and 10 at MINN 37,David Cobb run for a loss of 1 yard to the Minn 36,,
2nd and 11 at MINN 36,Mitch Leidner pass incomplete to Maxx Williams,,
3rd and 11 at MINN 36,Mitch Leidner pass complete to Drew Wolitarsky for 16 yds to the TCU 48 for a 1ST down,,
1st and 10 at TCU 48,"Mitch Leidner pass incomplete to Maxx Williams, broken up by Derrick Kindred",,
2nd and 10 at TCU 48,Mitch Leidner pass complete to Maxx Williams for 7 yds to the TCU 41,,
3rd and 3 at TCU 41,Mitch Leidner run for no gain to the TCU 41,,
4th and 3 at TCU 41,"Peter Mortell punt for 40 yds, downed at the TCU 1 MINNESOTA Penalty, personal foul (Marcus Jones) to the TCU 16",,
"MINN DRIVE TOTALS: 8 plays, 38 yards, 3:56"
TCU at 3:37,,MINN,TCU
1st and 10 at TCU 16,Trevone Boykin pass complete to Ty Slanina for 4 yds to the TCU 20,0,10
