0156072120141128,,156,721
1st Quarter Play-by-Play
Colorado State at 15:00,,CSU,AFA
,Drew Oehrle kickoff for 65 yds for a touchback,0,0
1st and 10 at CSU 25,Garrett Grayson sacked by Connor Healy for a loss of 8 yards to the ColSt 17,,
2nd and 18 at CSU 17,Garrett Grayson pass complete to Rashard Higgins for 22 yds to the ColSt 39 for a 1ST down,,
1st and 10 at CSU 39,Garrett Grayson pass incomplete,,
2nd and 10 at CSU 39,Dee Hart run for 1 yd to the ColSt 40,,
3rd and 9 at CSU 40,Garrett Grayson pass complete to Rashard Higgins for 11 yds to the AFA 49 for a 1ST down,,
1st and 10 at AFA 49,Garrett Grayson pass complete to Rashard Higgins for 31 yds to the AFA 18 for a 1ST down,,
1st and 10 at AFA 18,Garrett Grayson pass complete to Charles Lovett for 6 yds to the AFA 12,,
2nd and 4 at AFA 12,Dee Hart run for 5 yds to the AFA 7 for a 1ST down,,
1st and Goal at AFA 7,"Garrett Grayson pass complete to Rashard Higgins for 7 yds for a TD, (Jared Roberts KICK)",7,0
"CSU DRIVE TOTALS: 9 plays, 75 yards, 3:36"
Air Force at 11:24,,CSU,AFA
,Jared Roberts kickoff for 65 yds for a touchback,7,0
1st and 10 at AFA 25,Nate Romine pass complete to Jalen Robinette for 47 yds to the ColSt 28 for a 1ST down,,
1st and 10 at CSU 28,Nate Romine run for 6 yds to the ColSt 22,,
2nd and 4 at CSU 22,Devin Rushing run for 5 yds to the ColSt 17 for a 1ST down,,
1st and 10 at CSU 17,Shayne Davern run for 2 yds to the ColSt 15,,
2nd and 8 at CSU 15,Garrett Brown run for 7 yds to the ColSt 8,,
3rd and 1 at CSU 8,D.J. Johnson run for 3 yds to the ColSt 5 for a 1ST down,,
1st and Goal at CSU 5,"D.J. Johnson run for 5 yds for a TD, (Will Conant KICK)",7,7
"AFA DRIVE TOTALS: 7 plays, 75 yards, 2:33"
Colorado State at 8:51,,CSU,AFA
,Drew Oehrle kickoff for 65 yds for a touchback,7,7
1st and 10 at CSU 25,Dee Hart run for 4 yds to the ColSt 29,,
2nd and 6 at CSU 29,Garrett Grayson pass incomplete to Rashard Higgins,,
3rd and 6 at CSU 29,Garrett Grayson pass incomplete,,
4th and 6 at CSU 29,"Hayden Hunt punt for 53 yds , Garrett Brown returns for 4 yds to the AFA 22",,
"CSU DRIVE TOTALS: 3 plays, 4 yards, 1:03"
Air Force at 7:48,,CSU,AFA
1st and 10 at AFA 22,Shayne Davern run for 15 yds to the AFA 37 for a 1ST down,7,7
1st and 10 at AFA 37,Shayne Davern run for 6 yds to the AFA 43,,
2nd and 4 at AFA 43,Nate Romine run for a loss of 2 yards to the AFA 41,,
3rd and 6 at AFA 41,Nate Romine pass incomplete to Jalen Robinette,,
4th and 6 at AFA 41,Will Conant punt for 59 yds for a touchback,,
"AFA DRIVE TOTALS: 4 plays, 19 yards, 1:34"
Colorado State at 6:14,,CSU,AFA
1st and 10 at CSU 20,Dee Hart run for 1 yd to the ColSt 21,7,7
2nd and 9 at CSU 21,Garrett Grayson pass complete to Joe Hansley for 17 yds to the ColSt 38 for a 1ST down,,
1st and 10 at CSU 38,Dee Hart run for 2 yds to the ColSt 40,,
2nd and 8 at CSU 40,Garrett Grayson pass complete to Rashard Higgins for 23 yds to the AFA 37 for a 1ST down,,
1st and 10 at AFA 37,Garrett Grayson pass complete to Charles Lovett for 21 yds to the AFA 16 for a 1ST down,,
1st and 10 at AFA 16,Garrett Grayson pass incomplete to Joe Hansley,,
2nd and 10 at AFA 16,Dee Hart run for 3 yds to the AFA 13,,
3rd and 7 at AFA 13,Garrett Grayson pass incomplete to Charles Lovett,,
4th and 7 at AFA 13,Jared Roberts 30 yd FG GOOD,10,7
"CSU DRIVE TOTALS: 9 plays, 67 yards, 2:59"
Air Force at 3:10,,CSU,AFA
,"Jared Roberts kickoff for 62 yds , Paco Solano return for 25 yds to the AFA 28",10,7
1st and 10 at AFA 28,"Nate Romine run for 5 yds to the AFA 36 Nate Romine fumbled, forced by Aaron Davis, recovered by ColSt Max Morgan",,
"AFA DRIVE TOTALS: 1 play, 8 yards, 0:07"
Colorado State at 3:03,,CSU,AFA
1st and 10 at AFA 36,Garrett Grayson pass incomplete to Charles Lovett,10,7
2nd and 10 at AFA 36,Dee Hart run for 1 yd to the AFA 35,,
3rd and 9 at AFA 35,Garrett Grayson pass complete to Joe Hansley for 13 yds to the AFA 22 for a 1ST down,,
1st and 10 at AFA 22,Garrett Grayson pass incomplete to Charles Lovett,,
2nd and 10 at AFA 22,Garrett Grayson pass complete to Charles Lovett for a loss of 4 yards to the AFA 26,,
3rd and 14 at AFA 26,Garrett Grayson pass incomplete to Rashard Higgins,,
4th and 14 at AFA 26,Jared Roberts 43 yd FG MISSED,,
"CSU DRIVE TOTALS: 7 plays, 10 yards, 2:12"
Air Force at 0:51,,CSU,AFA
1st and 10 at AFA 26,Paco Solano run for 6 yds to the AFA 32,10,7
2nd and 4 at AFA 32,Devin Rushing run for 4 yds to the AFA 36 for a 1ST down,,
,End of 1st Quarter,,
2nd Quarter Play-by-Play
Air Force at 15:00,,CSU,AFA
1st and 10 at AFA 36,Nate Romine run for 5 yds to the AFA 41,10,7
2nd and 5 at AFA 41,Nate Romine run for 3 yds to the AFA 44,,
3rd and 2 at AFA 44,D.J. Johnson run for 1 yd to the AFA 45,,
4th and 1 at AFA 45,Nate Romine run for 2 yds to the AFA 47 for a 1ST down,,
1st and 10 at AFA 47,Nate Romine pass complete to Garrett Brown for 32 yds to the ColSt 21 for a 1ST down,,
1st and 10 at CSU 21,D.J. Johnson run for 3 yds to the ColSt 18,,
2nd and 7 at CSU 18,Nate Romine run for 4 yds to the ColSt 14,,
3rd and 3 at CSU 14,Shayne Davern run for 5 yds to the ColSt 9 for a 1ST down,,
1st and Goal at CSU 9,Nate Romine run for 8 yds to the ColSt 1,,
2nd and Goal at CSU 1,"Shayne Davern run for 1 yd for a TD, (Will Conant KICK)",10,14
"AFA DRIVE TOTALS: 12 plays, 74 yards, 5:45"
Colorado State at 10:06,,CSU,AFA
,Drew Oehrle kickoff for 65 yds for a touchback,10,14
1st and 10 at CSU 25,"Garrett Grayson sacked by Nick Fitzgerald for a loss of 6 yards to the ColSt 19 Garrett Grayson fumbled, , return for 0 yards",,
2nd and 16 at CSU 19,"Garrett Grayson pass incomplete to Dee Hart, broken up by Justin DeCoud",,
3rd and 16 at CSU 19,Garrett Grayson pass incomplete to Rashard Higgins,,
4th and 16 at CSU 19,"Hayden Hunt punt for 34 yds, fair catch by Garrett Brown at the AFA 47",,
"CSU DRIVE TOTALS: 3 plays, -6 yards, 0:38"
Air Force at 9:28,,CSU,AFA
1st and 10 at AFA 47,Nate Romine pass complete to Garrett Brown for 12 yds to the ColSt 41 for a 1ST down,10,14
1st and 10 at CSU 41,Nate Romine pass complete to Garrett Brown for 6 yds to the ColSt 35,,
2nd and 4 at CSU 35,Nate Romine run for 3 yds to the ColSt 32,,
3rd and 1 at CSU 32,Nate Romine run for 3 yds to the ColSt 29 for a 1ST down,,
1st and 10 at CSU 29,Devin Rushing run for 4 yds to the ColSt 25,,
2nd and 6 at CSU 25,Nate Romine run for 5 yds to the ColSt 20,,
3rd and 1 at CSU 20,Nate Romine run for 2 yds to the ColSt 18 for a 1ST down,,
1st and 10 at CSU 18,Shayne Davern run for 1 yd to the ColSt 17,,
2nd and 9 at CSU 17,Nate Romine pass incomplete to Jalen Robinette,,
3rd and 9 at CSU 17,Nate Romine run for 1 yd to the ColSt 16,,
4th and 8 at CSU 16,Will Conant 33 yd FG GOOD,10,17
"AFA DRIVE TOTALS: 11 plays, 37 yards, 5:01"
Colorado State at 4:27,,CSU,AFA
,Drew Oehrle kickoff for 65 yds for a touchback,10,17
