0463009620140913,,463,96
,Coin toss: Nebraska wins toss and will receive the kickoff,,
1st Quarter Play-by-Play
Nebraska at 15:00,,NEB,FSU
1st and 10 at NEB 18,Tommy Armstrong Jr. run for 11 yds to the Neb 29 for a 1ST down,0,0
1st and 10 at NEB 29,Ameer Abdullah run for 3 yds to the Neb 32,,
2nd and 7 at NEB 32,Ameer Abdullah run for a loss of 2 yards to the Neb 30,,
,"Garrett Swanson kickoff for 65 yds , Alonzo Moore return for 18 yds to the Neb 18",,
,"Timeout NEBRASKA, clock 13:24",,
3rd and 9 at NEB 30,"Tommy Armstrong Jr. pass complete to Jordan Westerkamp for 70 yds for a TD, (Drew Brown KICK)",7,0
"NEB DRIVE TOTALS: 4 plays, 82 yards, 1:46"
Fresno State at 13:08,,NEB,FSU
,"Mauro Bondi kickoff for 65 yds , Dillon Root return for 17 yds to the FrsSt 18 Dillon Root fumbled, forced by Joshua Kalu, recovered by FrsSt Dillon Root",7,0
1st and 10 at FRES 18,Brian Burrell pass complete to LeKendrick Williams for a loss of 3 yards to the FrsSt 15,,
2nd and 13 at FRES 15,Brian Burrell pass incomplete to Greg Watson,,
3rd and 13 at FRES 15,"Brian Burrell pass incomplete to Aaron Peck FRESNO ST Penalty, Offensive holding ( Yards) declined",,
4th and 13 at FRES 15,"Garrett Swanson punt for 40 yds , u""De'Mornay Pierson-El"",  returns for 8 yds to the Neb 23 NEBRASKA Penalty, illegal block (10 Yards) to the Neb 43",,
"FRES DRIVE TOTALS: 3 plays, -3 yards, 0:55"
Nebraska at 12:13,,NEB,FSU
1st and 10 at NEB 43,"Ameer Abdullah run for 57 yds for a TD, (Drew Brown KICK)",14,0
"NEB DRIVE TOTALS: 1 play, 57 yards, 0:10"
Fresno State at 12:03,,NEB,FSU
1st and 10 at FRES 25,Marteze Waller run for 4 yds to the FrsSt 29,14,0
2nd and 6 at FRES 29,Brian Burrell run for 1 yd to the FrsSt 30,,
3rd and 5 at FRES 30,Brian Burrell pass complete to Greg Watson for 10 yds to the FrsSt 40 for a 1ST down,,
1st and 10 at FRES 40,Brian Burrell pass complete to Aaron Peck for 9 yds to the FrsSt 49,,
2nd and 1 at FRES 49,Brian Burrell pass incomplete to N/A,,
3rd and 1 at FRES 49,Marteze Waller run for 7 yds to the Neb 44 for a 1ST down,,
1st and 10 at NEB 44,Marteze Waller run for 1 yd to the Neb 43,,
