0231049720141122,,231,497
1st Quarter Play-by-Play
North Texas at 15:00,,FI,UNT
,"Austin Taylor kickoff for 62 yds , Darvin Kidsy return for 18 yds to the NoTex 21",0,0
1st and 10 at UNT 21,Andrew McNulty pass complete to Marcus Smith for 25 yds to the NoTex 46 for a 1ST down,,
1st and 10 at UNT 46,Reggie Pegram 54 Yd Run (Trevor Moore Kick),0,7
"UNT DRIVE TOTALS: 2 plays, 79 yards, 0:40"
Florida Intl at 14:20,,FI,UNT
,Eric Keena kickoff for 65 yds for a touchback,0,7
1st and 10 at FIU 25,Alex McGough pass incomplete to Fred Porter,,
2nd and 10 at FIU 25,"Alex McGough pass incomplete to Jonnu Smith, broken up by Lairamie Lee",,
3rd and 10 at FIU 25,Anthon Samuel run for 15 yds to the FlaIn 40 for a 1ST down,,
1st and 10 at FIU 40,Alex McGough pass complete to Jonnu Smith for 4 yds to the FlaIn 44,,
2nd and 6 at FIU 44,Alex McGough pass complete to Clinton Taylor for 8 yds to the NoTex 48 for a 1ST down,,
1st and 10 at UNT 48,Anthon Samuel run for 11 yds to the NoTex 37 for a 1ST down,,
1st and 10 at UNT 37,Alex McGough pass incomplete to Jonnu Smith,,
2nd and 10 at UNT 37,"Alex McGough sacked by Daryl Mason for a loss of 6 yards to the NoTex 43 Alex McGough fumbled, , return for 0 yards",,
3rd and 16 at UNT 43,Alex McGough pass complete to Jonnu Smith for 1 yd to the NoTex 42,,
4th and 15 at UNT 42,Chris Ayers punt for 42 yds for a touchback,,
"FIU DRIVE TOTALS: 9 plays, 33 yards, 3:44"
North Texas at 10:36,,FI,UNT
1st and 10 at UNT 20,Reggie Pegram run for 3 yds to the NoTex 23,0,7
2nd and 7 at UNT 23,"FLORIDA INTL Penalty, personal foul (Imarjaye Albury) to the NoTex 38 for a 1ST down",,
1st and 10 at UNT 38,Andrew McNulty run for 2 yds to the NoTex 40,,
2nd and 8 at UNT 40,Andrew McNulty pass complete to Carlos Harris for 12 yds to the FlaIn 48 for a 1ST down,,
1st and 10 at FIU 48,Reggie Pegram run for a loss of 1 yard to the FlaIn 49,,
2nd and 11 at FIU 49,"FLORIDA INTL Penalty, Defensive offside (Michael Wakefield) to the FlaIn 44",,
2nd and 6 at FIU 44,Andrew McNulty pass complete to Darius Terrell for 15 yds to the FlaIn 29 for a 1ST down,,
1st and 10 at FIU 29,Andrew McNulty pass complete to Carlos Harris for 11 yds to the FlaIn 18 for a 1ST down,,
1st and 10 at FIU 18,Antoinne Jimmerson run for 4 yds to the FlaIn 14,,
2nd and 6 at FIU 14,Antoinne Jimmerson run for 7 yds to the FlaIn 7 for a 1ST down,,
1st and Goal at FIU 7,Andrew McNulty pass incomplete to Darvin Kidsy,,
2nd and Goal at FIU 7,Antoinne Jimmerson run for 3 yds to the FlaIn 4,,
3rd and Goal at FIU 4,Marcus Smith 4 Yd pass from Andrew McNulty (Trevor Moore Kick),0,14
"UNT DRIVE TOTALS: 11 plays, 80 yards, 5:15"
Florida Intl at 5:21,,FI,UNT
,"Eric Keena kickoff for 65 yds , Richard Leonard return for 14 yds to the FlaIn 14",0,14
1st and 10 at FIU 14,Anthon Samuel run for 3 yds to the FlaIn 17,,
2nd and 7 at FIU 17,Alex McGough pass complete to Glenn Coleman for 12 yds to the FlaIn 29 for a 1ST down,,
1st and 10 at FIU 29,Alex McGough sacked by Derek Akunne for a loss of 6 yards to the FlaIn 23,,
2nd and 16 at FIU 23,Alex McGough pass incomplete to Jonnu Smith,,
3rd and 16 at FIU 23,Alex McGough pass incomplete to Glenn Coleman,,
4th and 16 at FIU 23,"Jose Laphitzondo punt for 47 yds , Darvin Kidsy returns for 3 yds to the NoTex 33",,
"FIU DRIVE TOTALS: 5 plays, 9 yards, 2:25"
North Texas at 2:56,,FI,UNT
1st and 10 at UNT 33,Jeffrey Wilson run for 1 yd to the NoTex 34,0,14
2nd and 9 at UNT 34,Andrew McNulty run for 3 yds to the NoTex 37,,
3rd and 6 at UNT 37,Andrew McNulty pass incomplete to Darius Terrell,,
4th and 6 at UNT 37,Richard Leonard 74 Yd Punt Return (Austin Taylor Kick),7,14
"UNT DRIVE TOTALS: 3 plays, 4 yards, 1:34"
North Texas at 1:22,,FI,UNT
,"Austin Taylor kickoff for 56 yds , Darvin Kidsy return for 29 yds to the NoTex 38",7,14
1st and 10 at UNT 38,Andrew McNulty pass incomplete to Marcus Smith,,
2nd and 10 at UNT 38,Reggie Pegram run for 5 yds to the NoTex 43,,
3rd and 5 at UNT 43,Reggie Pegram run for 3 yds to the NoTex 46,,
,End of 1st Quarter,,
2nd Quarter Play-by-Play
North Texas at 15:00,,FI,UNT
4th and 2 at UNT 46,Blake Macek punt for 54 yds for a touchback,7,14
"UNT DRIVE TOTALS: 3 plays, 8 yards, 1:31"
Florida Intl at 14:51,,FI,UNT
1st and 10 at FIU 20,Napoleon Maxwell run for 5 yds to the FlaIn 25,7,14
2nd and 5 at FIU 25,Alex McGough pass complete to T.J. Lowder for 8 yds to the FlaIn 33 for a 1ST down,,
1st and 10 at FIU 33,Alex McGough run for 4 yds to the FlaIn 37,,
2nd and 6 at FIU 37,TEAM run for a loss of 21 yards to the FlaIn 16,,
3rd and 27 at FIU 16,Napoleon Maxwell run for 4 yds to the FlaIn 20,,
4th and 23 at FIU 20,"Jose Laphitzondo punt for 47 yds , Darvin Kidsy returns for 11 yds to the NoTex 44",,
"FIU DRIVE TOTALS: 5 plays, 0 yards, 3:11"
