0497070320140830,,497,703
,"NORTH TEXAS wins the coin toss, and will receive.",,
1st Quarter Play-by-Play
North Texas at 15:00,,UNT,TEX
,Nick Rose kickoff for 65 yds for a touchback,0,0
1st and 10 at UNT 25,Josh Greer pass incomplete to Marcus Smith,,
2nd and 10 at UNT 25,Reggie Pegram run for no gain to the NoTex 25,,
3rd and 10 at UNT 25,"Josh Greer run for a loss of 2 yards to the NoTex 23 Josh Greer fumbled, recovered by NoTex Josh Greer",,
4th and 12 at UNT 23,"Eric Keena punt for 42 yds, downed at the Texas 35",,
"UNT DRIVE TOTALS: 3 plays, -2 yards, 1:28"
Texas at 13:32,,UNT,TEX
1st and 10 at TEX 35,Malcolm Brown run for 6 yds to the Texas 41,0,0
2nd and 4 at TEX 41,David Ash pass complete to Jaxon Shipley for 9 yds to the 50 yard line for a 1ST down,,
1st and 10 at 50,Malcolm Brown run for 4 yds to the NoTex 46,,
2nd and 6 at UNT 46,Malcolm Brown run for 1 yd to the NoTex 45,,
3rd and 5 at UNT 45,David Ash pass incomplete to John Harris,,
4th and 5 at UNT 45,"William Russ punt for 31 yds, fair catch by Carlos Harris at the NoTex 14",,
"TEX DRIVE TOTALS: 5 plays, 20 yards, 2:10"
North Texas at 11:22,,UNT,TEX
1st and 10 at UNT 14,Antoinne Jimmerson run for no gain to the NoTex 14,0,0
2nd and 10 at UNT 14,Jeffrey Wilson run for 2 yds to the NoTex 16,,
3rd and 8 at UNT 16,Josh Greer pass intercepted Dylan Haines return for 22 yds to the NoTex 18,,
"UNT DRIVE TOTALS: 3 plays, 2 yards, 1:21"
Texas at 10:01,,UNT,TEX
1st and 10 at UNT 18,"David Ash run for a loss of 2 yards to the NoTex 20 David Ash fumbled, recovered by Texas David Ash",0,0
2nd and 12 at UNT 20,David Ash pass complete to John Harris for 4 yds to the NoTex 16,,
3rd and 8 at UNT 16,David Ash pass incomplete to Johnathan Gray,,
4th and 8 at UNT 16,"TEXAS Penalty, Delay of Game (-5 Yards) to the NoTex 21",,
4th and 13 at UNT 21,Nick Rose 38 yd FG MISSED,,
"TEX DRIVE TOTALS: 4 plays, -3 yards, 1:29"
North Texas at 8:32,,UNT,TEX
1st and 10 at UNT 21,Willy Ivery run for a loss of 1 yard to the NoTex 20,0,0
2nd and 11 at UNT 20,Willy Ivery run for 1 yd to the NoTex 21,,
3rd and 10 at UNT 21,Josh Greer pass incomplete to Carlos Harris,,
4th and 10 at UNT 21,"Eric Keena punt for 42 yds, fair catch by Jaxon Shipley at the Texas 37",,
"UNT DRIVE TOTALS: 3 plays, 0 yards, 0:56"
Texas at 7:36,,UNT,TEX
,"Timeout TEXAS, clock 07:36",0,0
1st and 10 at TEX 37,Johnathan Gray run for 2 yds to the Texas 39,,
2nd and 8 at TEX 39,Johnathan Gray run for 2 yds to the Texas 41,,
3rd and 6 at TEX 41,"David Ash pass incomplete to John Harris for a 1ST down NORTH TEXAS Penalty, Personal Foul (Sheldon Wade) to the NoTex 44 for a 1ST down",,
1st and 10 at UNT 44,David Ash pass incomplete to Jaxon Shipley,,
2nd and 10 at UNT 44,Johnathan Gray run for 5 yds to the NoTex 39,,
3rd and 5 at UNT 39,David Ash pass complete to John Harris for 27 yds to the NoTex 12 for a 1ST down,,
1st and 10 at UNT 12,"NORTH TEXAS Penalty, Substitution Infraction (5 Yards) to the NoTex 7",,
1st and 5 at UNT 7,Malcolm Brown run for 3 yds to the NoTex 4,,
2nd and 2 at UNT 4,Malcolm Brown run for 3 yds to the NoTex 1 for a 1ST down,,
1st and Goal at UNT 1,"Malcolm Brown run for 1 yd for a TD, (Nick Rose KICK)",0,7
"TEX DRIVE TOTALS: 9 plays, 63 yards, 3:30"
North Texas at 4:06,,UNT,TEX
,Nick Rose kickoff for 65 yds for a touchback,0,7
1st and 10 at UNT 25,Reggie Pegram run for 5 yds to the NoTex 30,,
2nd and 5 at UNT 30,Reggie Pegram run for 6 yds to the NoTex 36 for a 1ST down,,
1st and 10 at UNT 36,Josh Greer pass incomplete to Reggie Pegram,,
2nd and 10 at UNT 36,Josh Greer pass complete to Carl Caldwell for 4 yds to the NoTex 40,,
3rd and 6 at UNT 40,Josh Greer pass incomplete to Antoinne Jimmerson,,
4th and 6 at UNT 40,"Eric Keena punt for 38 yds , Jaxon Shipley returns for a loss of 3 yards to the Texas 19",,
"UNT DRIVE TOTALS: 5 plays, 15 yards, 1:36"
Texas at 2:30,,UNT,TEX
1st and 10 at TEX 19,David Ash pass complete to John Harris for 6 yds to the Texas 25,0,7
2nd and 4 at TEX 25,David Ash pass complete to Jaxon Shipley for 13 yds to the Texas 38 for a 1ST down,,
1st and 10 at TEX 38,Johnathan Gray run for 8 yds to the Texas 46,,
2nd and 2 at TEX 46,David Ash pass complete to M.J. McFarland for 7 yds to the NoTex 47 for a 1ST down,,
1st and 10 at UNT 47,Malcolm Brown run for 4 yds to the NoTex 43,,
,End of 1st Quarter,,
2nd Quarter Play-by-Play
Texas at 15:00,,UNT,TEX
2nd and 6 at UNT 43,David Ash pass incomplete to Jaxon Shipley,0,7
3rd and 6 at UNT 43,David Ash pass complete to Malcolm Brown for a loss of 6 yards to the NoTex 49,,
4th and 12 at UNT 49,"William Russ punt for 38 yds , Carlos Harris returns for 6 yds to the NoTex 17",,
"TEX DRIVE TOTALS: 7 plays, 32 yards, 3:27"
North Texas at 14:03,,UNT,TEX
1st and 10 at UNT 17,Reggie Pegram run for 6 yds to the NoTex 23,0,7
2nd and 4 at UNT 23,"NORTH TEXAS Penalty, Personal Foul (Antonio Johnson) to the NoTex 12",,
2nd and 15 at UNT 12,Willy Ivery run for a loss of 1 yard to the NoTex 11,,
3rd and 16 at UNT 11,Reggie Pegram run for 1 yd to the NoTex 12,,
4th and 15 at UNT 12,"Eric Keena punt for 52 yds , Jaxon Shipley returns for 6 yds to the Texas 42",,
"UNT DRIVE TOTALS: 3 plays, -5 yards, 2:10"
Texas at 11:53,,UNT,TEX
1st and 10 at TEX 42,David Ash pass incomplete to John Harris,0,7
2nd and 10 at TEX 42,Johnathan Gray run for a loss of 2 yards to the Texas 40,,
3rd and 12 at TEX 40,David Ash sacked by Jarrian Roberts for a loss of 9 yards to the Texas 31,,
4th and 21 at TEX 31,"William Russ punt for 29 yds, downed at the NoTex 40",,
"TEX DRIVE TOTALS: 3 plays, -11 yards, 1:22"
North Texas at 10:31,,UNT,TEX
1st and 10 at UNT 40,Antoinne Jimmerson run for 3 yds to the NoTex 43,0,7
2nd and 7 at UNT 43,Josh Greer pass intercepted Jordan Hicks return for 18 yds to the NoTex 31,,
"UNT DRIVE TOTALS: 2 plays, 3 yards, 0:39"
Texas at 9:52,,UNT,TEX
1st and 10 at UNT 31,David Ash pass complete to John Harris for 28 yds to the NoTex 3 for a 1ST down,0,7
1st and Goal at UNT 3,"Malcolm Brown run for 3 yds for a TD, (Nick Rose KICK)",0,14
"TEX DRIVE TOTALS: 2 plays, 31 yards, 0:39"
North Texas at 9:13,,UNT,TEX
,"Nick Rose kickoff for 62 yds , Carlos Harris return for 28 yds to the NoTex 31",0,14
1st and 10 at UNT 31,Reggie Pegram run for 2 yds to the NoTex 33,,
2nd and 8 at UNT 33,Andrew McNulty run for 4 yds to the NoTex 37,,
3rd and 4 at UNT 37,Andrew McNulty sacked by Demarco Cobbs and Mykkele Thompson for a loss of 11 yards to the NoTex 26,,
4th and 15 at UNT 26,"Eric Keena punt for 36 yds , Jaxon Shipley returns for 9 yds to the Texas 47",,
"UNT DRIVE TOTALS: 3 plays, -5 yards, 2:08"
Texas at 7:05,,UNT,TEX
1st and 10 at TEX 47,Johnathan Gray run for 3 yds to the 50 yard line,0,14
2nd and 7 at 50,David Ash pass complete to M.J. McFarland for no gain to the 50 yard line,,
3rd and 6 at 50,David Ash pass complete to John Harris for 20 yds to the NoTex 30 for a 1ST down,,
1st and 10 at UNT 30,"TEXAS Penalty, Personal Foul (Dominic Espinosa) to the NoTex 45",,
1st and 25 at UNT 45,Johnathan Gray run for 42 yds to the NoTex 3 for a 1ST down,,
1st and Goal at UNT 3,Johnathan Gray run for 2 yds to the NoTex 1,,
2nd and Goal at UNT 1,Johnathan Gray run for no gain to the NoTex 1,,
3rd and Goal at UNT 1,Johnathan Gray run for no gain to the NoTex 1,,
4th and Goal at UNT 1,"David Ash run for 1 yd for a TD, (Nick Rose KICK)",0,21
"TEX DRIVE TOTALS: 8 plays, 53 yards, 4:24"
North Texas at 2:41,,UNT,TEX
,Nick Rose kickoff for 65 yds for a touchback,0,21
