0254002720141101,,254,27
1st Quarter Play-by-Play
Georgia State at 15:00,,GSU,ASU
,Bentlee Critcher kickoff for 65 yds for a touchback,0,0
1st and 10 at GAST 25,Nick Arbuckle pass complete to Glenn Smith for 9 yds to the GeoSt 34,,
2nd and 1 at GAST 34,Marcus Caffey run for 4 yds to the GeoSt 38 for a 1ST down,,
1st and 10 at GAST 38,"Nick Arbuckle run for a loss of 8 yards to the GeoSt 28 Nick Arbuckle fumbled, recovered by GeoSt Nick Arbuckle",,
2nd and 20 at GAST 28,Nick Arbuckle pass complete to Joel Ruiz for 2 yds to the GeoSt 30,,
3rd and 18 at GAST 30,Nick Arbuckle pass intercepted John Law return for 6 yds to the GeoSt 33,,
"GAST DRIVE TOTALS: 5 plays, 5 yards, 2:23"
Appalachian State at 12:37,,GSU,ASU
1st and 10 at GAST 33,Marcus Cox run for 5 yds to the GeoSt 28,0,0
2nd and 5 at GAST 28,Marcus Cox run for 8 yds to the GeoSt 20 for a 1ST down,,
1st and 10 at GAST 20,Taylor Lamb pass complete to Barrett Burns for 15 yds to the GeoSt 5 for a 1ST down,,
1st and Goal at GAST 5,Marcus Cox run for 4 yds to the GeoSt 1,,
2nd and Goal at GAST 1,"Marcus Cox run for 1 yd for a TD, (Bentlee Critcher KICK)",0,7
"APP DRIVE TOTALS: 5 plays, 33 yards, 1:34"
Georgia State at 10:53,,GSU,ASU
,"Bentlee Critcher kickoff for 61 yds , Avery Sweeting return for 25 yds to the GeoSt 29",0,7
1st and 10 at GAST 29,Marcus Caffey run for 6 yds to the GeoSt 35,,
2nd and 4 at GAST 35,"Marcus Caffey run for 2 yds to the GeoSt 39 Marcus Caffey fumbled, forced by Eric Boggs, for a 1ST down",,
1st and 10 at GAST 39,Marcus Caffey run for 8 yds to the GeoSt 47,,
2nd and 2 at GAST 47,Marcus Caffey run for 3 yds to the 50 yard line for a 1ST down,,
1st and 10 at 50,Duvall Smith run for 4 yds to the AppSt 46,,
2nd and 6 at APP 46,Duvall Smith run for no gain to the AppSt 46,,
