0311070320141018,,311,703
,"IOWA STATE wins the coin toss, and will receive.",,
1st Quarter Play-by-Play
Iowa State at 15:00,,ISU,TEX
,Nick Rose kickoff for 65 yds for a touchback,0,0
1st and 10 at ISU 25,Sam B. Richardson pass incomplete,,
2nd and 10 at ISU 25,Sam B. Richardson pass complete to Allen Lazard for no gain to the IowSt 25,,
3rd and 10 at ISU 25,Sam B. Richardson sacked by Hassan Ridgeway for a loss of 8 yards to the IowSt 17,,
4th and 18 at ISU 17,"Colin Downing punt for 50 yds , Jaxon Shipley returns for 15 yds to the Texas 48",,
"ISU DRIVE TOTALS: 3 plays, -8 yards, 1:22"
Texas at 13:38,,ISU,TEX
1st and 10 at TEX 48,Malcolm Brown run for 12 yds to the IowSt 40 for a 1ST down,0,0
1st and 10 at ISU 40,Tyrone Swoopes pass complete to John Harris for 12 yds to the IowSt 28 for a 1ST down,,
1st and 10 at ISU 28,"Tyrone Swoopes pass complete to Marcus Johnson for 28 yds for a TD, (Nick Rose KICK)",0,7
"TEX DRIVE TOTALS: 3 plays, 52 yards, 0:55"
Iowa State at 12:43,,ISU,TEX
,Nick Rose kickoff for 65 yds for a touchback,0,7
1st and 10 at ISU 25,"TEXAS Penalty, Defensive Offside (NA) to the IowSt 30",,
1st and 5 at ISU 30,Sam B. Richardson run for 5 yds to the IowSt 35 for a 1ST down,,
1st and 10 at ISU 35,Sam B. Richardson run for no gain to the IowSt 35,,
2nd and 10 at ISU 35,Sam B. Richardson pass complete to DeVondrick Nealy for 17 yds to the Texas 48 for a 1ST down,,
1st and 10 at TEX 48,DeVondrick Nealy run for 4 yds to the Texas 44,,
2nd and 6 at TEX 44,"Sam B. Richardson pass incomplete to u""D'Vario Montgomery""",,
3rd and 6 at TEX 44,Sam B. Richardson pass complete to DeVondrick Nealy for a loss of 2 yards to the Texas 46,,
4th and 8 at TEX 46,"Colin Downing punt for 32 yds, fair catch by Jaxon Shipley at the Texas 14",,
"ISU DRIVE TOTALS: 6 plays, 29 yards, 1:59"
Texas at 10:44,,ISU,TEX
1st and 10 at TEX 14,Tyrone Swoopes pass complete to John Harris for 33 yds to the Texas 47 for a 1ST down,0,7
1st and 10 at TEX 47,Tyrone Swoopes pass complete to John Harris for 6 yds to the IowSt 47,,
2nd and 4 at ISU 47,Tyrone Swoopes run for 9 yds to the IowSt 38 for a 1ST down,,
1st and 10 at ISU 38,Tyrone Swoopes pass complete to Johnathan Gray for 14 yds to the IowSt 24 for a 1ST down,,
1st and 10 at ISU 24,Tyrone Swoopes pass complete to Jaxon Shipley for 4 yds to the IowSt 20,,
2nd and 6 at ISU 20,"Tyrone Swoopes pass complete to Armanti Foreman for 12 yds to the IowSt 8 for a 1ST down IOWA ST Penalty, Unsportsmanlike Conduct (NA) to the IowSt 4 for a 1ST down",,
1st and Goal at ISU 4,Malcolm Brown run for 2 yds to the IowSt 2,,
2nd and Goal at ISU 2,"Johnathan Gray run for 2 yds for a TD, (Nick Rose KICK)",0,14
"TEX DRIVE TOTALS: 8 plays, 86 yards, 3:22"
Iowa State at 7:22,,ISU,TEX
,Nick Rose kickoff for 65 yds for a touchback,0,14
1st and 10 at ISU 25,Sam B. Richardson pass incomplete to Allen Lazard,,
2nd and 10 at ISU 25,Martinez Syria run for 5 yds to the IowSt 30,,
3rd and 5 at ISU 30,"Sam B. Richardson pass complete to u""D'Vario Montgomery"",  for 10 yds to the IowSt 40 for a 1ST down",,
1st and 10 at ISU 40,Aaron Wimberly run for 2 yds to the IowSt 42,,
2nd and 8 at ISU 42,"Sam B. Richardson pass complete to u""D'Vario Montgomery"",  for 9 yds to the Texas 49 for a 1ST down",,
1st and 10 at TEX 49,Aaron Wimberly run for 18 yds to the Texas 31 for a 1ST down,,
1st and 10 at TEX 31,Sam B. Richardson pass incomplete,,
2nd and 10 at TEX 31,Sam B. Richardson run for 12 yds to the Texas 19 for a 1ST down,,
1st and 10 at TEX 19,Sam B. Richardson pass complete to Allen Lazard for 5 yds to the Texas 14,,
2nd and 5 at TEX 14,Aaron Wimberly run for 8 yds to the Texas 6 for a 1ST down,,
1st and Goal at TEX 6,Aaron Wimberly run for 2 yds to the Texas 4,,
2nd and Goal at TEX 4,"Sam B. Richardson pass complete to E.J. Bibbs for 4 yds for a TD, (Cole Netten KICK)",7,14
"ISU DRIVE TOTALS: 12 plays, 75 yards, 3:18"
Texas at 4:04,,ISU,TEX
,"Cole Netten kickoff for 65 yds , Roderick Bernard return for 14 yds to the Texas 14",7,14
1st and 10 at TEX 14,Malcolm Brown run for 4 yds to the Texas 18,,
2nd and 6 at TEX 18,Malcolm Brown run for 5 yds to the Texas 23,,
3rd and 1 at TEX 23,Johnathan Gray run for 3 yds to the Texas 26 for a 1ST down,,
1st and 10 at TEX 26,Tyrone Swoopes run for 4 yds to the Texas 30,,
2nd and 6 at TEX 30,Malcolm Brown run for 17 yds to the Texas 47 for a 1ST down,,
1st and 10 at TEX 47,Tyrone Swoopes pass complete to John Harris for 45 yds to the IowSt 8 for a 1ST down,,
"TEX DRIVE TOTALS: 7 plays, 78 yards, 3:10"
Iowa State at 0:54,,ISU,TEX
1st and 10 at ISU 9,DeVondrick Nealy run for 3 yds to the IowSt 12,7,14
2nd and 7 at ISU 12,Sam B. Richardson pass incomplete,,
3rd and 7 at ISU 12,Sam B. Richardson pass complete to DeVondrick Nealy for 2 yds to the IowSt 14,,
,End of 1st Quarter,,
2nd Quarter Play-by-Play
Texas at 15:00,,ISU,TEX
1st and 10 at ISU 46,"Tyrone Swoopes pass complete to John Harris for no gain for a TD John Harris fumbled, recovered by IowSt Jevohn Miller  , return for 51 yds, (Cole Netten KICK)",14,14
"TEX DRIVE TOTALS: 1 play, 0 yards, 0:15"
Texas at 14:37,,ISU,TEX
,"Cole Netten kickoff for 63 yds , Roderick Bernard return for 17 yds to the Texas 19",14,14
1st and 10 at TEX 19,Malcolm Brown run for a loss of 3 yards to the Texas 16,,
2nd and 13 at TEX 16,"Swoopes, Tyrone pass complete to Harris, John for 12 yards to the TEXAS28, PENALTY TEXAS holding 8 yards to the TEXAS8, NO PLAY.",,
2nd and 21 at TEX 8,Tyrone Swoopes pass incomplete,,
3rd and 21 at TEX 8,Tyrone Swoopes pass complete to Jaxon Shipley for 15 yds to the Texas 23,,
4th and 6 at TEX 23,"William Russ punt for 43 yds , Jarvis West returns for a loss of 1 yard to the IowSt 33",,
