0009041920141018,,9,419
,UAB has won the toss and will defer. MT will receive.,,
1st Quarter Play-by-Play
Middle Tennessee at 15:00,,UAB,MTU
,Ty Long kickoff for 65 yds for a touchback,0,0
1st and 10 at MTU 25,Austin Grammer pass incomplete,,
2nd and 10 at MTU 25,Jeremiah Bryson run for 8 yds to the MTnSt 33,,
3rd and 2 at MTU 33,Shane Tucker run for 1 yd to the MTnSt 34,,
4th and 1 at MTU 34,"Zachary Lopez punt for 29 yds , Devon Brown returns for no gain to the UAB 35 Devon Brown fumbled, recovered by MTnSt Trey Wafford",,
"MTSU DRIVE TOTALS: 3 plays, 9 yards, 1:20"
Middle Tennessee at 13:40,,UAB,MTU
1st and 10 at UAB 35,Austin Grammer pass complete to Jeremiah Bryson for 4 yds to the UAB 31,0,0
2nd and 6 at UAB 31,Austin Grammer pass complete to Devin Clarke for 30 yds to the UAB 1 for a 1ST down,,
1st and Goal at UAB 1,"Jeremiah Bryson run for 1 yd for a TD, (Cody Clark KICK)",0,7
"MTSU DRIVE TOTALS: 3 plays, 35 yards, 1:03"
UAB at 12:37,,UAB,MTU
,Cody Clark kickoff for 30 yds,0,7
1st and 10 at UAB 35,Cody Clements pass complete to Kennard Backman for 8 yds to the UAB 43,,
2nd and 2 at UAB 43,Jordan Howard run for 8 yds to the MTnSt 49 for a 1ST down,,
1st and 10 at MTU 49,Jordan Howard run for 6 yds to the MTnSt 43,,
2nd and 4 at MTU 43,Jordan Howard run for 6 yds to the MTnSt 37 for a 1ST down,,
1st and 10 at MTU 37,"VINSON, D.J. rush for 6 yards to the MT31, out-of-bounds (WALKER, Xavier), PENALTY UAB holding (HENDERSON, Tris) 10 yards to the MT47, NO PLAY.",,
1st and 20 at MTU 47,D.J. Vinson run for 8 yds to the MTnSt 39,,
2nd and 12 at MTU 39,D.J. Vinson run for 17 yds to the MTnSt 22 for a 1ST down,,
1st and 10 at MTU 22,Jordan Howard run for 1 yd to the MTnSt 21,,
2nd and 9 at MTU 21,Jordan Howard run for 15 yds to the MTnSt 6 for a 1ST down,,
1st and Goal at MTU 6,Jordan Howard run for 2 yds to the MTnSt 4,,
2nd and Goal at MTU 4,"UAB Penalty, false start (-5 Yards) to the MTnSt 9",,
2nd and Goal at MTU 9,"CLEMENTS, Cody pass complete to HUMPHREY, Maudr for 7 yards to the MT2 (BYARD, Kevin), PENALTY MT offside (JONES, Jahmal) 5 yards to the MT4, NO PLAY.",,
2nd and Goal at MTU 4,Jordan Howard run for 3 yds to the MTnSt 1,,
3rd and Goal at MTU 1,"UAB Penalty, false start (-5 Yards) to the MTnSt 6",,
3rd and Goal at MTU 6,Cody Clements sacked by Shubert Bastien for a loss of 2 yards to the MTnSt 8,,
4th and Goal at MTU 8,Ty Long 25 yd FG GOOD,3,7
"UAB DRIVE TOTALS: 12 plays, 57 yards, 5:21"
Middle Tennessee at 7:16,,UAB,MTU
,Ty Long kickoff for 65 yds for a touchback,3,7
1st and 10 at MTU 25,Reggie Whatley run for 3 yds to the MTnSt 28,,
2nd and 7 at MTU 28,Austin Grammer pass incomplete to Shane Tucker,,
3rd and 7 at MTU 28,Austin Grammer run for 12 yds to the MTnSt 40 for a 1ST down,,
1st and 10 at MTU 40,Shane Tucker run for 2 yds to the MTnSt 42,,
2nd and 8 at MTU 42,"MIDDLE TENN Penalty, false start (-5 Yards) to the MTnSt 37",,
2nd and 13 at MTU 37,Austin Grammer sacked by Rolan Milligan for a loss of 6 yards to the MTnSt 31,,
3rd and 19 at MTU 31,Austin Grammer sacked by Rolan Milligan for a loss of 7 yards to the MTnSt 24,,
4th and 26 at MTU 24,"u""Sean O'Kane"",  punt for 23 yds , Lamarcus Farmer returns for 10 yds to the MTnSt 37",,
"MTSU DRIVE TOTALS: 6 plays, -1 yard, 3:33"
UAB at 3:43,,UAB,MTU
1st and 10 at MTU 37,Cody Clements run for 9 yds to the MTnSt 28,3,7
2nd and 1 at MTU 28,D.J. Vinson run for 3 yds to the MTnSt 25 for a 1ST down,,
1st and 10 at MTU 25,D.J. Vinson run for 6 yds to the MTnSt 19,,
2nd and 4 at MTU 19,D.J. Vinson run for no gain to the MTnSt 19,,
3rd and 4 at MTU 19,"UAB Penalty, false start (Maudrecus Humphrey) to the MTnSt 24",,
3rd and 9 at MTU 24,Cody Clements run for no gain to the MTnSt 24,,
4th and 9 at MTU 24,Ty Long 42 yd FG GOOD,6,7
1st and Goal at UAB 35,"MIDDLE TENN Penalty, unsportsmanlike conduct (Trey Wafford) to the 50 yard line",,
"UAB DRIVE TOTALS: 6 plays, 13 yards, 2:32"
Middle Tennessee at 1:11,,UAB,MTU
,"Ty Long kickoff for 25 yds , John Kelly return for a loss of 5 yards to the MTnSt 20",6,7
1st and 10 at MTU 20,Jordan Parker run for no gain to the MTnSt 20,,
2nd and 10 at MTU 20,"GRAMMER, Austin pass incomplete to HENRY, Marcus, PENALTY UAB pass interference (SLAUGHTER, Dere) 15 yards to the MT35, 1ST DOWN MT, NO PLAY. for a 1ST down",,
1st and 10 at MTU 35,"Austin Grammer pass complete to Chris Perkins for 65 yds for a TD, (Cody Clark KICK)",6,14
"MTSU DRIVE TOTALS: 2 plays, 80 yards, 0:46"
UAB at 0:25,,UAB,MTU
,Cody Clark kickoff for 30 yds,6,14
1st and 10 at UAB 35,Cody Clements pass incomplete,,
2nd and 10 at UAB 35,Jordan Howard run for 7 yds to the UAB 42,,
,End of 1st Quarter,,
2nd Quarter Play-by-Play
UAB at 15:00,,UAB,MTU
3rd and 3 at UAB 42,"CLEMENTS, Cody pass incomplete to HUMPHREY, Maudr (LUCKETT, C.), QB hurry by RHODES, Steven, PENALTY MT personal foul (WAFFORD, Trey) 15 yards to the MT43, 1ST DOWN UAB, NO PLAY. for a 1ST down",6,14
1st and 10 at MTU 43,Jordan Howard run for 5 yds to the MTnSt 38,,
2nd and 5 at MTU 38,Cody Clements run for 8 yds to the MTnSt 30 for a 1ST down,,
1st and 10 at MTU 30,D.J. Vinson run for 1 yd to the MTnSt 29,,
2nd and 9 at MTU 29,Cody Clements pass complete to D.J. Vinson for 3 yds to the MTnSt 26,,
3rd and 6 at MTU 26,Cody Clements pass complete to D.J. Vinson for 8 yds to the MTnSt 18 for a 1ST down,,
1st and 10 at MTU 18,Jordan Howard run for 1 yd to the MTnSt 17,,
2nd and 9 at MTU 17,Jordan Howard run for 2 yds to the MTnSt 15,,
3rd and 7 at MTU 15,Cody Clements pass incomplete,,
4th and 7 at MTU 15,Ty Long 32 yd FG GOOD,9,14
"UAB DRIVE TOTALS: 11 plays, 50 yards, 3:51"
Middle Tennessee at 11:34,,UAB,MTU
,Ty Long kickoff for 65 yds for a touchback,9,14
1st and 10 at MTU 25,Austin Grammer pass incomplete to Marcus Henry,,
2nd and 10 at MTU 25,Austin Grammer pass incomplete,,
3rd and 10 at MTU 25,Austin Grammer pass incomplete,,
4th and 10 at MTU 25,"MIDDLE TENN Penalty, false start (-5 Yards) to the MTnSt 20",,
4th and 15 at MTU 20,Zachary Lopez punt for 55 yds,,
"MTSU DRIVE TOTALS: 3 plays, -5 yards, 0:30"
UAB at 11:04,,UAB,MTU
1st and 10 at UAB 25,"Cody Clements pass complete to Josh Magee for 15 yds to the UAB 40 for a 1ST down MIDDLE TENN Penalty, Defensive offside (NA) declined for a 1ST down",9,14
1st and 10 at UAB 40,Jordan Howard run for 4 yds to the UAB 44,,
2nd and 1 at MTU 40,Cody Clements pass complete to Kennard Backman for 8 yds to the MTnSt 32 for a 1ST down,,
1st and 10 at MTU 32,D.J. Vinson run for 2 yds to the MTnSt 30,,
2nd and 6 at UAB 44,Jordan Howard run for 7 yds to the MTnSt 49 for a 1ST down,,
1st and 10 at MTU 49,Cody Clements run for 9 yds to the MTnSt 40,,
2nd and 8 at MTU 30,D.J. Vinson run for 7 yds to the MTnSt 23,,
3rd and 1 at MTU 23,D.J. Vinson run for 2 yds to the MTnSt 21 for a 1ST down,,
3rd and 3 at MTU 14,Jordan Howard run for 6 yds to the MTnSt 8 for a 1ST down,,
1st and Goal at MTU 8,Jordan Howard run for 7 yds to the MTnSt 1,,
1st and 10 at MTU 21,Cody Clements pass complete to Kennard Backman for 4 yds to the MTnSt 17,,
2nd and 6 at MTU 17,Jordan Howard run for 3 yds to the MTnSt 14,,
,"Timeout UAB, clock 06:09",,
2nd and Goal at MTU 1,"Jordan Howard run for 1 yd for a TD, (Cody Clements failed )",15,14
"UAB DRIVE TOTALS: 13 plays, 75 yards, 4:59"
Middle Tennessee at 6:05,,UAB,MTU
,"Ty Long kickoff for 57 yds , Reggie Whatley return for 33 yds to the MTnSt 41",15,14
1st and 10 at MTU 41,Shane Tucker run for 9 yds to the 50 yard line,,
2nd and 1 at 50,Jeremiah Bryson run for 13 yds to the UAB 37 for a 1ST down,,
1st and 10 at UAB 37,Jeremiah Bryson run for 34 yds to the UAB 3 for a 1ST down,,
1st and Goal at UAB 3,Austin Grammer run for a loss of 3 yards to the UAB 6,,
2nd and Goal at UAB 6,Austin Grammer run for 4 yds to the UAB 2,,
3rd and Goal at UAB 2,"Jeremiah Bryson run for 2 yds for a TD, (Cody Clark KICK)",15,21
"MTSU DRIVE TOTALS: 6 plays, 59 yards, 2:15"
UAB at 3:50,,UAB,MTU
,"Cody Clark kickoff for 65 yds , Jamarcus Nelson return for 21 yds to the UAB 21",15,21
1st and 10 at UAB 21,Josh Magee run for 7 yds to the UAB 28,,
2nd and 3 at UAB 28,Jordan Howard run for 1 yd to the UAB 29,,
3rd and 2 at UAB 29,Cody Clements run for 10 yds to the UAB 39 for a 1ST down,,
1st and 10 at UAB 39,"UAB Penalty, false start (-5 Yards) to the UAB 34",,
1st and 15 at UAB 34,Cody Clements pass complete to Jamari Staples for 10 yds to the UAB 44,,
2nd and 5 at UAB 44,Jordan Howard run for 3 yds to the UAB 47,,
3rd and 2 at UAB 47,Jordan Howard run for a loss of 2 yards to the UAB 45,,
,"Timeout MIDDLE TENN, clock 01:16",,
4th and 4 at UAB 45,Hunter Mullins punt for 35 yds,,
"UAB DRIVE TOTALS: 6 plays, 24 yards, 2:41"
Middle Tennessee at 1:09,,UAB,MTU
1st and 10 at MTU 20,Reggie Whatley run for 9 yds to the MTnSt 29,15,21
2nd and 1 at MTU 29,Reggie Whatley run for 15 yds to the MTnSt 44 for a 1ST down,,
,"Timeout MIDDLE TENN, clock 00:45",,
1st and 10 at MTU 44,Reggie Whatley run for a loss of 1 yard to the MTnSt 43,,
2nd and 11 at MTU 43,Austin Grammer run for no gain to the MTnSt 43,,
3rd and 11 at MTU 43,Shane Tucker run for 8 yds to the UAB 49,,
4th and 3 at UAB 49,Austin Grammer pass incomplete,,
,End of 2nd Quarter,,
"MTSU DRIVE TOTALS: 6 plays, 31 yards, 1:09"
3rd Quarter Play-by-Play
UAB at 15:00,,UAB,MTU
,"Cody Clark kickoff for 45 yds , Lamarcus Farmer return for 12 yds to the UAB 32",15,21
1st and 10 at UAB 32,Cody Clements pass complete to Maudrecus Humphrey for 4 yds to the UAB 36,,
2nd and 6 at UAB 36,Cody Clements pass incomplete to Josh Magee,,
3rd and 6 at UAB 36,"Cody Clements pass incomplete to Josh Magee, broken up by Khari Burke",,
4th and 6 at UAB 36,"Hunter Mullins punt for 43 yds, downed at the MIDDLETENN 21 UAB Penalty, personal foul (NA) to the MTnSt 36",,
"UAB DRIVE TOTALS: 3 plays, 4 yards, 0:53"
Middle Tennessee at 14:07,,UAB,MTU
1st and 10 at MTU 36,Austin Grammer sacked by Chris Walton for a loss of 7 yards to the MTnSt 29,15,21
2nd and 17 at MTU 29,"MIDDLE TENN Penalty, false start (NA) to the MTnSt 24",,
2nd and 22 at MTU 24,Reggie Whatley run for 4 yds to the MTnSt 28,,
3rd and 18 at MTU 28,Austin Grammer pass incomplete to Demetrius Frazier,,
4th and 18 at MTU 28,"Zachary Lopez punt for 45 yds , Jamarcus Nelson returns for 3 yds to the UAB 30",,
"MTSU DRIVE TOTALS: 3 plays, -8 yards, 1:29"
UAB at 12:38,,UAB,MTU
1st and 10 at UAB 30,Jordan Howard run for 3 yds to the UAB 33,15,21
2nd and 7 at UAB 33,Cody Clements sacked by Shaquille Huff for a loss of 9 yards to the UAB 24,,
3rd and 16 at UAB 24,"Cody Clements pass incomplete to Kennard Backman, broken up by Jared Singletary",,
4th and 16 at UAB 24,"Hunter Mullins punt for 61 yds , u""Ed'Marques Batties"",  returns for 10 yds to the MTnSt 25",,
"UAB DRIVE TOTALS: 3 plays, -6 yards, 1:24"
Middle Tennessee at 11:14,,UAB,MTU
1st and 10 at MTU 25,Austin Grammer pass complete to Marcus Henry for 6 yds to the MTnSt 31,15,21
2nd and 4 at MTU 31,Jeremiah Bryson run for a loss of 3 yards to the MTnSt 28,,
3rd and 7 at MTU 28,"Austin Grammer pass incomplete to Devin Clarke, broken up by Robert Mondie",,
4th and 7 at MTU 28,"Zachary Lopez punt for 23 yds, punt out-of-bounds at the UAB 49",,
"MTSU DRIVE TOTALS: 3 plays, 3 yards, 1:21"
UAB at 9:53,,UAB,MTU
1st and 10 at UAB 49,Jamarcus Nelson run for 12 yds to the MTnSt 39 for a 1ST down,15,21
1st and 10 at MTU 39,Jordan Howard run for 4 yds to the MTnSt 35,,
2nd and 6 at MTU 35,Jordan Howard run for 2 yds to the MTnSt 33,,
3rd and 4 at MTU 33,Jordan Howard run for 2 yds to the MTnSt 31,,
4th and 2 at MTU 31,Cody Clements pass complete to Jordan Howard for 3 yds to the MTnSt 28 for a 1ST down,,
1st and 10 at MTU 28,D.J. Vinson run for 2 yds to the MTnSt 26,,
2nd and 8 at MTU 26,Cody Clements run for 5 yds to the MTnSt 21,,
3rd and 3 at MTU 21,"Cody Clements pass incomplete to Kennard Backman, broken up by Jimal McBride",,
4th and 3 at MTU 21,Cody Clements sacked by T.T. Barber for a loss of 2 yards to the MTnSt 23,,
"UAB DRIVE TOTALS: 9 plays, 28 yards, 2:48"
Middle Tennessee at 7:05,,UAB,MTU
1st and 10 at MTU 23,"GRAMMER, Austin pass incomplete to CLARKE, Devin, PENALTY UAB pass interference (FARMER, Lamarcu) 15 yards to the MT38, 1ST DOWN MT, NO PLAY. for a 1ST down",15,21
1st and 10 at MTU 38,Austin Grammer run for 9 yds to the MTnSt 47,,
2nd and 1 at MTU 47,Shane Tucker run for 4 yds to the UAB 49 for a 1ST down,,
1st and 10 at UAB 49,"Austin Grammer sacked by Diaheem Watkins for a loss of 9 yards to the MTnSt 44 Austin Grammer fumbled, recovered by MTnSt Austin Grammer , return for 0 yards",,
2nd and 17 at MTU 44,Austin Grammer pass complete to Shane Tucker for 6 yds to the 50 yard line,,
3rd and 11 at 50,"Austin Grammer pass incomplete to Devin Clarke, broken up by Lamarcus Farmer",,
4th and 11 at 50,"Zachary Lopez punt for 24 yds, punt out-of-bounds at the UAB 26",,
"MTSU DRIVE TOTALS: 5 plays, 27 yards, 2:48"
UAB at 4:17,,UAB,MTU
1st and 10 at UAB 26,Jordan Howard run for 4 yds to the UAB 30,15,21
,"Timeout UAB, clock 03:43",,
2nd and 6 at UAB 30,Cody Clements pass complete to Jamarcus Nelson for 3 yds to the UAB 33,,
3rd and 3 at UAB 33,Cody Clements pass complete to Kennard Backman for 6 yds to the UAB 39 for a 1ST down,,
