0774074220140927,,774,742
1st Quarter Play-by-Play
Western Michigan at 15:00,,WMU,VT
1st and 10 at VT 35,Andrew Motuapuaka 11 Yd Fumble Return (Joey Slye PAT blocked),0,6
"WMU DRIVE TOTALS: 0 plays, 0 yards, 0:08"
Western Michigan at 14:52,,WMU,VT
,Mitchell Ludwig kickoff for 65 yds for a touchback,0,6
1st and 10 at WMU 25,Zach Terrell pass complete to Daniel Braverman for 7 yds to the WMich 32,,
2nd and 3 at WMU 32,Zach Terrell pass incomplete to Daniel Braverman,,
3rd and 3 at WMU 32,Zach Terrell sacked by Chase Williams and Nigel Williams for a loss of 7 yards to the WMich 25,,
"WMU DRIVE TOTALS: 4 plays, -25 yards, 1:26"
Virginia Tech at 13:21,,WMU,VT
,"J. Schroeder kickoff for 64 yds , Greg Stroman return for 18 yds to the VTech 34",0,8
 and Goal at ,Team Safety,0,8
1st and 10 at VT 34,Marshawn Williams run for 3 yds to the VTech 37,,
2nd and 7 at VT 37,Marshawn Williams run for 42 yds to the WMich 21 for a 1ST down,,
1st and 10 at WMU 21,Marshawn Williams run for 1 yd to the WMich 20,,
2nd and 9 at WMU 20,Michael Brewer pass incomplete to N/A,,
3rd and 9 at WMU 20,"Michael Brewer pass incomplete to Isaiah Ford, broken up by Donald Celiscar",,
4th and 9 at WMU 20,Joey Slye 37 yd FG GOOD,0,11
"VT DRIVE TOTALS: 6 plays, 46 yards, 1:38"
Western Michigan at 11:43,,WMU,VT
1st and 10 at WMU 25,"FRANKLIN, Jarvion rush up middle for 5 yards to the WMU30 (Detrick Bonner), PENALTY VT offside defense (Deon Clarke) 5 yards to the WMU30, NO PLAY.",0,11
1st and 5 at WMU 30,Zach Terrell pass incomplete to Michael Henry,,
,Mitchell Ludwig kickoff for 65 yds for a touchback,,
2nd and 5 at WMU 30,Zach Terrell pass incomplete to Jarvion Franklin,,
3rd and 5 at WMU 30,"WESTRN MICHIGAN Penalty, false start (N/A) to the WMich 25",,
3rd and 10 at WMU 25,"Zach Terrell sacked by Woody Baron and Chase Williams for a loss of 2 yards to the WMich 23 WESTRN MICHIGAN Penalty, H ( Yards) declined",,
4th and 12 at WMU 23,"J. Schroeder punt for 59 yds, punt out-of-bounds at the VTech 16 , Greg Stroman returns for a loss of 2 yards to the VTech 16",,
"WMU DRIVE TOTALS: 3 plays, -2 yards, 1:16"
Virginia Tech at 10:27,,WMU,VT
1st and 10 at VT 16,Michael Brewer pass complete to Isaiah Ford for 15 yds to the VTech 31 for a 1ST down,0,11
1st and 10 at VT 31,Shai McKenzie run for 2 yds to the VTech 33,,
2nd and 8 at VT 33,"Michael Brewer pass incomplete, PENALTY VT holding 10 yards to the VT23, NO PLAY, clock 09:35.",,
2nd and 18 at VT 23,Michael Brewer run for no gain to the VTech 23,,
3rd and 18 at VT 23,Michael Brewer run for 4 yds to the VTech 27,,
4th and 14 at VT 27,A.J. Hughes punt for 56 yds,,
"VT DRIVE TOTALS: 4 plays, 11 yards, 2:26"
Western Michigan at 8:01,,WMU,VT
1st and 10 at WMU 17,Jarvion Franklin run for 17 yds to the WMich 34 for a 1ST down,0,11
1st and 10 at WMU 34,Zach Terrell pass incomplete to Michael Henry,,
2nd and 10 at WMU 34,Zach Terrell pass incomplete,,
3rd and 10 at WMU 34,Zach Terrell pass complete to Daniel Braverman for 7 yds to the WMich 41,,
4th and 3 at WMU 41,"J. Schroeder punt for 49 yds , Greg Stroman returns for 19 yds to the VTech 29",,
"WMU DRIVE TOTALS: 4 plays, 24 yards, 1:37"
Virginia Tech at 6:24,,WMU,VT
1st and 10 at VT 29,Marshawn Williams run for 1 yd to the VTech 30,0,11
2nd and 9 at VT 30,Michael Brewer pass intercepted Ronald Zamort return for 39 yds to the VTech 3,,
"VT DRIVE TOTALS: 2 plays, 1 yard, 0:50"
Western Michigan at 5:34,,WMU,VT
1st and Goal at VT 3,Jarvion Franklin run for 1 yd to the VTech 2,0,11
2nd and Goal at VT 2,Jarvion Franklin run for 1 yd to the VTech 1,,
3rd and Goal at VT 1,"Jarvion Franklin run for 1 yd for a TD, (Andrew Haldeman KICK)",7,11
"WMU DRIVE TOTALS: 3 plays, 3 yards, 1:19"
Virginia Tech at 4:07,,WMU,VT
,"Brett Scanlon kickoff for 65 yds , Demitri Knowles return for 20 yds to the VTech 20",7,11
1st and 10 at VT 20,Michael Brewer pass incomplete,,
2nd and 10 at VT 20,Michael Brewer pass complete to Willie Byrn for 4 yds to the VTech 24,,
3rd and 6 at VT 24,Michael Brewer pass complete to Bucky Hodges for 14 yds to the VTech 38 for a 1ST down,,
,"Timeout WESTRN MICHIGAN, clock 03:19",,
1st and 10 at VT 38,Shai McKenzie run for 3 yds to the VTech 41,,
2nd and 7 at VT 41,Shai McKenzie run for a loss of 1 yard to the VTech 40,,
3rd and 8 at VT 40,Michael Brewer pass complete to Isaiah Ford for 15 yds to the WMich 45 for a 1ST down,,
1st and 10 at WMU 45,Michael Brewer pass incomplete to N/A,,
2nd and 10 at WMU 45,"Michael Brewer pass incomplete to Kalvin Cline, PENALTY WMU pass interference (ISHMAEL, Trevor) 15 yards to the WMU30, 1ST DOWN VT, NO PLAY. for a 1ST down",,
1st and 10 at WMU 30,Michael Brewer pass incomplete,,
2nd and 10 at WMU 30,J.C. Coleman run for 1 yd to the WMich 29,,
3rd and 9 at WMU 29,"Michael Brewer pass complete to Bucky Hodges for 29 yds for a TD, (Joey Slye KICK)",7,18
"VT DRIVE TOTALS: 10 plays, 80 yards, 3:18"
Western Michigan at 0:49,,WMU,VT
,Mitchell Ludwig kickoff for 65 yds for a touchback,7,18
1st and 10 at WMU 25,Jarvion Franklin run for 1 yd to the WMich 26,,
2nd and 9 at WMU 26,Jarvion Franklin run for 2 yds to the WMich 28,,
,End of 1st Quarter,,
2nd Quarter Play-by-Play
Western Michigan at 15:00,,WMU,VT
3rd and 7 at WMU 28,Zach Terrell pass complete to Daniel Braverman for 8 yds to the WMich 36 for a 1ST down,7,18
1st and 10 at WMU 36,Jarvion Franklin run for 5 yds to the WMich 41,,
2nd and 5 at WMU 41,Zach Terrell pass complete to Jarvion Franklin for a loss of 2 yards to the WMich 39,,
3rd and 7 at WMU 39,Zach Terrell pass complete to Daniel Braverman for 3 yds to the WMich 42,,
4th and 4 at WMU 42,"J. Schroeder punt for 36 yds, downed at the VTech 22",,
"WMU DRIVE TOTALS: 6 plays, 17 yards, 3:41"
Virginia Tech at 12:08,,WMU,VT
1st and 10 at VT 22,Marshawn Williams run for a loss of 3 yards to the VTech 19,7,18
