0414041820140913,,414,418
1st Quarter Play-by-Play
Michigan at 15:00,,MU,MICH
,"Kaleb Patterson kickoff for 57 yds , Dennis Norfleet return for 42 yds to the 50 yard line",0,0
1st and 10 at 50,Derrick Green run for 2 yds to the MiaOh 48,,
2nd and 8 at M-OH 48,Derrick Green run for 4 yds to the MiaOh 44,,
3rd and 4 at M-OH 44,"Devin Gardner pass complete to u""Da'Mario Jones"",  for 11 yds to the MiaOh 33 for a 1ST down",,
1st and 10 at M-OH 33,Devin Gardner pass complete to Jehu Chesson for 16 yds to the MiaOh 17 for a 1ST down,,
1st and 10 at M-OH 17,Derrick Green run for 7 yds to the MiaOh 10,,
2nd and 3 at M-OH 10,"TEAM run for a loss of 2 yards to the MiaOh 12 TEAM fumbled, recovered by Mich Derrick Green",,
3rd and 5 at M-OH 12,Devin Gardner pass incomplete to N/A,,
4th and 5 at M-OH 12,Matt Wile 29 yd FG GOOD,0,3
"MICH DRIVE TOTALS: 8 plays, 38 yards, 3:47"
Miami (OH) at 11:13,,MU,MICH
,"Matt Wile kickoff for 61 yds , Dawan Scott return for 15 yds to the MiaOh 19",0,3
1st and 10 at M-OH 19,Paul Moses run for 1 yd to the MiaOh 20,,
2nd and 9 at M-OH 20,"MIAMI OH Penalty, false start (N/A) to the MiaOh 15",,
2nd and 14 at M-OH 15,"MIAMI OH Penalty, delay of game (-5 Yards) to the MiaOh 10",,
2nd and 19 at M-OH 10,Andrew Hendrix pass intercepted Jourdan Lewis return for no gain to the MiaOh 37,,
"M-OH DRIVE TOTALS: 2 plays, -9 yards, 1:41"
Michigan at 9:32,,MU,MICH
1st and 10 at M-OH 37,Devin Gardner run for 6 yds to the MiaOh 31,0,3
2nd and 4 at M-OH 31,Derrick Green run for 8 yds to the MiaOh 23 for a 1ST down,,
1st and 10 at M-OH 23,Devin Gardner pass complete to Jehu Chesson for 4 yds to the MiaOh 19,,
2nd and 6 at M-OH 19,Derrick Green run for 2 yds to the MiaOh 17,,
3rd and 4 at M-OH 17,"Devin Gardner pass complete to Amara Darboh for 17 yds for a TD, (Matt Wile KICK)",0,10
"MICH DRIVE TOTALS: 5 plays, 37 yards, 2:32"
Miami (OH) at 7:00,,MU,MICH
