0716029520141115,,716,295
1st Quarter Play-by-Play
Troy at 15:00,,TSU,IDA
,"Austin Rehkow kickoff for 53 yds , Teddy Ruben return for 11 yds to the Troy 23",0,0
1st and 10 at TROY 23,Brandon Silvers pass complete to Bryan Holmes for a loss of 2 yards to the Troy 21,,
2nd and 12 at TROY 21,Josh Anderson run for 8 yds to the Troy 29,,
3rd and 4 at TROY 29,Brandon Silvers pass complete to Khary Franklin for 30 yds to the Idaho 41 for a 1ST down,,
1st and 10 at IDHO 41,"Brandon Silvers pass complete to Bryan Holmes for 41 yds for a TD, (Ryan Kay KICK)",7,0
"TROY DRIVE TOTALS: 4 plays, 77 yards, 1:44"
Idaho at 13:16,,TSU,IDA
,Jed Solomon kickoff for 65 yds for a touchback,7,0
1st and 10 at IDHO 25,"R Montgomery rush for loss of 2 yards to the IDAHO23 (Hall, Tray), PENALTY TROY offside defense (Odaibo, Femi) 10 yards to the IDAHO35, 1ST DOWN IDAHO, NO PLAY. for a 1ST down",,
1st and 5 at IDHO 30,Jerrel Brown run for 4 yds to the Idaho 34,,
2nd and 1 at IDHO 34,Matt Linehan pass incomplete,,
3rd and 1 at IDHO 34,Elijhaa Penny run for a loss of 1 yard to the Idaho 33,,
4th and 2 at IDHO 33,"Austin Rehkow punt for 41 yds, fair catch by Teddy Ruben at the Troy 26",,
"IDHO DRIVE TOTALS: 3 plays, 8 yards, 1:41"
Troy at 11:35,,TSU,IDA
1st and 10 at TROY 26,Brandon Silvers pass complete to John Johnson for 8 yds to the Troy 34,7,0
2nd and 2 at TROY 34,Jordan Chunn run for 9 yds to the Troy 43 for a 1ST down,,
1st and 10 at TROY 43,Brandon Silvers pass complete to Jarvis Bentley for 9 yds to the Idaho 48,,
2nd and 1 at IDHO 48,Josh Anderson run for 6 yds to the Idaho 42 for a 1ST down,,
1st and 10 at IDHO 42,Brandon Silvers sacked by Ryan Edwards for a loss of 7 yards to the Idaho 49,,
2nd and 17 at IDHO 49,Jordan Chunn run for 6 yds to the Idaho 43,,
3rd and 11 at IDHO 43,"Silvers, B. pass incomplete, PENALTY IDAHO offside defense (Quinton Bradley) 5 yards to the IDAHO38, NO PLAY.",,
3rd and 6 at IDHO 38,Brandon Silvers pass complete to Khary Franklin for 7 yds to the Idaho 31 for a 1ST down,,
1st and 10 at IDHO 31,Jordan Chunn run for 4 yds to the Idaho 27,,
2nd and 6 at IDHO 27,Jordan Chunn run for 4 yds to the Idaho 23,,
3rd and 2 at IDHO 23,Khary Franklin run for 1 yd to the Idaho 22,,
4th and 1 at IDHO 22,Josh Anderson run for a loss of 2 yards to the Idaho 24,,
"TROY DRIVE TOTALS: 11 plays, 50 yards, 4:35"
Idaho at 7:00,,TSU,IDA
1st and 10 at IDHO 24,Jerrel Brown run for 18 yds to the Idaho 42 for a 1ST down,7,0
1st and 10 at IDHO 42,Matt Linehan pass complete to Joshua McCain for 4 yds to the Idaho 46,,
2nd and 6 at IDHO 46,Jerrel Brown run for 9 yds to the Troy 45 for a 1ST down,,
1st and 10 at TROY 45,Jerrel Brown run for 8 yds to the Troy 37,,
2nd and 2 at TROY 37,Matt Linehan pass incomplete,,
3rd and 2 at TROY 37,Jerrel Brown run for 1 yd to the Troy 36,,
3rd and 1 at TROY 36,Matt Linehan pass incomplete to Justin Podrabsky,,
4th and 1 at TROY 36,Elijhaa Penny run for 1 yd to the Troy 35 for a 1ST down,,
1st and 10 at TROY 35,"Matt Linehan pass incomplete to Joshua McCain, PENALTY TROY pass interference (Davis, Ethan) 21 yards to the TROY14, 1ST DOWN IDAHO, NO PLAY. for a 1ST down",,
1st and 10 at TROY 14,Jerrel Brown run for no gain to the Troy 14,,
2nd and 10 at TROY 14,Matt Linehan pass complete to Justin Podrabsky for 8 yds to the Troy 6,,
3rd and 2 at TROY 6,Matt Linehan pass incomplete to Joshua McCain,,
4th and 2 at TROY 6,Austin Rehkow 23 yd FG GOOD,7,3
"IDHO DRIVE TOTALS: 12 plays, 70 yards, 4:34"
Troy at 2:16,,TSU,IDA
,"Austin Rehkow kickoff for 48 yds , Teddy Ruben return for 31 yds to the Troy 48",7,3
1st and 10 at TROY 48,Khary Franklin run for 24 yds to the Idaho 28 for a 1ST down,,
1st and 10 at IDHO 28,Jordan Chunn run for 2 yds to the Idaho 26,,
2nd and 8 at IDHO 26,Jordan Chunn run for 4 yds to the Idaho 22,,
3rd and 4 at IDHO 22,Brandon Silvers pass incomplete,,
4th and 4 at IDHO 22,Ryan Kay 40 yd FG GOOD,10,3
"TROY DRIVE TOTALS: 5 plays, 30 yards, 1:40"
Idaho at 0:30,,TSU,IDA
,"Jed Solomon kickoff for 65 yds , Richard Montgomery return for 24 yds to the Idaho 24",10,3
1st and 10 at IDHO 24,Matt Linehan pass complete to Richard Montgomery for 30 yds to the Troy 46 for a 1ST down,,
1st and 10 at TROY 46,Jerrel Brown run for 12 yds to the Troy 34 for a 1ST down,,
,End of 1st Quarter,,
2nd Quarter Play-by-Play
Idaho at 15:00,,TSU,IDA
1st and 10 at TROY 34,"Matt Linehan rush for 9 yards to the TROY25 (Young, Jacquez), PENALTY TROY personal foul (Young, Jacquez) 21 yards to the TROY13, 1ST DOWN IDAHO, NO PLAY. for a 1ST down",10,3
1st and 10 at TROY 13,"Jerrel Brown rush for 2 yards to the TROY11 (Chunn, Jordan), PENALTY IDAHO holding (Mason Woods) 10 yards to the TROY23, NO PLAY.",,
1st and 20 at TROY 23,Matt Linehan pass complete to Richard Montgomery for 5 yds to the Troy 18,,
2nd and 15 at TROY 18,"Matt Linehan pass incomplete, broken up by JaQuadrian Lewis",,
3rd and 15 at TROY 18,Matt Linehan run for a loss of 6 yards to the Troy 24,,
4th and 21 at TROY 24,Austin Rehkow 41 yd FG MISSED,,
"IDHO DRIVE TOTALS: 6 plays, 52 yards, 2:34"
Troy at 12:56,,TSU,IDA
1st and 10 at TROY 31,Brandon Silvers pass incomplete,10,3
2nd and 10 at TROY 31,Jordan Chunn run for 4 yds to the Troy 35,,
3rd and 6 at TROY 35,Jordan Chunn run for 2 yds to the Troy 37,,
4th and 4 at TROY 37,Jordan Chunn run for 27 yds to the Idaho 36 for a 1ST down,,
1st and 10 at IDHO 36,Khary Franklin run for a loss of 10 yards to the Idaho 46,,
2nd and 20 at IDHO 46,Brandon Silvers pass complete to Khary Franklin for 10 yds to the Idaho 36,,
,"Timeout TROY, clock 10:28",,
3rd and 10 at IDHO 36,Khary Franklin run for 10 yds to the Idaho 26 for a 1ST down,,
1st and 10 at IDHO 26,Brandon Silvers pass complete to Bryan Holmes for a loss of 8 yards to the Idaho 34,,
2nd and 18 at IDHO 34,Jordan Chunn run for 6 yds to the Idaho 28,,
3rd and 12 at IDHO 28,Brandon Silvers pass complete to Teddy Ruben for 3 yds to the Idaho 25,,
4th and 9 at IDHO 25,Jordan Chunn run for 11 yds to the Idaho 14 for a 1ST down,,
1st and 10 at IDHO 14,Josh Anderson run for 1 yd to the Idaho 13,,
2nd and 9 at IDHO 13,"Jordan Chunn run for 13 yds for a TD, (Ryan Kay KICK)",17,3
"TROY DRIVE TOTALS: 13 plays, 69 yards, 5:36"
Idaho at 7:11,,TSU,IDA
,"Jed Solomon kickoff for 64 yds , Richard Montgomery return for 35 yds to the Idaho 36",17,3
1st and 10 at IDHO 36,Matt Linehan pass incomplete to Richard Montgomery,,
2nd and 10 at IDHO 36,"Matt Linehan pass complete to Joshua McCain for 64 yds for a TD, (Austin Rehkow KICK)",17,10
"IDHO DRIVE TOTALS: 2 plays, 64 yards, 0:17"
Troy at 6:46,,TSU,IDA
,"Austin Rehkow kickoff for 39 yds , Chandler Worthy return for 7 yds to the Troy 33",17,10
1st and 10 at TROY 33,Brandon Silvers pass complete to Chandler Worthy for 2 yds to the Troy 35,,
2nd and 8 at TROY 35,Khary Franklin run for 1 yd to the Troy 36,,
3rd and 7 at TROY 36,Khary Franklin run for 13 yds to the Troy 49 for a 1ST down,,
