0301079620141011,,301,796
,"WISCONSIN wins the coin toss, and will receive.",,
1st Quarter Play-by-Play
Wisconsin at 15:00,,ILL,WIS
,"Taylor Zalewski kickoff for 65 yds , Kenzel Doe return for 20 yds to the Wisc 20",0,0
1st and 10 at WIS 20,"Melvin Gordon run for 15 yds to the Wisc 35 for a 1ST down ILLINOIS Penalty, Face Mask (15 yards) (15 Yards) to the 50 yard line for a 1ST down",,
1st and 10 at 50,Melvin Gordon run for 5 yds to the Illin 45,,
2nd and 5 at ILL 45,Melvin Gordon run for 8 yds to the Illin 37 for a 1ST down,,
1st and 10 at ILL 37,Natrell Jamerson run for 23 yds to the Illin 14 for a 1ST down,,
1st and 10 at ILL 14,Melvin Gordon run for a loss of 1 yard to the Illin 15,,
2nd and 11 at ILL 15,"Melvin Gordon run for 15 yds for a TD, (Rafael Gaglianone KICK)",0,7
"WIS DRIVE TOTALS: 6 plays, 80 yards, 2:48"
Illinois at 12:12,,ILL,WIS
,"Andrew Endicott kickoff for 61 yds , u""V'Angelo Bentley"",  return for 12 yds to the Illin 16",0,7
1st and 10 at ILL 16,Josh Ferguson run for 12 yds to the Illin 28 for a 1ST down,,
1st and 10 at ILL 28,"u""Reilly O'Toole"",  pass incomplete",,
2nd and 10 at ILL 28,Josh Ferguson run for a loss of 1 yard to the Illin 27,,
3rd and 11 at ILL 27,"u""Reilly O'Toole"",  pass incomplete",,
4th and 11 at ILL 27,"Justin DuVernois punt for 72 yds, downed at the Wisc 1",,
"ILL DRIVE TOTALS: 4 plays, 11 yards, 1:42"
Wisconsin at 10:30,,ILL,WIS
1st and 10 at WIS 1,Melvin Gordon run for 2 yds to the Wisc 3,0,7
2nd and 8 at WIS 3,Melvin Gordon run for 3 yds to the Wisc 6,,
3rd and 5 at WIS 6,Melvin Gordon run for a loss of 1 yard to the Wisc 5,,
4th and 6 at WIS 5,"Drew Meyer punt for 35 yds , u""V'Angelo Bentley"",  returns for 9 yds to the Wisc 31",,
"WIS DRIVE TOTALS: 3 plays, 4 yards, 2:09"
Illinois at 8:21,,ILL,WIS
1st and 10 at WIS 31,Josh Ferguson run for 19 yds to the Wisc 12 for a 1ST down,0,7
1st and 10 at WIS 12,Josh Ferguson run for 2 yds to the Wisc 10,,
2nd and 8 at WIS 10,"u""Reilly O'Toole"",  run for 2 yds to the Wisc 8",,
3rd and 6 at WIS 8,"u""Reilly O'Toole"",  pass complete to Matt LaCosse for 8 yds for a TD, (David Reisner KICK)",7,7
"ILL DRIVE TOTALS: 4 plays, 31 yards, 1:38"
Wisconsin at 6:43,,ILL,WIS
,"Taylor Zalewski kickoff for 65 yds , Kenzel Doe return for 19 yds to the Wisc 19",7,7
1st and 10 at WIS 19,Corey Clement run for no gain to the Wisc 19,,
2nd and 10 at WIS 19,Corey Clement run for a loss of 1 yard to the Wisc 18,,
3rd and 11 at WIS 18,Joel Stave pass incomplete,,
4th and 11 at WIS 18,"Drew Meyer punt for 35 yds , Darius Mosely returns for 11 yds to the Wisc 42",,
"WIS DRIVE TOTALS: 3 plays, -1 yard, 1:46"
Illinois at 4:57,,ILL,WIS
1st and 10 at WIS 42,"u""Reilly O'Toole"",  pass complete to Geronimo Allison for 9 yds to the Wisc 33",7,7
2nd and 1 at WIS 33,"u""Reilly O'Toole"",  run for 18 yds to the Wisc 15 for a 1ST down",,
1st and 10 at WIS 15,Devin Church run for 3 yds to the Wisc 12,,
2nd and 7 at WIS 12,"u""Reilly O'Toole"",  run for 7 yds to the Wisc 5 for a 1ST down",,
1st and Goal at WIS 5,"u""Reilly O'Toole"",  pass complete to Geronimo Allison for 5 yds for a TD, (David Reisner KICK)",14,7
"ILL DRIVE TOTALS: 5 plays, 42 yards, 1:49"
Wisconsin at 3:08,,ILL,WIS
,Taylor Zalewski kickoff for 65 yds for a touchback,14,7
1st and 10 at WIS 25,Joel Stave pass incomplete,,
2nd and 10 at WIS 25,Melvin Gordon run for 1 yd to the Wisc 26,,
3rd and 9 at WIS 26,Joel Stave pass complete to Alex Erickson for 10 yds to the Wisc 36 for a 1ST down,,
1st and 10 at WIS 36,Melvin Gordon run for 2 yds to the Wisc 38,,
2nd and 8 at WIS 38,Joel Stave pass complete to Sam Arneson for 7 yds to the Wisc 45,,
3rd and 1 at WIS 45,Melvin Gordon run for 4 yds to the Wisc 49 for a 1ST down,,
,End of 1st Quarter,,
2nd Quarter Play-by-Play
Wisconsin at 15:00,,ILL,WIS
1st and 10 at WIS 49,Joel Stave pass complete to Sam Arneson for 22 yds to the Illin 29 for a 1ST down,14,7
1st and 10 at ILL 29,Melvin Gordon run for 3 yds to the Illin 26,,
2nd and 7 at ILL 26,Joel Stave pass complete to Sam Arneson for 5 yds to the Illin 21,,
3rd and 2 at ILL 21,"Stave, Joel pass incomplete to Arneson, Sam, PENALTY ILLINOIS pass interference 15 yards to the ILLINOIS6, NO PLAY, 1ST DOWN WISCONSIN. for a 1ST down",,
1st and Goal at ILL 6,"Melvin Gordon run for 6 yds for a TD, (Rafael Gaglianone KICK)",14,14
"WIS DRIVE TOTALS: 10 plays, 75 yards, 5:11"
Illinois at 12:57,,ILL,WIS
,"Andrew Endicott kickoff for 64 yds , u""V'Angelo Bentley"",  return for 29 yds to the Illin 30",14,14
1st and 10 at ILL 30,"u""Reilly O'Toole"",  pass complete to Josh Ferguson for 9 yds to the Illin 39",,
2nd and 1 at ILL 39,Josh Ferguson run for a loss of 5 yards to the Illin 34,,
3rd and 6 at ILL 34,"u""Reilly O'Toole"",  sacked by Ben Ruechel for a loss of 8 yards to the Illin 26",,
4th and 14 at ILL 26,"Justin DuVernois punt for 53 yds, downed at the Wisc 21",,
"ILL DRIVE TOTALS: 3 plays, -4 yards, 2:14"
Wisconsin at 10:43,,ILL,WIS
1st and 10 at WIS 21,Tanner McEvoy run for 12 yds to the Wisc 33 for a 1ST down,14,14
1st and 10 at WIS 33,Alex Erickson run for a loss of 3 yards to the Wisc 30,,
2nd and 13 at WIS 30,Tanner McEvoy pass complete to Kenzel Doe for 16 yds to the Wisc 46 for a 1ST down,,
1st and 10 at WIS 46,Tanner McEvoy pass complete to Alex Erickson for 8 yds to the Illin 46,,
2nd and 2 at ILL 46,Melvin Gordon run for 4 yds to the Illin 42 for a 1ST down,,
1st and 10 at ILL 42,Corey Clement run for 9 yds to the Illin 33,,
2nd and 1 at ILL 33,Corey Clement run for 3 yds to the Illin 30 for a 1ST down,,
1st and 10 at ILL 30,Tanner McEvoy pass incomplete to Alex Erickson,,
2nd and 10 at ILL 30,Melvin Gordon run for 1 yd to the Illin 29,,
3rd and 9 at ILL 29,Tanner McEvoy pass complete to Melvin Gordon for no gain to the Illin 29,,
4th and 9 at ILL 29,Rafael Gaglianone 47 yd FG MISSED,,
"WIS DRIVE TOTALS: 11 plays, 50 yards, 5:21"
Illinois at 5:22,,ILL,WIS
1st and 10 at ILL 29,"u""O'Toole, Reilly pass incomplete, PENALTY WISCONSIN personal foul 15 yards to the ILLINOIS44, NO PLAY, 1ST DOWN ILLINOIS. for a 1ST down""",14,14
1st and 10 at ILL 44,Donovonn Young run for no gain to the Illin 44,,
2nd and 10 at ILL 44,"u""Reilly O'Toole"",  pass complete to Mike Dudek for 5 yds to the Illin 49",,
3rd and 5 at ILL 49,"u""Reilly O'Toole"",  run for 7 yds to the Wisc 44 for a 1ST down",,
,"Timeout ILLINOIS, clock 03:42",,
1st and 10 at WIS 44,"u""Reilly O'Toole"",  pass incomplete",,
2nd and 10 at WIS 44,Josh Ferguson run for 1 yd to the Wisc 43,,
3rd and 9 at WIS 43,"u""Reilly O'Toole"",  pass complete to Josh Ferguson for 7 yds to the Wisc 36",,
,"Timeout ILLINOIS, clock 03:05",,
4th and 2 at WIS 36,Josh Ferguson run for no gain to the Wisc 36,,
"ILL DRIVE TOTALS: 7 plays, 35 yards, 2:40"
Wisconsin at 2:42,,ILL,WIS
1st and 10 at WIS 36,Kenzel Doe run for 34 yds to the Illin 30 for a 1ST down,14,14
1st and 10 at ILL 30,"Melvin Gordon run for 30 yds for a TD, (Rafael Gaglianone KICK)",14,21
"WIS DRIVE TOTALS: 2 plays, 64 yards, 0:28"
Illinois at 2:14,,ILL,WIS
,"Andrew Endicott kickoff for 62 yds , u""V'Angelo Bentley"",  return for 22 yds to the WISCONSIN 43 ILLINOIS Penalty, Illegal Block (10 Yards) to the Illin 15",14,21
1st and 10 at ILL 15,"u""Reilly O'Toole"",  pass complete to Mike Dudek for 4 yds to the Illin 19",,
2nd and 6 at ILL 19,"u""O'Toole, Reilly pass incomplete to Dudek, Mike, PENALTY WISCONSIN pass interference 8 yards to the ILLINOIS27, NO PLAY, 1ST DOWN ILLINOIS. for a 1ST down""",,
1st and 10 at ILL 27,"u""Reilly O'Toole"",  pass complete to Mike Dudek for 26 yds to the Wisc 47 for a 1ST down",,
1st and 10 at WIS 47,"u""Reilly O'Toole"",  pass incomplete",,
2nd and 10 at WIS 47,"u""Reilly O'Toole"",  pass incomplete",,
3rd and 10 at WIS 47,"u""Reilly O'Toole"",  pass incomplete",,
4th and 10 at WIS 47,"Justin DuVernois punt for 25 yds, punt out-of-bounds at the Wisc 22",,
"ILL DRIVE TOTALS: 5 plays, 38 yards, 0:58"
Wisconsin at 1:16,,ILL,WIS
1st and 10 at WIS 22,Melvin Gordon run for 46 yds to the Illin 32 for a 1ST down,14,21
1st and 10 at ILL 32,Melvin Gordon run for 3 yds to the Illin 29,,
,"Timeout WISCONSIN, clock 01:00",,
2nd and 7 at ILL 29,Joel Stave pass incomplete,,
3rd and 7 at ILL 29,Joel Stave pass complete to Jordan Fredrick for 3 yds to the Illin 26,,
,"Timeout WISCONSIN, clock 00:08",,
4th and 4 at ILL 26,Rafael Gaglianone 44 yd FG GOOD,14,24
"WIS DRIVE TOTALS: 5 plays, 52 yards, 1:16"
Illinois at 0:03,,ILL,WIS
,"Andrew Endicott kickoff for 58 yds , Darius Mosely return for 4 yds to the Illin 11",14,24
,End of 2nd Quarter,,
"ILL DRIVE TOTALS: 0 plays, 0 yards, 0:03"
3rd Quarter Play-by-Play
Illinois at 15:00,,ILL,WIS
,Andrew Endicott kickoff for 65 yds for a touchback,14,24
1st and 10 at ILL 25,"u""Reilly O'Toole"",  sacked by Konrad Zagzebski for a loss of 4 yards to the Illin 21",,
2nd and 14 at ILL 21,"u""Reilly O'Toole"",  run for 2 yds to the Illin 23",,
3rd and 12 at ILL 23,"u""Reilly O'Toole"",  sacked by Leon Jacobs for a loss of 9 yards to the Illin 14",,
4th and 21 at ILL 14,"Justin DuVernois punt for 51 yds , Kenzel Doe returns for 14 yds to the Wisc 49",,
"ILL DRIVE TOTALS: 3 plays, -11 yards, 2:07"
Wisconsin at 12:53,,ILL,WIS
1st and 10 at WIS 49,Melvin Gordon run for 5 yds to the Illin 46,14,24
2nd and 5 at ILL 46,Melvin Gordon run for no gain to the Illin 46,,
3rd and 5 at ILL 46,Joel Stave pass incomplete,,
4th and 5 at ILL 46,"Drew Meyer punt for 42 yds, punt out-of-bounds at the Illin 4",,
"WIS DRIVE TOTALS: 3 plays, 5 yards, 1:35"
Illinois at 11:18,,ILL,WIS
1st and 10 at ILL 4,Josh Ferguson run for 5 yds to the Illin 9,14,24
2nd and 5 at ILL 9,Josh Ferguson run for 4 yds to the Illin 13,,
3rd and 1 at ILL 13,"u""Reilly O'Toole"",  pass complete to Martize Barr for 3 yds to the Illin 16 for a 1ST down",,
1st and 10 at ILL 16,Josh Ferguson run for a loss of 3 yards to the Illin 13,,
2nd and 13 at ILL 13,"u""Reilly O'Toole"",  pass complete to Geronimo Allison for 4 yds to the Illin 17",,
3rd and 9 at ILL 17,"u""Reilly O'Toole"",  run for 15 yds to the Illin 32 for a 1ST down",,
1st and 10 at ILL 32,"u""Reilly O'Toole"",  pass complete to Geronimo Allison for 2 yds to the Illin 34",,
2nd and 8 at ILL 34,"u""Reilly O'Toole"",  sacked by Derek Landisch for a loss of 9 yards to the Illin 25",,
