0472003020141129,,472,30
1st Quarter Play-by-Play
Arkansas State at 15:00,,NMSU,ASU
,Maxwell Johnson kickoff for 65 yds for a touchback,0,0
1st and 10 at ARST 25,Fredi Knighten run for 1 yd to the ArkSt 26,,
2nd and 9 at ARST 26,Johnston White run for 9 yds to the ArkSt 35 for a 1ST down,,
1st and 10 at ARST 35,Fredi Knighten pass complete to Tres Houston for 3 yds to the ArkSt 38,,
2nd and 7 at ARST 38,Fredi Knighten run for 2 yds to the ArkSt 40,,
3rd and 5 at ARST 40,"ARKANSAS ST Penalty, false start (-5 Yards) to the ArkSt 35",,
3rd and 10 at ARST 35,Fredi Knighten run for 20 yds to the NMxSt 45 for a 1ST down,,
1st and 10 at NMSU 45,"Fredi Knighten pass complete to Michael Gordon for 45 yds for a TD, (Logan Spry KICK)",0,7
"ARST DRIVE TOTALS: 6 plays, 75 yards, 2:06"
New Mexico State at 12:49,,NMSU,ASU
,"Luke Ferguson kickoff for 42 yds , Anthony Joyner return for 6 yds to the NMxSt 29",0,7
1st and 10 at NMSU 29,Larry Rose III run for 1 yd to the NMxSt 30,,
2nd and 9 at NMSU 30,Tyler Rogers pass complete to Gregory Hogan for 2 yds to the NMxSt 32,,
3rd and 7 at NMSU 32,Tyler Rogers pass complete to Larry Rose III for 4 yds to the NMxSt 36,,
4th and 3 at NMSU 36,"Steven Witkowski punt for 45 yds , Blaise Taylor returns for 26 yds to the ArkSt 45",,
"NMSU DRIVE TOTALS: 3 plays, 7 yards, 2:03"
Arkansas State at 10:46,,NMSU,ASU
1st and 10 at ARST 45,Johnston White run for 8 yds to the NMxSt 47,0,7
2nd and 2 at NMSU 47,Fredi Knighten run for no gain to the NMxSt 47,,
3rd and 2 at NMSU 47,Fredi Knighten pass complete to Brandon Cox for 7 yds to the NMxSt 40 for a 1ST down,,
1st and 10 at NMSU 40,"ARKANSAS ST Penalty, false start (-5 Yards) to the NMxSt 45",,
1st and 15 at NMSU 45,"ARKANSAS ST Penalty, false start (-5 Yards) to the 50 yard line",,
1st and 20 at 50,Fredi Knighten pass complete to Tyler Trosin for 3 yds to the NMxSt 47,,
2nd and 17 at NMSU 47,Fredi Knighten pass complete to Tyler Trosin for 17 yds to the NMxSt 30 for a 1ST down,,
1st and 10 at NMSU 30,"Knighten, Fredi pass incomplete, PENALTY ASU HL (Clark, Jemar) 10 yards to the NMSU40, NO PLAY.",,
1st and 20 at NMSU 40,"ARKANSAS ST Penalty, false start (-5 Yards) to the NMxSt 45",,
1st and 25 at NMSU 45,Fredi Knighten pass intercepted Jaden Wright return for 16 yds to the NMxSt 45,,
"ARST DRIVE TOTALS: 6 plays, 10 yards, 2:51"
New Mexico State at 7:55,,NMSU,ASU
1st and 10 at NMSU 45,Tyler Rogers pass complete to Larry Rose III for 14 yds to the ArkSt 41 for a 1ST down,0,7
1st and 10 at ARST 41,Larry Rose III run for 2 yds to the ArkSt 39,,
2nd and 8 at ARST 39,"Tyler Rogers pass complete to Joseph Matthews for 1 yd to the ArkSt 38 NEW MEXICO ST Penalty, HL (Gregory Hogan) to the ArkSt 48",,
2nd and 17 at ARST 48,Tyler Rogers pass complete to Larry Rose III for 8 yds to the ArkSt 40,,
3rd and 9 at ARST 40,Tyler Rogers pass complete to Gregory Hogan for 6 yds to the ArkSt 34,,
4th and 3 at ARST 34,Larry Rose III run for 8 yds to the ArkSt 26 for a 1ST down,,
1st and 10 at ARST 26,"Tyler Rogers pass incomplete to Gregory Hogan, broken up by Xavier Woodson",,
2nd and 10 at ARST 26,Brandon Betancourt run for 2 yds to the ArkSt 24,,
3rd and 8 at ARST 24,Tyler Rogers pass complete to Joseph Matthews for 10 yds to the ArkSt 14 for a 1ST down,,
1st and 10 at ARST 14,Larry Rose III run for 5 yds to the ArkSt 9,,
2nd and 5 at ARST 9,Larry Rose III run for 1 yd to the ArkSt 8,,
3rd and 4 at ARST 8,"Tyler Rogers pass complete to Gregory Hogan for 8 yds for a TD, (Maxwell Johnson KICK)",7,7
"NMSU DRIVE TOTALS: 12 plays, 55 yards, 5:14"
Arkansas State at 2:41,,NMSU,ASU
,Maxwell Johnson kickoff for 65 yds for a touchback,7,7
1st and 10 at ARST 25,Fredi Knighten pass complete to Tres Houston for 8 yds to the ArkSt 33,,
2nd and 2 at ARST 33,Michael Gordon run for 5 yds to the ArkSt 38 for a 1ST down,,
1st and 10 at ARST 38,Michael Gordon run for 2 yds to the ArkSt 40,,
2nd and 8 at ARST 40,Johnston White run for 2 yds to the ArkSt 42,,
3rd and 6 at ARST 42,"Fredi Knighten pass intercepted Clint Barnard return for 14 yds to the ARKST 44 NEW MEXICO ST Penalty, illegal block (10 Yards) to the ArkSt 34",,
"ARST DRIVE TOTALS: 5 plays, 17 yards, 1:28"
New Mexico State at 1:13,,NMSU,ASU
1st and 10 at ARST 34,Tyler Rogers run for 2 yds to the ArkSt 32,7,7
2nd and 8 at ARST 32,Tyler Rogers pass incomplete,,
3rd and 8 at ARST 32,Tyler Rogers pass complete to Gregory Hogan for 8 yds to the ArkSt 24 for a 1ST down,,
,End of 1st Quarter,,
2nd Quarter Play-by-Play
New Mexico State at 15:00,,NMSU,ASU
1st and 10 at ARST 24,Andrew Allen run for 2 yds to the ArkSt 22,7,7
2nd and 8 at ARST 22,Tyler Rogers pass intercepted Artez Brown return for no gain to the ArkSt 2,,
"NMSU DRIVE TOTALS: 5 plays, 12 yards, 1:50"
Arkansas State at 14:23,,NMSU,ASU
1st and 10 at ARST 2,Fredi Knighten run for 63 yds to the NMxSt 35 for a 1ST down,7,7
1st and 10 at NMSU 35,"Michael Gordon run for 35 yds for a TD, (Logan Spry PAT MISSED)",7,13
"ARST DRIVE TOTALS: 2 plays, 98 yards, 0:31"
New Mexico State at 13:52,,NMSU,ASU
,Luke Ferguson kickoff for 65 yds for a touchback,7,13
1st and 10 at NMSU 25,Larry Rose III run for 3 yds to the NMxSt 28,,
2nd and 7 at NMSU 28,"Tyler Rogers pass incomplete to Gregory Hogan, broken up by Andrew Tryon",,
3rd and 7 at NMSU 28,Tyler Rogers pass complete to Larry Rose III for no gain to the NMxSt 28,,
4th and 7 at NMSU 28,"Steven Witkowski punt for 39 yds , Blaise Taylor returns for 11 yds to the ArkSt 44",,
"NMSU DRIVE TOTALS: 3 plays, 3 yards, 1:23"
Arkansas State at 12:29,,NMSU,ASU
1st and 10 at ARST 44,Fredi Knighten run for a loss of 3 yards to the ArkSt 41,7,13
2nd and 13 at ARST 41,Fredi Knighten pass incomplete to Tyler Trosin,,
3rd and 13 at ARST 41,Fredi Knighten run for 8 yds to the ArkSt 49,,
4th and 5 at ARST 49,Luke Ferguson punt for 51 yds for a touchback,,
"ARST DRIVE TOTALS: 3 plays, 5 yards, 1:08"
New Mexico State at 11:21,,NMSU,ASU
1st and 10 at NMSU 20,"Larry Rose III run for 80 yds for a TD, (Maxwell Johnson KICK)",14,13
"NMSU DRIVE TOTALS: 1 play, 80 yards, 0:13"
Arkansas State at 11:03,,NMSU,ASU
,"Maxwell Johnson kickoff for 35 yds , Blaise Taylor return for 27 yds to the NMxSt 43",14,13
1st and 10 at NMSU 43,Michael Gordon run for 17 yds to the NMxSt 26 for a 1ST down,,
1st and 10 at NMSU 26,Johnston White run for 12 yds to the NMxSt 14 for a 1ST down,,
1st and 10 at NMSU 14,"Fredi Knighten run for 14 yds for a TD, (Logan Spry KICK)",14,20
"ARST DRIVE TOTALS: 3 plays, 43 yards, 0:38"
New Mexico State at 10:25,,NMSU,ASU
,Luke Ferguson kickoff for 65 yds for a touchback,14,20
1st and 10 at NMSU 25,"Tyler Rogers pass complete to Gregory Hogan for 75 yds for a TD, (Maxwell Johnson KICK)",21,20
"NMSU DRIVE TOTALS: 1 play, 75 yards, 0:11"
Arkansas State at 10:08,,NMSU,ASU
,"Maxwell Johnson kickoff for 65 yds , Blaise Taylor return for 24 yds to the ArkSt 24",21,20
1st and 10 at ARST 24,Michael Gordon run for 7 yds to the ArkSt 31,,
2nd and 3 at ARST 31,Michael Gordon run for a loss of 3 yards to the ArkSt 28,,
3rd and 6 at ARST 28,Fredi Knighten pass complete to Tres Houston for 24 yds to the NMxSt 48 for a 1ST down,,
1st and 10 at NMSU 48,Fredi Knighten pass complete to Dijon Paschal for 15 yds to the NMxSt 33 for a 1ST down,,
1st and 10 at NMSU 33,Fredi Knighten pass incomplete to Dijon Paschal,,
2nd and 10 at NMSU 33,Michael Gordon run for no gain to the NMxSt 33,,
3rd and 10 at NMSU 33,"Fredi Knighten run for 2 yds to the NMxSt 31 ARKANSAS ST Penalty, illegal block (Dijon Paschal) to the NMxSt 41",,
3rd and 18 at NMSU 41,Fredi Knighten pass complete to Brandon Byner for 12 yds to the NMxSt 29,,
4th and 6 at NMSU 29,"Knighten, Fredi pass incomplete to Houston, Tres, PENALTY NMSU HL (Hill, Lewis) 10 yards to the NMSU19, 1ST DOWN ASU, NO PLAY. for a 1ST down",,
1st and 10 at NMSU 19,Fredi Knighten pass incomplete to Tres Houston,,
2nd and 10 at NMSU 19,Fredi Knighten pass incomplete to Tyler Trosin,,
3rd and 10 at NMSU 19,"Michael Gordon run for 19 yds for a TD, (Logan Spry KICK)",21,27
"ARST DRIVE TOTALS: 11 plays, 76 yards, 3:50"
New Mexico State at 6:18,,NMSU,ASU
,Luke Ferguson on-side kick recovered by NEW MEXICO ST at the ArkSt 46,21,27
1st and 10 at ARST 46,Tyler Rogers pass incomplete,,
2nd and 10 at ARST 46,Larry Rose III run for 1 yd to the ArkSt 45,,
3rd and 9 at ARST 45,"Rose III, Larry rush for 3 yards to the ASU42 (Hunter, Money), PENALTY ASU offside (Gallagher, B.) 5 yards to the ASU40, NO PLAY.",,
3rd and 4 at ARST 40,Tyler Rogers pass incomplete to Brandon Betancourt,,
4th and 4 at ARST 40,"NEW MEXICO ST Penalty, false start (Jaden Wright) to the ArkSt 45",,
4th and 9 at ARST 45,"Steven Witkowski punt for 35 yds, downed at the ArkSt 10",,
"NMSU DRIVE TOTALS: 3 plays, 1 yard, 1:21"
Arkansas State at 4:57,,NMSU,ASU
1st and 10 at ARST 10,Johnston White run for 18 yds to the ArkSt 28 for a 1ST down,21,27
1st and 10 at ARST 28,"Gordon, Michael rush for 72 yards to the NMSU0, clock 04:28, PENALTY ASU HL (Trosin, Tyler) 10 yards to the ASU18, NO PLAY.",,
1st and 20 at ARST 18,"Knighten, Fredi rush for 1 yard to the ASU19 (Rose, Winston), PENALTY ASU HL (Mondie, Devin) 9 yards to the ASU9, NO PLAY.",,
1st and 29 at ARST 9,Fredi Knighten run for a loss of 1 yard to the ArkSt 8,,
2nd and 30 at ARST 8,Fredi Knighten pass complete to Booker Mays for 19 yds to the ArkSt 27,,
3rd and 11 at ARST 27,Fredi Knighten run for 3 yds to the ArkSt 30,,
,"Timeout NEW MEXICO ST, clock 04:28",,
,"Timeout ARKANSAS ST, clock 02:43",,
4th and 8 at ARST 30,"Luke Ferguson punt for 69 yds, downed at the NMxSt 1",,
"ARST DRIVE TOTALS: 4 plays, 20 yards, 2:26"
New Mexico State at 2:31,,NMSU,ASU
,"Timeout ARKANSAS ST, clock 02:31",21,27
