0196064820140906,,196,648
,SC wins the toss and will receive.  ECU will defend south goal.,,
1st Quarter Play-by-Play
South Carolina at 15:00,,ECU,USC
,"Warren Harvey kickoff for 65 yds , Shon Carson return for 38 yds to the SCaro 38",0,0
1st and 10 at SC 38,Brandon Wilds run for 2 yds to the SCaro 40,,
2nd and 8 at SC 40,Brandon Wilds run for 3 yds to the SCaro 43,,
3rd and 5 at SC 43,Dylan Thompson run for 1 yd to the SCaro 44,,
4th and 4 at SC 44,"Tyler Hull punt for 53 yds, downed at the ECaro 3",,
"SCAR DRIVE TOTALS: 3 plays, 6 yards, 2:30"
East Carolina at 12:30,,ECU,USC
1st and 10 at ECU 3,Shane Carden pass complete to Justin Hardy for 10 yds to the ECaro 13 for a 1ST down,0,0
1st and 10 at ECU 13,Shane Carden pass complete to Justin Hardy for 15 yds to the ECaro 28 for a 1ST down,,
1st and 10 at ECU 28,Shane Carden pass complete to Breon Allen for a loss of 3 yards to the ECaro 25,,
2nd and 13 at ECU 25,Marquez Grayson run for 5 yds to the ECaro 30,,
3rd and 8 at ECU 30,Shane Carden pass complete to Trevon Brown for 17 yds to the ECaro 47 for a 1ST down,,
1st and 10 at ECU 47,"CARDEN, Shane pass incomplete to WILLIAMS, Jimmy (Rico McWilliams), PENALTY SC pass interference (Rico McWilliams) 15 yards to the SC38, 1ST DOWN ECU, NO PLAY. for a 1ST down",,
1st and 10 at SC 38,Shane Carden pass complete to Cam Worthy for 9 yds to the SCaro 29,,
2nd and 1 at SC 29,Shane Carden pass complete to Justin Hardy for 21 yds to the SCaro 8 for a 1ST down,,
1st and Goal at SC 8,Shane Carden pass incomplete,,
2nd and Goal at SC 8,Shane Carden run for no gain to the SCaro 8,,
3rd and Goal at SC 8,Shane Carden pass incomplete to Justin Hardy,,
4th and Goal at SC 8,Warren Harvey 26 yd FG GOOD,3,0
"ECU DRIVE TOTALS: 11 plays, 89 yards, 3:10"
South Carolina at 9:20,,ECU,USC
,"Warren Harvey kickoff for 65 yds , Shon Carson return for 22 yds to the SCaro 22",3,0
1st and 10 at SC 22,Dylan Thompson pass incomplete to N/A,,
2nd and 10 at SC 22,Dylan Thompson pass intercepted Josh Hawkins return for no gain to the SCaro 43,,
"SCAR DRIVE TOTALS: 2 plays, 0 yards, 0:17"
East Carolina at 9:03,,ECU,USC
1st and 10 at SC 43,Marquez Grayson run for 9 yds to the SCaro 34,3,0
2nd and 1 at SC 34,Shane Carden pass complete to Chris Hairston for no gain to the SCaro 34,,
3rd and 1 at SC 34,Shane Carden pass complete to Justin Hardy for 12 yds to the SCaro 22 for a 1ST down,,
1st and 10 at SC 22,Shane Carden run for no gain to the SCaro 22,,
2nd and 10 at SC 22,Shane Carden pass incomplete to N/A,,
3rd and 10 at SC 22,Cory Hunter run for 4 yds to the SCaro 18,,
4th and 6 at SC 18,Warren Harvey 35 yd FG GOOD,6,0
"ECU DRIVE TOTALS: 7 plays, 25 yards, 2:28"
South Carolina at 6:35,,ECU,USC
