0202041420140906,,202,414
,EKU wins the toss and defers; Miami will defend the south goal,,
1st Quarter Play-by-Play
Miami (OH) at 15:00,,EKU,MU
,Andrew Lloyd kickoff for 65 yds for a touchback,0,0
1st and 10 at M-OH 25,Andrew Hendrix pass complete to David Frazier for 31 yds to the EKent 44 for a 1ST down,,
1st and 10 at EKY 44,Paul Moses run for 4 yds to the EKent 40,,
2nd and 6 at EKY 40,"Andrew Hendrix pass complete to Jared Murphy for 40 yds for a TD, (Kaleb Patterson KICK)",0,7
"M-OH DRIVE TOTALS: 3 plays, 75 yards, 0:59"
Eastern Kentucky at 13:52,,EKU,MU
,"Kaleb Patterson kickoff for 55 yds , Deno Montgomery return for 18 yds to the EKent 28",0,7
1st and 10 at EKY 28,Bennie Coney pass incomplete to N/A,,
2nd and 10 at EKY 28,Channing Fugate run for 7 yds to the EKent 35,,
3rd and 3 at EKY 35,"Bennie Coney pass complete to u""Dy'Shawn Mobley"",  for 2 yds to the EKent 37",,
4th and 1 at EKY 37,Keith Wrzuszczak punt for 41 yds,,
"EKY DRIVE TOTALS: 3 plays, 9 yards, 1:25"
Miami (OH) at 12:27,,EKU,MU
1st and 10 at M-OH 22,"MIAMI OH Penalty, false start (N/A) to the MiaOh 17",0,7
1st and 15 at M-OH 17,Andrew Hendrix pass incomplete to N/A,,
2nd and 15 at M-OH 17,"HENDRIX, Andrew pass incomplete to WILLIAMS, R., PENALTY EKU pass interference (JOSEPH, Johnny) 15 yards to the MU32, 1ST DOWN MU, NO PLAY. for a 1ST down",,
1st and 10 at M-OH 32,Andrew Hendrix pass complete to Sam Martin for 9 yds to the MiaOh 41,,
2nd and 1 at M-OH 41,Andrew Hendrix pass incomplete to N/A,,
3rd and 1 at M-OH 41,Dawan Scott run for 5 yds to the MiaOh 46 for a 1ST down,,
1st and 10 at M-OH 46,Andrew Hendrix pass complete to David Frazier for 3 yds to the MiaOh 49,,
2nd and 7 at M-OH 49,Andrew Hendrix pass incomplete to David Frazier,,
3rd and 7 at M-OH 49,Andrew Hendrix pass complete to David Frazier for 8 yds to the EKent 43 for a 1ST down,,
1st and 10 at EKY 43,Andrew Hendrix pass incomplete to David Frazier,,
2nd and 10 at EKY 43,Dawan Scott run for 1 yd to the EKent 42,,
3rd and 9 at EKY 42,"MIAMI OH Penalty, false start (N/A) to the EKent 47",,
3rd and 14 at EKY 47,Andrew Hendrix run for no gain to the EKent 47,,
4th and 14 at EKY 47,"KOCH, Christian punt 40 yards to the EKU7, downed, PENALTY MU illegal formation 5 yards to the MU48, NO PLAY.",,
4th and 19 at M-OH 48,"Christian Koch punt for 36 yds, punt out-of-bounds at the EKent 16",,
"M-OH DRIVE TOTALS: 10 plays, 26 yards, 4:17"
Eastern Kentucky at 8:10,,EKU,MU
1st and 10 at EKY 16,Bennie Coney run for 30 yds to the EKent 46 for a 1ST down,0,7
1st and 10 at EKY 46,"u""Dy'Shawn Mobley"",  run for 3 yds to the EKent 49",,
2nd and 7 at EKY 49,"u""Dy'Shawn Mobley"",  run for 2 yds to the MiaOh 49",,
3rd and 5 at M-OH 49,"Bennie Coney pass incomplete to u""Dy'Shawn Mobley"", , broken up by Kent Kern",,
4th and 5 at M-OH 49,Keith Wrzuszczak punt for 49 yds for a touchback,,
"EKY DRIVE TOTALS: 4 plays, 35 yards, 1:35"
Miami (OH) at 6:35,,EKU,MU
1st and 10 at M-OH 20,Andrew Hendrix pass complete to Rokeem Williams for 14 yds to the MiaOh 34 for a 1ST down,0,7
1st and 10 at M-OH 34,Andrew Hendrix pass incomplete to Sam Martin,,
2nd and 10 at M-OH 34,Andrew Hendrix pass complete to Sam Martin for 7 yds to the MiaOh 41,,
3rd and 3 at M-OH 41,Andrew Hendrix pass incomplete to Jared Murphy,,
4th and 3 at M-OH 41,"Christian Koch punt for 32 yds , Stanley Absanon returns for 6 yds to the EKent 33",,
"M-OH DRIVE TOTALS: 4 plays, 21 yards, 1:20"
Eastern Kentucky at 5:15,,EKU,MU
1st and 10 at EKY 33,"u""MONTGOMERY, D. rush over left end for loss of 1 yard to the EKU32 (HARDING, Heath;ALBRIGHT, B.), PENALTY MU personal foul (JONES, J'Terius) 14 yards to the EKU47, 1ST DOWN EKU, NO PLAY. for a 1ST down""",0,7
1st and 10 at EKY 47,Bennie Coney run for a loss of 1 yard to the EKent 46,,
2nd and 11 at EKY 46,"Bennie Coney pass incomplete to u""Dy'Shawn Mobley"", , broken up by Heath Harding",,
3rd and 11 at EKY 46,"Bennie Coney pass complete to u""Dy'Shawn Mobley"",  for 6 yds to the MiaOh 48",,
4th and 5 at M-OH 48,"Keith Wrzuszczak punt for 30 yds , Fred McRae returns for a loss of 3 yards to the MiaOh 15 Fred McRae fumbled, recovered by EKent Chris Owens",,
"EKY DRIVE TOTALS: 3 plays, 19 yards, 1:51"
Eastern Kentucky at 3:24,,EKU,MU
1st and 10 at M-OH 15,Bennie Coney pass incomplete to N/A,0,7
2nd and 10 at M-OH 15,"u""Dy'Shawn Mobley"",  run for 2 yds to the MiaOh 13",,
3rd and 8 at M-OH 13,Bennie Coney sacked by Joe Donlan for a loss of 6 yards to the MiaOh 19,,
4th and 14 at M-OH 19,Andrew Lloyd 37 yd FG GOOD,3,7
"EKY DRIVE TOTALS: 4 plays, -4 yards, 1:19"
Miami (OH) at 2:05,,EKU,MU
,Andrew Lloyd kickoff for 65 yds for a touchback,3,7
