0028052820141115,,28,528
1st Quarter Play-by-Play
Arizona State at 15:00,,ASU,ORST
,Trevor Romaine kickoff for 65 yds for a touchback,0,0
1st and 10 at ASU 25,Taylor Kelly pass incomplete to Jaelen Strong,,
2nd and 10 at ASU 25,D.J. Foster run for a loss of 6 yards to the ArzSt 19,,
3rd and 16 at ASU 19,Taylor Kelly pass complete to D.J. Foster for 8 yds to the ArzSt 27,,
4th and 8 at ASU 27,"Matt Haack punt for 44 yds, downed at the OrgSt 29",,
"ASU DRIVE TOTALS: 3 plays, 2 yards, 1:25"
Oregon State at 13:35,,ASU,ORST
1st and 10 at ORST 29,Sean Mannion pass complete to Caleb Smith for 6 yds to the OrgSt 35,0,0
2nd and 4 at ORST 35,Sean Mannion pass incomplete to Jordan Villamin,,
3rd and 4 at ORST 35,"OREGON ST Penalty, False Start (Hunter Jarmon) to the OrgSt 30",,
3rd and 9 at ORST 30,Sean Mannion pass incomplete to Victor Bolden,,
4th and 9 at ORST 30,"Keith Kostol punt for 38 yds , Kyle Middlebrooks returns for no gain to the ArzSt 32",,
"ORST DRIVE TOTALS: 3 plays, 1 yard, 0:49"
Arizona State at 12:46,,ASU,ORST
1st and 10 at ASU 32,Taylor Kelly pass complete to D.J. Foster for 1 yd to the ArzSt 33,0,0
2nd and 9 at ASU 33,Taylor Kelly pass incomplete to D.J. Foster,,
3rd and 9 at ASU 33,Taylor Kelly pass incomplete to Jaelen Strong,,
4th and 9 at ASU 33,"Matt Haack punt for 44 yds, fair catch by Rahmel Dockery at the OrgSt 23",,
"ASU DRIVE TOTALS: 3 plays, 1 yard, 0:40"
Oregon State at 12:06,,ASU,ORST
1st and 10 at ORST 23,Storm Woods run for a loss of 1 yard to the OrgSt 22,0,0
2nd and 11 at ORST 22,"Storm Woods run for 78 yds for a TD, (Garrett Owens KICK)",0,7
"ORST DRIVE TOTALS: 2 plays, 77 yards, 0:49"
Arizona State at 11:17,,ASU,ORST
,"Trevor Romaine kickoff for 65 yds , Kyle Middlebrooks return for 25 yds to the ArzSt 25",0,7
1st and 10 at ASU 25,Demario Richard run for a loss of 1 yard to the ArzSt 24,,
2nd and 11 at ASU 24,Demario Richard run for 14 yds to the ArzSt 38 for a 1ST down,,
1st and 10 at ASU 38,"Kelly, Taylor pass complete to Smith, Cameron for 10 yards to the ARIZONAST48, PENALTY ARIZONAST pass interference (Foster, D.J.) 15 yards to the ARIZONAST23, NO PLAY.",,
1st and 25 at ASU 23,Demario Richard run for no gain to the ArzSt 23,,
2nd and 25 at ASU 23,"Kelly, Taylor pass incomplete to Smith, Cameron, PENALTY OREGONST offside (Delva, Bud) 6 yards to the ARIZONAST29, NO PLAY.",,
2nd and 19 at ASU 29,Taylor Kelly run for 5 yds to the ArzSt 34,,
3rd and 14 at ASU 34,Taylor Kelly pass complete to D.J. Foster for 5 yds to the ArzSt 39,,
4th and 9 at ASU 39,"Matt Haack punt for 40 yds, downed at the OrgSt 21",,
"ASU DRIVE TOTALS: 5 plays, 14 yards, 3:08"
Oregon State at 8:09,,ASU,ORST
1st and 10 at ORST 21,Sean Mannion pass complete to Victor Bolden for 11 yds to the OrgSt 32 for a 1ST down,0,7
1st and 10 at ORST 32,Terron Ward run for 5 yds to the OrgSt 37,,
2nd and 5 at ORST 37,Sean Mannion pass intercepted Damarious Randall return for 30 yds to the OrgSt 18,,
"ORST DRIVE TOTALS: 3 plays, 16 yards, 1:13"
Arizona State at 6:56,,ASU,ORST
1st and 10 at ORST 18,Taylor Kelly run for 2 yds to the OrgSt 16,0,7
2nd and 8 at ORST 16,Demario Richard run for 5 yds to the OrgSt 11,,
3rd and 3 at ORST 11,Taylor Kelly pass incomplete to D.J. Foster,,
4th and 3 at ORST 11,Zane Gonzalez 28 yd FG GOOD,3,7
"ASU DRIVE TOTALS: 4 plays, 7 yards, 1:05"
Oregon State at 5:51,,ASU,ORST
,"Alex Garoutte kickoff for 62 yds , Chris Brown return for 27 yds to the OrgSt 30",3,7
