0519041420141125,,519,414
1st Quarter Play-by-Play
Ohio at 15:00,,OHIO,MU
,"Kaleb Patterson kickoff for 59 yds , Devin Bass return for 19 yds to the MIAMIOH 46 OHIO Penalty, Offensive holding (10 Yards) to the Ohio 15",0,0
1st and 10 at OHIO 15,A.J. Ouellette run for 22 yds to the Ohio 37 for a 1ST down,,
1st and 10 at OHIO 37,A.J. Ouellette run for 1 yd to the Ohio 38,,
2nd and 9 at OHIO 38,Derrius Vick run for 3 yds to the Ohio 41,,
3rd and 6 at OHIO 41,"Derrius Vick pass incomplete, broken up by Jimmy Rousher",,
4th and 6 at OHIO 41,"Mitch Bonnstetter punt for 32 yds, fair catch by David Frazier at the MiaOh 27",,
"OHIO DRIVE TOTALS: 4 plays, 26 yards, 2:04"
Miami (OH) at 12:56,,OHIO,MU
1st and 10 at M-OH 27,Andrew Hendrix pass incomplete,0,0
2nd and 10 at M-OH 27,Andrew Hendrix pass incomplete to Sam Martin,,
3rd and 10 at M-OH 27,Andrew Hendrix pass complete to David Frazier for 13 yds to the MiaOh 40 for a 1ST down,,
1st and 10 at M-OH 40,Andrew Hendrix pass incomplete to David Frazier,,
2nd and 10 at M-OH 40,Andrew Hendrix pass complete to Sam Martin for 13 yds to the Ohio 47 for a 1ST down,,
1st and 10 at OHIO 47,Andrew Hendrix pass complete to Sam Martin for 7 yds to the Ohio 40,,
2nd and 3 at OHIO 40,Andrew Hendrix pass incomplete to Dawan Scott,,
3rd and 3 at OHIO 40,Andrew Hendrix run for 20 yds to the Ohio 20 for a 1ST down,,
1st and 10 at OHIO 20,Fred McRae run for 17 yds to the Ohio 3 for a 1ST down,,
1st and Goal at OHIO 3,Dawan Scott run for no gain to the Ohio 3,,
2nd and Goal at OHIO 3,"Andrew Hendrix run for 3 yds for a TD, (Kaleb Patterson KICK)",0,7
"M-OH DRIVE TOTALS: 11 plays, 73 yards, 4:02"
Ohio at 8:45,,OHIO,MU
,"Kaleb Patterson kickoff for 60 yds , Devin Bass return for 21 yds to the MIAMIOH 44 OHIO Penalty, Offensive holding (10 Yards) to the Ohio 16",0,7
1st and 10 at OHIO 16,A.J. Ouellette run for 4 yds to the Ohio 20,,
2nd and 6 at OHIO 20,A.J. Ouellette run for 2 yds to the Ohio 22,,
3rd and 4 at OHIO 22,Derrius Vick pass complete to Jordan Reid for 11 yds to the Ohio 33 for a 1ST down,,
1st and 10 at OHIO 33,A.J. Ouellette run for 4 yds to the Ohio 37,,
2nd and 6 at OHIO 37,Derrius Vick run for 10 yds to the Ohio 47 for a 1ST down,,
1st and 10 at OHIO 47,Robbie Walker run for 3 yds to the 50 yard line,,
2nd and 7 at 50,Derrius Vick pass complete to Robbie Walker for 6 yds to the MiaOh 44,,
3rd and 1 at M-OH 44,Derrius Vick run for 2 yds to the MiaOh 42 for a 1ST down,,
1st and 10 at M-OH 42,Derrius Vick run for 8 yds to the MiaOh 34,,
2nd and 2 at M-OH 34,A.J. Ouellette run for 5 yds to the MiaOh 29 for a 1ST down,,
1st and 10 at M-OH 29,A.J. Ouellette run for a loss of 1 yard to the MiaOh 30,,
2nd and 11 at M-OH 30,Derrius Vick run for 3 yds to the MiaOh 27,,
3rd and 8 at M-OH 27,Derrius Vick sacked by Joe Donlan for a loss of 9 yards to the MiaOh 36,,
4th and 17 at M-OH 36,"Mitch Bonnstetter punt for 34 yds, downed at the MiaOh 2",,
"OHIO DRIVE TOTALS: 13 plays, 48 yards, 7:47"
