0574072520141011,,574,725
,"Rice wins the toss, elects to recieve, Army defends north goal",,
1st Quarter Play-by-Play
Rice at 15:00,,RICE,ARMY
,"Daniel Grochowski kickoff for 61 yds , Brandon Hamilton return for 23 yds to the Rice 27",0,0
1st and 10 at RICE 27,Jowan Davis run for no gain to the Rice 27,,
2nd and 10 at RICE 27,Jowan Davis run for 8 yds to the Rice 35,,
3rd and 2 at RICE 35,Darik Dillard run for 36 yds to the Army 29 for a 1ST down,,
1st and 10 at ARMY 29,Darik Dillard run for no gain to the Army 29,,
2nd and 10 at ARMY 29,Driphus Jackson pass complete to Luke Turner for 16 yds to the Army 13 for a 1ST down,,
1st and 10 at ARMY 13,Driphus Jackson pass complete to Jordan Taylor for 10 yds to the Army 3 for a 1ST down,,
1st and Goal at ARMY 3,Luke Turner run for 1 yd to the Army 2,,
2nd and Goal at ARMY 2,Luke Turner run for no gain to the Army 2,,
3rd and Goal at ARMY 2,"Brandon Hamilton run for 2 yds for a TD, (James Farrimond KICK)",7,0
"RICE DRIVE TOTALS: 9 plays, 73 yards, 4:31"
Army at 10:29,,RICE,ARMY
,James Hairston kickoff for 55 yds,7,0
1st and 10 at ARMY 35,Larry Dixon run for 1 yd to the Army 36,,
2nd and 9 at ARMY 36,Angel Santiago run for 6 yds to the Army 42,,
3rd and 3 at ARMY 42,Terry Baggett run for 6 yds to the Army 48 for a 1ST down,,
1st and 10 at ARMY 48,Angel Santiago run for a loss of 1 yard to the Army 47,,
2nd and 11 at ARMY 47,Larry Dixon run for 2 yds to the Army 49,,
3rd and 9 at ARMY 49,Angel Santiago run for no gain to the Army 49,,
4th and 9 at ARMY 49,"Alex Tardie,  punt for 44 yds, fair catch by Bryce Callahan at the ARMY 7 RICE Penalty, illegal block (N/A) to the Rice 4",,
"ARMY DRIVE TOTALS: 6 plays, 14 yards, 3:59"
Rice at 6:30,,RICE,ARMY
1st and 10 at RICE 4,Darik Dillard run for 9 yds to the Rice 13,7,0
2nd and 1 at RICE 13,Driphus Jackson sacked by Mike Ugenyi for a loss of 8 yards to the Rice 5,,
3rd and 9 at RICE 5,Darik Dillard run for no gain to the Rice 5,,
4th and 9 at RICE 5,"James Farrimond punt for 41 yds , Josh Jenkins returns for 5 yds to the Rice 41",,
"RICE DRIVE TOTALS: 3 plays, 1 yard, 2:22"
Army at 4:08,,RICE,ARMY
1st and 10 at RICE 41,Angel Santiago run for 20 yds to the Rice 21 for a 1ST down,7,0
1st and 10 at RICE 21,Terry Baggett run for no gain to the Rice 21,,
2nd and 10 at RICE 21,Angel Santiago pass complete to Tony Giovannelli for 18 yds to the Rice 3 for a 1ST down,,
1st and Goal at RICE 3,Larry Dixon run for 1 yd to the Rice 2,,
2nd and Goal at RICE 2,"Larry Dixon run for 2 yds for a TD, (Daniel Grochowski KICK)",7,7
"ARMY DRIVE TOTALS: 5 plays, 41 yards, 2:34"
Rice at 1:27,,RICE,ARMY
,"Daniel Grochowski kickoff for 59 yds , Brandon Hamilton return for 27 yds to the Rice 33",7,7
1st and 10 at RICE 33,Jowan Davis run for a loss of 4 yards to the Rice 29,,
2nd and 14 at RICE 29,Driphus Jackson run for 10 yds to the Rice 39,,
3rd and 4 at RICE 39,Driphus Jackson pass complete to Cole Hunt for 10 yds to the Rice 49 for a 1ST down,,
,End of 1st Quarter,,
2nd Quarter Play-by-Play
Rice at 15:00,,RICE,ARMY
1st and 10 at RICE 49,Driphus Jackson pass incomplete to N/A,7,7
2nd and 10 at RICE 49,"Jowan Davis run for 23 yds to the ARMY 28 RICE Penalty, face mask (15 yards) (Jowan Davis) to the Army 43",,
2nd and 2 at ARMY 43,Jowan Davis run for no gain to the Army 43,,
3rd and 2 at ARMY 43,Darik Dillard run for 7 yds to the Army 36 for a 1ST down,,
1st and 10 at ARMY 36,Driphus Jackson pass complete to Jordan Taylor for 21 yds to the Army 15 for a 1ST down,,
1st and 10 at ARMY 15,"Darik Dillard run for 15 yds for a TD, (James Farrimond KICK)",14,7
"RICE DRIVE TOTALS: 9 plays, 67 yards, 3:50"
Army at 12:28,,RICE,ARMY
,"James Hairston kickoff for 65 yds , Josh Jenkins return for 16 yds to the Army 16",14,7
1st and 10 at ARMY 16,Angel Santiago run for 12 yds to the Army 28 for a 1ST down,,
1st and 10 at ARMY 28,Angel Santiago run for a loss of 2 yards to the Army 26,,
2nd and 12 at ARMY 26,Angel Santiago run for a loss of 2 yards to the Army 24,,
3rd and 14 at ARMY 24,Angel Santiago pass incomplete to N/A,,
4th and 14 at ARMY 24,"Alex Tardie,  punt for 37 yds, fair catch by Bryce Callahan at the Rice 39",,
"ARMY DRIVE TOTALS: 4 plays, 8 yards, 2:08"
Rice at 10:20,,RICE,ARMY
1st and 10 at RICE 39,Jowan Davis run for 24 yds to the Army 37 for a 1ST down,14,7
