0096006620141206,,96,66
1st Quarter Play-by-Play
Fresno State at 15:00,,FSU,BSU
,Dan Goodale kickoff for 65 yds for a touchback,0,0
1st and 10 at FRES 25,"FRESNO ST Penalty, Delay of Game (-5 Yards) to the FrsSt 20",,
1st and 15 at FRES 20,"Greg Watson pass incomplete to Josh Harper, broken up by Donte Deayon",,
2nd and 15 at FRES 20,Brian Burrell pass complete to Josh Harper for 8 yds to the FrsSt 28,,
3rd and 7 at FRES 28,Brian Burrell pass complete to Greg Watson for 1 yd to the FrsSt 29,,
4th and 6 at FRES 29,"Garrett Swanson punt for 48 yds, fair catch by Donte Deayon at the BoiSt 23",,
"FRES DRIVE TOTALS: 3 plays, 4 yards, 1:18"
Boise State at 13:42,,FSU,BSU
1st and 10 at BSU 23,Jay Ajayi run for 7 yds to the BoiSt 30,0,0
2nd and 3 at BSU 30,Grant Hedrick pass complete to Chaz Anderson for 46 yds to the FrsSt 24 for a 1ST down,,
1st and 10 at FRES 24,Jay Ajayi run for 4 yds to the FrsSt 20,,
2nd and 6 at FRES 20,Grant Hedrick 20 Yd Run (Dan Goodale Kick),0,7
"BSU DRIVE TOTALS: 4 plays, 77 yards, 1:11"
Fresno State at 12:31,,FSU,BSU
,Dan Goodale kickoff for 65 yds for a touchback,0,7
1st and 10 at FRES 25,Marteze Waller run for 1 yd to the FrsSt 26,,
2nd and 9 at FRES 26,Marteze Waller run for a loss of 1 yard to the FrsSt 25,,
3rd and 10 at FRES 25,Brian Burrell pass complete to Aaron Peck for 13 yds to the FrsSt 38 for a 1ST down,,
1st and 10 at FRES 38,Marteze Waller run for 3 yds to the FrsSt 41,,
2nd and 7 at FRES 41,Brian Burrell run for no gain to the FrsSt 41,,
3rd and 7 at FRES 41,Brian Burrell pass complete to Josh Harper for 16 yds to the BoiSt 43 for a 1ST down,,
1st and 10 at BSU 43,Marteze Waller run for 2 yds to the BoiSt 41,,
2nd and 8 at BSU 41,Brian Burrell run for 1 yd to the BoiSt 40,,
3rd and 7 at BSU 40,"Brian Burrell pass intercepted, touchback. Donte Deayon return for no gain",,
"FRES DRIVE TOTALS: 9 plays, 35 yards, 3:46"
Boise State at 8:45,,FSU,BSU
1st and 10 at BSU 20,Grant Hedrick pass complete to Holden Huff for 14 yds to the BoiSt 34 for a 1ST down,0,7
1st and 10 at BSU 34,Jay Ajayi run for 8 yds to the BoiSt 42,,
