0295051920140920,,295,519
,"IDAHO wins the coin toss, and will receive.",,
1st Quarter Play-by-Play
Idaho at 15:00,,IDA,OHIO
,Josiah Yazdani kickoff for 65 yds for a touchback,0,0
1st and 10 at IDHO 25,Matt Linehan pass incomplete to Deon Watson,,
2nd and 10 at IDHO 25,Elijhaa Penny run for a loss of 1 yard to the Idaho 24,,
3rd and 11 at IDHO 24,Matt Linehan sacked by Cameron McLeod for a loss of 4 yards to the Idaho 20,,
4th and 15 at IDHO 20,"Austin Rehkowu"" punt for 41 yds, fair catch by Daz'mond Patterson at the Ohio 39""",,
"IDHO DRIVE TOTALS: 3 plays, -5 yards, 1:26"
Ohio at 13:34,,IDA,OHIO
1st and 10 at OHIO 39,Derrius Vick run for 6 yds to the Ohio 45,0,0
2nd and 4 at OHIO 45,"u""Daz'mond Patterson"",  run for 7 yds to the Idaho 48 u""Daz'mond Patterson"",  fumbled, recovered by Idaho",,
"OHIO DRIVE TOTALS: 2 plays, 13 yards, 0:38"
Idaho at 12:56,,IDA,OHIO
1st and 10 at IDHO 48,Jerrel Brown run for 3 yds to the Ohio 49,0,0
2nd and 7 at OHIO 49,Matt Linehan pass incomplete to Deon Watson,,
3rd and 7 at OHIO 49,Matt Linehan pass incomplete to Joshua McCain,,
4th and 7 at OHIO 49,"Austin Rehkow punt for 28 yds, downed at the Ohio 21",,
"IDHO DRIVE TOTALS: 3 plays, 3 yards, 0:58"
Ohio at 11:58,,IDA,OHIO
1st and 10 at OHIO 21,Derrius Vick pass complete to Brendan Cope for 15 yds to the Ohio 36 for a 1ST down,0,0
1st and 10 at OHIO 36,A.J. Ouellette run for 3 yds to the Ohio 39,,
2nd and 7 at OHIO 39,A.J. Ouellette run for 42 yds to the Idaho 19 for a 1ST down,,
1st and 10 at IDHO 19,"OHIO Penalty, Sideline Interference (-5 Yards) to the Idaho 24",,
1st and 15 at IDHO 24,A.J. Ouellette run for 12 yds to the Idaho 12,,
2nd and 3 at IDHO 12,"Derrius Vick pass complete to Sebastian Smith for 12 yds for a TD, (Josiah Yazdani KICK)",0,7
"OHIO DRIVE TOTALS: 5 plays, 79 yards, 1:46"
Idaho at 10:12,,IDA,OHIO
,Josiah Yazdani kickoff for 65 yds for a touchback,0,7
1st and 10 at IDHO 25,Matt Linehan pass complete to Richard Montgomery for 8 yds to the Idaho 33,,
2nd and 2 at IDHO 33,Elijhaa Penny run for 3 yds to the Idaho 36 for a 1ST down,,
1st and 10 at IDHO 36,Matt Linehan pass complete to Justin Podrabsky for 3 yds to the Idaho 39,,
2nd and 7 at IDHO 39,Matt Linehan pass incomplete to Joshua McCain,,
3rd and 7 at IDHO 39,Matt Linehan pass complete to Richard Montgomery for 6 yds to the Idaho 45,,
4th and 1 at IDHO 45,Matt Linehan pass complete to Justin Podrabsky for 7 yds to the Ohio 48 for a 1ST down,,
1st and 10 at OHIO 48,Elijhaa Penny run for 8 yds to the Ohio 40,,
2nd and 2 at OHIO 40,Matt Linehan pass incomplete,,
