0545074620141004,,545,746
,"PITTSBURGH wins the coin toss, and will receive.",,
1st Quarter Play-by-Play
Pittsburgh at 15:00,,PITT,UVA
,"Dylan Sims kickoff for 65 yds , Ronald Jones return for 19 yds to the Pitt 19",0,0
1st and 10 at PITT 19,James Conner run for 9 yds to the Pitt 28,,
2nd and 1 at PITT 28,James Conner run for 3 yds to the Pitt 31 for a 1ST down,,
1st and 10 at PITT 31,James Conner run for 8 yds to the Pitt 39,,
2nd and 2 at PITT 39,Chad Voytik pass incomplete,,
3rd and 2 at PITT 39,James Conner run for no gain to the Pitt 39,,
4th and 2 at PITT 39,"Ryan Winslow punt for 33 yds , Khalek Shepherd returns for no gain to the Virg 28",,
"PITT DRIVE TOTALS: 5 plays, 20 yards, 2:31"
Virginia at 12:29,,PITT,UVA
1st and 10 at UVA 28,Kevin Parks run for 12 yds to the Virg 40 for a 1ST down,0,0
1st and 10 at UVA 40,Kevin Parks run for a loss of 1 yard to the Virg 39,,
2nd and 11 at UVA 39,Kevin Parks run for 9 yds to the Virg 48,,
3rd and 2 at UVA 48,Kevin Parks run for 5 yds to the Pitt 47 for a 1ST down,,
1st and 10 at PITT 47,Matt Johns pass complete to Canaan Severin for 30 yds to the Pitt 17 for a 1ST down,,
1st and 10 at PITT 17,Kevin Parks run for 2 yds to the Pitt 15,,
2nd and 8 at PITT 15,Matt Johns pass incomplete to Kyle Dockins,,
3rd and 8 at PITT 15,"Matt Johns pass incomplete to Taquan Mizzell, broken up by Ray Vinopal",,
4th and 8 at PITT 15,Ian Frye 32 yd FG GOOD,0,3
"UVA DRIVE TOTALS: 9 plays, 57 yards, 3:19"
Pittsburgh at 9:10,,PITT,UVA
,"Dylan Sims kickoff for 60 yds , Ronald Jones return for 16 yds to the PITTSBURGH 21 PITTSBURGH Penalty, Offensive Holding (10 Yards) to the Pitt 11",0,3
1st and 10 at PITT 11,Chad Voytik pass incomplete,,
2nd and 10 at PITT 11,James Conner run for 14 yds to the Pitt 25 for a 1ST down,,
1st and 10 at PITT 25,James Conner run for 10 yds to the Pitt 35 for a 1ST down,,
1st and 10 at PITT 35,Chris James run for 15 yds to the 50 yard line for a 1ST down,,
,"Timeout VIRGINIA, clock 07:53",,
1st and 10 at 50,"PITTSBURGH Penalty, False Start (Matt Rotheram) to the Pitt 45",,
1st and 15 at PITT 45,James Conner run for 3 yds to the Pitt 48,,
2nd and 12 at PITT 48,"PITTSBURGH Penalty, Illegal Formation (-5 Yards) to the Pitt 43",,
2nd and 17 at PITT 43,Chad Voytik pass incomplete to Tyler Boyd,,
3rd and 17 at PITT 43,"Chad Voytik pass incomplete to Manasseh Garner, broken up by Brandon Phelps",,
4th and 17 at PITT 43,"Ryan Winslow punt for 27 yds , Khalek Shepherd returns for no gain to the Virg 30",,
"PITT DRIVE TOTALS: 7 plays, 32 yards, 2:19"
Virginia at 6:51,,PITT,UVA
1st and 10 at UVA 30,Matt Johns pass incomplete,0,3
2nd and 10 at UVA 30,"PITTSBURGH Penalty, Defensive Pass Interference (Lafayette Pitts) to the Virg 45 for a 1ST down",,
1st and 10 at UVA 45,Khalek Shepherd run for 11 yds to the Pitt 44 for a 1ST down,,
1st and 10 at PITT 44,"VIRGINIA Penalty, False Start (Zachary Swanson) to the Pitt 49",,
1st and 15 at PITT 49,Kevin Parks run for a loss of 2 yards to the Virg 49,,
2nd and 17 at UVA 49,Kevin Parks run for 6 yds to the Pitt 45,,
3rd and 11 at PITT 45,Matt Johns pass complete to Doni Dowling for 4 yds to the Pitt 41,,
4th and 7 at PITT 41,Alec Vozenilek punt for 41 yds for a touchback,,
"UVA DRIVE TOTALS: 5 plays, 29 yards, 3:07"
Pittsburgh at 3:44,,PITT,UVA
1st and 10 at PITT 20,"Chad Voytik pass incomplete to Jester Weah, broken up by Quin Blanding",0,3
2nd and 10 at PITT 20,"Chad Voytik pass incomplete to Tyler Boyd, broken up by Maurice Canady",,
