0277015720140920,,277,157
,Colorado wins the toss and elects to receive from the north goal.,,
1st Quarter Play-by-Play
Colorado at 15:00,,HAW,COL
,Tyler Hadden kickoff for 65 yds for a touchback,0,0
1st and 10 at COLO 25,"Sefo Liufa,  pass intercepted u""Ne'Quan Phillips"",  return for 28 yds to the Colo 40",,
"COLO DRIVE TOTALS: 1 play, 0 yards, 0:17"
Hawaii at 14:43,,HAW,COL
1st and 10 at COLO 40,Ikaika Woolsey pass complete to Quinton Pedroza for 4 yds to the Colo 36,0,0
2nd and 6 at COLO 36,Ikaika Woolsey pass incomplete to N/A,,
3rd and 6 at COLO 36,Ikaika Woolsey pass complete to Marcus Kemp for 12 yds to the Colo 24 for a 1ST down,,
1st and 10 at COLO 24,Ikaika Woolsey pass complete to Quinton Pedroza for no gain to the Colo 24,,
2nd and 10 at COLO 24,Ikaika Woolsey run for 3 yds to the Colo 21,,
3rd and 7 at COLO 21,"Ikaika Woolsey sacked by Greg Henderson for a loss of 5 yards to the Colo 26 Ikaika Woolsey fumbled, recovered by Colo Greg Henderson , return for 0 yards",,
"HAW DRIVE TOTALS: 6 plays, 14 yards, 2:25"
Colorado at 12:18,,HAW,COL
1st and 10 at COLO 26,Phillip Lindsay run for 4 yds to the Colo 30,0,0
2nd and 6 at COLO 30,Christian Powell run for 4 yds to the Colo 34,,
3rd and 2 at COLO 34,"Sefo Liufa,  pass complete to Shay Fields for 2 yds to the Colo 36 for a 1ST down",,
1st and 10 at COLO 36,"Sefo Liufa,  pass complete to Shay Fields for 5 yds to the Colo 41",,
2nd and 5 at COLO 41,Christian Powell run for 4 yds to the Colo 45,,
3rd and 1 at COLO 45,"COLORADO Penalty, false start (Stephane Nembot) to the Colo 41",,
3rd and 5 at COLO 41,"Sefo Liufa,  pass complete to D.D. Goodson for 1 yd to the Colo 42",,
4th and 4 at COLO 42,"u""Darragh O'Neill"",  punt for 46 yds, punt out-of-bounds at the Hawa 12",,
"COLO DRIVE TOTALS: 6 plays, 16 yards, 3:19"
Hawaii at 8:59,,HAW,COL
1st and 10 at HAW 12,Steven Lakalaka run for 1 yd to the Hawa 13,0,0
2nd and 9 at HAW 13,Steven Lakalaka run for 1 yd to the Hawa 14,,
3rd and 8 at HAW 14,Steven Lakalaka run for no gain to the Hawa 14,,
4th and 8 at HAW 14,"Scott Harding punt for 46 yds, punt out-of-bounds at the Colo 40",,
"HAW DRIVE TOTALS: 3 plays, 2 yards, 1:41"
Colorado at 7:18,,HAW,COL
1st and 10 at COLO 40,Tony Jones run for 4 yds to the Colo 44,0,0
2nd and 6 at COLO 44,"Sefo Liufa,  pass complete to Shay Fields for 8 yds to the Hawa 48 for a 1ST down",,
1st and 10 at HAW 48,Tony Jones run for 4 yds to the Hawa 44,,
2nd and 6 at HAW 44,Phillip Lindsay run for 3 yds to the Hawa 41,,
3rd and 3 at HAW 41,Phillip Lindsay run for 1 yd to the Hawa 40,,
4th and 2 at HAW 40,Phillip Lindsay run for 1 yd to the Hawa 39,,
"COLO DRIVE TOTALS: 6 plays, 21 yards, 1:52"
Hawaii at 5:26,,HAW,COL
