0698066320140927,,698,663
,TCU wins toss and defers; SMU will receive and defend the North EZ.,,
1st Quarter Play-by-Play
SMU at 15:00,,TCU,SMU
1st and 10 at SMU 18,"Garrett Krstich pass incomplete to u""Der'rikk Thompson""",0,0
2nd and 10 at SMU 18,Prescott Line run for 1 yd to the SMU 19,,
3rd and 9 at SMU 19,"SMU Penalty, false start (N/A) to the SMU 14",,
3rd and 14 at SMU 14,Garrett Krstich sacked by Terrell Lathan for a loss of 8 yards to the SMU 6,,
4th and 22 at SMU 6,"Jackson Koonce punt for 39 yds , Cameron Echols-Luper returns for 12 yds to the SMU 33",,
,"Jaden Oberkrom kickoff for 64 yds , Daijuan Stewart return for 17 yds to the SMU 18",,
"SMU DRIVE TOTALS: 3 plays, -12 yards, 1:56"
TCU at 13:04,,TCU,SMU
1st and 10 at SMU 33,"Trevone Boykinu"" pass complete to Deante' Gray for 6 yds to the SMU 27""",0,0
2nd and 4 at SMU 27,"Trevone Boykin run for 27 yds for a TD, (Jaden Oberkrom KICK)",7,0
"TCU DRIVE TOTALS: 2 plays, 33 yards, 0:30"
SMU at 12:30,,TCU,SMU
,"Jaden Oberkrom kickoff for 65 yds , Darius Durall return for 8 yds to the SMU 8",7,0
1st and 10 at SMU 8,Garrett Krstich pass incomplete to N/A,,
2nd and 10 at SMU 8,K.C. Nlemchi run for 2 yds to the SMU 10,,
3rd and 8 at SMU 10,Garrett Krstich sacked by Jonathan Anderson and Marcus Mallet for a loss of 1 yard to the SMU 9,,
4th and 9 at SMU 9,"Jackson Koonce punt for 43 yds, downed at the TCU 48",,
,"Jackson Koonce punt for 43 yds, downed at the TCU 48",,
"SMU DRIVE TOTALS: 3 plays, 1 yard, 1:24"
TCU at 11:06,,TCU,SMU
1st and 10 at TCU 48,B.J. Catalon run for 7 yds to the SMU 45 B.J. Catalon run for 7 yds to the SMU 45,7,0
2nd and 3 at SMU 45,Trevone Boykin pass complete Trevone Boykin pass complete to Josh Doctson for 7 yds to the SMU 38 for a 1ST down,,
1st and 10 at SMU 38,B.J. Catalon run for 2 yds to the SMU 36 B.J. Catalon run for 2 yds to the SMU 36,,
2nd and 8 at SMU 36,Trevone Boykin pass incomplete to Josh Doctson,,
3rd and 8 at SMU 36,Trevone Boykin pass incomplete to Josh Doctson,,
1st and 10 at SMU 24,Trevone Boykin pass complete to Jordan Moore for a loss of 4 yards to the SMU 28,,
3rd and 8 at SMU 36,Trevone Boykin pass complete to Josh Doctson for 12 yds to the SMU 24 for a 1ST down,,
2nd and 14 at SMU 28,"Trevone Boykinu"" pass complete to Deante' Gray for 27 yds to the SMU 1 for a 1ST down""",,
1st and Goal at SMU 1,B.J. Catalon run for no gain to the SMU 1,,
1st and 10 at SMU 24,B.J. Catalon run for no gain to the SMU 1 Trevone Boykin pass complete to Jordan Moore for a loss of 4 yards to the SMU 28,,
3rd and Goal at SMU 1,B.J. Catalon run for a loss of 1 yard to the SMU 2,,
4th and Goal at SMU 2,Trevone Boykin pass incomplete to N/A,,
2nd and 14 at SMU 28,"Trevone Boykinu"" pass complete to Deante' Gray for 27 yds to the SMU 1 for a 1ST down""",,
1st and Goal at SMU 1,B.J. Catalon run for no gain to the SMU 1,,
2nd and Goal at SMU 1,B.J. Catalon run for no gain to the SMU 1,,
3rd and Goal at SMU 1,B.J. Catalon run for a loss of 1 yard to the SMU 2,,
4th and Goal at SMU 2,Trevone Boykin pass incomplete to N/A,,
"TCU DRIVE TOTALS: 11 plays, 50 yards, 4:18"
SMU at 6:48,,TCU,SMU
1st and 10 at SMU 2,Garrett Krstich pass complete to Darius Joseph for 2 yds to the SMU 4,7,0
2nd and 8 at SMU 4,Garrett Krstich pass complete to Prescott Line for 2 yds to the SMU 6,,
3rd and 6 at SMU 6,K.C. Nlemchi run for 2 yds to the SMU 8,,
4th and 4 at SMU 8,"Jackson Koonce punt for 48 yds, punt out-of-bounds at the TCU 44",,
1st and 10 at SMU 2,Garrett Krstich pass complete to Darius Joseph for 2 yds to the SMU 4,,
