0355045720140830,,355,457
,North Carolina wins the toss; defers choice to Second Half.,,
1st Quarter Play-by-Play
Liberty at 15:00,,LIB,UNC
,Nick Weiler kickoff for 65 yds for a touchback,0,0
1st and 10 at LIB 25,Josh Woodrum pass complete to Darrin Peterson for 6 yds to the Liber 31,,
2nd and 4 at LIB 31,D.J. Abnar run for a loss of 1 yard to the Liber 30,,
3rd and 5 at LIB 30,Josh Woodrum pass incomplete to Darrin Peterson,,
4th and 5 at LIB 30,"Trey Turner punt for 47 yds , Ryan Switzer returns for 16 yds to the NCaro 39",,
"LIB DRIVE TOTALS: 3 plays, 5 yards, 1:24"
North Carolina at 13:36,,LIB,UNC
1st and 10 at UNC 39,Marquise Williams pass complete to Jack Tabb for 8 yds to the NCaro 47,0,0
2nd and 2 at UNC 47,Marquise Williams pass complete to Ryan Switzer for 4 yds to the Liber 49 for a 1ST down,,
1st and 10 at LIB 49,Marquise Williams pass complete to Ryan Switzer for 10 yds to the Liber 39 for a 1ST down,,
1st and 10 at LIB 39,Marquise Williams pass complete to Quinshad Davis for 14 yds to the Liber 25 for a 1ST down,,
1st and 10 at LIB 25,T.J. Logan run for 11 yds to the Liber 14 for a 1ST down,,
1st and 10 at LIB 14,Ryan Switzer run for 4 yds to the Liber 10,,
2nd and 6 at LIB 10,T.J. Logan run for 3 yds to the Liber 7,,
3rd and 3 at LIB 7,"Marquise Williams pass complete to Bug Howard for 7 yds for a TD, (Thomas Moore KICK)",0,7
"UNC DRIVE TOTALS: 8 plays, 61 yards, 2:11"
Liberty at 11:25,,LIB,UNC
,Nick Weiler kickoff for 65 yds for a touchback,0,7
1st and 10 at LIB 25,D.J. Abnar run for 4 yds to the Liber 29,,
2nd and 6 at LIB 29,"Josh Woodrum pass incomplete to Darrin Peterson, broken up by Tim Scott",,
3rd and 6 at LIB 29,Josh Woodrum pass complete to Gabe Henderson for 9 yds to the Liber 38 for a 1ST down,,
1st and 10 at LIB 38,Josh Woodrum pass complete to Dante Shells for 6 yds to the Liber 44,,
2nd and 4 at LIB 44,D.J. Abnar run for 5 yds to the Liber 49 for a 1ST down,,
1st and 10 at LIB 49,"Josh Woodrum pass complete to Darrin Peterson for 39 yds Darrin Peterson fumbled, forced by Tim Scott, recovered by NCaro Dominique Green",,
"LIB DRIVE TOTALS: 6 plays, 68 yards, 2:23"
North Carolina at 9:02,,LIB,UNC
1st and 10 at UNC 7,Marquise Williams pass intercepted Kenny Scott return for no gain to the 50 yard line,0,7
"UNC DRIVE TOTALS: 1 play, 0 yards, 0:07"
Liberty at 8:55,,LIB,UNC
1st and 10 at 50,Josh Woodrum pass complete to Kendall Couamin for 8 yds to the NCaro 42,0,7
2nd and 2 at UNC 42,D.J. Abnar run for 2 yds to the NCaro 40 for a 1ST down,,
1st and 10 at UNC 40,Todd Macon run for 5 yds to the NCaro 35,,
,"Timeout LIBERTY, clock 07:18",,
2nd and 5 at UNC 35,Todd Macon run for 2 yds to the NCaro 33,,
3rd and 3 at UNC 33,Josh Woodrum pass complete to Gabe Henderson for 4 yds to the NCaro 29 for a 1ST down,,
1st and 10 at UNC 29,Josh Woodrum pass complete to Dexter Herman for 19 yds to the NCaro 10 for a 1ST down,,
1st and Goal at UNC 10,"ABNAR, D.J. rush up middle for no gain to the NC10 (Jones, N), PENALTY NC offside (Otis, N) 5 yards to the NC5, NO PLAY.",,
1st and Goal at UNC 5,D.J. Abnar run for 4 yds to the NCaro 1,,
2nd and Goal at UNC 1,"Todd Macon run for 1 yd for a TD NORTH CAROLINA Penalty, Defensive offside ( Yards) declined, (Avery Echols KICK)",7,7
"LIB DRIVE TOTALS: 8 plays, 50 yards, 4:11"
North Carolina at 4:44,,LIB,UNC
,Avery Echols kickoff for 22 yds,7,7
1st and 10 at UNC 43,Mitch Trubisky pass complete to Damien Washington for 7 yds to the 50 yard line,,
2nd and 3 at 50,"Mitch Trubisky pass complete to Kendrick Singleton for 14 yds to the UNC 36 for a 1ST down LIBERTY Penalty, personal foul (N/A) to the Liber 21 for a 1ST down",,
1st and 10 at LIB 21,Romar Morris run for 5 yds to the Liber 16,,
2nd and 5 at LIB 16,Mitch Trubisky run for 12 yds to the Liber 4 for a 1ST down,,
1st and Goal at LIB 4,Romar Morris run for 3 yds to the Liber 1,,
2nd and Goal at LIB 1,"Romar Morris run for 1 yd for a TD, (Thomas Moore KICK)",7,14
"UNC DRIVE TOTALS: 6 plays, 57 yards, 1:22"
Liberty at 3:22,,LIB,UNC
,Nick Weiler kickoff for 65 yds for a touchback,7,14
1st and 10 at LIB 25,D.J. Abnar run for 12 yds to the Liber 37 for a 1ST down,,
1st and 10 at LIB 37,Zac Parker run for 1 yd to the Liber 38,,
2nd and 9 at LIB 38,Josh Woodrum pass incomplete to Dexter Herman,,
3rd and 9 at LIB 38,Josh Woodrum pass incomplete to N/A,,
4th and 9 at LIB 38,"Trey Turner punt for 32 yds, fair catch by Ryan Switzer at the NCaro 30",,
"LIB DRIVE TOTALS: 4 plays, 13 yards, 1:31"
North Carolina at 1:51,,LIB,UNC
1st and 10 at UNC 30,Khris Francis run for 5 yds to the NCaro 35,7,14
2nd and 5 at UNC 35,Khris Francis run for no gain to the NCaro 35,,
3rd and 5 at UNC 35,Marquise Williams pass complete to Ryan Switzer for 6 yds to the NCaro 41 for a 1ST down,,
1st and 10 at UNC 41,Marquise Williams pass incomplete to Quinshad Davis,,
2nd and 10 at UNC 41,Marquise Williams pass complete to Bug Howard for 4 yds to the NCaro 45,,
,End of 1st Quarter,,
2nd Quarter Play-by-Play
North Carolina at 15:00,,LIB,UNC
3rd and 6 at UNC 45,Marquise Williams pass incomplete to Kendrick Singleton,7,14
4th and 6 at UNC 45,"Tommy Hibbard punt for 38 yds, fair catch by Zac Parker at the Liber 17",,
"UNC DRIVE TOTALS: 6 plays, 15 yards, 2:03"
Liberty at 14:48,,LIB,UNC
1st and 10 at LIB 17,Todd Macon run for no gain to the Liber 17,7,14
2nd and 10 at LIB 17,Josh Woodrum pass complete to Gabe Henderson for 7 yds to the Liber 24,,
3rd and 3 at LIB 24,"Josh Woodrum run for 12 yds to the Liber 36 for a 1ST down NORTH CAROLINA Penalty, Defensive offside ( Yards) declined for a 1ST down",,
1st and 10 at LIB 36,Todd Macon run for 1 yd to the Liber 37,,
2nd and 9 at LIB 37,Josh Woodrum pass incomplete to Kendall Couamin,,
3rd and 9 at LIB 37,Josh Woodrum pass complete to Todd Macon for no gain to the Liber 37,,
4th and 9 at LIB 37,"Trey Turner punt for 38 yds , Ryan Switzer returns for no gain to the NCaro 25 Ryan Switzer fumbled, recovered by NCaro N/A",,
"LIB DRIVE TOTALS: 6 plays, 20 yards, 3:22"
North Carolina at 11:26,,LIB,UNC
1st and 10 at UNC 25,Marquise Williams run for 3 yds to the NCaro 28,7,14
2nd and 7 at UNC 28,Marquise Williams pass complete to Ryan Switzer for 8 yds to the NCaro 36 for a 1ST down,,
1st and 10 at UNC 36,Marquise Williams pass complete to Ryan Switzer for 1 yd to the NCaro 37,,
2nd and 9 at UNC 37,Marquise Williams run for 20 yds to the Liber 43 for a 1ST down,,
1st and 10 at LIB 43,Marquise Williams pass incomplete to Jack Tabb,,
2nd and 10 at LIB 43,Marquise Williams pass complete to Jack Tabb for 7 yds to the Liber 36,,
3rd and 3 at LIB 36,Marquise Williams pass complete to Bug Howard for 3 yds to the Liber 33 for a 1ST down,,
1st and 10 at LIB 33,Elijah Hood run for no gain to the Liber 33,,
2nd and 10 at LIB 33,Marquise Williams pass incomplete to Jack Tabb,,
3rd and 10 at LIB 33,Marquise Williams run for 7 yds to the Liber 26,,
4th and 3 at LIB 26,Thomas Moore 44 yd FG MISSED,,
"UNC DRIVE TOTALS: 11 plays, 49 yards, 3:26"
Liberty at 8:00,,LIB,UNC
1st and 10 at LIB 27,Josh Woodrum pass incomplete to Gabe Henderson,7,14
2nd and 10 at LIB 27,"Josh Woodrum pass incomplete to Darrin Peterson LIBERTY Penalty, Offensive holding ( Yards) declined",,
3rd and 10 at LIB 27,Josh Woodrum pass complete to Gabe Henderson for 18 yds to the Liber 45 for a 1ST down,,
1st and 10 at LIB 45,Josh Woodrum pass incomplete to N/A,,
2nd and 10 at LIB 45,D.J. Abnar run for 4 yds to the Liber 49,,
3rd and 6 at LIB 49,Josh Woodrum pass incomplete to N/A,,
4th and 6 at LIB 49,"Trey Turner punt for 40 yds , Ryan Switzer returns for 4 yds to the NCaro 15",,
"LIB DRIVE TOTALS: 6 plays, 22 yards, 1:26"
North Carolina at 6:34,,LIB,UNC
1st and 10 at UNC 15,Mitch Trubisky pass complete to Ryan Switzer for 9 yds to the NCaro 24,7,14
2nd and 1 at UNC 24,T.J. Logan run for 6 yds to the NCaro 30 for a 1ST down,,
1st and 10 at UNC 30,Mitch Trubisky pass complete to Ryan Switzer for no gain to the NCaro 30,,
2nd and 10 at UNC 30,Mitch Trubisky run for 3 yds to the NCaro 33,,
3rd and 7 at UNC 33,Mitch Trubisky pass incomplete to Bug Howard,,
4th and 7 at UNC 33,"TEAM run for a loss of 33 yards for a SAFETY TEAM fumbled, recovered by NCaro for a SAFETY NORTH CAROLINA Penalty, illegal kicking (Tommy Hibbard) to the NCaro 0",9,14
"UNC DRIVE TOTALS: 6 plays, -15 yards, 1:25"
Liberty at 5:03,,LIB,UNC
,"Tommy Hibbard kickoff for 64 yds , Zac Parker return for 11 yds to the Liber 27",9,14
1st and 10 at LIB 27,D.J. Abnar run for 7 yds to the Liber 34,,
2nd and 3 at LIB 34,D.J. Abnar run for 5 yds to the Liber 39 for a 1ST down,,
1st and 10 at LIB 39,Josh Woodrum pass complete to Darrin Peterson for 31 yds to the NCaro 30 for a 1ST down,,
1st and 10 at UNC 30,Josh Woodrum pass incomplete to Darrin Peterson,,
2nd and 10 at UNC 30,Todd Macon run for 8 yds to the NCaro 22,,
,"Timeout NORTH CAROLINA, clock 02:46",,
3rd and 2 at UNC 22,"NORTH CAROLINA Penalty, substitution infraction (5 Yards) to the NCaro 17 for a 1ST down",,
1st and 10 at UNC 17,Todd Macon run for 14 yds to the NCaro 3 for a 1ST down,,
1st and Goal at UNC 3,D.J. Abnar run for 2 yds to the NCaro 1,,
2nd and Goal at UNC 1,"D.J. Abnar run for 1 yd for a TD, (Josh Woodrum failed ), (Josh Woodrum failed )",15,14
"LIB DRIVE TOTALS: 8 plays, 73 yards, 3:26"
North Carolina at 1:32,,LIB,UNC
,"Avery Echols kickoff for 56 yds , T.J. Logan return for 25 yds to the NCaro 34",15,14
1st and 10 at UNC 34,Romar Morris run for 9 yds to the NCaro 43,,
2nd and 1 at UNC 43,Marquise Williams pass incomplete to Quinshad Davis,,
3rd and 1 at UNC 43,Elijah Hood run for 10 yds to the Liber 47 for a 1ST down,,
1st and 10 at LIB 47,Marquise Williams pass complete to Bug Howard for 13 yds to the Liber 34 for a 1ST down,,
1st and 10 at LIB 34,Marquise Williams run for 4 yds to the Liber 30,,
,"Timeout NORTH CAROLINA, clock 00:51",,
2nd and 6 at LIB 30,Marquise Williams pass complete to Quinshad Davis for 23 yds to the Liber 7 for a 1ST down,,
1st and Goal at LIB 7,"Williams, M sideline pass incomplete to Davis, Q, PENALTY LIBERTY holding (GUILLORY, J.) 4 yards to the LIBERTY3, 1ST DOWN NC, NO PLAY. for a 1ST down",,
1st and Goal at LIB 3,"Marquise Williams run for 3 yds for a TD, (Nick Weiler KICK)",15,21
"UNC DRIVE TOTALS: 7 plays, 66 yards, 1:04"
Liberty at 0:28,,LIB,UNC
,Nick Weiler kickoff for 65 yds for a touchback,15,21
1st and 10 at LIB 25,TEAM run for a loss of 1 yard to the Liber 24,,
,End of 2nd Quarter,,
