0700070420140906,,700,704
1st Quarter Play-by-Play
Texas Tech at 15:00,,TTU,UTEP
1st and 10 at TTU 25,Davis Webb pass incomplete to D.J. Polite-Bray,0,0
2nd and 10 at TTU 25,"Davis Webb pass incomplete to Reginald Davis, broken up by Alvin Jones",,
3rd and 10 at TTU 25,Davis Webb pass incomplete to Jakeem Grant,,
4th and 10 at TTU 25,"Taylor Symmank punt for 47 yds, fair catch by Damian Payne at the UTEP 28",,
,Jay Mattox kickoff for 65 yds for a touchback,,
"TTU DRIVE TOTALS: 3 plays, 0 yards, 0:24"
UTEP at 14:36,,TTU,UTEP
1st and 10 at UTEP 28,Jameill Showers pass incomplete to Josh Bell,0,0
2nd and 10 at UTEP 28,Aaron Jones run for 27 yds to the TexTc 45 for a 1ST down,,
1st and 10 at TTU 45,Jeremiah Laufasa run for 6 yds to the TexTc 39,,
2nd and 4 at TTU 39,Nathan Jeffery run for 2 yds to the TexTc 37,,
3rd and 2 at TTU 37,Aaron Jones run for 5 yds to the TexTc 32 for a 1ST down,,
1st and 10 at TTU 32,"SHOWERS,Jameill deep pass incomplete to SHAW, Jarrad, PENALTY TTU offside 5 yards to the TTU27, NO PLAY.",,
1st and 5 at TTU 27,Aaron Jones run for 4 yds to the TexTc 23,,
2nd and 1 at TTU 23,Jameill Showers run for 2 yds to the TexTc 21 for a 1ST down,,
1st and 10 at TTU 21,"SHOWERS,Jameill sideline pass incomplete to SHAW, Jarrad, PENALTY TTU pass interference (Johnson, Jah.) 11 yards to the TTU10, 1ST DOWN UTEP, NO PLAY. for a 1ST down",,
1st and Goal at TTU 10,Jameill Showers pass incomplete to Ian Hamilton,,
2nd and Goal at TTU 10,Nathan Jeffery run for 5 yds to the TexTc 5,,
3rd and Goal at TTU 5,Jameill Showers pass incomplete to Eric Tomlinson,,
4th and Goal at TTU 5,Jay Mattox 22 yd FG GOOD,0,3
"UTEP DRIVE TOTALS: 11 plays, 67 yards, 4:52"
Texas Tech at 9:44,,TTU,UTEP
1st and 10 at TTU 25,DeAndre Washington run for 9 yds to the TexTc 34,0,3
2nd and 1 at TTU 34,"TEXAS TECH Penalty, false start (-5 Yards) to the TexTc 29",,
2nd and 6 at TTU 29,Davis Webb pass complete to Jakeem Grant for 22 yds to the UTEP 49 for a 1ST down,,
1st and 10 at UTEP 49,DeAndre Washington run for 2 yds to the UTEP 47,,
2nd and 8 at UTEP 47,Davis Webb pass incomplete to Jakeem Grant,,
3rd and 8 at UTEP 47,Davis Webb pass incomplete to Bradley Marquez,,
4th and 8 at UTEP 47,"Taylor Symmank punt for 33 yds , Damian Payne returns for 12 yds to the UTEP 26",,
,Jay Mattox kickoff for 65 yds for a touchback,,
"TTU DRIVE TOTALS: 5 plays, 28 yards, 1:38"
UTEP at 8:06,,TTU,UTEP
1st and 10 at UTEP 26,Autrey Golden run for 11 yds to the UTEP 37 for a 1ST down,0,3
1st and 10 at UTEP 37,Jameill Showers pass incomplete to Eric Tomlinson,,
2nd and 10 at UTEP 37,Jeremiah Laufasa run for 1 yd to the UTEP 38,,
3rd and 9 at UTEP 38,Jameill Showers pass incomplete to Eric Tomlinson,,
4th and 9 at UTEP 38,"Mike Ruggles punt for 44 yds for a 1ST down , Cameron Batson returns for 12 yds to the 50 yard line for a 1ST down TEXAS TECH Penalty, Offensive holding (9 Yards) to the TexTc 10 for a 1ST down",,
"UTEP DRIVE TOTALS: 4 plays, 12 yards, 1:40"
Texas Tech at 6:26,,TTU,UTEP
1st and 10 at TTU 10,DeAndre Washington run for 12 yds to the TexTc 22 for a 1ST down,0,3
1st and 10 at TTU 22,Davis Webb pass complete to Reginald Davis for 36 yds to the UTEP 42 for a 1ST down,,
1st and 10 at UTEP 42,"Webb, Davis deep pass incomplete to Davis, Reginald, PENALTY UTEP pass interference (JAMES, Adrian) 15 yards to the UTEP27, 1ST DOWN TTU, NO PLAY. for a 1ST down",,
1st and 10 at UTEP 27,DeAndre Washington run for 3 yds to the UTEP 24,,
2nd and 7 at UTEP 24,"Davis Webb pass complete to DeAndre Washington for 9 yds DeAndre Washington fumbled, recovered by UTEP Jameel Erving  , return for 1 yd to the UTEP 16",,
"TTU DRIVE TOTALS: 4 plays, 75 yards, 1:30"
UTEP at 4:56,,TTU,UTEP
1st and 10 at UTEP 16,"N/A fumbled, recovered by UTEP Aaron Jones , return for 0 yards Aaron Jones sacked for a loss of 4 yards to the UTEP 12 UTEP Penalty, intentional grounding (-3 Yards) to the UTEP 3",0,3
2nd and 23 at UTEP 3,Nathan Jeffery run for 1 yd to the UTEP 4,,
3rd and 22 at UTEP 4,Jameill Showers pass complete to Autrey Golden for 18 yds to the UTEP 22,,
4th and 4 at UTEP 22,"Mike Ruggles punt for 49 yds , Cameron Batson returns for 1 yd to the TexTc 30",,
"UTEP DRIVE TOTALS: 3 plays, 6 yards, 1:17"
Texas Tech at 3:39,,TTU,UTEP
1st and 10 at TTU 30,"Washington, De. rush draw play for no gain to the TTU30 (RICHARDSON, D.), PENALTY TTU holding 10 yards to the TTU20, NO PLAY.",0,3
1st and 20 at TTU 20,"Webb, Davis ST pass incomplete to Grant, Jakeem, PENALTY TTU holding 10 yards to the TTU10, NO PLAY.",,
1st and 30 at TTU 10,Davis Webb pass complete to Jakeem Grant for 6 yds to the TexTc 16,,
