0414012920141115,,414,129
1st Quarter Play-by-Play
Miami (OH) at 15:00,,MU,CMU
,"Ron Coluzzi kickoff for 63 yds , Fred McRae return for 18 yds to the MiaOh 20",0,0
1st and 10 at M-OH 20,"CENTRAL MICH Penalty, unsportsmanlike conduct (15 Yards) to the MiaOh 35 for a 1ST down",,
1st and 10 at M-OH 35,Andrew Hendrix pass complete to Alex Welch for 15 yds to the 50 yard line for a 1ST down,,
1st and 10 at 50,Dawan Scott run for 4 yds to the CMich 46,,
2nd and 6 at CMU 46,Andrew Hendrix pass complete to Rokeem Williams for 17 yds to the CMich 29 for a 1ST down,,
1st and 10 at CMU 29,Andrew Hendrix pass complete to Fred McRae for 4 yds to the CMich 25,,
2nd and 6 at CMU 25,Dawan Scott run for no gain to the CMich 25,,
3rd and 6 at CMU 25,Andrew Hendrix pass incomplete to Rokeem Williams,,
4th and 6 at CMU 25,"Andrew Hendrix pass incomplete to Rokeem Williams, broken up by Josh Cox",,
"M-OH DRIVE TOTALS: 7 plays, 55 yards, 3:16"
Central Michigan at 11:44,,MU,CMU
1st and 10 at CMU 25,"Cooper Rush sacked by Bryson Albright for a loss of 6 yards to the CMich 14 Cooper Rush fumbled, recovered by MiaOh Bryson Albright , return for 0 yards",0,0
"CMU DRIVE TOTALS: 1 play, -11 yards, 0:08"
Miami (OH) at 11:36,,MU,CMU
1st and 10 at CMU 14,Andrew Hendrix pass complete to Alex Welch for 3 yds to the CMich 11,0,0
2nd and 7 at CMU 11,Dawan Scott run for a loss of 3 yards to the CMich 14,,
3rd and 10 at CMU 14,Andrew Hendrix pass complete to Rokeem Williams for 8 yds to the CMich 6,,
4th and 2 at CMU 6,Kaleb Patterson 23 yd FG MISSED,,
"M-OH DRIVE TOTALS: 4 plays, 8 yards, 2:15"
Central Michigan at 9:21,,MU,CMU
1st and 10 at CMU 20,Saylor Lavallii run for 3 yds to the CMich 23,0,0
2nd and 7 at CMU 23,Cooper Rush pass complete to Anthony Rice for 29 yds to the MiaOh 48 for a 1ST down,,
1st and 10 at M-OH 48,Thomas Rawls run for 12 yds to the MiaOh 36 for a 1ST down,,
1st and 10 at M-OH 36,Thomas Rawls run for 7 yds to the MiaOh 29,,
2nd and 3 at M-OH 29,Cooper Rush pass complete to Saylor Lavallii for 8 yds to the MiaOh 21 for a 1ST down,,
1st and 10 at M-OH 21,Saylor Lavallii run for 7 yds to the MiaOh 14,,
2nd and 3 at M-OH 14,Saylor Lavallii run for 4 yds to the MiaOh 10 for a 1ST down,,
1st and Goal at M-OH 10,Saylor Lavallii run for 7 yds to the MiaOh 3,,
2nd and Goal at M-OH 3,Saylor Lavallii run for a loss of 3 yards to the MiaOh 6,,
3rd and Goal at M-OH 6,"Cooper Rush pass complete to Titus Davis for 6 yds for a TD, (Brian Eavey KICK)",0,7
"CMU DRIVE TOTALS: 10 plays, 80 yards, 5:28"
Miami (OH) at 3:53,,MU,CMU
,Ron Coluzzi kickoff for 65 yds for a touchback,0,7
1st and 10 at M-OH 25,Andrew Hendrix pass complete to David Frazier for 7 yds to the MiaOh 32,,
