0587051820141018,,587,518
,"RUTGERS wins the coin toss, and will receive.",,
1st Quarter Play-by-Play
Rutgers at 15:00,,RU,OHST
,Kyle Clinton kickoff for 65 yds for a touchback,0,0
1st and 10 at RUTG 25,Gary Nova run for a loss of 1 yard to the Rutgr 24,,
2nd and 11 at RUTG 24,Gary Nova pass incomplete to Andrew Turzilli,,
3rd and 11 at RUTG 24,Gary Nova pass incomplete to Andrew Turzilli,,
4th and 11 at RUTG 24,"Tim Gleeson punt for 39 yds , Jalin Marshall returns for 11 yds to the OhSt 48",,
"RUTG DRIVE TOTALS: 3 plays, -1 yard, 0:57"
Ohio State at 14:03,,RU,OHST
1st and 10 at OSU 48,J.T. Barrett pass complete to Michael Thomas for 5 yds to the Rutgr 47,0,0
2nd and 5 at RUTG 47,Ezekiel Elliott run for 3 yds to the Rutgr 44,,
3rd and 2 at RUTG 44,Ezekiel Elliott run for 1 yd to the Rutgr 43,,
4th and 1 at RUTG 43,J.T. Barrett run for 19 yds to the Rutgr 24 for a 1ST down,,
1st and 10 at RUTG 24,J.T. Barrett pass complete to Ezekiel Elliott for 12 yds to the Rutgr 12 for a 1ST down,,
1st and 10 at RUTG 12,"J.T. Barrett pass complete to Nick Vannett for 12 yds for a TD, (Sean Nuernberger KICK)",0,7
"OSU DRIVE TOTALS: 6 plays, 52 yards, 2:29"
Rutgers at 11:34,,RU,OHST
,Kyle Clinton kickoff for 65 yds for a touchback,0,7
1st and 10 at RUTG 25,Gary Nova pass complete to Andrew Turzilli for 17 yds to the Rutgr 42 for a 1ST down,,
1st and 10 at RUTG 42,Justin Goodwin run for 3 yds to the Rutgr 45,,
2nd and 7 at RUTG 45,Justin Goodwin run for no gain to the Rutgr 45,,
3rd and 7 at RUTG 45,Gary Nova pass complete to Leonte Carroo for 5 yds to the 50 yard line,,
4th and 2 at 50,"Tim Gleeson punt for 38 yds , Jalin Marshall returns for 14 yds to the OhSt 26",,
"RUTG DRIVE TOTALS: 4 plays, 25 yards, 2:37"
Ohio State at 8:57,,RU,OHST
1st and 10 at OSU 26,J.T. Barrett pass complete to Evan Spencer for a loss of 1 yard to the OhSt 25,0,7
2nd and 11 at OSU 25,J.T. Barrett pass complete to Jalin Marshall for 31 yds to the Rutgr 44 for a 1ST down,,
1st and 10 at RUTG 44,Ezekiel Elliott run for 11 yds to the Rutgr 33 for a 1ST down,,
1st and 10 at RUTG 33,Ezekiel Elliott run for 7 yds to the Rutgr 26,,
2nd and 3 at RUTG 26,J.T. Barrett run for 13 yds to the Rutgr 13 for a 1ST down,,
1st and 10 at RUTG 13,J.T. Barrett run for 6 yds to the Rutgr 7,,
2nd and 4 at RUTG 7,Ezekiel Elliott run for 6 yds to the Rutgr 1 for a 1ST down,,
1st and Goal at RUTG 1,"Ezekiel Elliott run for 1 yd for a TD, (Sean Nuernberger KICK)",0,14
"OSU DRIVE TOTALS: 8 plays, 74 yards, 3:33"
Rutgers at 5:24,,RU,OHST
,"Kyle Clinton kickoff for 56 yds , Janarion Grant return for 25 yds to the Rutgr 34",0,14
1st and 10 at RUTG 34,Desmon Peoples run for 5 yds to the Rutgr 39,,
,"Timeout RUTGERS, clock 04:45",,
2nd and 5 at RUTG 39,Gary Nova pass complete to Michael Burton for 14 yds to the OhSt 47 for a 1ST down,,
1st and 10 at OSU 47,Desmon Peoples run for 1 yd to the OhSt 46,,
2nd and 9 at OSU 46,Gary Nova pass complete to Leonte Carroo for 10 yds to the OhSt 36 for a 1ST down,,
1st and 10 at OSU 36,Desmon Peoples run for 4 yds to the OhSt 32,,
2nd and 6 at OSU 32,Desmon Peoples run for 2 yds to the OhSt 30,,
3rd and 4 at OSU 30,Gary Nova run for 8 yds to the OhSt 22 for a 1ST down,,
1st and 10 at OSU 22,Desmon Peoples run for 20 yds to the OhSt 2 for a 1ST down,,
1st and Goal at OSU 2,Desmon Peoples run for 1 yd to the OhSt 1,,
2nd and Goal at OSU 1,"Desmon Peoples run for 1 yd for a TD, (Kyle Federico KICK)",7,14
"RUTG DRIVE TOTALS: 10 plays, 66 yards, 4:57"
Ohio State at 0:27,,RU,OHST
,"Kyle Federico kickoff for 65 yds , Dontre Wilson return for 33 yds to the OhSt 33",7,14
1st and 10 at OSU 33,Dontre Wilson run for a loss of 3 yards to the OhSt 30,,
,End of 1st Quarter,,
2nd Quarter Play-by-Play
Ohio State at 15:00,,RU,OHST
2nd and 13 at OSU 30,Ezekiel Elliott run for 6 yds to the OhSt 36,7,14
3rd and 7 at OSU 36,J.T. Barrett pass complete to Jalin Marshall for 20 yds to the Rutgr 44 for a 1ST down,,
1st and 10 at RUTG 44,Dontre Wilson run for 11 yds to the Rutgr 33 for a 1ST down,,
1st and 10 at RUTG 33,J.T. Barrett pass complete to Ezekiel Elliott for 7 yds to the Rutgr 26,,
2nd and 3 at RUTG 26,"J.T. Barrett pass complete to Nick Vannett for 26 yds for a TD, (Sean Nuernberger KICK)",7,21
"OSU DRIVE TOTALS: 6 plays, 67 yards, 2:24"
Rutgers at 13:03,,RU,OHST
,"Kyle Clinton kickoff for 58 yds , Janarion Grant return for 15 yds to the Rutgr 22",7,21
1st and 10 at RUTG 22,Justin Goodwin run for 2 yds to the Rutgr 24,,
2nd and 8 at RUTG 24,Gary Nova pass complete to Justin Goodwin for 9 yds to the Rutgr 33 for a 1ST down,,
1st and 10 at RUTG 33,Gary Nova pass incomplete to Andrew Turzilli,,
2nd and 10 at RUTG 33,Gary Nova pass complete to Justin Goodwin for 2 yds to the Rutgr 35,,
3rd and 8 at RUTG 35,Gary Nova pass incomplete,,
4th and 8 at RUTG 35,"Tim Gleeson punt for 23 yds, downed at the OhSt 42",,
"RUTG DRIVE TOTALS: 5 plays, 13 yards, 2:09"
Ohio State at 10:54,,RU,OHST
1st and 10 at OSU 42,"OHIO ST Penalty, False Start (Jeff Heuerman) to the OhSt 37",7,21
1st and 15 at OSU 37,"OHIO ST Penalty, False Start (Pat Elflein) to the OhSt 32",,
1st and 20 at OSU 32,J.T. Barrett pass complete to Ezekiel Elliott for 5 yds to the OhSt 37,,
2nd and 15 at OSU 37,"J.T. Barrett pass incomplete to Devin Smith, broken up by Kevin Snyder",,
3rd and 15 at OSU 37,J.T. Barrett pass incomplete to Evan Spencer,,
4th and 15 at OSU 37,"Cameron Johnston punt for 53 yds, fair catch by Janarion Grant at the Rutgr 10",,
"OSU DRIVE TOTALS: 3 plays, -5 yards, 0:56"
Rutgers at 9:58,,RU,OHST
1st and 10 at RUTG 10,"Gary Nova pass complete to Janarion Grant for a loss of 1 yard, Janarion Grant fumbled, forced by Rashad Frazier, recovered by OhSt Eli Apple  , return for 4 yds for a TD, (Sean Nuernberger KICK)",7,28
"RUTG DRIVE TOTALS: 1 play, -1 yard, 0:08"
Rutgers at 9:50,,RU,OHST
,"Kyle Clinton kickoff for 57 yds , Janarion Grant return for 22 yds to the Rutgr 30",7,28
1st and 10 at RUTG 30,Gary Nova pass incomplete to Nick Arcidiacono,,
2nd and 10 at RUTG 30,Desmon Peoples run for no gain to the Rutgr 30,,
3rd and 10 at RUTG 30,Gary Nova sacked by Darron Lee for a loss of 11 yards to the Rutgr 19,,
4th and 21 at RUTG 19,"Tim Gleeson punt for 32 yds, downed at the OhSt 49",,
"RUTG DRIVE TOTALS: 3 plays, -11 yards, 1:39"
Ohio State at 8:11,,RU,OHST
1st and 10 at OSU 49,Ezekiel Elliott run for 1 yd to the 50 yard line,7,28
2nd and 9 at 50,J.T. Barrett run for 12 yds to the Rutgr 38 for a 1ST down,,
1st and 10 at RUTG 38,J.T. Barrett pass incomplete to Dontre Wilson,,
2nd and 10 at RUTG 38,Rod Smith run for 3 yds to the Rutgr 35,,
3rd and 7 at RUTG 35,J.T. Barrett pass complete to Jeff Heuerman for 16 yds to the Rutgr 19 for a 1ST down,,
1st and 10 at RUTG 19,Rod Smith run for 2 yds to the Rutgr 17,,
2nd and 8 at RUTG 17,J.T. Barrett pass complete to Michael Thomas for 14 yds to the Rutgr 3 for a 1ST down,,
1st and Goal at RUTG 3,"Rod Smith run for 3 yds for a TD, (Sean Nuernberger KICK)",7,35
"OSU DRIVE TOTALS: 8 plays, 51 yards, 3:39"
Rutgers at 4:32,,RU,OHST
,"Kyle Clinton kickoff for 65 yds , Janarion Grant return for 11 yds to the Rutgr 11",7,35
1st and 10 at RUTG 11,Justin Goodwin run for 1 yd to the Rutgr 12,,
2nd and 9 at RUTG 12,Justin Goodwin run for a loss of 1 yard to the Rutgr 11,,
3rd and 10 at RUTG 11,Gary Nova pass complete to Leonte Carroo for 39 yds to the 50 yard line for a 1ST down,,
1st and 10 at 50,Justin Goodwin run for 4 yds to the OhSt 46,,
,"Timeout RUTGERS, clock 02:11",,
2nd and 6 at OSU 46,Justin Goodwin run for 1 yd to the OhSt 45,,
,"Timeout OHIO ST, clock 01:29",,
4th and 5 at OSU 45,Gary Nova pass complete to Janarion Grant for 9 yds to the OhSt 36 for a 1ST down,,
1st and 10 at OSU 36,Gary Nova pass complete to Tyler Kroft for 12 yds to the OhSt 24 for a 1ST down,,
1st and 10 at OSU 24,Gary Nova pass complete to Tyler Kroft for 5 yds to the OhSt 19,,
2nd and 5 at OSU 19,Gary Nova sacked by Joey Bosa for a loss of 6 yards to the OhSt 25,,
,"Timeout RUTGERS, clock 00:31",,
3rd and 11 at OSU 25,Gary Nova pass incomplete to Tyler Kroft,,
4th and 11 at OSU 25,"OHIO ST Penalty, Unsportsmanlike Conduct (Adolphus Washington) to the OhSt 12 for a 1ST down",,
1st and 10 at OSU 12,Gary Nova pass incomplete to Janarion Grant,,
