0261028820140906,,261,288
1st Quarter Play-by-Play
Houston at 15:00,,GRAM,HOU
,"Marc Orozco kickoff for 65 yds , Demarcus Ayers return for 20 yds to the Houst 20",0,0
1st and 10 at HOU 20,Kenneth Farrow run for 55 yds to the Gramb 25 for a 1ST down,,
1st and 10 at GRAM 25,"GRAMBLING Penalty, sideline interference (13 Yards) to the Gramb 12 for a 1ST down",,
1st and 10 at GRAM 12,"Greg Ward Jr. run for 12 yds for a TD, (Kyle Bullard KICK)",0,7
"HOU DRIVE TOTALS: 2 plays, 80 yards, 0:38"
Grambling State at 14:22,,GRAM,HOU
,"Ty Cummings kickoff for 65 yds , Martez Carter return for 20 yds to the Gramb 20",0,7
1st and 10 at GRAM 20,Stephen Johnson pass complete to Chester Rogers for 8 yds to the Gramb 28,,
2nd and 2 at GRAM 28,Stephen Johnson run for 2 yds to the Gramb 30 for a 1ST down,,
1st and 10 at GRAM 30,Stephen Johnson pass incomplete to Brandon Byrdsong,,
2nd and 10 at GRAM 30,Jestin Kelly run for 1 yd to the Gramb 31,,
3rd and 9 at GRAM 31,Stephen Johnson pass complete to Chester Rogers for 14 yds to the Gramb 45 for a 1ST down,,
1st and 10 at GRAM 45,Jestin Kelly run for 4 yds to the Gramb 49,,
2nd and 6 at GRAM 49,Stephen Johnson pass incomplete to N/A,,
3rd and 6 at GRAM 49,Stephen Johnson pass incomplete to Chester Rogers,,
4th and 6 at GRAM 49,"Johnathan Wallace punt for 40 yds, downed at the Houst 11",,
"GRAM DRIVE TOTALS: 8 plays, 29 yards, 2:30"
Houston at 11:52,,GRAM,HOU
1st and 10 at HOU 11,"u""John O'Korn"",  pass incomplete to N/A",0,7
2nd and 10 at HOU 11,"u""John O'Korn"",  run for 5 yds to the Houst 16",,
3rd and 5 at HOU 16,"GRAMBLING Penalty, Defensive offside (Donovan McCray) to the Houst 21 for a 1ST down",,
1st and 10 at HOU 21,Ryan Jackson run for a loss of 7 yards to the Houst 14,,
2nd and 17 at HOU 14,"u""John O'Korn"",  pass complete to Daniel Spencer for 20 yds to the Houst 34 for a 1ST down",,
1st and 10 at HOU 34,Greg Ward Jr. run for 6 yds to the Houst 40,,
2nd and 4 at HOU 40,Ryan Jackson run for 7 yds to the Houst 47 for a 1ST down,,
1st and 10 at HOU 47,"u""John O'Korn"",  pass complete to Daniel Spencer for 4 yds to the Gramb 49",,
2nd and 6 at GRAM 49,Daniel Spencer run for 2 yds to the Gramb 47,,
3rd and 4 at GRAM 47,"u""John O'Korn"",  pass incomplete to Greg Ward Jr.",,
