9.04302E+12,,9,430
1st Quarter Play-by-Play,,,
Mississippi State at 15:00,,UAB,MSU
,"Ty Long kickoff for 65 yds , Jameon Lewis return for 20 yds to the MisSt 20",0,0
1st and 10 at MSST 20,Dak Prescott pass complete to Josh Robinson for 6 yds to the MisSt 26,,
2nd and 4 at MSST 26,Dak Prescott run for 6 yds to the MisSt 32 for a 1ST down,,
1st and 10 at MSST 32,"Dak Prescott pass complete to Robert Johnson for 68 yds for a TD, (Evan Sobiesk KICK)",0,7
"MSST DRIVE TOTALS: 3 plays, 80 yards, 0:57",,,
UAB at 14:03,,UAB,MSU
,Devon Bell kickoff for 65 yds for a touchback,0,7
1st and 10 at UAB 25,"UAB Penalty, delay of game (Cody Clements) to the UAB 20",,
1st and 15 at UAB 20,Cody Clements pass complete to Maudrecus Humphrey for 14 yds to the UAB 34,,
2nd and 1 at UAB 34,Cody Clements pass complete to Kennard Backman for 5 yds to the UAB 39 for a 1ST down,,
1st and 10 at UAB 39,Cody Clements run for 3 yds to the UAB 42,,
2nd and 7 at UAB 42,Jordan Howard run for 2 yds to the UAB 44,,
3rd and 5 at UAB 44,Cody Clements pass complete to Kennard Backman for 6 yds to the 50 yard line for a 1ST down,,
1st and 10 at 50,Cody Clements pass complete to Jamarcus Nelson for a loss of 2 yards to the UAB 48,,
2nd and 12 at UAB 48,Cody Clements pass incomplete to Jamarcus Nelson,,
3rd and 12 at UAB 48,Cody Clements pass incomplete to N/A,,
4th and 12 at UAB 48,Hunter Mullins punt for 39 yds,,
"UAB DRIVE TOTALS: 8 plays, 23 yards, 2:45",,,
Mississippi State at 11:18,,UAB,MSU
1st and 10 at MSST 13,Josh Robinson run for 3 yds to the MisSt 16,0,7
2nd and 7 at MSST 16,Damian Williams run for 8 yds to the MisSt 24 for a 1ST down,,
1st and 10 at MSST 24,"Damian Williams pass incomplete to N/A, broken up by Jordan Petty",,
2nd and 10 at MSST 24,"Damian Williams pass incomplete to Robert Johnson, broken up by Kalen Jackson",,
3rd and 10 at MSST 24,"Damian Williams sacked by Tevin Crews for a loss of 15 yards to the MisSt 9 Damian Williams fumbled, recovered by MisSt Josh Robinson , return for 0 yards",,
4th and 25 at MSST 9,"Devon Bell punt for 46 yds, downed at the UAB 45",,
"MSST DRIVE TOTALS: 5 plays, -4 yards, 2:00",,,
UAB at 9:18,,UAB,MSU
1st and 10 at UAB 45,Cody Clements pass incomplete to N/A,0,7
2nd and 10 at UAB 45,Jordan Howard run for 1 yd to the UAB 46,,
3rd and 9 at UAB 46,Jamari Staples run for 3 yds to the UAB 49,,
4th and 6 at UAB 49,"Hunter Mullins punt for 41 yds, punt out-of-bounds at the MisSt 10",,
"UAB DRIVE TOTALS: 3 plays, 4 yards, 1:28",,,
Mississippi State at 7:50,,UAB,MSU
1st and 10 at MSST 10,Nick Griffin run for a loss of 5 yards to the MisSt 5,0,7
2nd and 15 at MSST 5,"Damian Williams pass complete to D.Wilson for 26 yards to the MS31 (JONES, Calvin;BANKS, James), PENALTY MS holding (D.Wilson) 2 yards to the MS3, NO PLAY.",,
2nd and 17 at MSST 3,Dak Prescott run for 6 yds to the MisSt 9,,
3rd and 11 at MSST 9,Dak Prescott pass incomplete to N/A,,
4th and 11 at MSST 9,"Devon Bell punt for 41 yds , Jamarcus Nelson returns for 26 yds to the MisSt 24",,
"MSST DRIVE TOTALS: 3 plays, -1 yard, 1:47",,,
UAB at 6:03,,UAB,MSU
1st and 10 at MSST 24,Jeremiah Briscoe pass incomplete to Maudrecus Humphrey,0,7
2nd and 10 at MSST 24,Jordan Howard run for a loss of 2 yards to the MisSt 26,,
3rd and 12 at MSST 26,Jeremiah Briscoe pass incomplete to Jamari Staples,,
