0706052120140913,,706,521
,OSU won toss. Defers. UTSA will receive and defend east goal.,,
1st Quarter Play-by-Play
Texas San Antonio at 15:00,,UTSA,OKST
,Kip Smith kickoff for 65 yds for a touchback,0,0
1st and 10 at UTSA 25,David Glasco II run for 11 yds to the TexSA 36 for a 1ST down,,
1st and 10 at UTSA 36,David Glasco II run for no gain to the TexSA 36,,
2nd and 10 at UTSA 36,David Glasco II run for 1 yd to the TexSA 37,,
3rd and 9 at UTSA 37,"Tucker Carter pass incomplete to Marcellus Mack, broken up by Kevin Peterson",,
4th and 9 at UTSA 37,"Kristian Stern punt for 51 yds , Tyreek Hill returns for 8 yds to the OKSt 45 OKLAHOMA ST Penalty, Offensive holding (N/A) to the OKSt 10",,
"UTSA DRIVE TOTALS: 4 plays, 12 yards, 1:50"
Oklahoma State at 13:10,,UTSA,OKST
1st and 10 at OKST 10,Daxx Garman pass incomplete to Tyreek Hill,0,0
2nd and 10 at OKST 10,Tyreek Hill run for a loss of 2 yards to the OKSt 8,,
3rd and 12 at OKST 8,Daxx Garman pass incomplete to Marcell Ateman,,
4th and 12 at OKST 8,"Kip Smith punt for 50 yds , Kenny Harrison returns for 31 yds to the OKSt 27",,
"OKST DRIVE TOTALS: 3 plays, -2 yards, 1:00"
Texas San Antonio at 12:10,,UTSA,OKST
1st and 10 at OKST 27,Jarveon Williams run for a loss of 1 yard to the OKSt 28,0,0
2nd and 11 at OKST 28,"Tucker Carter pass incomplete to N/A, broken up by Kevin Peterson",,
3rd and 11 at OKST 28,Tucker Carter pass complete to Aaron Grubb for 14 yds to the OKSt 14 for a 1ST down,,
1st and 10 at OKST 14,Jarveon Williams run for 2 yds to the OKSt 12,,
2nd and 8 at OKST 12,Brandon Armstrong run for 3 yds to the OKSt 9,,
3rd and 5 at OKST 9,Tucker Carter run for 2 yds to the OKSt 7,,
4th and 3 at OKST 7,Sean Ianno 24 yd FG GOOD,3,0
"UTSA DRIVE TOTALS: 7 plays, 20 yards, 3:01"
Oklahoma State at 9:09,,UTSA,OKST
,Sean Ianno kickoff for 65 yds for a touchback,3,0
