0466063020140927,,466,630
1st Quarter Play-by-Play
Nevada at 15:00,,UNR,SJSU
,Austin Lopez kickoff for 65 yds for a touchback,0,0
1st and 10 at NEV 25,"NEVADA Penalty, false start (-5 Yards) to the Nevad 20",,
1st and 15 at NEV 20,Cody Fajardo pass incomplete to N/A,,
2nd and 15 at NEV 20,Cody Fajardo pass incomplete to N/A,,
3rd and 15 at NEV 20,Cody Fajardo pass complete to Don Jackson for 6 yds to the Nevad 26,,
4th and 9 at NEV 26,"Alex Boy punt for 48 yds, downed at the SJSt 26",,
"NEV DRIVE TOTALS: 3 plays, 1 yard, 0:59"
San Jos\xe9 State at 14:01,,UNR,SJSU
1st and 10 at SJSU 26,Joe Gray pass complete to Hansell Wilson for 4 yds to the SJSt 30,0,0
2nd and 6 at SJSU 30,Tyler Ervin run for 7 yds to the SJSt 37 for a 1ST down,,
1st and 10 at SJSU 37,Tyler Ervin run for 1 yd to the SJSt 38,,
2nd and 9 at SJSU 38,Joe Gray pass incomplete to Tyler Ervin,,
3rd and 9 at SJSU 38,Joe Gray pass incomplete to N/A,,
4th and 9 at SJSU 38,Michael Carrizosa punt for 37 yds,,
"SJSU DRIVE TOTALS: 5 plays, 12 yards, 1:46"
Nevada at 12:15,,UNR,SJSU
1st and 10 at NEV 25,"NEVADA Penalty, false start (N/A) to the Nevad 20",0,0
1st and 15 at NEV 20,James Butler run for no gain to the Nevad 20,,
2nd and 15 at NEV 20,Cody Fajardo pass incomplete to N/A,,
3rd and 15 at NEV 20,Cody Fajardo pass incomplete to N/A,,
4th and 15 at NEV 20,"Alex Boy punt for 33 yds, downed at the SJSt 47",,
"NEV DRIVE TOTALS: 3 plays, -5 yards, 0:48"
San Jos\xe9 State at 11:27,,UNR,SJSU
1st and 10 at SJSU 47,Jarrod Lawson run for 2 yds to the SJSt 49,0,0
2nd and 8 at SJSU 49,Joe Gray pass complete to Tyler Winston for 4 yds to the Nevad 47,,
3rd and 4 at NEV 47,"SAN JOS\xc9 ST Penalty, false start (-5 Yards) to the SJSt 48",,
3rd and 9 at SJSU 48,Joe Gray pass complete to Jabari Carr for 1 yd to the SJSt 49,,
4th and 8 at SJSU 49,Michael Carrizosa punt for 44 yds,,
"SJSU DRIVE TOTALS: 3 plays, 2 yards, 1:25"
Nevada at 10:02,,UNR,SJSU
1st and 10 at NEV 7,Don Jackson run for 18 yds to the Nevad 25 for a 1ST down,0,0
1st and 10 at NEV 25,Don Jackson run for 16 yds to the Nevad 41 for a 1ST down,,
1st and 10 at NEV 41,Don Jackson run for 4 yds to the Nevad 45,,
2nd and 6 at NEV 45,James Butler run for a loss of 2 yards to the Nevad 43,,
3rd and 8 at NEV 43,Cody Fajardo pass incomplete to Cody Fajardo,,
4th and 8 at NEV 43,"Alex Boy punt for 32 yds , Tyler Ervin returns for a loss of 1 yard to the SJSt 24",,
"NEV DRIVE TOTALS: 5 plays, 36 yards, 1:46"
San Jos\xe9 State at 8:16,,UNR,SJSU
1st and 10 at SJSU 24,Tyler Ervin run for 6 yds to the SJSt 30,0,0
2nd and 4 at SJSU 30,"Jarrod Lawson run for 7 yds to the SJSt 37 SAN JOS\xc9 ST Penalty, Offensive holding (-10 Yards) to the SJSt 27",,
2nd and 7 at SJSU 27,Joe Gray pass incomplete to N/A,,
3rd and 7 at SJSU 27,Joe Gray pass complete to Tyler Ervin for 18 yds to the SJSt 45 for a 1ST down,,
1st and 10 at SJSU 45,Jarrod Lawson run for 4 yds to the SJSt 49,,
2nd and 6 at SJSU 49,"SAN JOS\xc9 ST Penalty, false start (N/A) to the SJSt 44",,
2nd and 11 at SJSU 44,Tyler Ervin run for 4 yds to the SJSt 48,,
3rd and 7 at SJSU 48,Joe Gray pass complete to Billy Freeman for 6 yds to the Nevad 46,,
4th and 1 at NEV 46,Jarrod Lawson run for 6 yds to the Nevad 40 for a 1ST down,,
1st and 10 at NEV 40,"MONROE, Brandon rush right for 10 yards to the NEV30 (GARRETT, C.), PENALTY SJ illegal cut (SCHWEITZER, Wes) 15 yards to the SJ45, NO PLAY.",,
1st and 25 at SJSU 45,Joe Gray pass complete to Jabari Carr for 5 yds to the 50 yard line,,
2nd and 20 at 50,Joe Gray pass complete to Tim Crawley for 11 yds to the Nevad 39,,
3rd and 9 at NEV 39,Joe Gray pass complete to Tyler Winston for no gain to the Nevad 39,,
4th and 9 at NEV 39,Michael Carrizosa punt for 39 yds for a touchback,,
