0754067420141010,,754,674
,"STANFORD wins the coin toss, and will receive.",,
1st Quarter Play-by-Play
Stanford at 15:00,,WSU,STAN
,"Erik Powell kickoff for 59 yds , Ty Montgomery return for 30 yds to the Stanf 36",0,0
1st and 10 at STAN 36,"Hogan, Kevin pass complete to Pratt, Jordan for no gain to the STANFORD36, PENALTY STANFORD pass interference (Cajuste, Devon) 15 yards to the STANFORD21, NO PLAY.",,
1st and 25 at STAN 21,Barry Sanders run for 21 yds to the Stanf 42,,
2nd and 4 at STAN 42,Kevin Hogan pass complete to Ty Montgomery for 22 yds to the WshSt 36 for a 1ST down,,
1st and 10 at WSU 36,Barry Sanders run for 29 yds to the WshSt 7 for a 1ST down,,
1st and Goal at WSU 7,Barry Sanders run for 2 yds to the WshSt 5,,
2nd and Goal at WSU 5,Kevin Hogan pass incomplete to Devon Cajuste,,
3rd and Goal at WSU 5,Kevin Hogan pass incomplete to Devon Cajuste,,
4th and Goal at WSU 5,Jordan Williamson 22 yd FG GOOD,0,3
"STAN DRIVE TOTALS: 7 plays, 59 yards, 3:13"
Washington State at 11:47,,WSU,STAN
,Jordan Williamson kickoff for 65 yds for a touchback,0,3
1st and 10 at WSU 25,Connor Halliday pass complete to Isiah Myers for 11 yds to the WshSt 36 for a 1ST down,,
1st and 10 at WSU 36,Connor Halliday pass complete to River Cracraft for 1 yd to the WshSt 37,,
2nd and 9 at WSU 37,Connor Halliday pass incomplete to River Cracraft,,
3rd and 9 at WSU 37,Connor Halliday pass incomplete to Isiah Myers,,
4th and 9 at WSU 37,"Jordan Dascalo punt for 34 yds , Ty Montgomery returns for 2 yds to the Stanf 31",,
"WSU DRIVE TOTALS: 4 plays, 12 yards, 1:08"
Stanford at 10:39,,WSU,STAN
1st and 10 at STAN 31,Remound Wright run for 6 yds to the Stanf 37,0,3
2nd and 4 at STAN 37,Christian McCaffrey run for 24 yds to the WshSt 39 for a 1ST down,,
1st and 10 at WSU 39,"Kevin Hogan pass complete to Eric Cotton for 39 yds for a TD, (Jordan Williamson KICK)",0,10
"STAN DRIVE TOTALS: 3 plays, 69 yards, 1:09"
Washington State at 9:30,,WSU,STAN
,Jordan Williamson kickoff for 65 yds for a touchback,0,10
1st and 10 at WSU 25,Connor Halliday pass complete to River Cracraft for 6 yds to the WshSt 31,,
2nd and 4 at WSU 31,Connor Halliday pass complete to Isiah Myers for 2 yds to the WshSt 33,,
3rd and 2 at WSU 33,Connor Halliday pass complete to Isiah Myers for 1 yd to the WshSt 34,,
4th and 1 at WSU 34,Connor Halliday pass complete to Robert Lewis for 3 yds to the WshSt 37 for a 1ST down,,
