0721046520141108,,721,465
1st and Goal at UNLV 1,"Kale Pearson run for 1 yd for a TD, (Will Conant KICK)",17,7
"AFA DRIVE TOTALS: 17 plays, 78 yards, 6:35"
UNLV at 8:20,,AFA,UNLV
,"Drew Oehrle kickoff for 48 yds , George Naufah,  return for 9 yds to the UNLV 26",17,7
1st and 10 at UNLV 26,Blake Decker pass incomplete to Devante Davis,,
2nd and 10 at UNLV 26,Shaquille Murray-Lawrence run for 2 yds to the UNLV 28,,
3rd and 8 at UNLV 28,Blake Decker pass complete to Devante Davis for 9 yds to the UNLV 37 for a 1ST down,,
1st and 10 at UNLV 37,Blake Decker run for 1 yd to the UNLV 38,,
2nd and 9 at UNLV 38,Blake Decker pass incomplete,,
3rd and 9 at UNLV 38,Blake Decker pass complete to Devonte Boyd for 25 yds to the AFA 37 for a 1ST down,,
1st and 10 at AFA 37,Shaquille Murray-Lawrence run for 2 yds to the AFA 35,,
2nd and 8 at AFA 35,"Blake Decker pass incomplete to Maika Mataele, broken up by Justin DeCoud",,
3rd and 8 at AFA 35,Blake Decker pass complete to Taylor Barnhill for 5 yds to the AFA 30,,
4th and 3 at AFA 30,Blake Decker pass incomplete,,
"UNLV DRIVE TOTALS: 10 plays, 44 yards, 2:17"
Air Force at 6:03,,AFA,UNLV
1st and 10 at AFA 30,Jacobi Owens run for 4 yds to the AFA 34,17,7
2nd and 6 at AFA 34,Jon Lee run for no gain to the AFA 34,,
3rd and 6 at AFA 34,Kale Pearson run for 7 yds to the AFA 41 for a 1ST down,,
1st and 10 at AFA 41,"Kale Pearson pass complete to Jalen Robinette for 59 yds for a TD, (Will Conant KICK)",24,7
"AFA DRIVE TOTALS: 4 plays, 70 yards, 1:30"
UNLV at 4:23,,AFA,UNLV
,"Drew Oehrle kickoff for 65 yds , Keith Whitely return for 35 yds to the UNLV 35",24,7
1st and 10 at UNLV 35,Keith Whitely run for 7 yds to the UNLV 42,,
2nd and 3 at UNLV 42,Keith Whitely run for 2 yds to the UNLV 44,,
3rd and 1 at UNLV 44,Blake Decker run for 3 yds to the UNLV 47 for a 1ST down,,
1st and 10 at UNLV 47,Blake Decker pass complete to Devante Davis for 48 yds to the AFA 5 for a 1ST down,,
1st and Goal at AFA 5,Keith Whitely run for 2 yds to the AFA 3,,
2nd and Goal at AFA 3,Keith Whitely run for a loss of 1 yard to the AFA 4,,
3rd and Goal at AFA 4,"Blake Decker pass complete to Devante Davis for 4 yds for a TD, (Jonathan Leiva KICK)",24,14
"UNLV DRIVE TOTALS: 7 plays, 65 yards, 2:09"
Air Force at 2:03,,AFA,UNLV
,"Jonathan Leiva kickoff for 64 yds , Jon Lee return for 44 yds to the AFA 45",24,14
1st and 10 at AFA 45,Kale Pearson run for 2 yds to the AFA 47,,
2nd and 8 at AFA 47,Jacobi Owens run for 13 yds to the UNLV 40 for a 1ST down,,
