0257064820140913,,257,648
,"SOUTH CAROLINA wins the coin toss, and will receive.",,
1st Quarter Play-by-Play
South Carolina at 15:00,,GA,USC
,Marshall Morgan kickoff for 65 yds for a touchback,0,0
1st and 10 at SC 25,Mike Davis run for 2 yds to the SCaro 27,,
2nd and 8 at SC 27,Dylan Thompson pass complete to Nick Jones for 21 yds to the SCaro 48 for a 1ST down,,
1st and 10 at SC 48,Dylan Thompson pass complete to Rory Anderson for 20 yds to the Geo 32 for a 1ST down,,
1st and 10 at UGA 32,Mike Davis run for 5 yds to the Geo 27,,
2nd and 5 at UGA 27,Pharoh Cooper run for a loss of 1 yard to the Geo 28,,
,"Timeout GEORGIA, clock 12:26",,
3rd and 6 at UGA 28,Dylan Thompson pass complete to Shaq Roland for 13 yds to the Geo 15 for a 1ST down,,
1st and 10 at UGA 15,Mike Davis run for 6 yds to the Geo 9,,
2nd and 4 at UGA 9,Mike Davis run for a loss of 1 yard to the Geo 10,,
3rd and 5 at UGA 10,"Dylan Thompson pass complete to Shaq Roland for 10 yds for a TD, (Elliott Fry KICK)",0,7
"SCAR DRIVE TOTALS: 9 plays, 75 yards, 4:27"
Georgia at 10:33,,GA,USC
,"Landon Ard kickoff for 45 yds , Brendan Douglas return for 11 yds to the Geo 31",0,7
1st and 10 at UGA 31,Hutson Mason pass complete to Isaiah McKenzie for 36 yds to the SCaro 33 for a 1ST down,,
1st and 10 at SC 33,"Hutson Mason pass complete to Sony Michel for 33 yds for a TD, (Marshall Morgan KICK)",7,7
"UGA DRIVE TOTALS: 2 plays, 69 yards, 0:31"
South Carolina at 10:02,,GA,USC
,Marshall Morgan kickoff for 65 yds for a touchback,7,7
1st and 10 at SC 25,Dylan Thompson pass complete to Connor McLaurin for no gain to the SCaro 25,,
2nd and 10 at SC 25,Dylan Thompson pass complete to Brandon Wilds for 3 yds to the SCaro 28,,
3rd and 7 at SC 28,"Brandon Wilds run for a loss of 2 yards to the SCaro 26 Brandon Wilds fumbled, recovered by Geo Lorenzo Carter",,
"SCAR DRIVE TOTALS: 3 plays, 1 yard, 1:15"
Georgia at 8:47,,GA,USC
1st and 10 at SC 26,"GEORGIA Penalty, Offensive Holding (Brandon Kublanow) to the SCaro 36",7,7
1st and 20 at SC 36,Todd Gurley run for 7 yds to the SCaro 29,,
2nd and 13 at SC 29,Todd Gurley run for 10 yds to the SCaro 19,,
3rd and 3 at SC 19,Hutson Mason pass incomplete to Michael Bennett,,
4th and 3 at SC 19,Marshall Morgan 36 yd FG GOOD,10,7
"UGA DRIVE TOTALS: 4 plays, 7 yards, 1:22"
South Carolina at 7:25,,GA,USC
,Marshall Morgan kickoff for 65 yds for a touchback,10,7
1st and 10 at SC 25,Mike Davis run for a loss of 5 yards to the SCaro 20,,
2nd and 15 at SC 20,Dylan Thompson pass complete to Shaq Roland for 17 yds to the SCaro 37 for a 1ST down,,
1st and 10 at SC 37,Dylan Thompson pass complete to Mike Davis for 8 yds to the SCaro 45,,
2nd and 2 at SC 45,Mike Davis run for 4 yds to the SCaro 49 for a 1ST down,,
1st and 10 at SC 49,Mike Davis run for 2 yds to the Geo 49,,
2nd and 8 at UGA 49,Dylan Thompson run for 10 yds to the Geo 39 for a 1ST down,,
1st and 10 at UGA 39,Brandon Wilds run for 1 yd to the Geo 38,,
2nd and 9 at UGA 38,Dylan Thompson pass incomplete to Jerell Adams,,
3rd and 9 at UGA 38,"GEORGIA Penalty, Defensive Pass Interference (Devin Bowman) to the Geo 33 for a 1ST down",,
1st and 10 at UGA 33,Mike Davis run for 3 yds to the Geo 30,,
2nd and 7 at UGA 30,"Dylan Thompson pass complete to Pharoh Cooper for 13 yds to the Geo 17 for a 1ST down GEORGIA Penalty, Roughing Passer (9 Yards) to the Geo 8 for a 1ST down",,
1st and Goal at UGA 8,"Dylan Thompson pass complete to Pharoh Cooper for 8 yds for a TD, (Elliott Fry KICK)",10,14
"SCAR DRIVE TOTALS: 11 plays, 75 yards, 5:05"
Georgia at 2:20,,GA,USC
,Landon Ard kickoff for 38 yds fair catch by Jeb Blazevich at the Geo 27,10,14
1st and 10 at UGA 27,Todd Gurley run for 13 yds to the Geo 40 for a 1ST down,,
,"Timeout GEORGIA, clock 01:50",,
1st and 10 at UGA 40,Hutson Mason run for 6 yds to the Geo 46,,
2nd and 4 at UGA 46,"GEORGIA Penalty, Offensive Holding (Brandon Kublanow) to the Geo 36",,
2nd and 14 at UGA 36,Nick Chubb run for 12 yds to the Geo 48,,
3rd and 2 at UGA 48,Nick Chubb run for a loss of 2 yards to the Geo 46,,
,End of 1st Quarter,,
2nd Quarter Play-by-Play
Georgia at 15:00,,GA,USC
4th and 4 at UGA 46,"Collin Barber punt for 40 yds, punt out-of-bounds at the SCaro 14",10,14
"UGA DRIVE TOTALS: 4 plays, 19 yards, 2:28"
South Carolina at 14:52,,GA,USC
1st and 10 at SC 15,Dylan Thompson pass incomplete to Pharoh Cooper,10,14
2nd and 10 at SC 15,Dylan Thompson pass complete to Shaq Roland for 7 yds to the SCaro 22,,
,"Timeout SOUTH CAROLINA, clock 14:05",,
3rd and 3 at SC 22,Dylan Thompson pass incomplete,,
4th and 3 at SC 22,"Tyler Hull punt for 37 yds, fair catch by Reggie Davis at the Geo 41",,
"SCAR DRIVE TOTALS: 3 plays, 7 yards, 1:03"
Georgia at 13:49,,GA,USC
1st and 10 at UGA 41,Todd Gurley run for 1 yd to the Geo 42,10,14
2nd and 9 at UGA 42,Todd Gurley run for 4 yds to the Geo 46,,
3rd and 5 at UGA 46,"Hutson Mason pass complete to Todd Gurley for no gain to the SCaro 46 SOUTH CAROLINA Penalty, Unsportsmanlike Conduct (Jordan Diggs) to the SCaro 39 for a 1ST down",,
1st and 10 at SC 39,Hutson Mason pass complete to Jeb Blazevich for 18 yds to the SCaro 21 for a 1ST down,,
1st and 10 at SC 21,Todd Gurley run for 2 yds to the SCaro 19,,
2nd and 8 at SC 19,Isaiah McKenzie run for 8 yds to the SCaro 11 for a 1ST down,,
1st and 10 at SC 11,Todd Gurley run for 3 yds to the SCaro 8,,
2nd and 7 at SC 8,Hutson Mason pass complete to Todd Gurley for a loss of 1 yard to the SCaro 9,,
3rd and 8 at SC 9,Hutson Mason pass incomplete to Jeb Blazevich,,
4th and 8 at SC 9,Marshall Morgan 26 yd FG GOOD,13,14
"UGA DRIVE TOTALS: 10 plays, 50 yards, 4:53"
South Carolina at 8:56,,GA,USC
,Marshall Morgan kickoff for 65 yds for a touchback,13,14
1st and 10 at SC 25,"SOUTH CAROLINA Penalty, Illegal Formation (-5 Yards) to the SCaro 20",,
1st and 15 at SC 20,Dylan Thompson pass complete to Rory Anderson for 15 yds to the SCaro 35 for a 1ST down,,
1st and 10 at SC 35,Dylan Thompson pass complete to Pharoh Cooper for 6 yds to the SCaro 41,,
2nd and 4 at SC 41,Mike Davis run for 7 yds to the SCaro 48 for a 1ST down,,
1st and 10 at SC 48,"Mike Davis run for 1 yd to the SCaro 49 SOUTH CAROLINA Penalty, Illegal Block (-15 Yards) to the SCaro 34",,
1st and 24 at SC 34,Dylan Thompson pass complete to Rory Anderson for 4 yds to the SCaro 38,,
2nd and 20 at SC 38,Dylan Thompson pass complete to Damiere Byrd for 24 yds to the Geo 38 for a 1ST down,,
1st and 10 at UGA 38,Dylan Thompson pass incomplete to Damiere Byrd,,
2nd and 10 at UGA 38,Dylan Thompson pass complete to Nick Jones for 20 yds to the Geo 18 for a 1ST down,,
1st and 10 at UGA 18,Dylan Thompson pass incomplete to Nick Jones,,
2nd and 10 at UGA 18,"Dylan Thompson pass complete to Rory Anderson for 18 yds for a TD, (Elliott Fry KICK)",13,21
"SCAR DRIVE TOTALS: 10 plays, 75 yards, 3:22"
Georgia at 5:34,,GA,USC
,Landon Ard kickoff for 65 yds for a touchback,13,21
1st and 10 at UGA 25,Hutson Mason pass complete to Todd Gurley for 1 yd to the Geo 26,,
2nd and 9 at UGA 26,Hutson Mason pass complete to Chris Conley for 16 yds to the Geo 42 for a 1ST down,,
1st and 10 at UGA 42,Todd Gurley run for 4 yds to the Geo 46,,
2nd and 6 at UGA 46,Hutson Mason pass complete to Michael Bennett for 13 yds to the SCaro 41 for a 1ST down,,
1st and 10 at SC 41,"GEORGIA Penalty, False Start (-5 Yards) to the SCaro 46",,
1st and 15 at SC 46,Hutson Mason pass complete to Reggie Davis for 16 yds to the SCaro 30 for a 1ST down,,
1st and 10 at SC 30,Keith Marshall run for 2 yds to the SCaro 28,,
2nd and 8 at SC 28,Nick Chubb run for 1 yd to the SCaro 27,,
3rd and 7 at SC 27,Hutson Mason pass incomplete to Blake Tibbs,,
4th and 7 at SC 27,Marshall Morgan 44 yd FG MISSED,,
"UGA DRIVE TOTALS: 9 plays, 48 yards, 3:18"
South Carolina at 2:16,,GA,USC
1st and 10 at SC 27,Brandon Wilds run for 2 yds to the SCaro 29,13,21
2nd and 8 at SC 29,Pharoh Cooper run for 10 yds to the SCaro 39 for a 1ST down,,
1st and 10 at SC 39,Damiere Byrd run for 14 yds to the Geo 47 for a 1ST down,,
1st and 10 at UGA 47,Pharoh Cooper run for no gain to the Geo 47,,
,"Timeout SOUTH CAROLINA, clock 00:54",,
2nd and 10 at UGA 47,Dylan Thompson pass complete to Nick Jones for 25 yds to the Geo 22 for a 1ST down,,
1st and 10 at UGA 22,Dylan Thompson pass incomplete to Pharoh Cooper,,
2nd and 10 at UGA 22,Dylan Thompson pass incomplete to Jerell Adams,,
3rd and 10 at UGA 22,Dylan Thompson pass complete to Mike Davis for 8 yds to the Geo 14,,
,"Timeout SOUTH CAROLINA, clock 00:04",,
4th and 2 at UGA 14,Elliott Fry 32 yd FG GOOD,13,24
,End of 2nd Quarter,,
"SCAR DRIVE TOTALS: 9 plays, 59 yards, 2:16"
3rd Quarter Play-by-Play
Georgia at 15:00,,GA,USC
,"Landon Ard kickoff for 60 yds , Brendan Douglas return for 10 yds to the Geo 15",13,24
1st and 10 at UGA 15,Todd Gurley run for 2 yds to the Geo 17,,
2nd and 8 at UGA 17,Hutson Mason pass complete to Chris Conley for 6 yds to the Geo 23,,
3rd and 2 at UGA 23,Hutson Mason pass complete to Kenneth Towns for 8 yds to the Geo 31 for a 1ST down,,
1st and 10 at UGA 31,Hutson Mason pass complete to Todd Gurley for 4 yds to the Geo 35,,
2nd and 6 at UGA 35,Todd Gurley run for 40 yds to the SCaro 25 for a 1ST down,,
1st and 10 at SC 25,Sony Michel run for 10 yds to the SCaro 15 for a 1ST down,,
1st and 10 at SC 15,Sony Michel run for 4 yds to the SCaro 11,,
2nd and 6 at SC 11,Sony Michel run for 3 yds to the SCaro 8,,
3rd and 3 at SC 8,"Hutson Mason run for no gain to the SCaro 8 Hutson Mason fumbled, recovered by Geo Hutson Mason, run for 2 yds to the SCaro 6",,
4th and 1 at SC 6,Todd Gurley run for 4 yds to the SCaro 2 for a 1ST down,,
1st and Goal at SC 2,"Todd Gurley run for 2 yds for a TD, (Marshall Morgan KICK)",20,24
"UGA DRIVE TOTALS: 11 plays, 85 yards, 5:37"
South Carolina at 9:23,,GA,USC
,"Marshall Morgan kickoff for 60 yds , Shon Carson return for 20 yds to the SCaro 25",20,24
1st and 10 at SC 25,Mike Davis run for 10 yds to the SCaro 35 for a 1ST down,,
