0528065720140927,,528,657
,"SOUTHERN CAL wins the coin toss, and will receive.",,
1st Quarter Play-by-Play
USC at 15:00,,ORST,USC
,"Trevor Romaine kickoff for 65 yds , u""Adoree' Jackson"",  return for 23 yds to the USC 23",0,0
1st and 10 at USC 23,Javorius Allen run for 5 yds to the USC 28,,
2nd and 5 at USC 28,"Kessler, Cody pass incomplete to Smith, JuJu, PENALTY OREGONST pass interference (Scott, Larry) 4 yards to the USC32, NO PLAY, 1ST DOWN USC. for a 1ST down",,
1st and 10 at USC 32,Cody Kessler pass complete to Nelson Agholor for 1 yd to the USC 33,,
2nd and 9 at USC 33,Cody Kessler pass complete to Javorius Allen for 5 yds to the USC 38,,
3rd and 4 at USC 38,Javorius Allen run for 16 yds to the OrgSt 46 for a 1ST down,,
1st and 10 at ORST 46,Cody Kessler pass incomplete to Randall Telfer,,
2nd and 10 at ORST 46,"USC Penalty, False Start (Viane Talamaivao) to the USC 49",,
2nd and 15 at USC 49,"USC Penalty, False Start (Toa Lobendahn) to the USC 44",,
2nd and 20 at USC 44,"USC Penalty, False Start (Viane Talamaivao) to the USC 39",,
2nd and 25 at USC 39,Cody Kessler pass complete to George Farmer for 9 yds to the USC 48,,
3rd and 16 at USC 48,Cody Kessler pass complete to Justin Davis for 9 yds to the OrgSt 43,,
4th and 7 at ORST 43,"Kris Albarado punt for 34 yds, downed at the OrgSt 9",,
"USC DRIVE TOTALS: 7 plays, 34 yards, 3:31"
Oregon State at 11:29,,ORST,USC
1st and 10 at ORST 9,Storm Woods run for 8 yds to the OrgSt 17,0,0
2nd and 2 at ORST 17,Storm Woods run for 15 yds to the OrgSt 32 for a 1ST down,,
1st and 10 at ORST 32,Sean Mannion pass complete to Storm Woods for 7 yds to the OrgSt 39,,
2nd and 3 at ORST 39,Terron Ward run for 12 yds to the USC 49 for a 1ST down,,
1st and 10 at USC 49,Sean Mannion pass incomplete to Terron Ward,,
