0440003020140830,,440,30
,Montana State won the toss and differed. A-State will receive.,,
1st Quarter Play-by-Play
Arkansas State at 15:00,,MSU,ASU
,Luke Daly kickoff for 65 yds for a touchback,0,0
1st and 10 at ARST 25,Michael Gordon run for 4 yds to the ArkSt 29,,
2nd and 6 at ARST 29,Fredi Knighten pass complete to Tres Houston for 29 yds to the MntSt 42 for a 1ST down,,
1st and 10 at MTST 42,"Michael Gordon run for 42 yds for a TD, (Luke Ferguson KICK)",0,7
"ARST DRIVE TOTALS: 3 plays, 75 yards, 0:41"
Montana State at 14:19,,MSU,ASU
,Luke Ferguson kickoff for 65 yds for a touchback,0,7
1st and 10 at MTST 25,Dakota Prukop pass complete to Tiai Salanoa for 3 yds to the MntSt 28,,
2nd and 7 at MTST 28,"Dakota Prukop run for no gain to the MntSt 21 Dakota Prukop fumbled, forced by Chris Humes, recovered by MntSt N/A",,
3rd and 14 at MTST 21,Dakota Prukop run for no gain to the MntSt 21,,
4th and 14 at MTST 21,"Jake Bleskin punt for 22 yds, punt out-of-bounds at the MntSt 43",,
"MTST DRIVE TOTALS: 3 plays, -4 yards, 1:47"
Arkansas State at 12:32,,MSU,ASU
1st and 10 at MTST 43,Fredi Knighten pass complete to J.D. McKissic for 6 yds to the MntSt 37,0,7
2nd and 4 at MTST 37,Fredi Knighten run for 12 yds to the MntSt 25 for a 1ST down,,
1st and 10 at MTST 25,Michael Gordon run for 2 yds to the MntSt 23,,
2nd and 8 at MTST 23,Fredi Knighten pass incomplete to Michael Gordon,,
3rd and 8 at MTST 23,Fredi Knighten pass complete to Tres Houston for 11 yds to the MntSt 12 for a 1ST down,,
1st and 10 at MTST 12,Michael Gordon run for 6 yds to the MntSt 6,,
2nd and 4 at MTST 6,Johnston White run for 2 yds to the MntSt 4,,
3rd and 2 at MTST 4,Michael Gordon run for 1 yd to the MntSt 3,,
4th and 1 at MTST 3,Fredi Knighten run for no gain to the MntSt 3,,
"ARST DRIVE TOTALS: 9 plays, 40 yards, 2:35"
Montana State at 9:57,,MSU,ASU
1st and 10 at MTST 3,Shawn Johnson run for 5 yds to the MntSt 8,0,7
2nd and 5 at MTST 8,Shawn Johnson run for 5 yds to the MntSt 13 for a 1ST down,,
1st and 10 at MTST 13,Shawn Johnson run for no gain to the MntSt 13,,
2nd and 10 at MTST 13,Shawn Johnson run for 2 yds to the MntSt 15,,
3rd and 8 at MTST 15,Dakota Prukop run for 6 yds to the MntSt 21,,
4th and 2 at MTST 21,"Trevor Bolton punt for 52 yds , J.D. McKissic returns for no gain to the ArkSt 7 J.D. McKissic fumbled, recovered by MntSt Rhett Young",,
